# c0 + a0 * ((ave:period^2) / (ave:covalent_radius_cordero^3)) + a1 * ((mp_bandgap^6) / (ave:melting_point^3)) + a2 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.43529642208974; Max AE: 3.623133118526
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.638622810223980e+04, -3.650824554857601e+01,  8.119623044435902e-03, -2.062257186386338e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm^-3;                                            15|sq|13|cb|div; ((ave:period^2) / (ave:covalent_radius_cordero^3)); $\left(\frac{ \left(ave:period^2\right) }{ \left(ave:covalent_{radius, cordero}^3\right) } \right)$; ((ave:period).^2 ./ (ave:covalent_radius_cordero).^3); ave:period,ave:covalent_radius_cordero
# 1;  2; K^-3 * eV^6;                                      0|sp|12|cb|div; ((mp_bandgap^6) / (ave:melting_point^3)); $\left(\frac{ \left(mp_{bandgap}^6\right) }{ \left(ave:melting_{point}^3\right) } \right)$; ((mp_bandgap).^6 ./ (ave:melting_point).^3); mp_bandgap,ave:melting_point
# 2;  2; eV * pm;                                          19|0|mult|11|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  4.928967491193058e+00,  1.410594551864380e-05,  1.180506422404565e-03,  5.745376665152148e+02
3033        ,  0.000000000000000e+00,  1.131520022986020e+00,  5.781228281642182e-06,  3.918117977348367e-09,  1.388474301739753e+02
3404        ,  2.820000000000000e-02,  1.718359539058593e-01,  1.039024082084565e-05,  0.000000000000000e+00,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.687391836488528e+00,  5.936855930152232e-06,  2.349204269919946e-04,  3.308250000000000e+02
3707        ,  1.609999999999999e+00,  1.786702129404997e+00,  8.549218293876455e-06,  6.816338704769934e-08,  2.071348042179114e+02
5075        ,  0.000000000000000e+00,  3.026878370209116e-01,  1.398643338984121e-05,  0.000000000000000e+00,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  2.962330923332877e+00,  8.613286499833713e-06,  1.937673306271043e-05,  3.517231070430324e+02
4329        ,  2.076200000000000e+00,  1.748044608042795e+00,  1.106757117973296e-05,  2.008399493061093e-07,  1.910889804884862e+02
3574        ,  2.645500000000000e+00,  2.481840347498012e+00,  1.007015541606525e-05,  1.695416659510577e-05,  2.860071272164768e+02
3908        ,  1.994499999999999e+00,  1.760871513503624e+00,  1.017708121310808e-05,  2.137541088429619e-07,  1.966593065658155e+02
4303        ,  0.000000000000000e+00,  1.666428184933332e-01,  1.024751826664371e-05,  0.000000000000000e+00,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.623133118526002e+00,  1.242835069632845e-05,  3.598861608319351e-04,  4.175411626338768e+02
4042        ,  1.349900000000000e+00,  1.520751468200855e+00,  7.761709469521076e-06,  2.146887729333626e-08,  1.779095693856293e+02
4750        ,  9.359000000000002e-01,  2.090648285032048e-01,  7.358967318035991e-06,  2.367490012552783e-14,  1.816900648027148e+01
4141        ,  3.190800000000000e+00,  3.614949878169647e+00,  1.157925684691408e-05,  1.273820313108524e-04,  4.192929390647763e+02
4420        ,  0.000000000000000e+00,  6.801973926681212e-02,  7.537067517272130e-06,  0.000000000000000e+00,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.232367509680934e-01,  9.054592542018576e-06,  0.000000000000000e+00,  0.000000000000000e+00
4617        ,  2.861800000000000e+00,  2.802555480171218e+00,  7.947224062427742e-06,  1.931376940738173e-06,  3.349517813320227e+02
3836        ,  2.259999999999995e-02,  1.733643850399253e-01,  8.343445576496362e-06,  2.515270550646082e-16,  9.360482544276568e+00
5832        ,  3.573500000000000e+00,  3.489488056554496e+00,  1.079841268057901e-05,  1.915829065343902e-05,  4.068538263113957e+02
4712        ,  1.100500000000000e+00,  1.042313056586327e+00,  8.771204097643462e-06,  1.184667624692409e-09,  1.144619375013744e+02
4913        ,  1.940700000000000e+00,  1.763427071614343e+00,  9.095317637195062e-06,  2.462106647730626e-07,  2.018218663347969e+02
4046        ,  0.000000000000000e+00,  7.355507138788534e-01,  1.121325218712352e-05,  2.210049999802775e-10,  6.573808732452788e+01
4636        ,  3.054200000000000e+00,  2.725281365522910e+00,  1.831874618359455e-05,  8.328147839056173e-05,  2.793230000000000e+02
5195        ,  2.369000000000003e-01,  2.147814817455737e-01,  7.476505674132907e-06,  1.797188685168169e-14,  1.834633931931782e+01
4525        ,  1.162800000000000e+00,  1.579223443749114e+00,  8.383873346469460e-06,  2.429096765392299e-08,  1.823228138968711e+02
5751        ,  5.041900000000000e+00,  4.789694197456051e+00,  1.133486032093608e-05,  3.716821934289641e-03,  5.812070000000000e+02
5102        ,  3.760100000000000e+00,  3.734489719190917e+00,  8.739189804278562e-06,  1.538363160974412e-04,  4.468613331343080e+02
5500        ,  1.070000000000002e-01,  2.621729690848014e-01,  9.852375158717969e-06,  7.582102169600574e-15,  1.353608625034324e+01
3022        ,  0.000000000000000e+00,  8.209960030637778e-02,  7.924023290758828e-06,  0.000000000000000e+00,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.384224899307643e+00,  7.538622751795811e-06,  9.979075711258995e-08,  1.620952360602599e+02
5095        ,  9.836999999999998e-01,  6.455033010066414e-01,  8.494134037302388e-06,  8.014815206522496e-11,  6.683309323465771e+01
5258        ,  3.733000000000000e-01,  8.347953357753561e-01,  8.087369397183929e-06,  3.674759188541771e-10,  9.196882615241684e+01
3426        ,  3.814500000000001e+00,  3.858232534989626e+00,  9.187642761833681e-06,  1.756522269948040e-05,  4.594789491359824e+02
5717        ,  8.259000000000003e-01,  4.119241697446068e+00,  1.001522174605098e-05,  9.238676763205054e-04,  4.919908275615535e+02
5108        ,  2.033300000000000e+00,  1.866437554707951e+00,  9.004900135481782e-06,  2.029657472938921e-07,  2.149134662228186e+02
5105        ,  1.147400000000000e+00,  1.429312488825088e+00,  9.324288926560807e-06,  4.571240668185775e-08,  1.596458561532293e+02
4721        ,  2.367300000000000e+00,  3.399485789355898e+00,  1.017336211679132e-05,  3.028318423640270e-05,  3.986203302369234e+02
4062        ,  5.457999999999998e-01,  5.585652187532679e-01,  1.615258006212683e-05,  2.434627513403166e-13,  2.180636636104495e+01
3583        ,  1.527200000000000e+00,  1.591488109794667e+00,  9.051054226158874e-06,  3.174098071987384e-09,  1.808433978571856e+02
5228        ,  8.589000000000000e-01,  9.967434381420252e-01,  8.822775209685564e-06,  9.148429391359626e-10,  1.086185496640670e+02
3315        ,  3.259000000000000e+00,  3.858442364473365e+00,  1.055418976290805e-05,  2.148926250667024e-05,  4.533985681465234e+02
3746        ,  0.000000000000000e+00,  1.791550981477545e-01,  1.059139231754186e-05,  0.000000000000000e+00,  0.000000000000000e+00
3201        ,  0.000000000000000e+00,  4.772350114551011e-01,  7.030645713095732e-06,  2.803060608811294e-11,  5.266772239967418e+01
5331        ,  1.814300000000000e+00,  1.392116785159290e+00,  1.376977279874883e-05,  9.696555661065387e-08,  1.351437060395230e+02
3126        ,  0.000000000000000e+00,  1.281392664479525e-01,  9.189328010231542e-06,  0.000000000000000e+00,  0.000000000000000e+00
3598        ,  9.411999999999998e-01,  1.048703512958273e+00,  9.543675067791021e-06,  5.889416341417225e-10,  1.117873219212837e+02
5120        ,  8.623000000000001e-01,  2.087249363315330e+00,  1.021066489664838e-05,  2.642902473077676e-07,  2.367052187280145e+02
