# c0 + a0 * ((ave:period * ave:covalent_radius_slater) / (ave:covalent_radius_cordero^3)) + a1 * ((mp_bandgap / min:atomic_radius_rahm) * (min:vdw_radius_mm3 + min:covalent_radius_slater))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.450650368402601; Max AE: 4.36773622020686
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.760010293026286e+03,  6.717036134242841e-01, -3.487648618461895e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm^-2;                                            15|14|mult|13|cb|div; ((ave:period * ave:covalent_radius_slater) / (ave:covalent_radius_cordero^3)); $\left(\frac{ \left(ave:period ave:covalent_{radius, slater}\right) }{ \left(ave:covalent_{radius, cordero}^3\right) } \right)$; ((ave:period .* ave:covalent_radius_slater) ./ (ave:covalent_radius_cordero).^3); ave:period,ave:covalent_radius_slater,ave:covalent_radius_cordero
# 1;  2; eV;                                               0|25|div|29|1|add|mult; ((mp_bandgap / min:atomic_radius_rahm) * (min:vdw_radius_mm3 + min:covalent_radius_slater)); $\left(\left(\frac{ mp_{bandgap} }{ min:atomic_{radius, rahm} } \right) \left(min:vdw_{radius, mm3} + min:covalent_{radius, slater}\right)\right)$; ((mp_bandgap ./ min:atomic_radius_rahm) .* (min:vdw_radius_mm3 + min:covalent_radius_slater)); mp_bandgap,min:atomic_radius_rahm,min:vdw_radius_mm3,min:covalent_radius_slater
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.822047505973469e+00,  3.898726608625161e-04,  6.676504907975460e+00
3033        ,  0.000000000000000e+00,  1.120971580550289e+00,  2.134607365529421e-04,  1.628759064327485e+00
3404        ,  2.820000000000000e-02,  1.541257349258418e-01,  2.857316225732554e-04,  0.000000000000000e+00
4870        ,  2.521100000000000e+00,  2.744737095370560e+00,  2.773529169105582e-04,  3.878731506849315e+00
5075        ,  0.000000000000000e+00,  3.623717325427256e-01,  4.040525201509684e-04,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.042170003217881e+00,  2.779742461309970e-04,  4.319907281553398e+00
5647        ,  3.195000000000000e+00,  2.945707901853092e+00,  3.850751277418738e-04,  3.895671428571429e+00
4329        ,  2.076200000000000e+00,  1.718683122274609e+00,  3.145520230029367e-04,  2.253721962616822e+00
4303        ,  0.000000000000000e+00,  1.987486018387262e-01,  3.110853759516840e-04,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.559339302011600e+00,  3.687077373244106e-04,  4.852102453987730e+00
4042        ,  1.349900000000000e+00,  1.501146725234470e+00,  2.502755298335367e-04,  2.098282710280374e+00
3447        ,  1.737800000000000e+00,  1.691374352905459e+00,  2.709213568239796e-04,  2.327387864077670e+00
3615        ,  3.120000000000012e-02,  6.115177946490627e-02,  2.247645746550057e-04,  2.133184357541920e-02
4735        ,  0.000000000000000e+00,  5.594221528468759e-02,  2.299458581205200e-04,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.158024756446862e-01,  2.303676725646050e-04,  2.368870129870129e-01
4141        ,  3.190800000000000e+00,  3.572795787062169e+00,  3.509962231720831e-04,  4.918543859649123e+00
4420        ,  0.000000000000000e+00,  4.570375770342407e-02,  2.241285866978291e-04,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.392960979266748e+00,  4.506397186367466e-04,  5.878478571428571e+00
4443        ,  2.707600000000000e+00,  2.741381260586213e+00,  2.506317204646583e-04,  3.943750877192983e+00
3836        ,  2.259999999999995e-02,  1.525608752236852e-01,  2.377881989301463e-04,  1.232925619834712e-01
5832        ,  3.573500000000000e+00,  3.440701797807538e+00,  3.486987428103639e-04,  4.727908588957055e+00
4712        ,  1.100500000000000e+00,  1.069377173697433e+00,  2.452688553229930e-04,  1.468603571428572e+00
4046        ,  0.000000000000000e+00,  7.712899488607382e-01,  3.420854471578988e-04,  7.711450292397664e-01
4558        ,  0.000000000000000e+00,  5.863539094865142e-02,  2.314760626168431e-04,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.138607694889528e+00,  1.930748776591452e-04,  3.197182122905028e+00
4636        ,  3.054200000000000e+00,  2.564600296102868e+00,  4.785257508089338e-04,  3.083435714285714e+00
5195        ,  2.369000000000003e-01,  2.192845027003814e-01,  2.367560130142088e-04,  2.253320388349518e-01
4525        ,  1.162800000000000e+00,  1.620761049055525e+00,  2.644144670809598e-04,  2.239311650485436e+00
3086        ,  1.589400000000000e+00,  1.360593679882122e+00,  2.331612746295771e-04,  1.933877192982456e+00
5751        ,  5.041900000000000e+00,  4.625815106333625e+00,  3.778286773645359e-04,  6.415921428571428e+00
5500        ,  1.070000000000002e-01,  3.247860690304932e-01,  3.220968801888567e-04,  1.587859649122808e-01
