# c0 + a0 * ((ave:period / min:covalent_radius_pyykko_double) / (max:en_pauling * ave:covalent_radius_cordero)) + a1 * ((mp_bandgap / min:atomic_radius_rahm) * (min:covalent_radius_pyykko_triple + min:vdw_radius))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.453012153341498; Max AE: 4.52812409513263
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.027519623439427e+03,  7.953266364537643e-01, -5.621253801273384e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Pauling^-1 * pm^-2;                               16|25|div|29|14|mult|div; ((ave:period / min:covalent_radius_pyykko_double) / (max:en_pauling * ave:covalent_radius_cordero)); $\left(\frac{ \left(\frac{ ave:period }{ min:covalent_{radius, pyykko, double} } \right) }{ \left(max:en_{pauling} ave:covalent_{radius, cordero}\right) } \right)$; ((ave:period ./ min:covalent_radius_pyykko_double) ./ (max:en_pauling .* ave:covalent_radius_cordero)); ave:period,min:covalent_radius_pyykko_double,max:en_pauling,ave:covalent_radius_cordero
# 1;  2; eV;                                               0|26|div|22|20|add|mult; ((mp_bandgap / min:atomic_radius_rahm) * (min:covalent_radius_pyykko_triple + min:vdw_radius)); $\left(\left(\frac{ mp_{bandgap} }{ min:atomic_{radius, rahm} } \right) \left(min:covalent_{radius, pyykko, triple} + min:vdw_{radius}\right)\right)$; ((mp_bandgap ./ min:atomic_radius_rahm) .* (min:covalent_radius_pyykko_triple + min:vdw_radius)); mp_bandgap,min:atomic_radius_rahm,min:covalent_radius_pyykko_triple,min:vdw_radius
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3033        ,  0.000000000000000e+00,  1.216853601698440e+00,  1.355817374319901e-04,  1.379733918128655e+00
5293        ,  2.833800000000000e+00,  2.554554737096249e+00,  1.163488790948988e-04,  3.183262987012987e+00
3707        ,  1.609999999999999e+00,  1.800384002619136e+00,  1.589231368248746e-04,  1.965884357541899e+00
4870        ,  2.521100000000000e+00,  2.690403858463272e+00,  1.098223123795615e-04,  3.395328767123287e+00
5075        ,  0.000000000000000e+00,  1.818549200870845e-01,  1.479815805682427e-04,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  2.966516792142326e+00,  1.052937888151194e-04,  3.771124271844660e+00
5647        ,  3.195000000000000e+00,  2.836250101203980e+00,  1.387744000088816e-04,  3.395692207792208e+00
4329        ,  2.076200000000000e+00,  1.653534328642126e+00,  1.294528369248546e-04,  1.967535046728972e+00
3574        ,  2.645500000000000e+00,  2.525347857823688e+00,  1.645148129137547e-04,  2.842067251461989e+00
3908        ,  1.994499999999999e+00,  1.746234540747050e+00,  1.499988000095999e-04,  1.954213450292398e+00
4303        ,  0.000000000000000e+00,  2.611820267931658e-01,  1.637601578086458e-04,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.645447492820264e+00,  1.422688543696171e-04,  4.391042944785276e+00
4042        ,  1.349900000000000e+00,  1.512664939521303e+00,  1.239541056129455e-04,  1.825172897196262e+00
3447        ,  1.737800000000000e+00,  1.577111655592143e+00,  1.040972684876749e-04,  2.031726213592233e+00
3615        ,  3.120000000000012e-02,  2.710633929358827e-01,  1.629919393077288e-04,  1.728044692737447e-02
4735        ,  0.000000000000000e+00,  1.195051881814621e-01,  1.355798921461958e-04,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.484827182817593e-01,  1.301657995360664e-04,  1.963935064935064e-01
4141        ,  3.190800000000000e+00,  3.556027661431713e+00,  1.599987200102399e-04,  4.166535087719298e+00
4420        ,  0.000000000000000e+00, -8.536784454354397e-02,  9.482957229267561e-05,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  2.596741377695017e-01,  1.634602307796922e-04,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.303249218262290e+00,  1.571558004076723e-04,  5.124021428571428e+00
4443        ,  2.707600000000000e+00,  2.797356223415786e+00,  1.397249095979835e-04,  3.340780701754386e+00
4617        ,  2.861800000000000e+00,  2.784619026347836e+00,  1.391447943149551e-04,  3.328432748538012e+00
4712        ,  1.100500000000000e+00,  1.073675248166531e+00,  1.247862169463842e-04,  1.267951339285714e+00
4913        ,  1.940700000000000e+00,  1.728817833776083e+00,  1.133624703949548e-04,  2.163904854368932e+00
4046        ,  0.000000000000000e+00,  7.734537552048062e-01,  1.623141996413844e-04,  6.532426900584798e-01
4558        ,  0.000000000000000e+00,  7.118408931311776e-02,  1.259685723528209e-04,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.095442853477711e+00,  1.188856210584844e-04,  2.589965363128492e+00
4636        ,  3.054200000000000e+00,  2.480420829764068e+00,  1.799985600115199e-04,  2.687700649350649e+00
5195        ,  2.369000000000003e-01,  9.366490510289825e-02,  9.932216442860721e-05,  1.967067961165052e-01
4525        ,  1.162800000000000e+00,  1.516907428645375e+00,  1.042855031171204e-04,  1.954838834951456e+00
