# c0 + a0 * ((ave:density / ave:melting_point) * (mp_bandgap^3)) + a1 * ((ave:density / max:first_ion_en) / (min:covalent_radius_pyykko_double * ave:melting_point)) + a2 * ((min:vdw_radius_alvarez * mp_bandgap) / (min:atomic_radius_rahm + min:vdw_radius_alvarez))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.443871036317917; Max AE: 3.75490773115406
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -7.561392759765942e-01,  1.930325460761205e+04,  2.236791959123253e+00, -5.516778537343820e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; K^-1 * cm^-3 * eV^3 * g;                          10|12|div|0|cb|mult; ((ave:density / ave:melting_point) * (mp_bandgap^3)); $\left(\left(\frac{ ave:density }{ ave:melting_{point} } \right) \left(mp_{bandgap}^3\right)\right)$; ((ave:density ./ ave:melting_point) .* (mp_bandgap).^3); ave:density,ave:melting_point,mp_bandgap
# 1;  2; K^-1 * cm^-3 * eV^-1 * g * pm^-1;                 10|24|div|25|12|mult|div; ((ave:density / max:first_ion_en) / (min:covalent_radius_pyykko_double * ave:melting_point)); $\left(\frac{ \left(\frac{ ave:density }{ max:first_{ion, en} } \right) }{ \left(min:covalent_{radius, pyykko, double} ave:melting_{point}\right) } \right)$; ((ave:density ./ max:first_ion_en) ./ (min:covalent_radius_pyykko_double .* ave:melting_point)); ave:density,max:first_ion_en,min:covalent_radius_pyykko_double,ave:melting_point
# 2;  2; eV;                                               18|0|mult|26|18|add|div; ((min:vdw_radius_alvarez * mp_bandgap) / (min:atomic_radius_rahm + min:vdw_radius_alvarez)); $\left(\frac{ \left(min:vdw_{radius, alvarez} mp_{bandgap}\right) }{ \left(min:atomic_{radius, rahm} + min:vdw_{radius, alvarez}\right) } \right)$; ((min:vdw_radius_alvarez .* mp_bandgap) ./ (min:atomic_radius_rahm + min:vdw_radius_alvarez)); min:vdw_radius_alvarez,mp_bandgap,min:atomic_radius_rahm,min:vdw_radius_alvarez
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3033        ,  0.000000000000000e+00,  1.237001920620459e+00,  5.734825921605048e-03,  4.846382517362443e-06,  5.378037383177570e-01
5293        ,  2.833800000000000e+00,  2.912445064905999e+00,  1.355170816943943e-01,  6.417817344613968e-06,  1.317153284671533e+00
3707        ,  1.609999999999999e+00,  1.840788787190389e+00,  2.160724125060970e-02,  5.191176449623082e-06,  8.101281159420289e-01
4870        ,  2.521100000000000e+00,  2.575179362119782e+00,  2.279749162783329e-01,  1.105501043685779e-05,  1.157608888888889e+00
5075        ,  0.000000000000000e+00,  1.227448544952777e-01,  0.000000000000000e+00,  9.216717257542556e-06,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  2.951739778641764e+00,  3.054583471480568e-01,  1.018023890939653e-05,  1.359699484536083e+00
5647        ,  3.195000000000000e+00,  3.087501767701759e+00,  4.531914344232040e-02,  1.768103196632817e-06,  1.405051094890511e+00
4329        ,  2.076200000000000e+00,  1.772543760341872e+00,  5.755261748489881e-02,  1.443899422616844e-05,  7.119614999999999e-01
3574        ,  2.645500000000000e+00,  2.648584735489742e+00,  2.033941871799437e-01,  1.966613236245317e-05,  1.107803738317757e+00
3908        ,  1.994499999999999e+00,  1.758758938754425e+00,  2.208575805009489e-02,  6.568705448357481e-06,  7.617289719626169e-01
4303        ,  0.000000000000000e+00,  1.495783628949099e-01,  0.000000000000000e+00,  1.060682006378388e-05,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.479191548265222e+00,  7.154501582169800e-01,  1.518565542695242e-05,  1.690906796116505e+00
4042        ,  1.349900000000000e+00,  1.527727032377268e+00,  1.457696732990028e-02,  5.105040972165112e-06,  6.685347394540943e-01
3447        ,  1.737800000000000e+00,  1.662711509596976e+00,  2.362211163159790e-02,  5.034329892872483e-06,  7.325500000000000e-01
3615        ,  3.120000000000012e-02,  5.623308980851572e-02,  1.398207217655172e-08,  4.945918994704652e-06,  7.121159420289925e-03
4735        ,  0.000000000000000e+00,  4.991417631961179e-02,  0.000000000000000e+00,  5.443743235485892e-06,  0.000000000000000e+00
