# c0 + a0 * ((min:vdw_radius * mp_bandgap) / (min:atomic_radius_rahm + min:vdw_radius))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.449832415423837; Max AE: 4.59166668800212
# Coefficients
# Task   a0                      c0
# all ,  2.094086746115997e+00,  1.357875457496105e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               20|0|mult|26|20|add|div; ((min:vdw_radius * mp_bandgap) / (min:atomic_radius_rahm + min:vdw_radius)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(min:atomic_{radius, rahm} + min:vdw_{radius}\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ (min:atomic_radius_rahm + min:vdw_radius)); min:vdw_radius,mp_bandgap,min:atomic_radius_rahm,min:vdw_radius
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3577        ,  5.216900000000000e+00,  5.025629386050106e+00,  2.335071290322580e+00
3033        ,  0.000000000000000e+00,  1.269944927446035e+00,  5.416000000000000e-01
3404        ,  2.820000000000000e-02,  1.357875457496105e-01,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.759939999476220e+00,  1.253125000000000e+00
3707        ,  1.609999999999999e+00,  1.772018526101417e+00,  7.813577844311377e-01
4870        ,  2.521100000000000e+00,  2.552856072155790e+00,  1.154235148514851e+00
5647        ,  3.195000000000000e+00,  2.935058003620170e+00,  1.336750000000000e+00
4329        ,  2.076200000000000e+00,  1.600574649952851e+00,  6.994873096446700e-01
3574        ,  2.645500000000000e+00,  2.471999992345937e+00,  1.115623529411765e+00
3908        ,  1.994499999999999e+00,  1.742173806852522e+00,  7.671058823529412e-01
4303        ,  0.000000000000000e+00,  1.357875457496105e-01,  0.000000000000000e+00
4042        ,  1.349900000000000e+00,  1.499548251805203e+00,  6.512436548223349e-01
3447        ,  1.737800000000000e+00,  1.637910045740783e+00,  7.173162729658793e-01
3615        ,  3.120000000000012e-02,  1.501702852573654e-01,  6.868263473053960e-03
4735        ,  0.000000000000000e+00,  1.357875457496105e-01,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.809716873075540e-01,  6.933052884615382e-02
4420        ,  0.000000000000000e+00,  1.357875457496105e-01,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.357875457496105e-01,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.359822273508842e+00,  2.017125000000000e+00
4443        ,  2.707600000000000e+00,  2.881948268291469e+00,  1.311388235294118e+00
4617        ,  2.861800000000000e+00,  2.871798106651472e+00,  1.306541176470588e+00
3836        ,  2.259999999999995e-02,  2.106053387756862e-01,  3.572812500000005e-02
5832        ,  3.573500000000000e+00,  3.598486301169033e+00,  1.653560322580645e+00
4913        ,  1.940700000000000e+00,  1.735634093892863e+00,  7.639829396325459e-01
4046        ,  0.000000000000000e+00,  6.727606600830727e-01,  2.564235294117648e-01
4558        ,  0.000000000000000e+00,  1.357875457496105e-01,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.291449219810533e+00,  1.029404191616766e+00
4525        ,  1.162800000000000e+00,  1.581064659463343e+00,  6.901706036745405e-01
3086        ,  1.589400000000000e+00,  1.482408505075498e+00,  6.430588235294118e-01
5751        ,  5.041900000000000e+00,  4.746006770938400e+00,  2.201541666666667e+00
5102        ,  3.760100000000000e+00,  3.938986832623054e+00,  1.816161290322581e+00
5500        ,  1.070000000000002e-01,  2.463553259445352e-01,  5.280000000000003e-02
3022        ,  0.000000000000000e+00,  1.357875457496105e-01,  0.000000000000000e+00
3170        ,  1.528999999999998e-01,  1.357875457496105e-01,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.459841640846765e+00,  6.322823529411764e-01
5493        ,  0.000000000000000e+00,  8.694726285093678e-01,  3.503604060913704e-01
5095        ,  9.836999999999998e-01,  6.655750036449413e-01,  2.529921259842520e-01
5258        ,  3.733000000000000e-01,  8.407719472174224e-01,  3.366548223350251e-01
3559        ,  4.266400000000000e+00,  5.106800466571302e+00,  2.373833333333333e+00
3426        ,  3.814500000000001e+00,  3.888982266341322e+00,  1.792282352941176e+00
4705        ,  2.014900000000000e+00,  1.934290956098841e+00,  8.588485714285715e-01
5717        ,  8.259000000000003e-01,  4.323080170524530e+00,  1.999579354838710e+00
5108        ,  2.033300000000000e+00,  1.964898012178040e+00,  8.734645161290323e-01
4721        ,  2.367300000000000e+00,  3.295660016115878e+00,  1.508950131233596e+00
4062        ,  5.457999999999998e-01,  3.213796989393354e-01,  8.862677419354839e-02
3907        ,  1.832000000000000e+00,  1.124600886907752e+00,  4.721931137724551e-01
3583        ,  1.527200000000000e+00,  1.587844493320300e+00,  6.934082125603866e-01
5228        ,  8.589000000000000e-01,  1.010036818556913e+00,  4.174847457627122e-01
3315        ,  3.259000000000000e+00,  3.839315455986382e+00,  1.768564705882353e+00
3201        ,  0.000000000000000e+00,  5.395104625896385e-01,  1.927918781725887e-01
5331        ,  1.814300000000000e+00,  1.239691533043323e+00,  5.271529411764704e-01
