# c0 + a0 * ((ave:period * ave:covalent_radius_slater) / (ave:covalent_radius_cordero^3)) + a1 * ((mp_bandgap / min:atomic_radius_rahm) * (min:vdw_radius_mm3 + min:covalent_radius_cordero))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.439252113000478; Max AE: 4.41351062253345
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.812207090960568e+03,  6.580040211986202e-01, -3.679315157746234e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm^-2;                                            16|13|mult|14|cb|div; ((ave:period * ave:covalent_radius_slater) / (ave:covalent_radius_cordero^3)); $\left(\frac{ \left(ave:period ave:covalent_{radius, slater}\right) }{ \left(ave:covalent_{radius, cordero}^3\right) } \right)$; ((ave:period .* ave:covalent_radius_slater) ./ (ave:covalent_radius_cordero).^3); ave:period,ave:covalent_radius_slater,ave:covalent_radius_cordero
# 1;  2; eV;                                               0|26|div|27|4|add|mult; ((mp_bandgap / min:atomic_radius_rahm) * (min:vdw_radius_mm3 + min:covalent_radius_cordero)); $\left(\left(\frac{ mp_{bandgap} }{ min:atomic_{radius, rahm} } \right) \left(min:vdw_{radius, mm3} + min:covalent_{radius, cordero}\right)\right)$; ((mp_bandgap ./ min:atomic_radius_rahm) .* (min:vdw_radius_mm3 + min:covalent_radius_cordero)); mp_bandgap,min:atomic_radius_rahm,min:vdw_radius_mm3,min:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.870915650224040e+00,  3.898726608625161e-04,  6.887977914110429e+00
3033        ,  0.000000000000000e+00,  1.117205377065700e+00,  2.134607365529421e-04,  1.669141520467836e+00
3404        ,  2.820000000000000e-02,  1.498733567642989e-01,  2.857316225732554e-04,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.587358385967040e+00,  2.622111369150569e-04,  3.769139610389611e+00
3707        ,  1.609999999999999e+00,  1.759876682873120e+00,  2.725063331173121e-04,  2.483222346368715e+00
4870        ,  2.521100000000000e+00,  2.724777114962844e+00,  2.773529169105582e-04,  3.936279452054794e+00
5647        ,  3.195000000000000e+00,  2.975518910987440e+00,  3.850751277418738e-04,  4.020666233766233e+00
4329        ,  2.076200000000000e+00,  1.708599022536385e+00,  3.145520230029367e-04,  2.289495327102804e+00
3574        ,  2.645500000000000e+00,  2.469273319218053e+00,  3.172098956060555e-04,  3.438208187134503e+00
3908        ,  1.994499999999999e+00,  1.777845347924577e+00,  3.256665988194586e-04,  2.364121637426901e+00
4303        ,  0.000000000000000e+00,  1.958196084191527e-01,  3.110853759516840e-04,  0.000000000000000e+00
4042        ,  1.349900000000000e+00,  1.488213566186254e+00,  2.502755298335367e-04,  2.131588785046729e+00
3447        ,  1.737800000000000e+00,  1.664441408013279e+00,  2.709213568239796e-04,  2.342550000000000e+00
3615        ,  3.120000000000012e-02,  5.375130787463624e-02,  2.247645746550057e-04,  2.182793296089407e-02
4735        ,  0.000000000000000e+00,  4.877799884839572e-02,  2.299458581205200e-04,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.071913470972311e-01,  2.303676725646050e-04,  2.395865800865800e-01
4420        ,  0.000000000000000e+00,  3.823589832615313e-02,  2.241285866978291e-04,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.674054801648315e-01,  2.954060816833561e-04,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.440892474792790e+00,  4.506397186367466e-04,  6.067092857142857e+00
4443        ,  2.707600000000000e+00,  2.745607941626635e+00,  2.506317204646583e-04,  4.041529824561404e+00
4617        ,  2.861800000000000e+00,  2.769998276795426e+00,  2.695145551605931e-04,  4.026591812865497e+00
