# c0 + a0 * ((ave:density / ave:melting_point) * (mp_bandgap^3)) + a1 * ((ave:density / ave:boiling_point) / (ave:covalent_radius_cordero^2)) + a2 * ((min:vdw_radius * mp_bandgap) / (min:vdw_radius_mm3 + min:vdw_radius))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.430516141611487; Max AE: 3.87514192210127
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -6.909230576613642e-01,  3.576791824019414e+05,  2.303985323333554e+00, -1.790816963647277e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; K^-1 * cm^-3 * eV^3 * g;                          10|12|div|0|cb|mult; ((ave:density / ave:melting_point) * (mp_bandgap^3)); $\left(\left(\frac{ ave:density }{ ave:melting_{point} } \right) \left(mp_{bandgap}^3\right)\right)$; ((ave:density ./ ave:melting_point) .* (mp_bandgap).^3); ave:density,ave:melting_point,mp_bandgap
# 1;  2; K^-1 * cm^-3 * g * pm^-2;                         10|9|div|14|sq|div; ((ave:density / ave:boiling_point) / (ave:covalent_radius_cordero^2)); $\left(\frac{ \left(\frac{ ave:density }{ ave:boiling_{point} } \right) }{ \left(ave:covalent_{radius, cordero}^2\right) } \right)$; ((ave:density ./ ave:boiling_point) ./ (ave:covalent_radius_cordero).^2); ave:density,ave:boiling_point,ave:covalent_radius_cordero
# 2;  2; eV;                                               20|0|mult|27|20|add|div; ((min:vdw_radius * mp_bandgap) / (min:vdw_radius_mm3 + min:vdw_radius)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(min:vdw_{radius, mm3} + min:vdw_{radius}\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ (min:vdw_radius_mm3 + min:vdw_radius)); min:vdw_radius,mp_bandgap,min:vdw_radius_mm3,min:vdw_radius
# Number of Samples Per Task
# Task, n_samples               
# all , 1016                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3577        ,  5.216900000000000e+00,  4.753113851718260e+00,  1.083307445373186e+00,  7.685079321320426e-07,  2.276327358490566e+00
3033        ,  0.000000000000000e+00,  1.239020250212630e+00,  5.734825921605048e-03,  1.513892079598791e-07,  5.237628742514970e-01
3404        ,  2.820000000000000e-02,  8.401486310560401e-02,  0.000000000000000e+00,  2.849565693413516e-07,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.771224888230136e+00,  1.355170816943943e-01,  2.250632301266074e-07,  1.216268382352941e+00
3707        ,  1.609999999999999e+00,  1.782707789682380e+00,  2.160724125060970e-02,  2.452794556850660e-07,  7.499238505747127e-01
4870        ,  2.521100000000000e+00,  2.611508885035672e+00,  2.279749162783329e-01,  4.115178272389407e-07,  1.145727272727273e+00
5647        ,  3.195000000000000e+00,  3.017194785283119e+00,  4.531914344232040e-02,  2.156863258045591e-07,  1.297433823529412e+00
4329        ,  2.076200000000000e+00,  1.801799973804654e+00,  5.755261748489881e-02,  7.043856967742970e-07,  6.977164556962024e-01
3574        ,  2.645500000000000e+00,  2.452433774367578e+00,  2.033941871799437e-01,  3.498796886244216e-07,  1.078881437125748e+00
3908        ,  1.994499999999999e+00,  1.850454362661346e+00,  2.208575805009489e-02,  4.876694347299333e-07,  7.418419161676647e-01
4303        ,  0.000000000000000e+00,  1.334846002119954e-01,  0.000000000000000e+00,  4.232641352840624e-07,  0.000000000000000e+00
4042        ,  1.349900000000000e+00,  1.538408582468755e+00,  1.457696732990028e-02,  1.949543559872838e-07,  6.495949367088607e-01
3447        ,  1.737800000000000e+00,  1.717464783075643e+00,  2.362211163159790e-02,  2.889020604636952e-07,  7.154384816753927e-01
3615        ,  3.120000000000012e-02,  5.629942744938654e-02,  1.398207217655172e-08,  1.650077620648793e-07,  6.591954022988571e-03
4735        ,  0.000000000000000e+00,  3.942203215162746e-02,  0.000000000000000e+00,  1.602838650074846e-07,  0.000000000000000e+00
