# FEAT_ID     Score                   Feature Expression
0             0.902403031368417596    ((max:mendeleev_number * mp_bandgap) + (max:first_ion_en - mp_bandgap))
1             0.902409104452676858    ((|ave:first_ion_en - max:en_allen|) + (max:mendeleev_number * mp_bandgap))
2             0.90241765497465054     ((|ave:first_ion_en - max:first_ion_en|) + (max:mendeleev_number * mp_bandgap))
3             0.902441752603952985    ((min:atomic_radius_rahm * mp_bandgap) / cbrt(min:vdw_radius_mm3))
4             0.902443453475955337    ((sum:first_ion_en / max:mendeleev_number) - (max:mendeleev_number * mp_bandgap))
5             0.902449355804396447    ((max:mendeleev_number * mp_bandgap) + max:first_ion_en)
6             0.902458268694648957    ((mp_bandgap / min:covalent_radius_pyykko) * (min:vdw_radius^3))
7             0.902462015356908287    ((min:vdw_radius_mm3 + min:atomic_radius_rahm) * (max:mendeleev_number * mp_bandgap))
8             0.902465805757095674    (cbrt(ave:covalent_radius_cordero) * (mp_bandgap / max:mendeleev_number))
9             0.902487998703551564    ((min:vdw_radius * mp_bandgap) / cbrt(ave:covalent_radius_slater))
10            0.902494552647802761    ((max:mendeleev_number * mp_bandgap) + (max:first_ion_en + mp_bandgap))
11            0.902495999681584116    (|(mp_bandgap / ave:period) - (max:mendeleev_number * mp_bandgap)|)
12            0.902498719382276771    ((min:covalent_radius_pyykko * mp_bandgap) / (min:vdw_radius * min:vdw_radius_alvarez))
13            0.902509552668818604    ((ave:covalent_radius_cordero * mp_bandgap) / (max:mendeleev_number * ave:covalent_radius_slater))
14            0.902530433816646771    ((min:vdw_radius_alvarez * mp_bandgap) / cbrt(min:vdw_radius))
15            0.902530699822052362    ((min:atomic_radius_rahm - min:covalent_radius_slater) * (min:vdw_radius * mp_bandgap))
16            0.902532066466282923    ((min:vdw_radius * mp_bandgap) / (min:atomic_radius_rahm + min:covalent_radius_cordero))
17            0.902532854288859876    ((ave:covalent_radius_cordero + min:covalent_radius_cordero) * (mp_bandgap / ave:covalent_radius_slater))
18            0.902566080380321933    ((min:atomic_radius_rahm * mp_bandgap) * (min:vdw_radius_alvarez - min:covalent_radius_cordero))
19            0.902573829417538276    ((ave:covalent_radius_pyykko / ave:covalent_radius_slater) * (min:vdw_radius_mm3 * mp_bandgap))
20            0.902620240059388457    ((ave:covalent_radius_cordero + min:covalent_radius_cordero) * (mp_bandgap / ave:covalent_radius_pyykko))
21            0.902637565667538389    ((min:vdw_radius * mp_bandgap) * (max:mendeleev_number^6))
22            0.902641274509900282    ((ave:first_ion_en * min:period) + (max:mendeleev_number * mp_bandgap))
23            0.902642763827998462    ((min:atomic_radius_rahm * mp_bandgap) * (max:mendeleev_number / min:vdw_radius_mm3))
24            0.902644298076055285    ((max:first_ion_en / ave:period) - (max:mendeleev_number * mp_bandgap))
25            0.902644867855322164    ((ave:covalent_radius_pyykko / ave:covalent_radius_cordero) * (|mp_bandgap|))
26            0.902646303101642178    (cbrt(max:en_allen) * (mp_bandgap / max:mendeleev_number))
27            0.902655108837373321    ((ave:first_ion_en / ave:period) - (max:mendeleev_number * mp_bandgap))
28            0.90268368399383625     ((mp_bandgap / min:vdw_radius_mm3) * (min:covalent_radius_pyykko_triple + min:vdw_radius_alvarez))
29            0.902684538608941378    (cbrt(min:covalent_radius_slater) * (mp_bandgap / min:vdw_radius))
30            0.902702139657171054    ((mp_bandgap / min:atomic_radius_rahm) * (min:atomic_radius_rahm + min:covalent_radius_pyykko_double))
31            0.902717028309160674    ((min:vdw_radius * mp_bandgap) / (min:covalent_radius_pyykko_triple + min:vdw_radius))
32            0.902744023124358308    ((min:atomic_radius_rahm * mp_bandgap) / cbrt(min:vdw_radius_alvarez))
