# FEAT_ID     Feature Postfix Expression (RPN)
0             21|0|mult|24|0|sub|add
1             28|15|abd|21|0|mult|add
2             28|24|abd|21|0|mult|add
3             26|0|mult|27|cbrt|div
4             19|21|div|21|0|mult|sub
5             21|0|mult|24|add
6             0|8|div|20|cb|mult
7             27|26|add|21|0|mult|mult
8             14|cbrt|0|21|div|mult
9             20|0|mult|13|cbrt|div
10            21|0|mult|24|0|add|add
11            0|16|div|21|0|mult|abd
12            8|0|mult|20|18|mult|div
13            14|0|mult|21|13|mult|div
14            18|0|mult|20|cbrt|div
15            26|1|sub|20|0|mult|mult
16            20|0|mult|26|4|add|div
17            14|4|add|0|13|div|mult
18            26|0|mult|18|4|sub|mult
19            17|13|div|27|0|mult|mult
20            14|4|add|0|17|div|mult
21            20|0|mult|21|sp|mult
22            28|11|mult|21|0|mult|add
23            26|0|mult|21|27|div|mult
24            24|16|div|21|0|mult|sub
25            17|14|div|0|abs|mult
26            15|cbrt|0|21|div|mult
27            28|16|div|21|0|mult|sub
28            0|27|div|22|18|add|mult
29            1|cbrt|0|20|div|mult
30            0|26|div|26|25|add|mult
31            20|0|mult|22|20|add|div
32            26|0|mult|18|cbrt|div
33            8|0|mult|5|cbrt|div
34            27|0|mult|27|4|sub|mult
35            20|0|mult|13|sqrt|div
36            4|11|div|0|abs|mult
37            24|0|mult|28|15|add|div
38            4|11|div|21|0|mult|mult
39            20|0|mult|27|25|add|div
40            26|0|mult|27|22|add|div
41            15|16|div|21|0|mult|sub
42            27|0|mult|21|sqrt|mult
43            21|0|mult|24|cbrt|div
44            27|0|mult|22|sqrt|div
45            15|0|mult|28|15|add|div
46            20|0|mult|27|1|add|div
47            13|8|add|0|17|div|mult
48            25|0|mult|22|div
49            0|11|div|21|0|mult|abd
50            0|29|sqrt|div
51            15|sqrt|0|29|div|mult
52            0|21|div|26|cbrt|div
53            24|11|mult|21|0|mult|add
54            15|11|mult|21|0|mult|add
55            0|21|div|28|sqrt|div
56            0|28|div|24|sqrt|mult
57            0|11|div|8|4|add|mult
58            29|0|mult|21|15|mult|div
59            0|18|div|18|14|add|mult
60            0|18|div|18|13|add|mult
61            0|26|div|20|13|add|mult
62            27|0|mult|13|cbrt|div
63            0|18|div|20|1|add|mult
64            17|cbrt|0|21|div|mult
65            17|4|add|0|17|div|mult
66            0|21|div|15|cbrt|div
67            27|0|mult|21|11|add|mult
68            0|19|div|19|0|sub|mult
69            0|18|div|22|20|add|mult
70            20|0|mult|25|18|add|div
71            0|21|div|27|cbrt|div
72            0|19|div|24|19|add|mult
73            21|0|mult|21|log|div
74            15|0|sub|0|15|div|mult
75            14|13|add|0|13|div|mult
76            26|0|mult|18|sqrt|div
77            26|0|mult|24|sqrt|mult
78            1|0|mult|27|11|mult|div
79            0|27|div|18|13|add|mult
80            14|0|mult|14|13|add|div
81            18|0|mult|14|cbrt|div
82            18|0|mult|14|sqrt|div
83            20|0|mult|20|17|add|div
84            0|15|div|29|21|mult|mult
85            14|0|mult|17|13|add|div
86            0|27|div|20|14|add|mult
87            28|11|div|21|0|mult|sub
88            0|18|div|18|17|add|mult
89            26|21|mult|21|0|mult|mult
90            24|11|div|21|0|mult|sub
91            13|4|add|0|13|div|mult
92            14|4|add|0|14|div|mult
93            4|1|div|20|0|mult|mult
94            0|21|div|27|4|sub|div
95            0|18|div|25|20|add|mult
96            0|21|div|18|sqrt|mult
97            18|0|mult|27|sqrt|div
98            0|25|div|22|21|mult|mult
99            4|sqrt|0|26|div|mult
100           0|21|div|20|sqrt|mult
101           0|27|div|20|17|add|mult
102           18|0|mult|17|cbrt|div
103           0|18|div|8|cbrt|mult
104           0|11|div|8|1|add|mult
105           0|21|div|24|cbrt|div
106           0|20|div|18|8|add|mult
107           18|0|mult|13|cbrt|div
108           19|0|mult|19|0|add|div
109           27|0|mult|21|16|add|mult
110           13|8|add|0|13|div|mult
111           26|0|mult|27|25|add|div
112           0|20|div|18|4|add|mult
113           29|0|mult|24|15|add|div
114           15|11|div|21|0|mult|sub
115           18|0|mult|25|sqrt|div
116           27|0|mult|27|1|sub|mult
117           21|0|mult|29|cbrt|div
118           0|abs|21|16|add|mult
119           0|15|div|28|15|add|mult
120           0|27|div|25|18|add|mult
121           18|0|mult|25|18|add|div
122           16|15|mult|21|0|mult|add
123           21|11|add|0|mult
124           20|0|mult|14|sqrt|div
125           0|26|div|8|sqrt|mult
126           21|0|mult|15|cbrt|div
127           24|16|mult|21|0|mult|add
128           0|21|div|26|sqrt|mult
129           0|21|div|27|8|sub|div
130           28|16|mult|21|0|mult|add
131           14|8|add|0|14|div|mult
132           4|0|mult|18|1|div|mult
133           18|0|mult|4|cbrt|div
134           4|0|mult|27|1|div|mult
135           0|26|div|27|22|add|mult
136           15|cbrt|26|0|mult|mult
137           13|cbrt|0|mult
138           0|27|div|26|4|add|mult
139           0|26|div|27|25|add|mult
140           29|0|mult|15|div
141           18|0|mult|21|cb|mult
142           16|log|0|16|div|mult
143           27|0|mult|20|cbrt|div
144           20|0|mult|25|20|add|div
145           0|21|div|28|cbrt|mult
146           18|0|mult|26|13|add|div
147           27|0|mult|14|cbrt|div
148           18|0|mult|22|cbrt|div
149           18|0|mult|25|cbrt|div
150           0|abs|21|sqrt|mult
151           0|abs|24|cbrt|div
152           0|27|div|26|13|add|mult
153           26|0|mult|18|1|sub|mult
154           0|8|div|1|mult
155           0|26|div|20|14|add|mult
156           0|27|div|20|sqrt|mult
157           17|8|add|0|17|div|mult
158           27|0|mult|18|8|sub|mult
159           0|19|div|28|19|add|mult
160           18|0|mult|17|sqrt|div
161           18|0|mult|26|22|add|div
162           0|abs|27|1|sub|div
163           0|27|div|26|8|add|mult
164           0|21|div|21|16|sub|mult
165           0|21|div|21|11|sub|mult
166           24|0|mult|24|15|add|div
167           0|18|div|26|1|add|mult
168           21|0|mult|28|sqrt|div
169           13|0|mult|21|14|div|mult
170           25|0|mult|27|22|div|mult
171           21|0|mult|21|11|add|div
172           20|0|mult|18|14|add|div
173           27|0|mult|17|cbrt|div
174           20|0|mult|26|8|add|div
175           21|0|mult|21|16|add|div
176           0|1|div|20|cb|mult
177           0|15|cbrt|div
178           0|26|div|20|17|add|mult
179           0|21|div|20|8|sub|mult
180           18|0|mult|27|4|sub|mult
181           20|0|mult|27|4|add|div
182           0|20|div|20|1|add|mult
183           17|0|mult|17|14|add|div
184           0|22|div|25|22|add|mult
185           17|14|add|0|14|div|mult
186           1|0|mult|27|8|mult|div
187           15|21|div|0|abs|sub
188           0|27|div|18|14|add|mult
189           11|sqrt|0|20|div|mult
190           25|0|mult|25|22|add|div
191           14|8|add|0|17|div|mult
192           0|4|div|20|cb|mult
193           0|abs|21|cbrt|mult
194           17|0|mult|21|14|mult|div
195           0|21|div|29|cbrt|mult
196           20|0|mult|26|13|add|div
197           27|0|mult|18|4|sub|mult
198           21|0|mult|27|mult
199           0|abs|28|sqrt|div
200           0|18|div|26|8|add|mult
201           0|18|div|20|13|add|mult
202           0|21|div|29|cbrt|div
203           0|27|div|26|14|add|mult
204           16|cbrt|0|mult
205           0|27|div|22|20|add|mult
206           18|0|mult|27|13|add|div
207           21|0|mult|28|cbrt|div
208           0|27|div|18|17|add|mult
209           0|21|div|21|sq|div
210           0|26|div|27|sq|mult
211           20|0|mult|17|sqrt|div
212           18|0|mult|11|cbrt|div
213           26|0|mult|27|sqrt|div
214           0|26|div|27|mult
215           27|0|mult|25|sqrt|div
216           13|0|mult|21|17|div|mult
217           26|0|mult|21|cb|mult
218           0|27|div|26|17|add|mult
219           0|18|div|26|4|add|mult
220           27|0|mult|28|cbrt|mult
221           2|0|mult|5|2|add|div
222           0|18|div|20|14|add|mult
223           18|0|mult|21|sp|mult
224           0|26|div|18|13|add|mult
225           0|abs|21|log|mult
226           27|0|mult|29|cbrt|mult
227           26|0|mult|27|div
228           24|21|div|0|sub
229           26|0|mult|20|8|sub|mult
230           15|sqrt|26|0|mult|mult
231           0|8|div|21|4|mult|mult
232           21|0|mult|27|8|sub|div
233           0|17|div|14|mult
234           0|29|cbrt|div
235           26|0|mult|22|sqrt|div
236           27|0|mult|28|sqrt|mult
237           0|28|div|28|24|add|mult
238           0|21|div|24|cbrt|mult
239           13|cbrt|21|0|mult|mult
240           14|cbrt|0|mult
241           29|0|mult|28|15|add|div
242           0|18|div|20|17|add|mult
243           15|29|div|26|0|mult|mult
244           27|0|mult|29|sqrt|mult
245           1|sqrt|0|18|div|mult
246           28|21|div|0|sub
247           27|4|sub|20|0|mult|mult
248           0|18|div|20|4|add|mult
249           27|0|mult|18|1|sub|mult
250           18|0|mult|26|sqrt|div
251           0|18|div|18|1|add|mult
