# c0 + a0 * ((min:vdw_radius * mp_bandgap) / cbrt(min:period))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.457794229665094; Max AE: 4.34847098277614
# Coefficients
# Task   a0                      c0
# all ,  8.077228420240973e-03,  1.313684601760539e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * pm;                                          20|0|mult|11|cbrt|div; ((min:vdw_radius * mp_bandgap) / cbrt(min:period)); $\left(\frac{ \left(min:vdw_{radius} mp_{bandgap}\right) }{ \left(\sqrt[3]{ min:period }\right) } \right)$; ((min:vdw_radius .* mp_bandgap) ./ nthroot(min:period, 3)); min:vdw_radius,mp_bandgap,min:period
# Number of Samples Per Task
# Task, n_samples               
# all , 1270                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3577        ,  5.216900000000000e+00,  4.772040428651677e+00,  5.745376665152148e+02
3033        ,  0.000000000000000e+00,  1.252870869254711e+00,  1.388474301739753e+02
3404        ,  2.820000000000000e-02,  1.313684601760539e-01,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.803517552302274e+00,  3.308250000000000e+02
3707        ,  1.609999999999999e+00,  1.804443587626018e+00,  2.071348042179114e+02
4870        ,  2.521100000000000e+00,  2.504115068351064e+00,  2.937575223487640e+02
5075        ,  0.000000000000000e+00,  1.313684601760539e-01,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  2.972316336439493e+00,  3.517231070430324e+02
5647        ,  3.195000000000000e+00,  2.981838524135934e+00,  3.529020000000000e+02
4329        ,  2.076200000000000e+00,  1.674837804172528e+00,  1.910889804884862e+02
3574        ,  2.645500000000000e+00,  2.441513356520456e+00,  2.860071272164768e+02
3908        ,  1.994499999999999e+00,  1.719830600274341e+00,  1.966593065658155e+02
4303        ,  0.000000000000000e+00,  1.313684601760539e-01,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.503943805622861e+00,  4.175411626338768e+02
4042        ,  1.349900000000000e+00,  1.568384690250493e+00,  1.779095693856293e+02
3447        ,  1.737800000000000e+00,  1.661953997955270e+00,  1.894939028768426e+02
3615        ,  3.120000000000012e-02,  1.460750657983499e-01,  1.820749006607543e+00
4735        ,  0.000000000000000e+00,  1.313684601760539e-01,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.781236756860451e-01,  1.816900648027148e+01
4141        ,  3.190800000000000e+00,  3.518093303996431e+00,  4.192929390647763e+02
4420        ,  0.000000000000000e+00,  1.313684601760539e-01,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.313684601760539e-01,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.432662215751197e+00,  5.325210000000000e+02
4443        ,  2.707600000000000e+00,  2.846887413499100e+00,  3.361943988755034e+02
4617        ,  2.861800000000000e+00,  2.836850507761407e+00,  3.349517813320227e+02
3836        ,  2.259999999999995e-02,  2.069752158098541e-01,  9.360482544276568e+00
5832        ,  3.573500000000000e+00,  3.417619748942244e+00,  4.068538263113957e+02
4712        ,  1.100500000000000e+00,  1.055903674798001e+00,  1.144619375013744e+02
4913        ,  1.940700000000000e+00,  1.761529774761550e+00,  2.018218663347969e+02
4046        ,  0.000000000000000e+00,  6.623500074060134e-01,  6.573808732452788e+01
4558        ,  0.000000000000000e+00,  1.313684601760539e-01,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.335570662296093e+00,  2.728909085443791e+02
4636        ,  3.054200000000000e+00,  2.387524134203023e+00,  2.793230000000000e+02
5195        ,  2.369000000000003e-01,  2.795560335334323e-01,  1.834633931931782e+01
4525        ,  1.162800000000000e+00,  1.604031474242167e+00,  1.823228138968711e+02
3086        ,  1.589400000000000e+00,  1.462963769938835e+00,  1.648579488511054e+02
5751        ,  5.041900000000000e+00,  4.825910158619049e+00,  5.812070000000000e+02
5102        ,  3.760100000000000e+00,  3.740769520075256e+00,  4.468613331343080e+02
5500        ,  1.070000000000002e-01,  2.407025207361594e-01,  1.353608625034324e+01
3022        ,  0.000000000000000e+00,  1.313684601760539e-01,  0.000000000000000e+00
3170        ,  1.528999999999998e-01,  1.313684601760539e-01,  0.000000000000000e+00
