# c0 + a0 * ((ave:period * ave:covalent_radius_slater) / (ave:covalent_radius_cordero^3)) + a1 * ((mp_bandgap / min:atomic_radius_rahm) * (min:vdw_radius_mm3 + min:covalent_radius_cordero))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 0.448408324190864; Max AE: 4.41110568900347
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.687482567831040e+03,  6.587930817204383e-01, -3.295578806587909e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; pm^-2;                                            16|13|mult|14|cb|div; ((ave:period * ave:covalent_radius_slater) / (ave:covalent_radius_cordero^3)); $\left(\frac{ \left(ave:period ave:covalent_{radius, slater}\right) }{ \left(ave:covalent_{radius, cordero}^3\right) } \right)$; ((ave:period .* ave:covalent_radius_slater) ./ (ave:covalent_radius_cordero).^3); ave:period,ave:covalent_radius_slater,ave:covalent_radius_cordero
# 1;  2; eV;                                               0|26|div|27|4|add|mult; ((mp_bandgap / min:atomic_radius_rahm) * (min:vdw_radius_mm3 + min:covalent_radius_cordero)); $\left(\left(\frac{ mp_{bandgap} }{ min:atomic_{radius, rahm} } \right) \left(min:vdw_{radius, mm3} + min:covalent_{radius, cordero}\right)\right)$; ((mp_bandgap ./ min:atomic_radius_rahm) .* (min:vdw_radius_mm3 + min:covalent_radius_cordero)); mp_bandgap,min:atomic_radius_rahm,min:vdw_radius_mm3,min:covalent_radius_cordero
# Number of Samples Per Task
# Task, n_samples               
# all , 1270                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3577        ,  5.216900000000000e+00,  4.866097635079734e+00,  3.898726608625161e-04,  6.887977914110429e+00
3033        ,  0.000000000000000e+00,  1.130272277287217e+00,  2.134607365529421e-04,  1.669141520467836e+00
3404        ,  2.820000000000000e-02,  1.526092515116557e-01,  2.857316225732554e-04,  0.000000000000000e+00
5293        ,  2.833800000000000e+00,  2.596001941339670e+00,  2.622111369150569e-04,  3.769139610389611e+00
3707        ,  1.609999999999999e+00,  1.766221508261535e+00,  2.725063331173121e-04,  2.483222346368715e+00
4870        ,  2.521100000000000e+00,  2.731664002496883e+00,  2.773529169105582e-04,  3.936279452054794e+00
5075        ,  0.000000000000000e+00,  3.522737035841684e-01,  4.040525201509684e-04,  0.000000000000000e+00
5016        ,  3.666500000000000e+00,  3.003984072967793e+00,  2.779742461309970e-04,  4.348050000000000e+00
5647        ,  3.195000000000000e+00,  2.969036783423097e+00,  3.850751277418738e-04,  4.020666233766233e+00
4329        ,  2.076200000000000e+00,  1.709546856961252e+00,  3.145520230029367e-04,  2.289495327102804e+00
3574        ,  2.645500000000000e+00,  2.470796055718713e+00,  3.172098956060555e-04,  3.438208187134503e+00
3908        ,  1.994499999999999e+00,  1.777465806856307e+00,  3.256665988194586e-04,  2.364121637426901e+00
4303        ,  0.000000000000000e+00,  1.953932683668414e-01,  3.110853759516840e-04,  0.000000000000000e+00
4983        ,  0.000000000000000e+00,  3.590409132161122e+00,  3.687077373244106e-04,  5.005788957055215e+00
4042        ,  1.349900000000000e+00,  1.497053657751639e+00,  2.502755298335367e-04,  2.131588785046729e+00
3447        ,  1.737800000000000e+00,  1.670872919819020e+00,  2.709213568239796e-04,  2.342550000000000e+00
3615        ,  3.120000000000012e-02,  6.410851216038424e-02,  2.247645746550057e-04,  2.182793296089407e-02
4735        ,  0.000000000000000e+00,  5.847174646453623e-02,  2.299458581205200e-04,  0.000000000000000e+00
4750        ,  9.359000000000002e-01,  2.170215324198876e-01,  2.303676725646050e-04,  2.395865800865800e-01
4141        ,  3.190800000000000e+00,  3.583382876843820e+00,  3.509962231720831e-04,  5.040491228070175e+00
4420        ,  0.000000000000000e+00,  4.865520234640378e-02,  2.241285866978291e-04,  0.000000000000000e+00
4136        ,  0.000000000000000e+00,  1.689347326131449e-01,  2.954060816833561e-04,  0.000000000000000e+00
3925        ,  4.481500000000000e+00,  4.427847589354205e+00,  4.506397186367466e-04,  6.067092857142857e+00
4443        ,  2.707600000000000e+00,  2.755910666558691e+00,  2.506317204646583e-04,  4.041529824561404e+00
4617        ,  2.861800000000000e+00,  2.777934062179395e+00,  2.695145551605931e-04,  4.026591812865497e+00
3836        ,  2.259999999999995e-02,  1.525068035733287e-01,  2.377881989301463e-04,  1.226504132231407e-01
5832        ,  3.573500000000000e+00,  3.472234721411387e+00,  3.486987428103639e-04,  4.877661349693251e+00
4712        ,  1.100500000000000e+00,  1.065897495135946e+00,  2.452688553229930e-04,  1.489949553571429e+00
4913        ,  1.940700000000000e+00,  1.780446767414454e+00,  2.763577282070807e-04,  2.494950000000000e+00
4046        ,  0.000000000000000e+00,  7.683260198066733e-01,  3.420854471578988e-04,  7.902643274853804e-01
4558        ,  0.000000000000000e+00,  6.105393987729819e-02,  2.314760626168431e-04,  0.000000000000000e+00
4191        ,  1.821500000000000e+00,  2.151517363097691e+00,  1.930748776591452e-04,  3.271535195530726e+00
4636        ,  3.054200000000000e+00,  2.574468979334044e+00,  4.785257508089338e-04,  3.182369480519481e+00
5195        ,  2.369000000000003e-01,  2.193780350660610e-01,  2.367560130142088e-04,  2.268000000000003e-01
4525        ,  1.162800000000000e+00,  1.601490650112359e+00,  2.644144670809598e-04,  2.253900000000000e+00
3086        ,  1.589400000000000e+00,  1.369510016008160e+00,  2.331612746295771e-04,  1.981824561403509e+00
5751        ,  5.041900000000000e+00,  4.670404193137742e+00,  3.778286773645359e-04,  6.621779870129870e+00
5102        ,  3.760100000000000e+00,  3.675392882276548e+00,  2.818388711879836e-04,  5.357300613496933e+00
5500        ,  1.070000000000002e-01,  3.211756493139558e-01,  3.220968801888567e-04,  1.627228070175440e-01
3022        ,  0.000000000000000e+00,  4.930556916475164e-02,  2.245139932381668e-04,  0.000000000000000e+00
3170        ,  1.528999999999998e-01,  1.955001696840631e-01,  3.111487255348202e-04,  0.000000000000000e+00
4533        ,  1.544200000000000e+00,  1.364851365853387e+00,  2.433664084003647e-04,  1.948612865497076e+00
5493        ,  0.000000000000000e+00,  8.209437479984485e-01,  2.340882774563113e-04,  1.146766355140187e+00
5095        ,  9.836999999999998e-01,  6.805823147535978e-01,  2.760593562123276e-04,  8.262000000000003e-01
5258        ,  3.733000000000000e-01,  8.330839620257012e-01,  2.587958207098857e-04,  1.101906542056074e+00
3559        ,  4.266400000000000e+00,  5.044852349845142e+00,  3.974140835320388e-04,  7.139997402597404e+00
3426        ,  3.814500000000001e+00,  3.785227065917610e+00,  2.820095903285061e-04,  5.523583625730994e+00
4705        ,  2.014900000000000e+00,  2.027613945120707e+00,  2.723437500000001e-04,  2.880413513513514e+00
5717        ,  8.259000000000003e-01,  4.100803722677178e+00,  3.227127007060870e-04,  5.898346012269939e+00
5108        ,  2.033300000000000e+00,  1.868613251768750e+00,  2.967523908283769e-04,  2.576539877300613e+00
5105        ,  1.147400000000000e+00,  1.494039705832736e+00,  2.693683467673122e-04,  2.078108035714286e+00
4721        ,  2.367300000000000e+00,  3.390221398528614e+00,  2.805236273900441e-04,  4.927799999999999e+00
4062        ,  5.457999999999998e-01,  5.345843087035409e-01,  4.100270323462964e-04,  2.614306748466257e-01
3907        ,  1.832000000000000e+00,  1.042305693142469e+00,  2.271029695553225e-04,  1.500670391061453e+00
3583        ,  1.527200000000000e+00,  1.619466722061297e+00,  2.359739137534278e-04,  2.354036160714286e+00
5228        ,  8.589000000000000e-01,  1.061444513022761e+00,  2.577179074408152e-04,  1.451302304147466e+00
3315        ,  3.259000000000000e+00,  3.843436858878210e+00,  3.450408191719940e-04,  5.450488888888889e+00
3746        ,  0.000000000000000e+00,  1.340176074998507e-01,  2.747142382362418e-04,  0.000000000000000e+00
3201        ,  0.000000000000000e+00,  5.094914012833446e-01,  2.508662220354614e-04,  6.310280373831771e-01
5331        ,  1.814300000000000e+00,  1.343493467207255e+00,  3.571974970410544e-04,  1.624617543859649e+00
3126        ,  0.000000000000000e+00,  1.232415794997481e-01,  2.683283778987610e-04,  0.000000000000000e+00
5676        ,  4.641999999999999e-01,  1.815617391044444e-01,  3.028888294948071e-04,  0.000000000000000e+00
3598        ,  9.411999999999998e-01,  9.896897237683940e-01,  2.571490226599247e-04,  1.343840935672514e+00
5120        ,  8.623000000000001e-01,  2.037576319536084e+00,  2.955718785871899e-04,  2.836037383177570e+00
4244        ,  6.532000000000000e-01,  1.511010114866502e-01,  2.848378414736710e-04,  0.000000000000000e+00
4710        ,  0.000000000000000e+00,  1.171578427537819e-01,  2.647231633253235e-04,  0.000000000000000e+00
3178        ,  0.000000000000000e+00, -4.855184671974759e-02,  1.665238144061107e-04,  0.000000000000000e+00
5371        ,  4.331500000000000e+00,  3.575012714660787e+00,  2.518213850498884e-04,  5.281819883040936e+00
4218        ,  2.750400000000000e+00,  2.776141556691121e+00,  2.547504225786946e-04,  4.061688888888889e+00
5277        ,  4.523999999999999e-01,  9.862026267736549e-01,  3.418235027111658e-04,  1.121656140350878e+00
3755        ,  1.748400000000000e+00,  1.623177946011390e+00,  2.619366267032866e-04,  2.293166666666667e+00
3400        ,  6.249000000000002e-01,  4.645868009523249e-01,  3.610106829967390e-04,  2.807337423312883e-01
5825        ,  2.044100000000000e+00,  2.075654027685275e+00,  2.374005138573946e-04,  3.042841121495327e+00
3969        ,  2.773000000000000e+00,  1.944428503317730e+00,  3.299408320499786e-04,  2.606610526315789e+00
3495        ,  1.237600000000000e+00,  4.987272528797734e-01,  2.980232238769531e-04,  4.938973214285713e-01
3278        ,  1.245800000000000e+00,  9.148149338467770e-01,  2.519637872885173e-04,  1.243468303571428e+00
4278        ,  7.349000000000001e-01,  8.721690128217627e-02,  2.469801999060987e-04,  0.000000000000000e+00
3966        ,  1.750200000000000e+00,  9.810103667547242e-01,  2.777533215104750e-04,  1.277888888888890e+00
4647        ,  3.913400000000000e+00,  3.391254894581560e+00,  3.454879276646990e-04,  4.762964285714285e+00
4958        ,  3.220400000000000e+00,  3.260794089159442e+00,  3.352940600483916e-04,  4.591045614035089e+00
4890        ,  2.595300000000000e+00,  2.511044584423804e+00,  2.622111369150569e-04,  3.640180519480520e+00
3933        ,  3.733600000000000e+00,  3.586195398911513e+00,  2.024071918781782e-04,  5.425367647058824e+00
3444        ,  2.131800000000000e+00,  2.203637399994244e+00,  2.698081706733207e-04,  3.154099145299145e+00
4837        ,  2.507100000000000e+00,  2.384060475890958e+00,  2.954800375963172e-04,  3.362210389610389e+00
4994        ,  3.688700000000000e+00,  4.237007993534239e+00,  3.028737791134486e-04,  6.155911111111112e+00
4339        ,  0.000000000000000e+00,  6.509154624073249e-02,  2.338687429564237e-04,  0.000000000000000e+00
4325        ,  2.300000000000000e-01,  4.641105689003470e+00,  3.687077373244106e-04,  6.600669938650307e+00
5893        ,  4.026400000000000e+00,  3.716562754808977e+00,  2.166590595575954e-04,  5.586749999999999e+00
5161        ,  4.347900000000000e+00,  4.298694128823137e+00,  3.525547507596811e-04,  6.122289570552149e+00
3743        ,  0.000000000000000e+00,  3.313046832114456e-03,  1.972588836391667e-04,  0.000000000000000e+00
4950        ,  1.466200000000001e+00,  1.131239519542172e+00,  3.548463845817821e-04,  1.308453801169591e+00
4189        ,  1.018400000000000e+00,  1.234693248141004e+00,  3.718199366157317e-04,  1.422011695906433e+00
4450        ,  5.732999999999999e-01,  3.710083195559638e-01,  2.819954148963572e-04,  3.410841121495327e-01
4947        ,  8.538999999999999e-01,  9.591966399854365e-01,  2.559452126347558e-04,  1.300638181818182e+00
4749        ,  2.372800000000001e+00,  2.341396231520005e+00,  3.357736565471574e-04,  3.194238036809816e+00
