ID,max:mendeleev_number,ave:melting_point,var:covalent_radius_pyykko_double,ave:evaporation_heat,var:num_d_unfilled,ave:num_s_unfilled,ave:c6_gb,ave:heat_capacity_molar,ave:atomic_radius,min:boiling_point,sum:electron_affinity,ave:Polarizability,ave:molar_volume,var:c6_gb,sum:melting_point,min:vdw_radius_uff,sum:gs_mag_moment,ave:gs_est_bcc_latcnt,ave:icsd_volume,var:covalent_radius_cordero,aflow_proto
1,88.0,969.3,174.22222222222223,159.73333333333332,0.0,0.0,3861.333333333333,27.12333333333333,201.0,1908.0,1.33524,28.666666666666668,31.50333333333333,5635843.555555555,2907.9,370.3,0.0,4.679793537666667,51.99,1283.5555555555554,hP3_164_a_d
2,94.0,481.3,576.0,86.45,0.0,0.0,324.5,24.509999999999998,149.0,717.824,14.724624180000001,5.25,16.375,34040.25,5775.6,403.5,0.0,3.7489216465,27.145000000000003,400.0,aP12_2_3i_3i
5,97.0,1118.8,49.99999999999999,201.7258277613046,2.0,0.3333333333333333,529.0,44.30666666666666,145.1597276331531,457.5,7.1680736,6.766666666666666,19.869999999999997,39200.0,3356.4,296.3,0.0,3.943258958666666,33.016666666666666,10.88888888888889,hP3_164_a_d
6,92.0,1296.8,14.222222222222221,228.2,5.555555555555555,0.0,627.0,24.83365714081799,152.0,1263.0,4.491752,7.466666666666667,16.516666666666666,48672.0,3890.4,299.8,0.0,3.7603354029999996,27.366666666666667,18.0,hP3_164_a_d
7,93.0,1141.6666666666665,37.55555555555556,234.8,5.555555555555555,0.0,468.3333333333333,24.588990474151323,138.66666666666666,958.1,4.59134,6.313333333333333,13.823333333333334,110763.55555555553,3425.0,299.8,0.0,3.504804716333333,24.61333333333333,162.0,hP3_164_a_d
10,101.0,383.8666666666667,2222.222222222222,58.386060794903514,0.0,0.0,1087.8,28.51533333333333,169.1342802076055,90.19,2.970227,9.734666666666666,22.886666666666663,2294510.419999999,1151.6,350.0,0.0,3.3435807686666665,30.266666666666666,3697.9999999999995,tP3_123_a_h
11,99.0,791.5600000000001,153.76000000000002,167.928,7.84,0.0,255.08,32.2312,147.68305391453,238.6,14.7729,4.364000000000001,16.082,99830.7216,3957.8,317.0,0.0,3.5891947158,26.770000000000003,739.84,tP5_123_a_fg
12,99.0,238.78,196.0,75.528,0.0,0.0,220.68,32.557199999999995,150.28305391453,238.6,15.562967,3.0000000000000004,17.17,61088.06560000001,1193.9,394.7,0.0,3.7379131044,28.650000000000002,219.04000000000002,tP5_123_a_fg
14,102.0,999.02,854.2222222222222,201.02666666666664,5.555555555555555,0.3333333333333333,350.1333333333333,28.88933333333333,135.682409445632,85.01,7.5503794000000015,4.638,10.593333333333334,231109.34222222219,2997.06,305.2,0.0,2.843181255333333,16.143333333333334,2090.8888888888887,mC6_12_a_i
15,94.0,1151.6666666666665,98.0,208.33333333333331,2.0,0.0,267.3333333333333,23.5,130.0,717.824,5.718008060000001,4.466666666666667,13.193333333333332,32427.555555555555,3455.0,284.0,0.0,3.4987552459999995,21.799999999999997,288.0,hP3_164_a_d
16,98.0,1011.5999999999999,80.22222222222221,211.37333333333333,14.222222222222223,0.0,471.33333333333326,59.03666666666666,160.70353875871996,331.9,13.482352800000003,7.433333333333333,17.666666666666668,161690.88888888888,6069.6,314.1,0.0,3.775082331,50.9,672.2222222222222,mP6_11_2e_e
17,93.0,913.79,49.0,199.85,0.0,0.5,330.0,25.390500000000003,143.0,958.1,8.6586,4.785,13.315000000000001,9409.0,3655.16,329.3,0.0,3.4745605295,23.384999999999998,64.0,oP4_59_a_b
18,99.0,949.1333333333332,241.99999999999997,205.2733333333333,14.222222222222223,0.0,411.4,31.209333333333333,153.902544928775,238.6,14.478900000000001,6.853333333333333,16.073333333333334,197568.97999999998,5694.8,314.1,0.0,3.6197921949999996,26.84,1184.2222222222222,mP6_11_2e_e
19,94.0,542.4285714285714,73.67346938775509,88.67142857142858,0.0,0.0,248.57142857142856,23.12857142857143,131.57142857142858,717.824,11.251180150000001,4.014285714285714,13.95,29469.38775510204,3797.0,403.5,0.0,3.5748426344285713,23.145714285714288,52.244897959183675,aP7_1_2a_5a
20,97.0,1107.275,1.6875,220.9625,9.1875,0.0,513.5,47.162499999999994,150.30469358729724,457.5,18.9982208,7.2875,22.002499999999998,46500.75,8858.2,317.0,0.0,4.1382007739999995,36.295,180.1875,hP8_162_c_k
21,101.0,387.3933333333333,997.5555555555555,103.85969706411842,0.0,0.6666666666666666,945.5666666666667,26.365999999999996,152.06714010380276,90.19,8.0916345,16.487333333333332,14.466666666666665,431396.6422222222,3486.5400000000004,245.1,0.0,3.0193451543333336,20.206666666666663,854.2222222222222,mC18_2a2b_8_ab
22,88.0,740.25,20.25,178.8,0.0,0.0,506.5,25.775,165.0,1730.0,2.846,7.1,17.705,6.25,2961.0,434.7,0.0,3.8785703645,29.37,9.0,tP4_129_a_c
23,98.0,375.29999999999995,272.22222222222223,39.406666666666666,0.0,0.0,259.66666666666663,59.133333333333326,156.37020542538664,331.9,9.277608955319902,4.486666666666666,17.52,10560.888888888889,1125.9,284.8,0.0,3.7250514863333333,50.62333333333333,128.0,tP3_115_a_g
24,98.0,644.72,1.4400000000000002,115.648,7.84,0.0,340.6,65.53,152.844246510464,331.9,13.979352800000003,4.92,17.488000000000003,94371.84,3223.6,314.4,0.0,3.7063442528,54.888000000000005,174.24,tP5_123_a_fg
25,88.0,911.3,75.0,217.42499999999998,0.0,0.0,508.0,24.9725,155.0,1908.0,7.14166,6.6499999999999995,16.142500000000002,48.0,7290.4,442.0,0.0,3.7877459515,26.81,60.75,hP8_164_d_i
26,101.0,556.9142857142857,768.0,169.0196105110094,0.0,0.0,304.29999999999995,26.419142857142855,144.37203727631783,90.19,12.229321,4.229428571428571,13.154285714285713,62035.32,7796.8,350.0,0.0,2.9596618132857144,16.93142857142857,740.8163265306122,mP14_11_3e_4e
27,94.0,1459.1428571428569,178.53061224489795,258.85714285714283,6.122448979591836,0.42857142857142855,521.4285714285713,23.28285714285714,132.14285714285714,717.824,10.55241612,7.142857142857142,12.894285714285715,193983.67346938775,10214.0,305.2,0.0,3.478804449142857,21.40142857142857,588.0,mC14_12_2i_ai
28,98.0,325.95,56.25,20.03,0.0,0.0,163.5,49.195,142.27765406903998,331.9,21.762768920000003,2.9749999999999996,17.655,552.25,2607.6,403.5,0.0,3.8072004995,45.45,56.25,aP8_2_2i_2i
32,101.0,1062.08,105.84,211.14745471541318,0.0,0.0,49.7,22.0616,126.92085218684498,90.19,4.9427865,1.6932,12.171999999999999,1633.5,5310.4,350.0,0.0,2.5504480438,13.515999999999998,77.75999999999999,hP5_189_d_g
33,88.0,753.6574999999999,48.0,213.97499999999997,0.0,0.0,492.0,25.43,154.5,1908.0,7.136,6.979999999999999,16.5925,432.0,6029.259999999999,438.3,0.0,3.82457383525,27.557499999999997,54.1875,hP8_164_d_i
35,97.0,645.96,77.44,110.16000000000001,0.0,0.0,372.80000000000007,47.542,146.99167315978374,457.5,13.6256683,5.386,22.988,1049.76,3229.8,429.5,0.0,4.220584495000001,38.012,125.44000000000001,tP5_123_a_fg
41,89.0,1031.3333333333333,490.88888888888886,105.46666666666665,0.0,0.0,3779.9999999999995,26.926666666666662,194.33333333333331,876.0,1.09324,27.903333333333336,29.756666666666664,6195200.0,3094.0,370.3,0.0,4.532494339333333,49.093333333333334,2048.0,hP3_164_a_d
42,102.0,552.6866666666667,213.55555555555554,107.36,0.0,0.0,78.13333333333333,26.350333333333328,126.68240944563199,85.01,4.402379400000001,2.238,9.083333333333332,9229.875555555554,1658.06,274.5,0.0,2.6278729796666664,13.65,338.0,hP3_164_a_d
44,97.0,902.1333333333332,32.0,168.83333333333334,14.222222222222223,0.0,659.3333333333333,44.63999999999999,149.49306096648644,457.5,6.1970735999999995,8.433333333333334,20.69333333333333,146160.22222222222,2706.4,317.5,2.25e-05,4.016278479666667,34.23,98.0,hP3_187_a_h
