# FEAT_ID     Score                   Feature Expression
0             0.761466889867894237    ((perimeter_area_ratio * sum:thermal_conductivity) * (exfoliation_energy_per_atom / ave:thermal_conductivity))
1             0.660120432623410358    ((exfoliation_energy_per_atom / min:vdw_radius_uff) / sqrt(ave:icsd_volume))
2             0.655826243688079069    ((ave:vdw_radius_uff * exfoliation_energy_per_atom) / (min:vdw_radius_uff * ave:icsd_volume))
3             0.654112391190046938    (cbrt(perimeter_area_ratio) * (exfoliation_energy_per_atom / ave:icsd_volume))
4             0.653567845545646731    ((exfoliation_energy_per_atom / ave:icsd_volume) / ln(ave:hhi_r))
5             0.652376477508201824    ((exfoliation_energy_per_atom / min:vdw_radius_uff) / cbrt(ave:icsd_volume))
6             0.652118100609242801    (sqrt(perimeter_area_ratio) * (exfoliation_energy_per_atom / ave:icsd_volume))
7             0.65081989969627474     ((max:mendeleev_number * exfoliation_energy_per_atom) / (ave:mendeleev_number * ave:icsd_volume))
8             0.650454186280048474    (sqrt(perimeter_area_ratio) * (exfoliation_energy_per_atom / min:vdw_radius_uff))
9             0.649241055246058796    ((perimeter_area_ratio / min:vdw_radius_uff) * (max:mendeleev_number * exfoliation_energy_per_atom))
10            0.648591499727323106    ((exfoliation_energy_per_atom / ave:icsd_volume) / cbrt(ave:hhi_r))
11            0.646884696891333544    (cbrt(ave:atomic_volume) * (exfoliation_energy_per_atom / ave:icsd_volume))
12            0.645609235541746762    ((exfoliation_energy_per_atom / ave:icsd_volume) / sqrt(min:vdw_radius_uff))
13            0.645521755856326762    ((perimeter_area_ratio * max:mendeleev_number) * (exfoliation_energy_per_atom / ave:icsd_volume))
14            0.6449245157033896      ((exfoliation_energy_per_atom / min:vdw_radius_uff) / cbrt(ave:hhi_r))
15            0.644886924182003662    (cbrt(perimeter_area_ratio) * (exfoliation_energy_per_atom / min:vdw_radius_uff))
16            0.644416361597961784    ((exfoliation_energy_per_atom / ave:icsd_volume) / cbrt(min:vdw_radius_uff))
17            0.644134542517258324    ((exfoliation_energy_per_atom / ave:vdw_radius_uff) / sqrt(ave:icsd_volume))
18            0.643672620944973906    (cbrt(ave:bulk_modulus) * (exfoliation_energy_per_atom / min:vdw_radius_uff))
19            0.642820004654783506    (sqrt(ave:atomic_volume) * (exfoliation_energy_per_atom / ave:icsd_volume))
20            0.642778668871494041    ((exfoliation_energy_per_atom / ave:icsd_volume) / cbrt(ave:mendeleev_number))
21            0.642765192575361799    ((max:mendeleev_number * exfoliation_energy_per_atom) / (min:vdw_radius_uff * ave:icsd_volume))
22            0.642736250744722959    ((exfoliation_energy_per_atom / ave:icsd_volume) / ln(ave:mendeleev_number))
23            0.642130586984592133    (cbrt(ave:heat_capacity_molar) * (exfoliation_energy_per_atom / ave:icsd_volume))
24            0.64199784185548836     ((max:mendeleev_number - max:num_p_valence) * (exfoliation_energy_per_atom / ave:icsd_volume))
25            0.641911713752976509    (sqrt(ave:heat_capacity_molar) * (exfoliation_energy_per_atom / ave:icsd_volume))
26            0.641908937584384054    (cbrt(min:heat_of_formation) * (exfoliation_energy_per_atom / min:vdw_radius_uff))
27            0.641884635454665897    ((max:mendeleev_number - ave:num_p_valence) * (exfoliation_energy_per_atom / ave:icsd_volume))
28            0.641870427201414739    ((max:mendeleev_number - var:num_p_valence) * (exfoliation_energy_per_atom / ave:icsd_volume))
29            0.641270583781977654    (cbrt(max:heat_capacity_molar) * (exfoliation_energy_per_atom / ave:icsd_volume))
30            0.64125647026327659     ((exfoliation_energy_per_atom / min:vdw_radius_uff) / sqrt(ave:atomic_volume))
31            0.641148484438335164    (sqrt(max:mendeleev_number) * (exfoliation_energy_per_atom / ave:icsd_volume))
32            0.640760511994178605    (exfoliation_energy_per_atom / (min:vdw_radius_uff * ave:icsd_volume))
33            0.640396550822245336    (cbrt(max:mendeleev_number) * (exfoliation_energy_per_atom / ave:icsd_volume))
34            0.640003511361125654    ((exfoliation_energy_per_atom / ave:icsd_volume) * max:mendeleev_number)
35            0.639816920901978059    ((max:mendeleev_number * exfoliation_energy_per_atom) / (ave:atomic_volume + ave:icsd_volume))
36            0.639630614883173187    ((ave:atomic_volume * exfoliation_energy_per_atom) / (min:vdw_radius_uff * ave:icsd_volume))
37            0.639590962814924779    ((exfoliation_energy_per_atom / ave:icsd_volume) / sqrt(ave:mendeleev_number))
38            0.639106523920366154    (sqrt(max:heat_capacity_molar) * (exfoliation_energy_per_atom / ave:icsd_volume))
39            0.638979968161510148    (ln(max:mendeleev_number) * (exfoliation_energy_per_atom / ave:icsd_volume))
40            0.638385088209059481    ((perimeter_area_ratio / min:vdw_radius_uff) * (ave:mendeleev_number * exfoliation_energy_per_atom))
41            0.638107058524252535    (cbrt(ave:bulk_modulus) * (exfoliation_energy_per_atom / ave:vdw_radius_uff))
42            0.638004001964579182    ((exfoliation_energy_per_atom / ave:vdw_radius_uff) / cbrt(ave:icsd_volume))
43            0.637874867135458379    ((max:mendeleev_number + ave:num_p_valence) * (exfoliation_energy_per_atom / ave:icsd_volume))
44            0.637835765165587043    ((exfoliation_energy_per_atom / min:vdw_radius_uff) / cbrt(ave:atomic_volume))
45            0.637612072369142191    ((exfoliation_energy_per_atom / min:vdw_radius_uff) / ln(ave:hhi_r))
