# c0 + a0 * ((perimeter_area_ratio * sum:thermal_conductivity) * (exfoliation_energy_per_atom / ave:thermal_conductivity))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.276156411229114; Max AE: 4.97804921389795
# Coefficients
# Task   a0                      c0
# all ,  7.352975478850790e-01, -7.613809869308667e-04, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * atom^-1 * eV;                             29|22|mult|0|8|div|mult; ((perimeter_area_ratio * sum:thermal_conductivity) * (exfoliation_energy_per_atom / ave:thermal_conductivity)); $\left(\left(perimeter_{area, ratio} sum:thermal_{conductivity}\right) \left(\frac{ exfoliation_{energy, per, atom} }{ ave:thermal_{conductivity} } \right)\right)$; ((perimeter_area_ratio .* sum:thermal_conductivity) .* (exfoliation_energy_per_atom ./ ave:thermal_conductivity)); perimeter_area_ratio,sum:thermal_conductivity,exfoliation_energy_per_atom,ave:thermal_conductivity
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  1.856103141551197e-01,  2.534643229507668e-01
3114        ,  1.831950432135623e+00,  1.016079519640596e+00,  1.382897173467047e+00
3034        ,  4.935948125875536e-01,  3.818579237308467e-01,  5.203598268732128e-01
915         ,  7.155608468327842e-01,  9.484202388223479e-01,  1.290880980821152e+00
143         ,  2.878408453797652e-01,  2.305306021773003e-01,  3.145556296624291e-01
1747        ,  4.723624565072543e-01,  3.133366696616662e-01,  4.271713560748717e-01
3624        ,  3.119165808174699e-01,  3.632670575842195e-01,  4.950763668642685e-01
1613        ,  4.892777101910798e-01,  3.686036782977562e-01,  5.023341371762821e-01
785         ,  1.323171435250627e+00,  8.384679502337405e-01,  1.141346565937190e+00
1473        ,  4.422223937745569e-01,  7.467295801056346e-01,  1.016582964600600e+00
3936        ,  3.696216735678464e-01,  6.317641367274476e-01,  8.602306910089643e-01
3196        ,  4.682934522240256e-01,  3.544106512967697e-01,  4.830317105031486e-01
1713        ,  5.274016633298737e-01,  4.596657833456422e-01,  6.261780222943626e-01
5825        ,  3.327553083664687e-01,  3.773729630283219e-01,  5.142603087727855e-01
199         ,  1.504427135099300e+00,  1.034370460439382e+00,  1.407772736905816e+00
1800        ,  4.375320177361192e-01,  5.959028060296477e-01,  8.114595087835549e-01
4488        ,  3.500270645846581e-01,  4.972099843807809e-01,  6.772378975015169e-01
1941        ,  4.982888367482280e-01,  3.541391139311790e-01,  4.826624214087247e-01
5607        ,  5.615877319607279e-01,  7.362246079264851e-01,  1.002296269086159e+00
3304        ,  4.207482123452428e-01,  2.387725330618901e-01,  3.257646033742224e-01
5772        ,  9.791729170663426e-01,  1.484832851576015e+00,  2.020398730875588e+00
4208        ,  6.603942215445863e-01,  8.517448882822646e-01,  1.159403117447136e+00
5588        ,  8.803208873918648e-01,  7.905538767432702e-01,  1.076183729982841e+00
5685        ,  1.451928416459744e+00,  1.514533384500406e+00,  2.060791267216582e+00
461         ,  2.895131874006477e-01,  2.095793958305101e-01,  2.860621219565328e-01
180         ,  3.677083798565582e-01,  2.638767161556211e-01,  3.599061331072367e-01
3567        ,  6.455865771715684e-01,  6.682013854047304e-01,  9.097851180325366e-01
986         ,  1.667063758544649e-01,  2.284663998290581e-01,  3.117483275652314e-01
350         ,  3.022496124401135e-01,  3.603542972798732e-01,  4.911150313304778e-01
3563        ,  2.963852956512342e-01,  1.889874472468509e-01,  2.580572025291699e-01
795         ,  2.766538255638341e-01,  4.610467740359436e-01,  6.280561608714236e-01
3276        ,  3.528731625859118e-01,  2.412376918875202e-01,  3.291172037367838e-01
4238        ,  2.446030623760792e-01,  2.789466171981838e-01,  3.804011029135524e-01
5282        ,  5.293873330373472e-01,  5.553891462389164e-01,  7.563611885086404e-01
599         ,  1.941897543062212e-01,  1.742350490356883e-01,  2.379940345591492e-01
3382        ,  4.754043303942602e-01,  4.171846583880726e-01,  5.684039618752068e-01
2828        ,  4.609014146704439e-01,  6.112444040527797e-01,  8.323239847596529e-01
4760        ,  2.326804630331917e-01,  2.370877240111499e-01,  3.234732737545518e-01
4099        ,  2.771646182279487e-01,  3.267226717076356e-01,  4.453762339293829e-01
4506        ,  2.830919218734357e-01,  2.821096114864905e-01,  3.847027550779101e-01
2032        ,  3.425223935124700e-01,  2.973381601577828e-01,  4.054134846527521e-01
5625        ,  9.047570655746466e-01,  1.090772136416917e+00,  1.484478658392651e+00
3021        ,  9.436790737277430e-01,  7.372615585672690e-01,  1.003706515378652e+00
6349        ,  6.066079572580644e-01,  4.046015685432746e-01,  5.512910395201813e-01
3265        ,  4.841085563396736e-01,  4.391859945319639e-01,  5.983256394425716e-01
73          ,  3.010695272812237e-01,  2.066174399197277e-01,  2.820338807101125e-01
909         ,  2.859807336003438e-01,  3.240677436972461e-01,  4.417655486795464e-01
3508        ,  7.316706566321051e-01,  8.228847402092081e-01,  1.120153499172104e+00
5286        ,  2.235408342514859e-01,  1.922476357432467e-01,  2.624910381998762e-01
359         ,  4.663407226120941e-01,  5.301242265269165e-01,  7.220010579945800e-01
3172        ,  4.790530319841335e-01,  2.661304313496549e-01,  3.629711714723395e-01
5918        ,  2.241858049594979e+00,  2.218117999699130e+00,  3.017661879967065e+00
4401        ,  3.273613861116079e-01,  2.114113446129121e-01,  2.885535606777297e-01
3615        ,  3.036705797988253e-01,  2.082719704840840e-01,  2.842840317804039e-01
4407        ,  5.372482734277881e-01,  7.023040834405423e-01,  9.561645709953551e-01
5701        ,  9.203994095360772e-01,  1.585933140269516e+00,  2.157894482064062e+00
538         ,  3.775823948370269e-01,  3.304806633926058e-01,  4.504870787782188e-01
423         ,  3.114023315769188e-01,  6.095632797735980e-01,  8.300376664059238e-01
577         ,  3.135900205824857e-01,  2.758182096207119e-01,  3.761464884564934e-01
3422        ,  2.802083413851849e-01,  3.443868009833809e-01,  4.693993376736456e-01
1518        ,  2.969751162456789e-01,  3.258839293488564e-01,  4.442355496428764e-01
5181        ,  5.261236775456994e-01,  5.269540055660923e-01,  7.176895776014485e-01
1015        ,  3.391061495356983e-01,  1.765166023311945e-01,  2.410969325656346e-01
1156        ,  8.470934050524324e-01,  6.156925801267616e-01,  8.383734759986433e-01
4984        ,  4.348768073655889e-01,  3.109129179816454e-01,  4.238750691676296e-01
4680        ,  3.364035952142165e-01,  3.772881728508903e-01,  5.141449946694332e-01
5095        ,  5.893419787698063e-01,  4.033530987476506e-01,  5.495931285190976e-01
827         ,  4.003907365198857e-01,  4.499508746813664e-01,  6.129658081475609e-01
695         ,  3.284722007121098e+00,  1.848048482300797e+00,  2.514369684225687e+00
5396        ,  8.394699154938887e-02,  9.815523379304353e-02,  1.345259685204802e-01
3038        ,  2.698343232194364e-01,  1.970705723630703e-01,  2.690502014035286e-01
4451        ,  3.854058871881627e-01,  3.876047128856436e-01,  5.281754236630107e-01
