# c0 + a0 * ((perimeter_area_ratio^2) * (exfoliation_energy_per_atom / min:vdw_radius_uff)) + a1 * ((perimeter_area_ratio * sum:thermal_conductivity) * (exfoliation_energy_per_atom / ave:thermal_conductivity))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.161878748840182; Max AE: 2.38414592852028
# Coefficients
# Task   a0                      a1                      c0
# all ,  6.061055647403685e+02,  5.783837552141821e-01, -5.619407317949340e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-2 * atom^-1 * eV * pm^-1;                     29|sq|0|21|div|mult; ((perimeter_area_ratio^2) * (exfoliation_energy_per_atom / min:vdw_radius_uff)); $\left(\left(perimeter_{area, ratio}^2\right) \left(\frac{ exfoliation_{energy, per, atom} }{ min:vdw_{radius, uff} } \right)\right)$; ((perimeter_area_ratio).^2 .* (exfoliation_energy_per_atom ./ min:vdw_radius_uff)); perimeter_area_ratio,exfoliation_energy_per_atom,min:vdw_radius_uff
# 1;  2; AA^-1 * atom^-1 * eV;                             29|22|mult|0|8|div|mult; ((perimeter_area_ratio * sum:thermal_conductivity) * (exfoliation_energy_per_atom / ave:thermal_conductivity)); $\left(\left(perimeter_{area, ratio} sum:thermal_{conductivity}\right) \left(\frac{ exfoliation_{energy, per, atom} }{ ave:thermal_{conductivity} } \right)\right)$; ((perimeter_area_ratio .* sum:thermal_conductivity) .* (exfoliation_energy_per_atom ./ ave:thermal_conductivity)); perimeter_area_ratio,sum:thermal_conductivity,exfoliation_energy_per_atom,ave:thermal_conductivity
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  1.860242524832588e-01,  1.577591170650722e-04,  2.534643229507668e-01
3114        ,  1.831950432135623e+00,  2.156412386403230e+00,  2.330883069722260e-03,  1.382897173467047e+00
3034        ,  4.935948125875536e-01,  4.298814702908898e-01,  3.054053344983651e-04,  5.203598268732128e-01
915         ,  7.155608468327842e-01,  7.926377302757667e-01,  1.686293942493947e-04,  1.290880980821152e+00
143         ,  2.878408453797652e-01,  2.384316538076825e-01,  1.859277776595423e-04,  3.145556296624291e-01
1747        ,  4.723624565072543e-01,  4.397541085084938e-01,  4.106202337014978e-04,  4.271713560748717e-01
3624        ,  3.119165808174699e-01,  2.986656275379355e-01,  1.130423089945207e-04,  4.950763668642685e-01
1613        ,  4.892777101910798e-01,  4.211938449594645e-01,  3.082730540292947e-04,  5.023341371762821e-01
785         ,  1.323171435250627e+00,  1.483371979113729e+00,  1.450951435930757e-03,  1.141346565937190e+00
1473        ,  4.422223937745569e-01,  5.905711221547351e-01,  9.699650721232148e-05,  1.016582964600600e+00
3936        ,  3.696216735678464e-01,  4.769588621314123e-01,  5.875128024918214e-05,  8.602306910089643e-01
3196        ,  4.682934522240256e-01,  5.570262717463519e-01,  5.507995137126145e-04,  4.830317105031486e-01
1713        ,  5.274016633298737e-01,  4.250413651563028e-01,  1.964414275252452e-04,  6.261780222943626e-01
5825        ,  3.327553083664687e-01,  3.151241114823250e-01,  1.218902785488473e-04,  5.142603087727855e-01
199         ,  1.504427135099300e+00,  1.872269235917687e+00,  1.838343832917521e-03,  1.407772736905816e+00
1800        ,  4.375320177361192e-01,  4.870398949681039e-01,  1.219242563541958e-04,  8.114595087835549e-01
4488        ,  3.500270645846581e-01,  3.647437736015015e-01,  4.823326191244112e-05,  6.772378975015169e-01
1941        ,  4.982888367482280e-01,  4.625310896449872e-01,  3.952464272984374e-04,  4.826624214087247e-01
5607        ,  5.615877319607279e-01,  6.176509825360185e-01,  1.553082189644932e-04,  1.002296269086159e+00
3304        ,  4.207482123452428e-01,  2.204665641236542e-01,  1.455912762086359e-04,  3.257646033742224e-01
5772        ,  9.791729170663426e-01,  1.165774885892198e+00,  8.810866816703326e-05,  2.020398730875588e+00
4208        ,  6.603942215445863e-01,  7.849439518557025e-01,  2.813999838990955e-04,  1.159403117447136e+00
