# c0 + a0 * ((sum:thermal_conductivity * exfoliation_energy_per_atom) / (perimeter_area_ratio * ave:thermal_conductivity)) + a1 * ((perimeter_area_ratio^3) * (exfoliation_energy_per_atom / min:vdw_radius_uff)) + a2 * ((perimeter_area_ratio * sum:thermal_conductivity) * (exfoliation_energy_per_atom / ave:thermal_conductivity))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.114430624579366; Max AE: 1.51476733289042
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -8.949475268112521e-02,  2.925557213825617e+02,  8.483100045304219e-01, -3.298605857863386e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * atom^-1 * eV;                                22|0|mult|29|8|mult|div; ((sum:thermal_conductivity * exfoliation_energy_per_atom) / (perimeter_area_ratio * ave:thermal_conductivity)); $\left(\frac{ \left(sum:thermal_{conductivity} exfoliation_{energy, per, atom}\right) }{ \left(perimeter_{area, ratio} ave:thermal_{conductivity}\right) } \right)$; ((sum:thermal_conductivity .* exfoliation_energy_per_atom) ./ (perimeter_area_ratio .* ave:thermal_conductivity)); sum:thermal_conductivity,exfoliation_energy_per_atom,perimeter_area_ratio,ave:thermal_conductivity
# 1;  2; AA^-3 * atom^-1 * eV * pm^-1;                     29|cb|0|21|div|mult; ((perimeter_area_ratio^3) * (exfoliation_energy_per_atom / min:vdw_radius_uff)); $\left(\left(perimeter_{area, ratio}^3\right) \left(\frac{ exfoliation_{energy, per, atom} }{ min:vdw_{radius, uff} } \right)\right)$; ((perimeter_area_ratio).^3 .* (exfoliation_energy_per_atom ./ min:vdw_radius_uff)); perimeter_area_ratio,exfoliation_energy_per_atom,min:vdw_radius_uff
# 2;  2; AA^-1 * atom^-1 * eV;                             29|22|mult|0|8|div|mult; ((perimeter_area_ratio * sum:thermal_conductivity) * (exfoliation_energy_per_atom / ave:thermal_conductivity)); $\left(\left(perimeter_{area, ratio} sum:thermal_{conductivity}\right) \left(\frac{ exfoliation_{energy, per, atom} }{ ave:thermal_{conductivity} } \right)\right)$; ((perimeter_area_ratio .* sum:thermal_conductivity) .* (exfoliation_energy_per_atom ./ ave:thermal_conductivity)); perimeter_area_ratio,sum:thermal_conductivity,exfoliation_energy_per_atom,ave:thermal_conductivity
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  2.163357701986497e-01,  1.988761866461148e-01,  1.780990052713539e-04,  2.534643229507668e-01
3114        ,  1.831950432135623e+00,  2.128775649050591e+00,  5.926315005382929e-01,  3.560599002437063e-03,  1.382897173467047e+00
3034        ,  4.935948125875536e-01,  4.411798968564331e-01,  5.798971624050309e-01,  2.893030465196422e-04,  5.203598268732128e-01
915         ,  7.155608468327842e-01,  8.863344724621274e-01,  2.370548783961598e+00,  1.244376876968149e-04,  1.290880980821152e+00
143         ,  2.878408453797652e-01,  2.659683379275672e-01,  2.825075597053514e-01,  1.961904993596752e-04,  3.145556296624291e-01
1747        ,  4.723624565072543e-01,  4.306953372233449e-01,  3.502973281713499e-01,  4.534433061759256e-04,  4.271713560748717e-01
3624        ,  3.119165808174699e-01,  3.260549799826151e-01,  9.479536809103968e-01,  8.169275807360541e-05,  4.950763668642685e-01
1613        ,  4.892777101910798e-01,  4.333559172239491e-01,  5.309436299366231e-01,  2.998525205831486e-04,  5.023341371762821e-01
785         ,  1.323171435250627e+00,  1.443540635236257e+00,  6.424065886796650e-01,  1.934000809810411e-03,  1.141346565937190e+00
1473        ,  4.422223937745569e-01,  6.767596300961933e-01,  1.935291456353060e+00,  7.029983732316000e-05,  1.016582964600600e+00
3936        ,  3.696216735678464e-01,  2.984861984063297e-01,  4.533862421061889e+00,  2.559119892012668e-05,  8.602306910089643e-01
3196        ,  4.682934522240256e-01,  5.223316206482235e-01,  3.864855192021258e-01,  6.157646543574391e-04,  4.830317105031486e-01
1713        ,  5.274016633298737e-01,  4.681072803187140e-01,  8.784870233631480e-01,  1.658495572335145e-04,  6.261780222943626e-01
5825        ,  3.327553083664687e-01,  3.472049625026156e-01,  9.237223086829605e-01,  9.094730963479673e-05,  5.142603087727855e-01
199         ,  1.504427135099300e+00,  1.741666204406427e+00,  9.256188902497832e-01,  2.267132554058810e-03,  1.407772736905816e+00
1800        ,  4.375320177361192e-01,  5.575233927542654e-01,  1.397210499887705e+00,  9.291645284845782e-05,  8.114595087835549e-01
4488        ,  3.500270645846581e-01,  3.218112175419610e-01,  2.536481586253414e+00,  2.492306228170619e-05,  6.772378975015169e-01
1941        ,  4.982888367482280e-01,  4.550682264207539e-01,  4.539469745939959e-01,  4.075558521489571e-04,  4.826624214087247e-01
5607        ,  5.615877319607279e-01,  6.482983136337197e-01,  2.228563218405116e+00,  1.041549745274734e-04,  1.002296269086159e+00
3304        ,  4.207482123452428e-01,  2.807766628050474e-01,  1.958160657711061e-01,  1.877859688984855e-04,  3.257646033742224e-01
5772        ,  9.791729170663426e-01,  9.333990480836148e-01,  8.493362711216601e+00,  4.297316535779072e-05,  2.020398730875588e+00
4208        ,  6.603942215445863e-01,  7.638730499921311e-01,  2.689804500924267e+00,  1.847485090087045e-04,  1.159403117447136e+00
5588        ,  8.803208873918648e-01,  7.729707042430444e-01,  1.588897993057443e+00,  1.203783358676063e-04,  1.076183729982841e+00
5685        ,  1.451928416459744e+00,  1.386785303666423e+00,  4.136844633100493e+00,  1.429040599113897e-04,  2.060791267216582e+00
461         ,  2.895131874006477e-01,  3.061961708616747e-01,  2.100326579385370e-01,  3.941460782226972e-04,  2.860621219565328e-01
180         ,  3.677083798565582e-01,  3.215585545137854e-01,  2.593003654481144e-01,  2.476063753573711e-04,  3.599061331072367e-01
3567        ,  6.455865771715684e-01,  6.085426987668464e-01,  1.778449508582886e+00,  9.882164852376062e-05,  9.097851180325366e-01
986         ,  1.667063758544649e-01,  1.740780616042901e-01,  7.717038491783512e-01,  3.988416320780760e-05,  3.117483275652314e-01
350         ,  3.022496124401135e-01,  3.297290446393362e-01,  9.219004414451463e-01,  9.776790771220423e-05,  4.911150313304778e-01
3563        ,  2.963852956512342e-01,  3.243429275023265e-01,  1.471218317097784e-01,  5.181341546179326e-04,  2.580572025291699e-01
795         ,  2.766538255638341e-01,  2.215174651314097e-01,  3.170174184494063e+00,  1.856451006175580e-05,  6.280561608714236e-01
3276        ,  3.528731625859118e-01,  4.050810744907360e-01,  2.153064307737744e-01,  6.089182307126543e-04,  3.291172037367838e-01
4238        ,  2.446030623760792e-01,  2.143782981798430e-01,  9.225267706346464e-01,  2.470503932725128e-05,  3.804011029135524e-01
5282        ,  5.293873330373472e-01,  5.515809863352068e-01,  1.148593345232388e+00,  1.563167481739267e-04,  7.563611885086404e-01
599         ,  1.941897543062212e-01,  2.003324946471434e-01,  2.688363655136127e-01,  1.896571240234600e-04,  2.379940345591492e-01
3382        ,  4.754043303942602e-01,  4.377006584532348e-01,  8.147534758934655e-01,  2.099432890572621e-04,  5.684039618752068e-01
