material_id,formula,exfoliation_energy (J/m^2)
3606,ClCrO,0.28394811451965846
3114,Mg2Ti,1.8319504321356235
3034,PbS,0.4935948125875536
915,Ga4S3,0.7155608468327842
143,InTe,0.2878408453797652
1747,CoS,0.4723624565072543
3624,Cl2NbS2,0.3119165808174699
1613,F4Ta,0.4892777101910798
785,CuSe2,1.3231714352506265
1473,NbS3,0.44222239377455685
3936,Br4Pd4Te3,0.3696216735678464
3196,LiMnSe2,0.46829345222402563
1713,F3Ga,0.5274016633298737
5825,AgP2S6Sc,0.33275530836646866
199,AgSe2,1.5044271350993002
1800,S3Ta,0.4375320177361192
4488,ClCrO3Rb,0.3500270645846581
1941,AgBr,0.498288836748228
5607,BrCuHgSe,0.5615877319607279
3304,H4W,0.4207482123452428
5772,CuO5Te2,0.9791729170663426
4208,Hg3O6S,0.6603942215445863
5588,Cu3F5O,0.8803208873918648
5685,Nb2O8WZn2,1.4519284164597444
461,I2Sc,0.28951318740064774
180,S3Sb2,0.3677083798565582
3567,F2O3Te2,0.6455865771715684
986,Cl3Ge,0.16670637585446493
350,Br3Y,0.3022496124401135
3563,Cl2Fe,0.2963852956512342
795,AsBr3,0.27665382556383405
3276,PtSe2,0.3528731625859118
4238,H4BaO4P2,0.24460306237607915
5282,F6Li2O3Ta2,0.5293873330373472
599,BaBr2,0.19418975430622115
3382,AgClO4,0.4754043303942602
2828,Al2Se3,0.46090141467044393
4760,BaMn4O8,0.23268046303319168
4099,BaO7Sn4Y,0.2771646182279487
4506,Cu2S4W,0.28309192187343574
2032,I2Pd,0.34252239351247
5625,Mn2O13P4,0.9047570655746466
3021,MnNaSe2,0.943679073727743
6349,PtS,0.6066079572580644
3265,HfTe3,0.4841085563396736
73,Cl2Pt,0.30106952728122366
909,Cl2Zn,0.2859807336003438
3508,O5P2,0.7316706566321051
5286,F4FeLi,0.22354083425148585
359,NbS2,0.4663407226120941
3172,S2Ti,0.4790530319841335
5918,Cu3F5O,2.2418580495949794
4401,BrZr,0.3273613861116079
3615,INTi,0.3036705797988253
4407,H9BaIO5,0.5372482734277881
5701,CrIKO6,0.9203994095360772
538,F3Os,0.3775823948370269
