# c0 + a0 * (ave:atomic_volume - ave:Polarizability)
# Property Label: $exfoliation_{energy}$; Unit of the Property: energy * length^-2
# RMSE: 0.539945798100874; Max AE: 9.63492730928078
# Coefficients
# Task   a0                      c0
# all , -5.319007804268506e-02,  1.137725259756883e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; length^3;                                         4|0|sub; (ave:atomic_volume - ave:Polarizability); $\left(ave:atomic_{volume} - ave:Polarizability\right)$; (ave:atomic_volume - ave:Polarizability); ave:atomic_volume,ave:Polarizability
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2744                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  6.883045603482232e-01,  8.449333333333332e+00
3034        ,  4.935948125875536e-01,  5.015719263663703e-01,  1.196000000000000e+01
915         ,  7.155608468327842e-01,  7.386477027851950e-01,  7.502857142857144e+00
143         ,  2.878408453797652e-01,  5.925269598193615e-01,  1.025000000000000e+01
1747        ,  4.723624565072543e-01,  8.239037993050417e-01,  5.899999999999999e+00
3624        ,  3.119165808174699e-01,  5.702935071975193e-01,  1.066800000000000e+01
1613        ,  4.892777101910798e-01,  4.571901252475536e-01,  1.279440000000000e+01
785         ,  1.323171435250627e+00,  6.703617740218241e-01,  8.786666666666667e+00
1473        ,  4.422223937745569e-01,  7.002368678557989e-01,  8.225000000000000e+00
3936        ,  3.696216735678464e-01,  4.452871528739288e-01,  1.301818181818182e+01
3196        ,  4.682934522240256e-01,  9.752295713364806e-01,  3.055000000000000e+00
1713        ,  5.274016633298737e-01,  4.288477921625088e-01,  1.332725000000000e+01
5825        ,  3.327553083664687e-01,  5.895483154489713e-01,  1.030600000000000e+01
199         ,  1.504427135099300e+00,  6.239091058645457e-01,  9.660000000000000e+00
1800        ,  4.375320177361192e-01,  6.643335651769864e-01,  8.900000000000000e+00
4488        ,  3.500270645846581e-01,  6.022430140751586e-01,  1.006733333333334e+01
1941        ,  4.982888367482280e-01,  5.002421744153031e-01,  1.198500000000000e+01
3304        ,  4.207482123452428e-01,  5.828162813074519e-01,  1.043256560000000e+01
5772        ,  9.791729170663426e-01,  4.935269270624141e-01,  1.211125000000000e+01
4208        ,  6.603942215445863e-01,  4.934444824414478e-01,  1.211280000000000e+01
5588        ,  8.803208873918648e-01,  5.549215746431831e-01,  1.095700000000000e+01
5685        ,  1.451928416459744e+00,  7.240128327408789e-01,  7.778000000000002e+00
461         ,  2.895131874006477e-01,  4.657572738176289e-01,  1.263333333333333e+01
180         ,  3.677083798565582e-01,  4.845511013927110e-01,  1.228000000000000e+01
3567        ,  6.455865771715684e-01,  3.575028006964688e-01,  1.466857142857143e+01
986         ,  1.667063758544649e-01,  3.755114414052067e-01,  1.433000000000000e+01
350         ,  3.022496124401135e-01,  3.604852443581480e-01,  1.461250000000000e+01
3563        ,  2.963852956512342e-01,  5.749742340652756e-01,  1.058000000000000e+01
795         ,  2.766538255638341e-01,  2.050372412784009e-01,  1.753500000000000e+01
3276        ,  3.528731625859118e-01,  6.402207297976359e-01,  9.353333333333333e+00
4238        ,  2.446030623760792e-01,  4.967131191173271e-01,  1.205134800000000e+01
5282        ,  5.293873330373472e-01,  6.795050120525461e-01,  8.614769230769232e+00
599         ,  1.941897543062212e-01,  4.249782139849038e-01,  1.340000000000000e+01
3382        ,  4.754043303942602e-01,  4.920686324227438e-01,  1.213866666666667e+01
2828        ,  4.609014146704439e-01,  6.633761437722181e-01,  8.917999999999999e+00
4760        ,  2.326804630331917e-01,  7.414837276056686e-01,  7.449538461538463e+00
4099        ,  2.771646182279487e-01,  6.104642907531409e-01,  9.912769230769230e+00
4506        ,  2.830919218734357e-01,  7.530090238567201e-01,  7.232857142857140e+00
2032        ,  3.425223935124700e-01,  3.434200943194531e-01,  1.493333333333334e+01
3021        ,  9.436790737277430e-01,  8.313504102310174e-01,  5.760000000000002e+00
6349        ,  6.066079572580644e-01,  7.334806666324769e-01,  7.600000000000001e+00
3265        ,  4.841085563396736e-01,  5.739104325044220e-01,  1.060000000000000e+01
73          ,  3.010695272812237e-01,  5.058271326097850e-01,  1.188000000000000e+01
909         ,  2.859807336003438e-01,  4.907566104976910e-01,  1.216333333333333e+01
3508        ,  7.316706566321051e-01,  4.331086973428569e-01,  1.324714285714286e+01
5286        ,  2.235408342514859e-01,  6.621882320292649e-01,  8.940333333333331e+00
359         ,  4.663407226120941e-01,  7.778057316680479e-01,  6.766666666666666e+00
3172        ,  4.790530319841335e-01,  7.618487082552423e-01,  7.066666666666666e+00
5918        ,  2.241858049594979e+00,  5.549215746431831e-01,  1.095700000000000e+01
4401        ,  3.273613861116079e-01,  6.949178600515302e-01,  8.325000000000001e+00
4407        ,  5.372482734277881e-01,  4.511116196432937e-01,  1.290867893750000e+01
538         ,  3.775823948370269e-01,  4.787134903275262e-01,  1.238975000000000e+01
577         ,  3.135900205824857e-01,  4.834872998318572e-01,  1.230000000000000e+01
3422        ,  2.802083413851849e-01,  5.359935054425647e-01,  1.131285714285715e+01
1518        ,  2.969751162456789e-01,  5.318902708507007e-01,  1.139000000000000e+01
5181        ,  5.261236775456994e-01,  4.484456764173361e-01,  1.295880000000000e+01
1015        ,  3.391061495356983e-01,  6.379867465198431e-01,  9.395333333333333e+00
1156        ,  8.470934050524324e-01,  8.196485930616265e-01,  5.980000000000004e+00
4984        ,  4.348768073655889e-01,  6.973114135634511e-01,  8.280000000000001e+00
4680        ,  3.364035952142165e-01,  8.150867616624365e-01,  6.065764705882352e+00
5095        ,  5.893419787698063e-01,  6.047606777691792e-01,  1.002000000000000e+01
827         ,  4.003907365198857e-01,  4.511477323819046e-01,  1.290800000000000e+01
695         ,  3.284722007121098e+00,  1.214850872918777e+00, -1.449999999999999e+00
5396        ,  8.394699154938887e-02,  3.980032458346847e-01,  1.390714285714286e+01
3038        ,  2.698343232194364e-01,  4.905793102375485e-01,  1.216666666666667e+01
4451        ,  3.854058871881627e-01,  5.768890768748123e-01,  1.054400000000000e+01
683         ,  7.567006984040863e-01,  4.642324915804052e-01,  1.266200000000000e+01
4700        ,  2.941516770264208e-01,  5.638043176763118e-01,  1.079000000000000e+01
2132        ,  6.747740069016210e-01,  5.383490660415980e-01,  1.126857142857143e+01
5269        ,  5.468292537176512e-01,  6.750095736984111e-01,  8.699285714285713e+00
1517        ,  4.146991767326453e-01,  9.103376761244047e-01,  4.275000000000000e+00
4066        ,  3.764670136622192e-01,  6.670551241701703e-01,  8.848833333333337e+00
5182        ,  1.517650397507960e-01,  7.274088146466812e-01,  7.714153846153847e+00
1           ,  4.764892223280973e-01,  9.533329892089086e-01,  3.466666666666665e+00
3515        ,  3.510859978507264e-02,  4.329567256913065e-01,  1.325000000000000e+01
1029        ,  3.092915995936308e-01,  3.537035094077057e-01,  1.474000000000000e+01
5743        ,  3.087205345176252e-01,  2.826227921739573e-01,  1.607635294117647e+01
1217        ,  3.172537314486099e-01,  4.502435010551790e-01,  1.292500000000000e+01
