# c0 + a0 * (ave:atomic_volume / ave:atomic_radius) + a1 * (ave:atomic_radius / ave:atomic_volume)
# Property Label: $exfoliation_{energy}$; Unit of the Property: energy * length^-2
# RMSE: 0.525726689487355; Max AE: 9.10486205980495
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.234184803571075e+01,  3.806496811163907e-01, -5.419391770626135e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; length^2;                                         4|2|div; (ave:atomic_volume / ave:atomic_radius); $\left(\frac{ ave:atomic_{volume} }{ ave:atomic_{radius} } \right)$; (ave:atomic_volume ./ ave:atomic_radius); ave:atomic_volume,ave:atomic_radius
# 1;  1; length^-2;                                        2|4|div; (ave:atomic_radius / ave:atomic_volume); $\left(\frac{ ave:atomic_{radius} }{ ave:atomic_{volume} } \right)$; (ave:atomic_radius ./ ave:atomic_volume); ave:atomic_radius,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2744                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  7.245707741815299e-01,  9.427341807032763e-02,  1.060744396956100e+01
3034        ,  4.935948125875536e-01,  4.821908135715897e-01,  1.119205298013245e-01,  8.934911242603551e+00
915         ,  7.155608468327842e-01,  6.348755494781511e-01,  9.915343915343916e-02,  1.008537886872999e+01
143         ,  2.878408453797652e-01,  4.894629941640846e-01,  1.110429447852761e-01,  9.005524861878452e+00
1747        ,  4.723624565072543e-01,  8.697069236994336e-01,  8.809523809523809e-02,  1.135135135135135e+01
3624        ,  3.119165808174699e-01,  4.665779015074213e-01,  1.140047928570124e-01,  8.771561045281882e+00
1613        ,  4.892777101910798e-01,  4.552244954170624e-01,  1.157504621844557e-01,  8.639274359064213e+00
785         ,  1.323171435250627e+00,  6.494058173440203e-01,  9.828431372549019e-02,  1.017456359102244e+01
1473        ,  4.422223937745569e-01,  5.107214364017856e-01,  1.087286527514231e-01,  9.197207678883071e+00
3936        ,  3.696216735678464e-01,  4.583614920454661e-01,  1.152439712196065e-01,  8.677243498442280e+00
3196        ,  4.682934522240256e-01,  7.334924343807047e-01,  9.384210526315788e-02,  1.065619742007852e+01
1713        ,  5.274016633298737e-01,  4.525978456175457e-01,  1.161911026357102e-01,  8.606510974728113e+00
5825        ,  3.327553083664687e-01,  4.597236247759249e-01,  1.150302114803625e-01,  8.693368351936968e+00
199         ,  1.504427135099300e+00,  5.895947067832286e-01,  1.021226415094340e-01,  9.792147806004618e+00
1800        ,  4.375320177361192e-01,  5.149821252299072e-01,  1.083018867924528e-01,  9.233449477351916e+00
4488        ,  3.500270645846581e-01,  4.138187866114953e-01,  1.284599432112896e-01,  7.784527806891603e+00
1941        ,  4.982888367482280e-01,  4.808701785182022e-01,  1.120855746453093e-01,  8.921754678641420e+00
