# c0 + a0 * sqrt(var:evaporation_heat) + a1 * (1.0 / ave:atomic_volume) + a2 * (ave:Polarizability / ave:atomic_volume)
# Property Label: $exfoliation_{energy}$; Unit of the Property: energy * length^-2
# RMSE: 0.515582215655655; Max AE: 9.47604692627727
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.407896279153107e-03,  1.319703366669099e+01,  8.584309185950054e-01, -3.824902502678368e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; atoms^-0.5 * energy^0.5;                          10|sqrt; sqrt(var:evaporation_heat); $\left(\sqrt{ var:evaporation_{heat} }\right)$; sqrt(var:evaporation_heat); var:evaporation_heat
# 1;  1; length^-3;                                        4|inv; (1.0 / ave:atomic_volume); $\left(\frac{1.0}{ ave:atomic_{volume} }\right)$; (ave:atomic_volume).^(-1); ave:atomic_volume
# 2;  1; Unitless;                                         0|4|div; (ave:Polarizability / ave:atomic_volume); $\left(\frac{ ave:Polarizability }{ ave:atomic_{volume} } \right)$; (ave:Polarizability ./ ave:atomic_volume); ave:Polarizability,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2744                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  7.074553447355929e-01,  1.527503684253482e+02,  7.513148009015778e-02,  3.651890808915602e-01
3034        ,  4.935948125875536e-01,  5.315547528774742e-01,  8.365000000000001e+01,  5.917159763313610e-02,  2.923076923076924e-01
915         ,  7.155608468327842e-01,  7.996740061386609e-01,  1.285676570875412e+02,  7.470651013874066e-02,  4.394877267876200e-01
143         ,  2.878408453797652e-01,  5.955284352103479e-01,  8.764999999999999e+01,  5.524861878453038e-02,  4.337016574585635e-01
1747        ,  4.723624565072543e-01,  9.420647537628059e-01,  1.893000000000000e+02,  9.009009009009010e-02,  4.684684684684685e-01
3624        ,  3.119165808174699e-01,  3.566503308846106e-01,  2.658549430497766e+02,  6.313131313131314e-02,  3.265151515151515e-01
1613        ,  4.892777101910798e-01,  1.923413210620957e-01,  3.005840000000000e+02,  6.305170239596469e-02,  1.932912988650693e-01
785         ,  1.323171435250627e+00,  7.364173274600124e-01,  1.154469671417237e+02,  7.481296758104738e-02,  3.426433915211970e-01
1473        ,  4.422223937745569e-01,  4.961614459726463e-01,  2.899020039168408e+02,  6.980802792321117e-02,  4.258289703315881e-01
3936        ,  3.696216735678464e-01,  3.657225625644108e-01,  1.609474340756546e+02,  5.756148613291470e-02,  2.506541077969649e-01
3196        ,  4.682934522240256e-01,  1.171636431835490e+00,  6.752692055765611e+01,  7.478033277248085e-02,  7.715460833800710e-01
1713        ,  5.274016633298737e-01,  4.264905358123709e-01,  1.142114302510918e+02,  6.339144215530902e-02,  1.551664025356577e-01
5825        ,  3.327553083664687e-01,  6.043343750756309e-01,  1.116770540442395e+02,  6.565988181221274e-02,  3.233092580433356e-01
199         ,  1.504427135099300e+00,  6.867295902434987e-01,  9.164103884177656e+01,  6.928406466512702e-02,  3.307159353348730e-01
1800        ,  4.375320177361192e-01,  4.074843135080588e-01,  3.236769946644339e+02,  6.968641114982578e-02,  3.797909407665505e-01
4488        ,  3.500270645846581e-01,  5.294063678373566e-01,  1.187846015007610e+02,  4.845352499394331e-02,  5.122022127109747e-01
1941        ,  4.982888367482280e-01,  4.899908931453386e-01,  1.122700000000000e+02,  5.917159763313610e-02,  2.908284023668639e-01
3304        ,  4.207482123452428e-01,  3.340662426399000e-01,  3.292384000000000e+02,  7.583801001061731e-02,  2.088149855907781e-01
5772        ,  9.791729170663426e-01,  5.340298259594771e-01,  9.347645213469841e+01,  6.773920406435224e-02,  1.795935647756139e-01
4208        ,  6.603942215445863e-01,  6.422154212484027e-01,  2.005653570180462e+01,  6.949270326615706e-02,  1.582487838776928e-01
5588        ,  8.803208873918648e-01,  5.615407962066692e-01,  1.398237089802246e+02,  7.450331125827814e-02,  1.836672185430463e-01
5685        ,  1.451928416459744e+00,  5.844093774103863e-01,  2.956725288676876e+02,  8.048040611651085e-02,  3.740234012257784e-01
461         ,  2.895131874006477e-01,  3.892468196018229e-01,  1.370608644199924e+02,  4.518072289156626e-02,  4.292168674698795e-01
180         ,  3.677083798565582e-01,  5.079422454047409e-01,  9.048415109841059e+01,  6.002400960384155e-02,  2.629051620648260e-01
3567        ,  6.455865771715684e-01,  4.874451690740240e-01,  1.749773455612218e+01,  5.972696245733788e-02,  1.238907849829352e-01
986         ,  1.667063758544649e-01,  3.398266561664370e-01,  1.331903769750277e+02,  5.738880918220948e-02,  1.776183644189384e-01
350         ,  3.022496124401135e-01,  2.991599565394301e-01,  1.461158061265105e+02,  4.429678848283500e-02,  3.527131782945736e-01
3563        ,  2.963852956512342e-01,  5.412369822936339e-01,  1.506561707996058e+02,  6.741573033707866e-02,  2.867415730337078e-01
795         ,  2.766538255638341e-01,  3.854268834959826e-01,  1.229756073373903e+00,  4.784688995215311e-02,  1.610047846889952e-01
3276        ,  3.528731625859118e-01,  5.718840623829109e-01,  1.934172748805603e+02,  7.125890736342043e-02,  3.334916864608076e-01
4238        ,  2.446030623760792e-01,  5.889841674719165e-01,  3.988659935159933e+01,  5.933117583603022e-02,  2.849793527508091e-01
5282        ,  5.293873330373472e-01,  4.936629978952279e-01,  2.655646219954912e+02,  6.749740394600208e-02,  4.185254413291796e-01
599         ,  1.941897543062212e-01,  4.604106080495853e-01,  5.300472431774360e+01,  3.488372093023256e-02,  5.325581395348838e-01
3382        ,  4.754043303942602e-01,  5.472841820046447e-01,  8.854899186535262e+01,  7.058823529411766e-02,  1.431529411764706e-01
2828        ,  4.609014146704439e-01,  7.198386933195742e-01,  1.099330996561091e+02,  7.194244604316546e-02,  3.584172661870504e-01
4760        ,  2.326804630331917e-01,  8.329025029476288e-01,  9.431001259165630e+01,  7.199822773593265e-02,  4.636464333185644e-01
4099        ,  2.771646182279487e-01,  5.524023139187145e-01,  1.406622148920447e+02,  5.855855855855856e-02,  4.195225225225225e-01
4506        ,  2.830919218734357e-01,  6.504261086393185e-01,  2.813466233118492e+02,  8.165169718884872e-02,  4.094249387612272e-01
2032        ,  3.425223935124700e-01,  2.754206980905557e-01,  1.557756238953964e+02,  4.975124378109452e-02,  2.570480928689883e-01
3021        ,  9.436790737277430e-01,  8.978008015593257e-01,  6.619453810549629e+01,  6.241223279762833e-02,  6.405055390856607e-01
6349        ,  6.066079572580644e-01,  6.949934644819005e-01,  2.297500000000000e+02,  8.130081300813008e-02,  3.821138211382114e-01
3265        ,  4.841085563396736e-01,  3.740105120632862e-01,  2.274182710337936e+02,  5.326231691078562e-02,  4.354194407456725e-01
73          ,  3.010695272812237e-01,  3.710286435834045e-01,  2.119387585024399e+02,  6.451612903225808e-02,  2.335483870967742e-01
909         ,  2.859807336003438e-01,  5.906976007107766e-01,  4.449587271746548e+01,  6.437768240343349e-02,  2.169527896995709e-01
3508        ,  7.316706566321051e-01,  5.770305527357708e-01,  1.545943077615346e+01,  6.730769230769230e-02,  1.083653846153846e-01
5286        ,  2.235408342514859e-01,  6.740561288815994e-01,  1.249099689998983e+02,  6.772009029345373e-02,  3.945598194130926e-01
359         ,  4.663407226120941e-01,  5.618631451562387e-01,  3.156053266695957e+02,  7.177033492822968e-02,  5.143540669856459e-01
3172        ,  4.790530319841335e-01,  7.166741230015268e-01,  1.942658030179842e+02,  7.211538461538462e-02,  4.903846153846154e-01
5918        ,  2.241858049594979e+00,  5.615407962066692e-01,  1.398237089802246e+02,  7.450331125827814e-02,  1.836672185430463e-01
4401        ,  3.273613861116079e-01,  4.194510072882290e-01,  2.687200000000000e+02,  5.319148936170213e-02,  5.571808510638298e-01
4407        ,  5.372482734277881e-01,  5.573601358000885e-01,  3.408543832754692e+01,  6.116207951070337e-02,  2.104783524464832e-01
