# c0 + a0 * sqrt(var:evaporation_heat) + a1 * (ave:atomic_volume / ave:atomic_radius) + a2 * (ave:atomic_radius / ave:atomic_volume) + a3 * (ave:atomic_volume - ave:Polarizability)
# Property Label: $exfoliation_{energy}$; Unit of the Property: energy * length^-2
# RMSE: 0.510187333783555; Max AE: 9.13413779764501
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.203621743897748e-03,  1.828431687132058e+01,  2.977157680663882e-01, -3.507150688749609e-02, -3.676480985399972e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; atoms^-0.5 * energy^0.5;                          10|sqrt; sqrt(var:evaporation_heat); $\left(\sqrt{ var:evaporation_{heat} }\right)$; sqrt(var:evaporation_heat); var:evaporation_heat
# 1;  1; length^2;                                         4|2|div; (ave:atomic_volume / ave:atomic_radius); $\left(\frac{ ave:atomic_{volume} }{ ave:atomic_{radius} } \right)$; (ave:atomic_volume ./ ave:atomic_radius); ave:atomic_volume,ave:atomic_radius
# 2;  1; length^-2;                                        2|4|div; (ave:atomic_radius / ave:atomic_volume); $\left(\frac{ ave:atomic_{radius} }{ ave:atomic_{volume} } \right)$; (ave:atomic_radius ./ ave:atomic_volume); ave:atomic_radius,ave:atomic_volume
# 3;  1; length^3;                                         4|0|sub; (ave:atomic_volume - ave:Polarizability); $\left(ave:atomic_{volume} - ave:Polarizability\right)$; (ave:atomic_volume - ave:Polarizability); ave:atomic_volume,ave:Polarizability
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2744                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
3606        ,  2.839481145196585e-01,  7.250628747395170e-01,  1.527503684253482e+02,  9.427341807032763e-02,  1.060744396956100e+01,  8.449333333333332e+00
3034        ,  4.935948125875536e-01,  5.098352278387460e-01,  8.365000000000001e+01,  1.119205298013245e-01,  8.934911242603551e+00,  1.196000000000000e+01
915         ,  7.155608468327842e-01,  7.211648975130163e-01,  1.285676570875412e+02,  9.915343915343916e-02,  1.008537886872999e+01,  7.502857142857144e+00
143         ,  2.878408453797652e-01,  5.699697630241959e-01,  8.764999999999999e+01,  1.110429447852761e-01,  9.005524861878452e+00,  1.025000000000000e+01
1747        ,  4.723624565072543e-01,  8.789890621907233e-01,  1.893000000000000e+02,  8.809523809523809e-02,  1.135135135135135e+01,  5.899999999999999e+00
3624        ,  3.119165808174699e-01,  3.253191801309960e-01,  2.658549430497766e+02,  1.140047928570124e-01,  8.771561045281882e+00,  1.066800000000000e+01
1613        ,  4.892777101910798e-01,  2.014770185383409e-01,  3.005840000000000e+02,  1.157504621844557e-01,  8.639274359064213e+00,  1.279440000000000e+01
785         ,  1.323171435250627e+00,  7.025924440417689e-01,  1.154469671417237e+02,  9.828431372549019e-02,  1.017456359102244e+01,  8.786666666666667e+00
1473        ,  4.422223937745569e-01,  4.123064030200920e-01,  2.899020039168408e+02,  1.087286527514231e-01,  9.197207678883071e+00,  8.225000000000000e+00
3936        ,  3.696216735678464e-01,  3.637414301494315e-01,  1.609474340756546e+02,  1.152439712196065e-01,  8.677243498442280e+00,  1.301818181818182e+01
3196        ,  4.682934522240256e-01,  1.023455479266217e+00,  6.752692055765611e+01,  9.384210526315788e-02,  1.065619742007852e+01,  3.055000000000000e+00
1713        ,  5.274016633298737e-01,  4.054138770142058e-01,  1.142114302510918e+02,  1.161911026357102e-01,  8.606510974728113e+00,  1.332725000000000e+01
5825        ,  3.327553083664687e-01,  5.190568065383144e-01,  1.116770540442395e+02,  1.150302114803625e-01,  8.693368351936968e+00,  1.030600000000000e+01
199         ,  1.504427135099300e+00,  6.569466532625047e-01,  9.164103884177656e+01,  1.021226415094340e-01,  9.792147806004618e+00,  9.660000000000000e+00
1800        ,  4.375320177361192e-01,  3.509674534508372e-01,  3.236769946644339e+02,  1.083018867924528e-01,  9.233449477351916e+00,  8.900000000000000e+00
4488        ,  3.500270645846581e-01,  4.938497170647190e-01,  1.187846015007610e+02,  1.284599432112896e-01,  7.784527806891603e+00,  1.006733333333334e+01
