# c0 + a0 * ((ave:atomic_radius * ave:Polarizability) / (ave:atomic_volume^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: energy * length^-2
# RMSE: 0.506482025919496; Max AE: 9.54780575863689
# Coefficients
# Task   a0                      c0
# all ,  1.061493336418310e+00,  3.424203469777740e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; length^-5;                                        2|0|mult|4|cb|div; ((ave:atomic_radius * ave:Polarizability) / (ave:atomic_volume^3)); $\left(\frac{ \left(ave:atomic_{radius} ave:Polarizability\right) }{ \left(ave:atomic_{volume}^3\right) } \right)$; ((ave:atomic_radius .* ave:Polarizability) ./ (ave:atomic_volume).^3); ave:atomic_radius,ave:Polarizability,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2744                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  6.513557976078941e-01,  2.910385209506165e-01
3114        ,  1.831950432135623e+00,  1.268133682585098e+00,  8.720858660600411e-01
3034        ,  4.935948125875536e-01,  5.064646129447667e-01,  1.545410228579586e-01
915         ,  7.155608468327842e-01,  6.939117363082732e-01,  3.311291529313798e-01
143         ,  2.878408453797652e-01,  5.714748366450374e-01,  2.157851413746401e-01
1747        ,  4.723624565072543e-01,  8.509569581113888e-01,  4.790765930283827e-01
3624        ,  3.119165808174699e-01,  5.343501086765517e-01,  1.808110848310994e-01
1613        ,  4.892777101910798e-01,  4.541847904325748e-01,  1.052898210665329e-01
785         ,  1.323171435250627e+00,  6.192753046495828e-01,  2.608164820006997e-01
1473        ,  4.422223937745569e-01,  6.326313265998830e-01,  2.733987766718712e-01
3936        ,  3.696216735678464e-01,  4.753145023696520e-01,  1.251954683392449e-01
3196        ,  4.682934522240256e-01,  9.950529931521649e-01,  6.148250052859526e-01
1713        ,  5.274016633298737e-01,  4.322816522271652e-01,  8.465555285782679e-02
5825        ,  3.327553083664687e-01,  5.383154553693146e-01,  1.845467151518159e-01
199         ,  1.504427135099300e+00,  5.805885129832262e-01,  2.243708536212569e-01
1800        ,  4.375320177361192e-01,  6.018227228880548e-01,  2.443749451933030e-01
1941        ,  4.982888367482280e-01,  5.053940983721164e-01,  1.535325242306733e-01
5607        ,  5.615877319607279e-01,  5.305594258980773e-01,  1.772399999750559e-01
3304        ,  4.207482123452428e-01,  4.589399476781082e-01,  1.097695074502253e-01
5772        ,  9.791729170663426e-01,  4.713386724726516e-01,  1.214499621164592e-01
4208        ,  6.603942215445863e-01,  4.620915007178372e-01,  1.127384879719146e-01
5588        ,  8.803208873918648e-01,  4.867496188061782e-01,  1.359681374123364e-01
461         ,  2.895131874006477e-01,  4.861046684644179e-01,  1.353605496681340e-01
180         ,  3.677083798565582e-01,  4.829841707821652e-01,  1.324208254370032e-01
3567        ,  6.455865771715684e-01,  4.112256853566285e-01,  6.481937852857123e-02
986         ,  1.667063758544649e-01,  4.323130064187642e-01,  8.468509067075818e-02
350         ,  3.022496124401135e-01,  4.619240911691082e-01,  1.125807766203824e-01
3563        ,  2.963852956512342e-01,  5.364149115351531e-01,  1.827562716615400e-01
3276        ,  3.528731625859118e-01,  5.934779454351387e-01,  2.365135887753032e-01
4238        ,  2.446030623760792e-01,  4.758975070202810e-01,  1.257446989661617e-01
5282        ,  5.293873330373472e-01,  6.305690895209362e-01,  2.714560069829863e-01
599         ,  1.941897543062212e-01,  4.655811147863997e-01,  1.160259453198215e-01
3382        ,  4.754043303942602e-01,  4.529844431621304e-01,  1.041590110753042e-01
4760        ,  2.326804630331917e-01,  7.214945294617667e-01,  3.571140481795812e-01
4099        ,  2.771646182279487e-01,  5.857393416324697e-01,  2.292232897812646e-01
2032        ,  3.425223935124700e-01,  4.411317372019401e-01,  9.299294384384738e-02
3021        ,  9.436790737277430e-01,  7.429871782215675e-01,  3.773616069935830e-01
6349        ,  6.066079572580644e-01,  6.989957951936246e-01,  3.359186873645456e-01
73          ,  3.010695272812237e-01,  4.915989585666464e-01,  1.405365502267125e-01
909         ,  2.859807336003438e-01,  4.800862825293917e-01,  1.296908146556341e-01
5286        ,  2.235408342514859e-01,  6.039893030618593e-01,  2.464160132805648e-01
359         ,  4.663407226120941e-01,  7.174003712434183e-01,  3.532570685096353e-01
3172        ,  4.790530319841335e-01,  7.042740947934687e-01,  3.408912099596040e-01
5918        ,  2.241858049594979e+00,  4.867496188061782e-01,  1.359681374123364e-01
4401        ,  3.273613861116079e-01,  6.081176444520847e-01,  2.503051958581543e-01
3615        ,  3.036705797988253e-01,  5.120769564698014e-01,  1.598282378902939e-01
4407        ,  5.372482734277881e-01,  4.372153019903708e-01,  8.930339151487650e-02
5701        ,  9.203994095360772e-01,  5.444539658310437e-01,  1.903296157609159e-01
538         ,  3.775823948370269e-01,  4.512619548569912e-01,  1.025363081849109e-01
423         ,  3.114023315769188e-01,  5.273530811263261e-01,  1.742194018594143e-01
577         ,  3.135900205824857e-01,  5.018199986380144e-01,  1.501654755536069e-01
3422        ,  2.802083413851849e-01,  5.168203985572005e-01,  1.642968877863021e-01
1518        ,  2.969751162456789e-01,  5.206029702334641e-01,  1.678603314241367e-01
5181        ,  5.261236775456994e-01,  4.867458002513926e-01,  1.359645400701255e-01
