# c0 + a0 * ((ave:atomic_radius_rahm - ave:atomic_radius) * cbrt(var:evaporation_heat)) + a1 * ((ave:atomic_radius * ave:Polarizability) / (ave:atomic_volume^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: energy * length^-2
# RMSE: 0.493530623040329; Max AE: 9.37632466314301
# Coefficients
# Task   a0                      a1                      c0
# all , -1.116735994457529e-04,  1.197095359098612e+00,  5.112510610979242e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atoms^-0.333333 * energy^0.333333 * length;       3|2|sub|10|cbrt|mult; ((ave:atomic_radius_rahm - ave:atomic_radius) * cbrt(var:evaporation_heat)); $\left(\left(ave:atomic_{radius, rahm} - ave:atomic_{radius}\right) \left(\sqrt[3]{ var:evaporation_{heat} }\right)\right)$; ((ave:atomic_radius_rahm - ave:atomic_radius) .* nthroot(var:evaporation_heat, 3)); ave:atomic_radius_rahm,ave:atomic_radius,var:evaporation_heat
# 1;  2; length^-5;                                        2|0|mult|4|cb|div; ((ave:atomic_radius * ave:Polarizability) / (ave:atomic_volume^3)); $\left(\frac{ \left(ave:atomic_{radius} ave:Polarizability\right) }{ \left(ave:atomic_{volume}^3\right) } \right)$; ((ave:atomic_radius .* ave:Polarizability) ./ (ave:atomic_volume).^3); ave:atomic_radius,ave:Polarizability,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2744                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  6.613314164908601e-01,  1.775894287819639e+03,  2.910385209506165e-01
3114        ,  1.831950432135623e+00,  1.288011569892028e+00,  2.392771752034962e+03,  8.720858660600411e-01
3034        ,  4.935948125875536e-01,  5.243060828806748e-01,  1.539713238619025e+03,  1.545410228579586e-01
915         ,  7.155608468327842e-01,  6.520265233823728e-01,  2.288971710597817e+03,  3.311291529313798e-01
143         ,  2.878408453797652e-01,  5.910807304245419e-01,  1.598280371200032e+03,  2.157851413746401e-01
1747        ,  4.723624565072543e-01,  7.460330569640717e-01,  3.033110529095473e+03,  4.790765930283827e-01
3624        ,  3.119165808174699e-01,  3.617455562745431e-01,  3.276993104588187e+03,  1.808110848310994e-01
1613        ,  4.892777101910798e-01,  4.118909423427617e-01,  2.018400732428477e+03,  1.052898210665329e-01
785         ,  1.323171435250627e+00,  5.966518394011660e-01,  2.031110513155834e+03,  2.608164820006997e-01
1473        ,  4.422223937745569e-01,  3.909536661751811e-01,  4.007946407040431e+03,  2.733987766718712e-01
3936        ,  3.696216735678464e-01,  4.196776158358005e-01,  2.162054062818097e+03,  1.251954683392449e-01
3196        ,  4.682934522240256e-01,  1.089849419454304e+00,  1.409516688907976e+03,  6.148250052859526e-01
1713        ,  5.274016633298737e-01,  4.949997646458624e-01,  1.052997901775482e+03,  8.465555285782679e-02
5825        ,  3.327553083664687e-01,  5.006463760005639e-01,  2.073226818975768e+03,  1.845467151518159e-01
199         ,  1.504427135099300e+00,  5.914410236290009e-01,  1.687089392577908e+03,  2.243708536212569e-01
1800        ,  4.375320177361192e-01,  3.168234963213472e-01,  4.360633846892427e+03,  2.443749451933030e-01
1941        ,  4.982888367482280e-01,  5.099429178137823e-01,  1.657519919032354e+03,  1.535325242306733e-01
5607        ,  5.615877319607279e-01,  5.255554640029231e-01,  1.771849206023812e+03,  1.772399999750559e-01
3304        ,  4.207482123452428e-01,  2.039047012631338e-01,  3.928868863827794e+03,  1.097695074502253e-01
5772        ,  9.791729170663426e-01,  5.482467594027663e-01,  9.706097792623408e+02,  1.214499621164592e-01
4208        ,  6.603942215445863e-01,  6.089655378359586e-01,  3.335098375066799e+02,  1.127384879719146e-01
5588        ,  8.803208873918648e-01,  5.280494278317529e-01,  1.307099084046877e+03,  1.359681374123364e-01
461         ,  2.895131874006477e-01,  4.006486120405272e-01,  2.441417991569234e+03,  1.353605496681340e-01
180         ,  3.677083798565582e-01,  4.739539423815172e-01,  1.753480457931976e+03,  1.324208254370032e-01
3567        ,  6.455865771715684e-01,  5.569813428061392e-01,  2.853377670831906e+02,  6.481937852857123e-02
986         ,  1.667063758544649e-01,  4.138938957819620e-01,  1.779590658213802e+03,  8.468509067075818e-02
350         ,  3.022496124401135e-01,  4.289019614749492e-01,  1.944228769525969e+03,  1.125807766203824e-01
3563        ,  2.963852956512342e-01,  5.010121754144075e-01,  2.050758384007842e+03,  1.827562716615400e-01
3276        ,  3.528731625859118e-01,  4.719327446337360e-01,  2.887411505953066e+03,  2.365135887753032e-01
4238        ,  2.446030623760792e-01,  5.835360737430803e-01,  7.006435120459773e+02,  1.257446989661617e-01
5282        ,  5.293873330373472e-01,  6.245920890475568e-01,  1.894966216361074e+03,  2.714560069829863e-01
