# c0 + a0 * (sin(sum:hhi_r) / (|var:hhi_p - ave:atomic_number|)) + a1 * ((ave:atomic_radius_rahm - ave:atomic_radius) * cbrt(var:evaporation_heat)) + a2 * ((ave:atomic_radius * ave:Polarizability) / (ave:atomic_volume^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: energy * length^-2
# RMSE: 0.488525676865311; Max AE: 7.94298471604303
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.081343713688761e+01, -1.111442185843957e-04,  1.201332561215849e+00,  5.078048028624726e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|sin|11|1|abd|div; (sin(sum:hhi_r) / (|var:hhi_p - ave:atomic_number|)); $\left(\frac{ \left(\sin{ sum:hhi_{r} }\right) }{ \left(\left|var:hhi_{p} - ave:atomic_{number}\right|\right) } \right)$; (sin(sum:hhi_r) ./ abs(var:hhi_p - ave:atomic_number)); sum:hhi_r,var:hhi_p,ave:atomic_number
# 1;  2; atoms^-0.333333 * energy^0.333333 * length;       3|2|sub|10|cbrt|mult; ((ave:atomic_radius_rahm - ave:atomic_radius) * cbrt(var:evaporation_heat)); $\left(\left(ave:atomic_{radius, rahm} - ave:atomic_{radius}\right) \left(\sqrt[3]{ var:evaporation_{heat} }\right)\right)$; ((ave:atomic_radius_rahm - ave:atomic_radius) .* nthroot(var:evaporation_heat, 3)); ave:atomic_radius_rahm,ave:atomic_radius,var:evaporation_heat
# 2;  2; length^-5;                                        2|0|mult|4|cb|div; ((ave:atomic_radius * ave:Polarizability) / (ave:atomic_volume^3)); $\left(\frac{ \left(ave:atomic_{radius} ave:Polarizability\right) }{ \left(ave:atomic_{volume}^3\right) } \right)$; ((ave:atomic_radius .* ave:Polarizability) ./ (ave:atomic_volume).^3); ave:atomic_radius,ave:Polarizability,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2744                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  6.600563935856469e-01, -1.921826215129917e-07,  1.775894287819639e+03,  2.910385209506165e-01
3114        ,  1.831950432135623e+00,  1.289524595473666e+00, -2.411658830543152e-07,  2.392771752034962e+03,  8.720858660600411e-01
3034        ,  4.935948125875536e-01,  5.223404882171121e-01,  9.938839978074890e-07,  1.539713238619025e+03,  1.545410228579586e-01
915         ,  7.155608468327842e-01,  6.511960375235604e-01,  9.001883197355290e-08,  2.288971710597817e+03,  3.311291529313798e-01
143         ,  2.878408453797652e-01,  5.896250497352511e-01,  2.128400486820872e-05,  1.598280371200032e+03,  2.157851413746401e-01
1747        ,  4.723624565072543e-01,  7.462149060387696e-01, -6.942943800718599e-07,  3.033110529095473e+03,  4.790765930283827e-01
3624        ,  3.119165808174699e-01,  3.608011131885409e-01,  8.365569641886295e-08,  3.276993104588187e+03,  1.808110848310994e-01
1613        ,  4.892777101910798e-01,  4.098838808942792e-01, -6.976522184365821e-06,  2.018400732428477e+03,  1.052898210665329e-01
785         ,  1.323171435250627e+00,  5.953122504701341e-01, -6.815028131873381e-06,  2.031110513155834e+03,  2.608164820006997e-01
1473        ,  4.422223937745569e-01,  3.907884145261339e-01,  7.681089712960981e-08,  4.007946407040431e+03,  2.733987766718712e-01
3936        ,  3.696216735678464e-01,  4.180957388243077e-01,  1.751086874327276e-05,  2.162054062818097e+03,  1.251954683392449e-01
3196        ,  4.682934522240256e-01,  1.089704950462734e+00, -4.579462431006956e-06,  1.409516688907976e+03,  6.148250052859526e-01
1713        ,  5.274016633298737e-01,  4.924729383367071e-01,  3.044639923727354e-07,  1.052997901775482e+03,  8.465555285782679e-02
5825        ,  3.327553083664687e-01,  4.990843337856174e-01,  4.372050307742845e-07,  2.073226818975768e+03,  1.845467151518159e-01
199         ,  1.504427135099300e+00,  5.897950481333806e-01, -4.025986507107146e-06,  1.687089392577908e+03,  2.243708536212569e-01
