# c0 + a0 * ((sum:boiling_point / sum:hhi_r) * (ave:atomic_radius_rahm^6)) + a1 * ((exp(-1.0 * ave:atomic_number)) / (var:hhi_p - ave:atomic_number)) + a2 * ((ave:atomic_radius_rahm - ave:atomic_radius) * cbrt(var:evaporation_heat)) + a3 * ((ave:atomic_volume + ave:Polarizability) / (ave:atomic_volume^2))
# Property Label: $exfoliation_{energy}$; Unit of the Property: energy * length^-2
# RMSE: 0.481329938112015; Max AE: 7.74410465641092
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.295753033325833e-15, -1.271831240669525e+04, -1.399766954307762e-04,  8.874928783795299e+00, -4.214956358883139e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; length^6 * temperature;                           6|7|div|3|sp|mult; ((sum:boiling_point / sum:hhi_r) * (ave:atomic_radius_rahm^6)); $\left(\left(\frac{ sum:boiling_{point} }{ sum:hhi_{r} } \right) \left(ave:atomic_{radius, rahm}^6\right)\right)$; ((sum:boiling_point ./ sum:hhi_r) .* (ave:atomic_radius_rahm).^6); sum:boiling_point,sum:hhi_r,ave:atomic_radius_rahm
# 1;  2; Unitless;                                         1|nexp|11|1|sub|div; ((exp(-1.0 * ave:atomic_number)) / (var:hhi_p - ave:atomic_number)); $\left(\frac{ \left(\exp{ \left(-ave:atomic_{number} \right) } \right) }{ \left(var:hhi_{p} - ave:atomic_{number}\right) } \right)$; (exp(-1.0 * (ave:atomic_number)) ./ (var:hhi_p - ave:atomic_number)); ave:atomic_number,var:hhi_p,ave:atomic_number
# 2;  2; atoms^-0.333333 * energy^0.333333 * length;       3|2|sub|10|cbrt|mult; ((ave:atomic_radius_rahm - ave:atomic_radius) * cbrt(var:evaporation_heat)); $\left(\left(ave:atomic_{radius, rahm} - ave:atomic_{radius}\right) \left(\sqrt[3]{ var:evaporation_{heat} }\right)\right)$; ((ave:atomic_radius_rahm - ave:atomic_radius) .* nthroot(var:evaporation_heat, 3)); ave:atomic_radius_rahm,ave:atomic_radius,var:evaporation_heat
# 3;  2; length^-3;                                        4|0|add|4|sq|div; ((ave:atomic_volume + ave:Polarizability) / (ave:atomic_volume^2)); $\left(\frac{ \left(ave:atomic_{volume} + ave:Polarizability\right) }{ \left(ave:atomic_{volume}^2\right) } \right)$; ((ave:atomic_volume + ave:Polarizability) ./ (ave:atomic_volume).^2); ave:atomic_volume,ave:Polarizability,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2744                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
3606        ,  2.839481145196585e-01,  6.730911585568135e-01,  4.131561982640067e+13,  7.032220188070225e-14,  1.775894287819639e+03,  1.025686762503051e-01
3114        ,  1.831950432135623e+00,  1.641059608683864e+00,  5.314695994759162e+14,  5.591567550776224e-14,  2.392771752034962e+03,  1.498026792665575e-01
3034        ,  4.935948125875536e-01,  6.154935599201213e-01,  1.501210701999785e+14,  5.243142577349754e-28,  1.539713238619025e+03,  7.646791078743742e-02
915         ,  7.155608468327842e-01,  7.949974155732129e-01,  1.567797075542026e+14,  3.778317148719925e-18,  2.288971710597817e+03,  1.075391044558521e-01
143         ,  2.878408453797652e-01,  5.804099931021094e-01,  1.105906190480702e+14,  2.928311787897712e-27,  1.598280371200032e+03,  7.921003632367754e-02
1747        ,  4.723624565072543e-01,  8.525136074582241e-01,  1.119997986307043e+14,  3.193836143145413e-16,  3.033110529095473e+03,  1.322944566187809e-01
3624        ,  3.119165808174699e-01,  3.180656192726606e-01,  5.841398816961569e+13,  5.717641390904532e-17,  3.276993104588187e+03,  8.374464340373432e-02
1613        ,  4.892777101910798e-01,  3.693908616482805e-01,  2.031891708796231e+13,  3.327919442254202e-15,  2.018400732428477e+03,  7.523904784773451e-02
785         ,  1.323171435250627e+00,  6.191600228718361e-01,  4.179541901751525e+13,  1.134742517377764e-19,  2.031110513155834e+03,  1.004471365227828e-01
1473        ,  4.422223937745569e-01,  3.776488235715741e-01,  7.521308307302859e+13,  1.904399888116387e-17,  4.007946407040431e+03,  9.953430857463094e-02
3936        ,  3.696216735678464e-01,  3.352619536207144e-01,  3.175522874728507e+13,  4.293313614450721e-24,  2.162054062818097e+03,  7.198950908302780e-02
3196        ,  4.682934522240256e-01,  9.888621961986889e-01,  4.058569123321185e+13,  1.781976268357996e-16,  1.409516688907976e+03,  1.324768056369468e-01
1713        ,  5.274016633298737e-01,  4.808678595508425e-01,  1.583811627741819e+13,  1.681167000866798e-13,  1.052997901775482e+03,  7.322766418609557e-02
5825        ,  3.327553083664687e-01,  5.155760461051312e-01,  5.927156674624097e+13,  1.838417167375471e-15,  2.073226818975768e+03,  8.688832948413235e-02
199         ,  1.504427135099300e+00,  5.941866377702900e-01,  4.186288580103481e+13,  1.012353751120173e-22,  1.687089392577908e+03,  9.219740891465632e-02
1800        ,  4.375320177361192e-01,  3.700401224989723e-01,  1.306025306475360e+14,  1.518371542335677e-19,  4.360633846892427e+03,  9.615267879906275e-02
1941        ,  4.982888367482280e-01,  4.563488239577813e-01,  4.062666603938176e+13,  1.417632936313268e-24,  1.657519919032354e+03,  7.638037883827598e-02
5607        ,  5.615877319607279e-01,  4.929471877792720e-01,  3.277893860523696e+13,  2.133148111465348e-26,  1.771849206023812e+03,  8.345316981634353e-02
