,exfoliation_energy (J/m^2),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,sum:boiling_point,sum:hhi_r,var:boiling_point,var:c6_gb,var:evaporation_heat,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
3606,0.28394811451965846,4.860666666666666,16.333333333333332,141.18507923485691,203.33333333333331,13.309999999999999,34.4817,6547.58,11200.0,1721840.7360222223,95573.89555555556,23332.67505407961,1146666.6666666665,2535555.5555555555,905913.1822222223,7167077.166666666,1962.8145398098668,0.6883045603482227,0.7245707741815295,0.7074553447355931,0.7250628747395182,0.6513557976078941,0.6613314164908602,0.6600563935856469,0.6730911585568133
3114,1.8319504321356235,11.933333333333334,15.333333333333332,155.66666666666666,245.66666666666666,12.866666666666665,32.159,6286.0,2600.0,1072624.222222222,72453.55555555556,18792.142222222225,3919999.9999999995,268888.8888888889,227137.99999999997,47432.0,4232.0,1.0880811869170437,1.032548638571595,1.2463465942583571,1.2389805384221377,1.2681336825850984,1.2880115698920285,1.2895245954736665,1.6410596086838636
3034,0.4935948125875536,4.94,49.0,151.0,231.5,16.9,119.63,5461.648,5600.0,419370.217744,38809.0,6997.322500000001,1000000.0,160000.0,11518.655624999998,1646696.682175019,302.67300625,0.5015719263663698,0.4821908135715889,0.5315547528774743,0.5098352278387468,0.5064646129447667,0.5243060828806749,0.522340488217112,0.6154935599201212
915,0.7155608468327842,5.882857142857143,24.57142857142857,135.0,224.85714285714283,13.385714285714286,53.581714285714284,25714.944,21200.0,939049.7747696326,24454.530612244896,16529.64244897959,5642448.979591837,198367.3469387755,1689.9489551020404,289083.64381868084,203.0576387755102,0.7386477027851945,0.6348755494781502,0.7996740061386611,0.7211648975130174,0.6939117363082732,0.652026523382373,0.6511960375235604,0.7949974155732129
143,0.2878408453797652,7.85,50.5,163.0,244.0,18.1,121.209,7232.0,13800.0,297025.0,7396.0,7682.522499999999,40000.0,2102500.0,21517.95610000001,486506.25,1560.25,0.5925269598193611,0.48946299416408356,0.5955284352103483,0.5699697630241966,0.5714748366450374,0.591080730424542,0.5896250497352511,0.5804099931021094
1747,0.4723624565072543,5.2,21.5,126.0,218.0,11.1,45.496596999999994,7721.648,7400.0,1470369.6577440002,25760.25,35834.490000000005,1440000.0,722500.0,477481.0,199597.35781398282,2489.76050625,0.8239037993050411,0.8697069236994328,0.9420647537628062,0.8789890621907244,0.8509569581113888,0.7460330569640721,0.7462149060387697,0.8525136074582242
3624,0.3119165808174699,5.172,21.400000000000002,138.941526957265,218.20000000000002,15.84,45.585274000000005,13855.696,25600.0,3339122.385546241,167305.69840000002,70678.85074399998,8889600.0,9734400.0,978894.3456,2964382.2480137125,464.7214251704001,0.5702935071975188,0.4665779015074203,0.35665033088461084,0.3253191801309969,0.5343501086765517,0.3617455562745433,0.36080111318854086,0.3180656192726608
1613,0.4892777101910798,3.0656000000000003,21.8,137.01889133475842,182.0,15.860000000000001,51.388298528,6038.04,10800.0,5040905.078416,123004.51840000002,90350.741056,102400.0,1742400.0,1654279.5713440003,52548.064766934556,519.3348747664002,0.4571901252475532,0.45522449541706145,0.19234132106209595,0.20147701853834193,0.45418479043257487,0.41189094234276186,0.4098838808942791,0.3693908616482806
785,1.3231714352506265,4.58,32.33333333333333,136.0,221.66666666666663,13.366666666666667,73.82933333333334,4756.2,13500.0,787010.5799999998,213.55555555555554,13328.002222222223,80000.0,4500000.0,166887.90222222218,10755.555555555555,35463.1712,0.6703617740218235,0.6494058173440194,0.7364173274600126,0.7025924440417698,0.6192753046495828,0.5966518394011661,0.5953122504701341,0.6191600228718361
1473,0.44222239377455685,6.1,22.25,131.75,223.25,14.325,47.2715925,43010.831999999995,70800.0,3462322.795308,187500.0,84043.171875,11407500.0,11407500.0,1039879.6875,22508.24138238415,542.6066296875,0.7002368678557984,0.5107214364017847,0.4961614459726465,0.4123064030200926,0.632631326599883,0.3909536661751813,0.39078841452613383,0.37764882357157425
