# c0 + a0 * (ave:vdw_radius_uff * max:num_p_valence)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.522765414412166; Max AE: 9.07374603617541
# Coefficients
# Task   a0                      c0
# all , -5.572287789908894e-04,  1.449064467902748e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; pm;                                               21|3|mult; (ave:vdw_radius_uff * max:num_p_valence); $\left(ave:vdw_{radius, uff} max:num_{p, valence}\right)$; (ave:vdw_radius_uff .* max:num_p_valence); ave:vdw_radius_uff,max:num_p_valence
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3114        ,  1.831950432135623e+00,  1.449064467902748e+00,  0.000000000000000e+00
915         ,  7.155608468327842e-01,  5.053736494482914e-01,  1.693542857142857e+03
143         ,  2.878408453797652e-01,  4.535195313576249e-01,  1.786600000000000e+03
3624        ,  3.119165808174699e-01,  3.831415365710755e-01,  1.912900000000000e+03
1613        ,  4.892777101910798e-01,  5.226158999524951e-01,  1.662600000000000e+03
785         ,  1.323171435250627e+00,  5.645566527178761e-01,  1.587333333333333e+03
1473        ,  4.422223937745569e-01,  5.981761223836597e-01,  1.527000000000000e+03
3936        ,  3.696216735678464e-01,  3.912922738928606e-01,  1.898272727272727e+03
3196        ,  4.682934522240256e-01,  6.788628495815405e-01,  1.382200000000000e+03
5825        ,  3.327553083664687e-01,  5.809688976884211e-01,  1.557880000000000e+03
199         ,  1.504427135099300e+00,  5.903377708925213e-01,  1.541066666666667e+03
1800        ,  4.375320177361192e-01,  5.978975079941643e-01,  1.527500000000000e+03
4488        ,  3.500270645846581e-01,  4.467956374244680e-01,  1.798666666666667e+03
1941        ,  4.982888367482280e-01,  4.269675800387089e-01,  1.834250000000000e+03
5607        ,  5.615877319607279e-01,  4.325398678286179e-01,  1.824250000000000e+03
3304        ,  4.207482123452428e-01,  1.449064467902748e+00,  0.000000000000000e+00
5772        ,  9.791729170663426e-01,  6.150322929481341e-01,  1.496750000000000e+03
4208        ,  6.603942215445863e-01,  7.101791069608285e-01,  1.326000000000000e+03
5685        ,  1.451928416459744e+00,  7.126309135883885e-01,  1.321600000000000e+03
461         ,  2.895131874006477e-01,  3.072098282872504e-01,  2.049166666666667e+03
180         ,  3.677083798565582e-01,  5.153719258256136e-01,  1.675600000000000e+03
3567        ,  6.455865771715684e-01,  4.075242758574912e-01,  1.869142857142857e+03
986         ,  1.667063758544649e-01,  3.261788246387318e-01,  2.015125000000000e+03
3563        ,  2.963852956512342e-01,  4.454954369401560e-01,  1.801000000000000e+03
3276        ,  3.528731625859118e-01,  6.196108560821759e-01,  1.488533333333333e+03
4238        ,  2.446030623760792e-01,  6.883762645537667e-01,  1.365127272727273e+03
5282        ,  5.293873330373472e-01,  5.505116299038237e-01,  1.612538461538461e+03
599         ,  1.941897543062212e-01,  3.270843214045920e-01,  2.013500000000000e+03
3382        ,  4.754043303942602e-01,  4.695027101683469e-01,  1.757916666666667e+03
4760        ,  2.326804630331917e-01,  7.024293405576322e-01,  1.339907692307692e+03
4099        ,  2.771646182279487e-01,  6.069460460899319e-01,  1.511261538461538e+03
4506        ,  2.830919218734357e-01,  6.139854988847441e-01,  1.498628571428571e+03
2032        ,  3.425223935124700e-01,  3.439869277006491e-01,  1.983166666666667e+03
5625        ,  9.047570655746466e-01,  6.512301677096871e-01,  1.431789473684210e+03
3021        ,  9.436790737277430e-01,  6.492182785392251e-01,  1.435400000000000e+03
3265        ,  4.841085563396736e-01,  5.267951157949269e-01,  1.655100000000000e+03
73          ,  3.010695272812237e-01,  4.601691281202495e-01,  1.774666666666667e+03
3508        ,  7.316706566321051e-01,  6.277410893146906e-01,  1.473942857142857e+03
5286        ,  2.235408342514859e-01,  5.751904352502856e-01,  1.568250000000000e+03
359         ,  4.663407226120941e-01,  6.143357569743955e-01,  1.498000000000000e+03
3172        ,  4.790530319841335e-01,  6.135927852690743e-01,  1.499333333333333e+03
4401        ,  3.273613861116079e-01,  4.303109527126543e-01,  1.828250000000000e+03
3615        ,  3.036705797988253e-01,  3.963664329257927e-01,  1.889166666666667e+03
4407        ,  5.372482734277881e-01,  5.491922300304919e-01,  1.614906250000000e+03
5701        ,  9.203994095360772e-01,  4.480648807543918e-01,  1.796388888888889e+03
538         ,  3.775823948370269e-01,  5.288011393992941e-01,  1.651500000000000e+03
423         ,  3.114023315769188e-01,  3.787754851968647e-01,  1.920735294117647e+03
577         ,  3.135900205824857e-01,  3.761204539557904e-01,  1.925500000000000e+03
3422        ,  2.802083413851849e-01,  5.370879273840014e-01,  1.636628571428571e+03
1518        ,  2.969751162456789e-01,  4.031460497368484e-01,  1.877000000000000e+03
5181        ,  5.261236775456994e-01,  6.022104587435537e-01,  1.519760000000000e+03
1015        ,  3.391061495356983e-01,  5.302870828099364e-01,  1.648833333333333e+03
1156        ,  8.470934050524324e-01,  1.449064467902748e+00,  0.000000000000000e+00
4984        ,  4.348768073655889e-01,  6.008285313716564e-01,  1.522240000000000e+03
4680        ,  3.364035952142165e-01,  7.140207077195186e-01,  1.319105882352941e+03
5095        ,  5.893419787698063e-01,  4.606799211676578e-01,  1.773750000000000e+03
827         ,  4.003907365198857e-01,  5.397116788919356e-01,  1.631920000000000e+03
695         ,  3.284722007121098e+00,  1.449064467902748e+00,  0.000000000000000e+00
5396        ,  8.394699154938887e-02,  3.011731831815157e-01,  2.060000000000000e+03
