# c0 + a0 * (min:boiling_point * ave:num_p_valence) + a1 * (var:electron_affinity + ave:electron_affinity) + a2 * (min:evaporation_heat / max:icsd_volume)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.491113191321185; Max AE: 8.88372831392141
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.565368055222645e-04, -8.652120452125642e-02,  1.200307187773820e-01,  8.363203482641047e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; K;                                                5|4|mult; (min:boiling_point * ave:num_p_valence); $\left(min:boiling_{point} ave:num_{p, valence}\right)$; (min:boiling_point .* ave:num_p_valence); min:boiling_point,ave:num_p_valence
# 1;  1; eV;                                               19|10|add; (var:electron_affinity + ave:electron_affinity); $\left(var:electron_{affinity} + ave:electron_{affinity}\right)$; (var:electron_affinity + ave:electron_affinity); var:electron_affinity,ave:electron_affinity
# 2;  1; KJ * cm^-3;                                       2|27|div; (min:evaporation_heat / max:icsd_volume); $\left(\frac{ min:evaporation_{heat} }{ max:icsd_{volume} } \right)$; (min:evaporation_heat ./ max:icsd_volume); min:evaporation_heat,max:icsd_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3114        ,  1.831950432135623e+00,  1.306353650246271e+00,  0.000000000000000e+00,  2.354725422959902e+00,  5.613287904599660e+00
915         ,  7.155608468327842e-01,  4.726456687377698e-01,  1.640740571428571e+03,  1.800298058320549e+00,  4.076086956521739e-01
143         ,  2.878408453797652e-01,  3.595483719271238e-01,  3.157500000000000e+03,  1.833394651844000e+00,  1.467295226870949e+00
3624        ,  3.119165808174699e-01,  4.402168461605765e-01,  8.589600000000000e+02,  3.525485416764349e+00,  3.614457831325301e-01
1613        ,  4.892777101910798e-01,  4.553206840949290e-01,  3.400400000000000e+02,  4.302377233373775e+00,  3.705382436260624e-01
785         ,  1.323171435250627e+00,  5.127226903758368e-01,  2.554933333333333e+03,  1.895952744200000e+00,  2.002683663200269e+00
1473        ,  4.422223937745569e-01,  3.717014241206201e-01,  2.153472000000000e+03,  2.039348182647353e+00,  4.076086956521739e-01
3936        ,  3.696216735678464e-01,  4.461616211089926e-01,  9.655272727272727e+02,  3.392083290437405e+00,  4.537918329751305e-01
3196        ,  4.682934522240256e-01,  5.752283084944187e-01,  1.916200000000000e+03,  2.329137391471038e+00,  2.002683663200269e+00
5825        ,  3.327553083664687e-01,  4.497402182674098e-01,  1.659000000000000e+03,  2.032000540527688e+00,  4.076086956521739e-01
199         ,  1.504427135099300e+00,  5.127282811838036e-01,  2.554933333333333e+03,  1.895888126422222e+00,  2.002683663200269e+00
1800        ,  4.375320177361192e-01,  3.564258464070417e-01,  2.153472000000000e+03,  2.215901176772920e+00,  4.076086956521739e-01
4488        ,  3.500270645846581e-01,  5.952530843971326e-01,  2.555383333333333e+02,  2.556065533383896e+00,  1.673551529955449e-01
1941        ,  4.982888367482280e-01,  4.671348025344812e-01,  8.297500000000000e+02,  3.395330576594811e+00,  4.537918329751305e-01
5607        ,  5.615877319607279e-01,  5.324452196357065e-01,  7.467750000000000e+02,  2.790602799716011e+00,  4.537918329751305e-01
3304        ,  4.207482123452428e-01,  7.733279249074240e-01,  0.000000000000000e+00,  7.672243302760000e-01,  2.823235477826358e-02
5772        ,  9.791729170663426e-01,  7.016825923127993e-01,  3.156650000000000e+02,  1.621809337706652e+00,  4.590185972998019e-01
4208        ,  6.603942215445863e-01,  6.829922789478637e-01,  2.525320000000000e+02,  1.880730652832699e+00,  4.076086956521739e-01
5685        ,  1.451928416459744e+00,  7.617550463883307e-01,  2.220061538461539e+02,  1.650945474951138e+00,  8.583521318102081e-01
461         ,  2.895131874006477e-01,  3.756967548122562e-01,  1.525000000000000e+03,  3.933769490434275e+00,  9.868266290284640e-01
180         ,  3.677083798565582e-01,  3.074163836718261e-01,  2.584166400000000e+03,  1.919824542963738e+00,  3.475670307845085e-01
3567        ,  6.455865771715684e-01,  5.583616771509571e-01,  3.643285714285714e+02,  2.820775780222590e+00,  1.926929876252210e-01
986         ,  1.667063758544649e-01,  4.089256608711273e-01,  1.014050000000000e+03,  4.079808352531687e+00,  7.025817555938038e-01
3563        ,  2.963852956512342e-01,  3.530062861167660e-01,  7.953333333333333e+02,  5.121825550138889e+00,  7.025817555938038e-01
3276        ,  3.528731625859118e-01,  4.986150738145272e-01,  2.554933333333333e+03,  2.059006606422222e+00,  2.002683663200269e+00
4238        ,  2.446030623760792e-01,  7.339394497870435e-01,  4.056000000000000e+01,  1.129866356541926e+00,  1.437659033078880e-02
5282        ,  5.293873330373472e-01,  5.052446342690595e-01,  2.746476923076924e+02,  3.749086386576131e+00,  3.023578363384189e-01
599         ,  1.941897543062212e-01,  3.201972475772257e-01,  1.106333333333333e+03,  4.593211305024720e+00,  4.537918329751305e-01
3382        ,  4.754043303942602e-01,  6.385474247482136e-01,  3.156650000000000e+02,  2.458708906580084e+00,  5.362854110965671e-01
4760        ,  2.326804630331917e-01,  6.448391273311164e-01,  2.220061538461539e+02,  2.155168652046489e+00,  2.477590838478892e-01
4099        ,  2.771646182279487e-01,  7.102924561389233e-01,  2.497569230769231e+02,  1.348460678432583e+00,  2.477590838478892e-01
4506        ,  2.830919218734357e-01,  4.632327998094445e-01,  1.640740571428571e+03,  1.909090682977234e+00,  4.076086956521739e-01
2032        ,  3.425223935124700e-01,  4.035115825358737e-01,  1.525000000000000e+03,  3.612289595678719e+00,  9.868266290284640e-01
5625        ,  9.047570655746466e-01,  7.433336955010781e-01,  3.037978947368421e+02,  1.663203565761944e+00,  8.203839490445116e-01
3021        ,  9.436790737277430e-01,  5.129011358138972e-01,  1.916200000000000e+03,  2.354227473796825e+00,  1.501509054325956e+00
3265        ,  4.841085563396736e-01,  2.290054274110421e-01,  3.789000000000000e+03,  2.199662689883000e+00,  1.467295226870949e+00
73          ,  3.010695272812237e-01,  4.840115344550229e-01,  7.953333333333333e+02,  3.607685183472222e+00,  7.025817555938038e-01
