# c0 + a0 * (ave:num_p_valence * min:evaporation_heat) + a1 * (ave:mendeleev_number * min:evaporation_heat)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.466124408837042; Max AE: 9.34619674798828
# Coefficients
# Task   a0                      a1                      c0
# all , -4.259827752465833e-03,  1.185890336244531e-04,  5.832395741742114e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; KJ * mol^-1;                                      4|2|mult; (ave:num_p_valence * min:evaporation_heat); $\left(ave:num_{p, valence} min:evaporation_{heat}\right)$; (ave:num_p_valence .* min:evaporation_heat); ave:num_p_valence,min:evaporation_heat
# 1;  1; KJ * mol^-1;                                      16|2|mult; (ave:mendeleev_number * min:evaporation_heat); $\left(ave:mendeleev_{number} min:evaporation_{heat}\right)$; (ave:mendeleev_number .* min:evaporation_heat); ave:mendeleev_number,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  5.424168084150051e-01,  4.673727357706582e+01,  1.334608812145102e+03
3114        ,  1.831950432135623e+00,  1.609611848322703e+00,  0.000000000000000e+00,  8.654866666666667e+03
3034        ,  4.935948125875536e-01,  5.586312670405322e-01,  3.150000000000000e+01,  9.240000000000000e+02
915         ,  7.155608468327842e-01,  5.888011396796592e-01,  2.400000000000000e+01,  9.090000000000000e+02
1747        ,  4.723624565072543e-01,  5.921527947639127e-01,  2.100000000000000e+01,  8.295000000000000e+02
3624        ,  3.119165808174699e-01,  5.315453152293862e-01,  3.780000000000000e+01,  9.219000000000001e+02
785         ,  1.323171435250627e+00,  5.139348124163178e-01,  1.592000000000000e+02,  5.134200000000000e+03
1473        ,  4.422223937745569e-01,  5.533392314150410e-01,  3.150000000000000e+01,  8.793750000000000e+02
3936        ,  3.696216735678464e-01,  5.177603035947366e-01,  8.599272727272727e+01,  2.536785454545454e+03
1713        ,  5.274016633298737e-01,  5.468390982504098e-01,  2.616000000000000e+01,  6.327450000000000e+02
199         ,  1.504427135099300e+00,  5.115748906471911e-01,  1.592000000000000e+02,  5.114299999999999e+03
