# c0 + a0 * (min:evaporation_heat^3) + a1 * (ave:vdw_radius_uff * max:num_p_valence)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.474485286109054; Max AE: 6.11424277647242
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.455728822039204e-08, -4.122368739112680e-04,  1.196656312272297e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; KJ^3 * mol^-3;                                    2|cb; (min:evaporation_heat^3); $\left(min:evaporation_{heat}^3\right)$; (min:evaporation_heat).^3; min:evaporation_heat
# 1;  1; pm;                                               21|3|mult; (ave:vdw_radius_uff * max:num_p_valence); $\left(ave:vdw_{radius, uff} max:num_{p, valence}\right)$; (ave:vdw_radius_uff .* max:num_p_valence); ave:vdw_radius_uff,max:num_p_valence
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  4.774336343252358e-01,  3.781171348515361e+03,  1.745000000000000e+03
3034        ,  4.935948125875536e-01,  5.097447899673362e-01,  1.157625000000000e+03,  1.666400000000000e+03
143         ,  2.878408453797652e-01,  4.644219455049152e-01,  1.235059920000000e+05,  1.786600000000000e+03
1747        ,  4.723624565072543e-01,  6.272322990320476e-01,  1.157625000000000e+03,  1.381400000000000e+03
3624        ,  3.119165808174699e-01,  4.081284005482086e-01,  1.157625000000000e+03,  1.912900000000000e+03
1613        ,  4.892777101910798e-01,  5.112809522885506e-01,  2.797262640000000e+02,  1.662600000000000e+03
3936        ,  3.696216735678464e-01,  4.150108892563778e-01,  2.582933881600000e+04,  1.898272727272727e+03
3196        ,  4.682934522240256e-01,  6.342154726889353e-01,  2.127761730000000e+05,  1.382200000000000e+03
1713        ,  5.274016633298737e-01,  4.507748851202243e-01,  2.797262640000000e+02,  1.809375000000000e+03
5825        ,  3.327553083664687e-01,  5.544807355241871e-01,  1.157625000000000e+03,  1.557880000000000e+03
1800        ,  4.375320177361192e-01,  5.670044917536115e-01,  1.157625000000000e+03,  1.527500000000000e+03
4488        ,  3.500270645846581e-01,  4.553102554253310e-01,  3.781171348515361e+03,  1.798666666666667e+03
1941        ,  4.982888367482280e-01,  4.414034182065605e-01,  2.582933881600000e+04,  1.834250000000000e+03
5607        ,  5.615877319607279e-01,  4.455257869456731e-01,  2.582933881600000e+04,  1.824250000000000e+03
3304        ,  4.207482123452428e-01,  1.196656337801952e+00,  7.387632640000000e-01,  0.000000000000000e+00
