# c0 + a0 * (ave:thermal_conductivity * min:evaporation_heat)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.528070532913859; Max AE: 9.4059200334706
# Coefficients
# Task   a0                      c0
# all ,  3.715641094937355e-05,  5.050340226662754e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; K^-1 * KJ * W * m^-1 * mol^-1;                    6|2|mult; (ave:thermal_conductivity * min:evaporation_heat); $\left(ave:thermal_{conductivity} min:evaporation_{heat}\right)$; (ave:thermal_conductivity .* min:evaporation_heat); ave:thermal_conductivity,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2440                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  5.231785796102857e-01,  4.883291060789668e+02
3114        ,  1.831950432135623e+00,  1.063316528462803e+00,  1.502520000000000e+04
3034        ,  4.935948125875536e-01,  5.119015027655071e-01,  1.848262500000000e+02
915         ,  7.155608468327842e-01,  5.115335149605672e-01,  1.749225000000000e+02
143         ,  2.878408453797652e-01,  5.836755664406246e-01,  2.116500000000000e+03
1747        ,  4.723624565072543e-01,  5.245811280019808e-01,  5.260762500000000e+02
1613        ,  4.892777101910798e-01,  5.078096409858927e-01,  7.470092640000000e+01
785         ,  1.323171435250627e+00,  8.015680429042971e-01,  7.980695999999999e+03
1473        ,  4.422223937745569e-01,  5.103609282992755e-01,  1.433643750000000e+02
3936        ,  3.696216735678464e-01,  5.347372250898874e-01,  7.994098909090909e+02
3196        ,  4.682934522240256e-01,  5.570738798983519e-01,  1.400562000000000e+03
1713        ,  5.274016633298737e-01,  5.068008422772610e-01,  4.755086850000000e+01
5825        ,  3.327553083664687e-01,  5.225007721358746e-01,  4.700871000000000e+02
199         ,  1.504427135099300e+00,  8.237504202410731e-01,  8.577696000000000e+03
1800        ,  4.375320177361192e-01,  5.106535350355018e-01,  1.512393750000000e+02
1941        ,  4.982888367482280e-01,  7.412437774243839e-01,  6.357173600000000e+03
5607        ,  5.615877319607279e-01,  6.173231711722514e-01,  3.022066600000000e+03
5772        ,  9.791729170663426e-01,  5.344209420937327e-01,  7.908976856644632e+02
4208        ,  6.603942215445863e-01,  5.060196969376427e-01,  2.652770400000000e+01
5588        ,  8.803208873918648e-01,  5.374388702278280e-01,  8.721199581333331e+02
461         ,  2.895131874006477e-01,  5.138137246335203e-01,  2.362903666666667e+02
