# c0 + a0 * (min:evaporation_heat * min:bulk_modulus) + a1 * (ave:vdw_radius_uff * max:num_p_valence)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.510567613625668; Max AE: 9.14740178567666
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.795098560324216e-05, -3.995764807297605e-04,  1.158643817436953e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; GPa * KJ * mol^-1;                                2|0|mult; (min:evaporation_heat * min:bulk_modulus); $\left(min:evaporation_{heat} min:bulk_{modulus}\right)$; (min:evaporation_heat .* min:bulk_modulus); min:evaporation_heat,min:bulk_modulus
# 1;  1; pm;                                               21|3|mult; (ave:vdw_radius_uff * max:num_p_valence); $\left(ave:vdw_{radius, uff} max:num_{p, valence}\right)$; (ave:vdw_radius_uff .* max:num_p_valence); ave:vdw_radius_uff,max:num_p_valence
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2440                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  4.620332246156286e-01,  1.713700031159080e+01,  1.745000000000000e+03
3114        ,  1.831950432135623e+00,  1.383731113049782e+00,  5.931000000000001e+03,  0.000000000000000e+00
3034        ,  4.935948125875536e-01,  4.958579071349018e-01,  8.085000000000001e+01,  1.666400000000000e+03
915         ,  7.155608468327842e-01,  4.850122598008084e-01,  8.085000000000001e+01,  1.693542857142857e+03
143         ,  2.878408453797652e-01,  5.676078173628575e-01,  3.237000000000000e+03,  1.786600000000000e+03
1747        ,  4.723624565072543e-01,  6.097372041428836e-01,  8.085000000000001e+01,  1.381400000000000e+03
1613        ,  4.892777101910798e-01,  5.059234314250168e-01,  3.060650643120978e+02,  1.662600000000000e+03
785         ,  1.323171435250627e+00,  5.431878432348419e-01,  4.955100000000000e+02,  1.587333333333333e+03
1473        ,  4.422223937745569e-01,  5.515588685486305e-01,  8.085000000000001e+01,  1.527000000000000e+03
3936        ,  3.696216735678464e-01,  4.022701607634525e-01,  5.616399999999999e+01,  1.898272727272727e+03
3196        ,  4.682934522240256e-01,  6.251542986485401e-01,  4.955100000000000e+02,  1.382200000000000e+03
1713        ,  5.274016633298737e-01,  4.472755934659062e-01,  3.060650643120978e+02,  1.809375000000000e+03
5825        ,  3.327553083664687e-01,  5.392199468236956e-01,  8.085000000000001e+01,  1.557880000000000e+03
199         ,  1.504427135099300e+00,  5.616749150766056e-01,  4.955100000000000e+02,  1.541066666666667e+03
1800        ,  4.375320177361192e-01,  5.513590803082656e-01,  8.085000000000001e+01,  1.527500000000000e+03
1941        ,  4.982888367482280e-01,  4.278521368138101e-01,  5.616399999999999e+01,  1.834250000000000e+03
5607        ,  5.615877319607279e-01,  4.318479016211076e-01,  5.616399999999999e+01,  1.824250000000000e+03
5772        ,  9.791729170663426e-01,  5.990084411656073e-01,  1.012640927503093e+03,  1.496750000000000e+03
4208        ,  6.603942215445863e-01,  6.318737411753124e-01,  8.085000000000001e+01,  1.326000000000000e+03
5588        ,  8.803208873918648e-01,  4.864285389040792e-01,  3.060650643120978e+02,  1.711388888888889e+03
461         ,  2.895131874006477e-01,  3.521037499561831e-01,  3.230150000000000e+02,  2.049166666666667e+03
180         ,  3.677083798565582e-01,  4.921818035121881e-01,  8.085000000000001e+01,  1.675600000000000e+03
3567        ,  6.455865771715684e-01,  4.233937634480042e-01,  3.060650643120978e+02,  1.869142857142857e+03
986         ,  1.667063758544649e-01,  3.542992992841724e-01,  2.245100000000000e+01,  2.015125000000000e+03
350         ,  3.022496124401135e-01,  3.660176764208797e-01,  5.616399999999999e+01,  1.989000000000000e+03
3563        ,  2.963852956512342e-01,  4.398586132204323e-01,  2.245100000000000e+01,  1.801000000000000e+03
795         ,  2.766538255638341e-01,  3.218145282401499e-01,  5.616399999999999e+01,  2.099625000000000e+03
3276        ,  3.528731625859118e-01,  5.826659995309423e-01,  4.955100000000000e+02,  1.488533333333333e+03
4238        ,  2.446030623760792e-01,  6.135004198858323e-01,  8.678400000000000e+00,  1.365127272727273e+03
5282        ,  5.293873330373472e-01,  5.170415678383292e-01,  7.194000000000000e+01,  1.612538461538461e+03
599         ,  1.941897543062212e-01,  3.562280526430005e-01,  5.616399999999999e+01,  2.013500000000000e+03
3382        ,  4.754043303942602e-01,  4.568720284062026e-01,  1.713700031159080e+01,  1.757916666666667e+03
2828        ,  4.609014146704439e-01,  4.865651920722300e-01,  4.955100000000000e+02,  1.729040000000000e+03
4760        ,  2.326804630331917e-01,  6.289241391512159e-01,  1.495592754466106e+02,  1.339907692307692e+03
4099        ,  2.771646182279487e-01,  5.604551723455533e-01,  1.495592754466106e+02,  1.511261538461538e+03
4506        ,  2.830919218734357e-01,  5.628954241304777e-01,  8.085000000000001e+01,  1.498628571428571e+03
2032        ,  3.425223935124700e-01,  3.784757976843473e-01,  3.230150000000000e+02,  1.983166666666667e+03
5625        ,  9.047570655746466e-01,  5.930380789173791e-01,  1.713700031159080e+02,  1.431789473684210e+03
3021        ,  9.436790737277430e-01,  5.993654821926899e-01,  3.761100000000000e+02,  1.435400000000000e+03
6349        ,  6.066079572580644e-01,  6.191672090881060e-01,  8.085000000000001e+01,  1.357800000000000e+03
3265        ,  4.841085563396736e-01,  6.201521245788210e-01,  3.237000000000000e+03,  1.655100000000000e+03
73          ,  3.010695272812237e-01,  4.503807938796494e-01,  2.245100000000000e+01,  1.774666666666667e+03
909         ,  2.859807336003438e-01,  4.497814291585547e-01,  2.245100000000000e+01,  1.776166666666667e+03
3508        ,  7.316706566321051e-01,  5.761945783041210e-01,  1.713700031159080e+02,  1.473942857142857e+03
5286        ,  2.235408342514859e-01,  5.347381954368030e-01,  7.194000000000000e+01,  1.568250000000000e+03
359         ,  4.663407226120941e-01,  5.631465864897935e-01,  8.085000000000001e+01,  1.498000000000000e+03
3172        ,  4.790530319841335e-01,  5.626138178488206e-01,  8.085000000000001e+01,  1.499333333333333e+03
5918        ,  2.241858049594979e+00,  4.864285389040792e-01,  3.060650643120978e+02,  1.711388888888889e+03
4401        ,  3.273613861116079e-01,  4.302495956981886e-01,  5.616399999999999e+01,  1.828250000000000e+03
3615        ,  3.036705797988253e-01,  4.096380233012972e-01,  1.544300879101011e+02,  1.889166666666667e+03
