# c0 + a0 * (min:boiling_point * ave:num_p_valence) + a1 * (max:electron_affinity * ave:num_p_valence) + a2 * (min:evaporation_heat / max:icsd_volume)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.497979293806642; Max AE: 8.90068868887782
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.385894611587788e-04, -2.863814113550505e-02,  1.067429214671432e-01,  8.277924525782903e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; K;                                                5|4|mult; (min:boiling_point * ave:num_p_valence); $\left(min:boiling_{point} ave:num_{p, valence}\right)$; (min:boiling_point .* ave:num_p_valence); min:boiling_point,ave:num_p_valence
# 1;  1; eV;                                               11|4|mult; (max:electron_affinity * ave:num_p_valence); $\left(max:electron_{affinity} ave:num_{p, valence}\right)$; (max:electron_affinity .* ave:num_p_valence); max:electron_affinity,ave:num_p_valence
# 2;  1; KJ * cm^-3;                                       2|27|div; (min:evaporation_heat / max:icsd_volume); $\left(\frac{ min:evaporation_{heat} }{ max:icsd_{volume} } \right)$; (min:evaporation_heat ./ max:icsd_volume); min:evaporation_heat,max:icsd_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2440                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  5.371537882919125e-01,  2.705700000000000e+02,  1.083817500000000e+01,  5.362854110965671e-01
3114        ,  1.831950432135623e+00,  1.426971202551436e+00,  0.000000000000000e+00,  0.000000000000000e+00,  5.613287904599660e+00
3034        ,  4.935948125875536e-01,  3.878564548693075e-01,  2.153472000000000e+03,  6.231312090000000e+00,  3.463060686015831e-01
915         ,  7.155608468327842e-01,  5.079481047536595e-01,  1.640740571428571e+03,  4.747666354285714e+00,  4.076086956521739e-01
143         ,  2.878408453797652e-01,  4.057140455189967e-01,  3.157500000000000e+03,  4.927190000000000e+00,  1.467295226870949e+00
1747        ,  4.723624565072543e-01,  5.533673161054038e-01,  1.435648000000000e+03,  4.154208060000000e+00,  4.076086956521739e-01
1613        ,  4.892777101910798e-01,  4.306038242169047e-01,  3.400400000000000e+02,  1.360475880000000e+01,  3.705382436260624e-01
785         ,  1.323171435250627e+00,  5.331626365374552e-01,  2.554933333333333e+03,  5.388453333333333e+00,  2.002683663200269e+00
1473        ,  4.422223937745569e-01,  3.944000763742982e-01,  2.153472000000000e+03,  6.231312090000000e+00,  4.076086956521739e-01
3936        ,  3.696216735678464e-01,  4.621958654714965e-01,  9.655272727272727e+02,  9.784983854545457e+00,  4.537918329751305e-01
3196        ,  4.682934522240256e-01,  6.287978214127772e-01,  1.916200000000000e+03,  5.140061639513323e+00,  2.002683663200269e+00
1713        ,  5.274016633298737e-01,  4.266687705154811e-01,  3.400400000000000e+02,  1.360475880000000e+01,  3.336734693877551e-01
5825        ,  3.327553083664687e-01,  4.629286844124019e-01,  1.659000000000000e+03,  6.231312090000000e+00,  4.076086956521739e-01
199         ,  1.504427135099300e+00,  5.331626365374552e-01,  2.554933333333333e+03,  5.388453333333333e+00,  2.002683663200269e+00
1800        ,  4.375320177361192e-01,  3.944000763742982e-01,  2.153472000000000e+03,  6.231312090000000e+00,  4.076086956521739e-01
1941        ,  4.982888367482280e-01,  5.204196291881903e-01,  8.297500000000000e+02,  8.408970500000002e+00,  4.537918329751305e-01
5607        ,  5.615877319607279e-01,  5.560008181261699e-01,  7.467750000000000e+02,  7.568073450000002e+00,  4.537918329751305e-01
5772        ,  9.791729170663426e-01,  6.354938087351065e-01,  3.156650000000000e+02,  6.898066000000000e+00,  4.590185972998019e-01
4208        ,  6.603942215445863e-01,  6.578336366412482e-01,  2.525320000000000e+02,  6.231894880207652e+00,  4.076086956521739e-01
5588        ,  8.803208873918648e-01,  5.161864026180237e-01,  2.739211111111111e+02,  1.095938903333334e+01,  3.767281105990783e-01
461         ,  2.895131874006477e-01,  4.297631896182111e-01,  1.525000000000000e+03,  1.019678933333333e+01,  9.868266290284640e-01
180         ,  3.677083798565582e-01,  2.926107098179092e-01,  2.584166400000000e+03,  7.477574508000001e+00,  3.475670307845085e-01
3567        ,  6.455865771715684e-01,  3.804243189507790e-01,  3.643285714285714e+02,  1.457652728571428e+01,  1.926929876252210e-01
986         ,  1.667063758544649e-01,  3.225390928083158e-01,  1.014050000000000e+03,  1.535408125000000e+01,  7.025817555938038e-01
