# c0 + a0 * (ave:thermal_conductivity * min:evaporation_heat)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.512440911267307; Max AE: 9.40708872249946
# Coefficients
# Task   a0                      c0
# all ,  3.753735980562612e-05,  5.038651362896212e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; K^-1 * KJ * W * m^-1 * mol^-1;                    6|2|mult; (ave:thermal_conductivity * min:evaporation_heat); $\left(ave:thermal_{conductivity} min:evaporation_{heat}\right)$; (ave:thermal_conductivity .* min:evaporation_heat); ave:thermal_conductivity,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  5.221957216480670e-01,  4.883291060789668e+02
3114        ,  1.831950432135623e+00,  1.067871474841115e+00,  1.502520000000000e+04
3034        ,  4.935948125875536e-01,  5.108030257373958e-01,  1.848262500000000e+02
915         ,  7.155608468327842e-01,  5.104312651102207e-01,  1.749225000000000e+02
143         ,  2.878408453797652e-01,  5.833129583182288e-01,  2.116500000000000e+03
1747        ,  4.723624565072543e-01,  5.236126497710657e-01,  5.260762500000000e+02
3624        ,  3.119165808174699e-01,  5.081555957048813e-01,  1.142983800000000e+02
1613        ,  4.892777101910798e-01,  5.066692118417115e-01,  7.470092640000000e+01
785         ,  1.323171435250627e+00,  8.034393935409423e-01,  7.980695999999999e+03
1473        ,  4.422223937745569e-01,  5.092466564173048e-01,  1.433643750000000e+02
3936        ,  3.696216735678464e-01,  5.338728729968520e-01,  7.994098909090909e+02
3196        ,  4.682934522240256e-01,  5.564385360137085e-01,  1.400562000000000e+03
1713        ,  5.274016633298737e-01,  5.056500703495757e-01,  4.755086850000000e+01
5825        ,  3.327553083664687e-01,  5.215109649023045e-01,  4.700871000000000e+02
199         ,  1.504427135099300e+00,  8.258491973449011e-01,  8.577696000000000e+03
1800        ,  4.375320177361192e-01,  5.095422631257742e-01,  1.512393750000000e+02
4488        ,  3.500270645846581e-01,  5.186886571435050e-01,  3.949004653135487e+02
1941        ,  4.982888367482280e-01,  7.424966490596486e-01,  6.357173600000000e+03
5607        ,  5.615877319607279e-01,  6.173055376103863e-01,  3.022066600000000e+03
3304        ,  4.207482123452428e-01,  5.050237846174662e-01,  3.086653760000000e+01
5772        ,  9.791729170663426e-01,  5.335533472858451e-01,  7.908976856644632e+02
4208        ,  6.603942215445863e-01,  5.048609162594863e-01,  2.652770400000000e+01
5588        ,  8.803208873918648e-01,  5.366022169517397e-01,  8.721199581333331e+02
5685        ,  1.451928416459744e+00,  5.271766509303936e-01,  6.210216904300904e+02
461         ,  2.895131874006477e-01,  5.127348528017911e-01,  2.362903666666667e+02
180         ,  3.677083798565582e-01,  5.076973816582172e-01,  1.020915000000000e+02
3567        ,  6.455865771715684e-01,  5.040802994471857e-01,  5.731973657142857e+00
986         ,  1.667063758544649e-01,  5.153623129620171e-01,  3.062862367500000e+02
350         ,  3.022496124401135e-01,  5.086808191940289e-01,  1.282904000000000e+02
3563        ,  2.963852956512342e-01,  5.243000157357441e-01,  5.443877659999999e+02
795         ,  2.766538255638341e-01,  5.178350551298269e-01,  3.721604000000000e+02
3276        ,  3.528731625859118e-01,  5.584255386176595e-01,  1.453496000000000e+03
4238        ,  2.446030623760792e-01,  5.039246756244219e-01,  1.586135389090909e+00
5282        ,  5.293873330373472e-01,  5.092328876346109e-01,  1.429975728923077e+02
599         ,  1.941897543062212e-01,  5.106115307732153e-01,  1.797248000000000e+02
3382        ,  4.754043303942602e-01,  5.457868862194176e-01,  1.116800705933325e+03
2828        ,  4.609014146704439e-01,  7.152164779255173e-01,  5.630426400000000e+03
