# c0 + a0 * (ave:num_p_valence * min:evaporation_heat) + a1 * (ave:mendeleev_number * min:evaporation_heat)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.494781772208397; Max AE: 9.33916613871184
# Coefficients
# Task   a0                      a1                      c0
# all , -4.341956254981679e-03,  1.214509077186559e-04,  5.894719222551749e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; KJ * mol^-1;                                      4|2|mult; (ave:num_p_valence * min:evaporation_heat); $\left(ave:num_{p, valence} min:evaporation_{heat}\right)$; (ave:num_p_valence .* min:evaporation_heat); ave:num_p_valence,min:evaporation_heat
# 1;  1; KJ * mol^-1;                                      16|2|mult; (ave:mendeleev_number * min:evaporation_heat); $\left(ave:mendeleev_{number} min:evaporation_{heat}\right)$; (ave:mendeleev_number .* min:evaporation_heat); ave:mendeleev_number,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  5.486301765907836e-01,  4.673727357706582e+01,  1.334608812145102e+03
3114        ,  1.831950432135623e+00,  1.640613335105779e+00,  0.000000000000000e+00,  8.654866666666667e+03
3034        ,  4.935948125875536e-01,  5.649209389552901e-01,  3.150000000000000e+01,  9.240000000000000e+02
915         ,  7.155608468327842e-01,  5.956638472518728e-01,  2.400000000000000e+01,  9.090000000000000e+02
143         ,  2.878408453797652e-01,  5.660241884852206e-01,  1.245000000000000e+02,  4.257900000000000e+03
1747        ,  4.723624565072543e-01,  5.990343688531846e-01,  2.100000000000000e+01,  8.295000000000000e+02
3624        ,  3.119165808174699e-01,  5.373115676426963e-01,  3.780000000000000e+01,  9.219000000000001e+02
1613        ,  4.892777101910798e-01,  5.489609287810150e-01,  2.616000000000000e+01,  6.016800000000001e+02
785         ,  1.323171435250627e+00,  5.217857368712145e-01,  1.592000000000000e+02,  5.134200000000000e+03
1473        ,  4.422223937745569e-01,  5.595011921983449e-01,  3.150000000000000e+01,  8.793750000000000e+02
3936        ,  3.696216735678464e-01,  5.241901583324515e-01,  8.599272727272727e+01,  2.536785454545454e+03
3196        ,  4.682934522240256e-01,  5.387072832172046e-01,  1.194000000000000e+02,  3.850650000000000e+03
1713        ,  5.274016633298737e-01,  5.527338012292951e-01,  2.616000000000000e+01,  6.327450000000000e+02
5825        ,  3.327553083664687e-01,  5.590548601124790e-01,  3.150000000000000e+01,  8.757000000000000e+02
199         ,  1.504427135099300e+00,  5.193688638076133e-01,  1.592000000000000e+02,  5.114299999999999e+03
1800        ,  4.375320177361192e-01,  5.591823835655835e-01,  3.150000000000000e+01,  8.767500000000000e+02
4488        ,  3.500270645846581e-01,  5.453980721206815e-01,  4.414075837833994e+01,  1.215169113003711e+03
1941        ,  4.982888367482280e-01,  5.719638613298418e-01,  7.389999999999999e+01,  2.497820000000000e+03
5607        ,  5.615877319607279e-01,  6.031533958461156e-01,  6.650999999999999e+01,  2.490430000000000e+03
3304        ,  4.207482123452428e-01,  5.997264596171288e-01,  0.000000000000000e+00,  8.443360000000001e+01
