# c0 + a0 * (min:boiling_point * ave:num_p_valence) + a1 * (var:electron_affinity + ave:electron_affinity) + a2 * (min:evaporation_heat / max:icsd_volume)
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.481847262960176; Max AE: 8.89421680692009
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.484627057471335e-04, -8.558336178754666e-02,  1.161428104808987e-01,  8.287080947012936e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; K;                                                5|4|mult; (min:boiling_point * ave:num_p_valence); $\left(min:boiling_{point} ave:num_{p, valence}\right)$; (min:boiling_point .* ave:num_p_valence); min:boiling_point,ave:num_p_valence
# 1;  1; eV;                                               19|10|add; (var:electron_affinity + ave:electron_affinity); $\left(var:electron_{affinity} + ave:electron_{affinity}\right)$; (var:electron_affinity + ave:electron_affinity); var:electron_affinity,ave:electron_affinity
# 2;  1; KJ * cm^-3;                                       2|27|div; (min:evaporation_heat / max:icsd_volume); $\left(\frac{ min:evaporation_{heat} }{ max:icsd_{volume} } \right)$; (min:evaporation_heat ./ max:icsd_volume); min:evaporation_heat,max:icsd_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  5.544743361489591e-01,  2.705700000000000e+02,  3.462704583382167e+00,  5.362854110965671e-01
3114        ,  1.831950432135623e+00,  1.279125810196422e+00,  0.000000000000000e+00,  2.354725422959902e+00,  5.613287904599660e+00
3034        ,  4.935948125875536e-01,  3.817463448192248e-01,  2.153472000000000e+03,  1.956833975756789e+00,  3.463060686015831e-01
915         ,  7.155608468327842e-01,  4.783845694767414e-01,  1.640740571428571e+03,  1.800298058320549e+00,  4.076086956521739e-01
143         ,  2.878408453797652e-01,  3.734448149706013e-01,  3.157500000000000e+03,  1.833394651844000e+00,  1.467295226870949e+00
1747        ,  4.723624565072543e-01,  5.028568302046661e-01,  1.435648000000000e+03,  1.870128656583726e+00,  4.076086956521739e-01
3624        ,  3.119165808174699e-01,  4.414410041625543e-01,  8.589600000000000e+02,  3.525485416764349e+00,  3.614457831325301e-01
1613        ,  4.892777101910798e-01,  4.530482819340932e-01,  3.400400000000000e+02,  4.302377233373775e+00,  3.705382436260624e-01
785         ,  1.323171435250627e+00,  5.197310785403844e-01,  2.554933333333333e+03,  1.895952744200000e+00,  2.002683663200269e+00
1473        ,  4.422223937745569e-01,  3.818043609938152e-01,  2.153472000000000e+03,  2.039348182647353e+00,  4.076086956521739e-01
3936        ,  3.696216735678464e-01,  4.477620707155663e-01,  9.655272727272727e+02,  3.392083290437405e+00,  4.537918329751305e-01
3196        ,  4.682934522240256e-01,  5.774857590697287e-01,  1.916200000000000e+03,  2.329137391471038e+00,  2.002683663200269e+00
1713        ,  5.274016633298737e-01,  4.478031130683154e-01,  3.400400000000000e+02,  4.313636318759893e+00,  3.336734693877551e-01
5825        ,  3.327553083664687e-01,  4.558438479438245e-01,  1.659000000000000e+03,  2.032000540527688e+00,  4.076086956521739e-01
199         ,  1.504427135099300e+00,  5.197366087470379e-01,  2.554933333333333e+03,  1.895888126422222e+00,  2.002683663200269e+00
1800        ,  4.375320177361192e-01,  3.666943622228921e-01,  2.153472000000000e+03,  2.215901176772920e+00,  4.076086956521739e-01
4488        ,  3.500270645846581e-01,  5.914505988336051e-01,  2.555383333333333e+02,  2.556065533383896e+00,  1.673551529955449e-01
1941        ,  4.982888367482280e-01,  4.676420183375867e-01,  8.297500000000000e+02,  3.395330576594811e+00,  4.537918329751305e-01
5607        ,  5.615877319607279e-01,  5.317153474585522e-01,  7.467750000000000e+02,  2.790602799716011e+00,  4.537918329751305e-01
3304        ,  4.207482123452428e-01,  7.663254423015158e-01,  0.000000000000000e+00,  7.672243302760000e-01,  2.823235477826358e-02
5772        ,  9.791729170663426e-01,  6.963554293456536e-01,  3.156650000000000e+02,  1.621809337706652e+00,  4.590185972998019e-01
4208        ,  6.603942215445863e-01,  6.775980782967456e-01,  2.525320000000000e+02,  1.880730652832699e+00,  4.076086956521739e-01
5588        ,  8.803208873918648e-01,  5.265404767972689e-01,  2.739211111111111e+02,  3.566754141968770e+00,  3.767281105990783e-01
5685        ,  1.451928416459744e+00,  7.541464255052314e-01,  2.220061538461539e+02,  1.650945474951138e+00,  8.583521318102081e-01
461         ,  2.895131874006477e-01,  3.802500691010224e-01,  1.525000000000000e+03,  3.933769490434275e+00,  9.868266290284640e-01
180         ,  3.677083798565582e-01,  3.211181322132012e-01,  2.584166400000000e+03,  1.919824542963738e+00,  3.475670307845085e-01
3567        ,  6.455865771715684e-01,  5.555873202284352e-01,  3.643285714285714e+02,  2.820775780222590e+00,  1.926929876252210e-01
986         ,  1.667063758544649e-01,  4.105955933671070e-01,  1.014050000000000e+03,  4.079808352531687e+00,  7.025817555938038e-01
350         ,  3.022496124401135e-01,  3.242417528592921e-01,  1.244625000000000e+03,  4.351203292071109e+00,  4.537918329751305e-01
3563        ,  2.963852956512342e-01,  3.538875266807716e-01,  7.953333333333333e+02,  5.121825550138889e+00,  7.025817555938038e-01
795         ,  2.766538255638341e-01,  3.214426301131772e-01,  1.493550000000000e+03,  3.952095853796108e+00,  4.537918329751305e-01
3276        ,  3.528731625859118e-01,  5.057763808589631e-01,  2.554933333333333e+03,  2.059006606422222e+00,  2.002683663200269e+00
4238        ,  2.446030623760792e-01,  7.276584237988354e-01,  4.056000000000000e+01,  1.129866356541926e+00,  1.437659033078880e-02
5282        ,  5.293873330373472e-01,  5.021904274622438e-01,  2.746476923076924e+02,  3.749086386576131e+00,  3.023578363384189e-01
599         ,  1.941897543062212e-01,  3.240610485468118e-01,  1.106333333333333e+03,  4.593211305024720e+00,  4.537918329751305e-01
3382        ,  4.754043303942602e-01,  6.337047356741776e-01,  3.156650000000000e+02,  2.458708906580084e+00,  5.362854110965671e-01
2828        ,  4.609014146704439e-01,  4.926626129079157e-01,  2.682680000000000e+03,  1.990630607744000e+00,  2.002683663200269e+00
4760        ,  2.326804630331917e-01,  6.400773182677717e-01,  2.220061538461539e+02,  2.155168652046489e+00,  2.477590838478892e-01
4099        ,  2.771646182279487e-01,  7.049981443439051e-01,  2.497569230769231e+02,  1.348460678432583e+00,  2.477590838478892e-01
4506        ,  2.830919218734357e-01,  4.690737309209315e-01,  1.640740571428571e+03,  1.909090682977234e+00,  4.076086956521739e-01
2032        ,  3.425223935124700e-01,  4.077633992413096e-01,  1.525000000000000e+03,  3.612289595678719e+00,  9.868266290284640e-01
5625        ,  9.047570655746466e-01,  7.365445822688851e-01,  3.037978947368421e+02,  1.663203565761944e+00,  8.203839490445116e-01
3021        ,  9.436790737277430e-01,  5.171306378604337e-01,  1.916200000000000e+03,  2.354227473796825e+00,  1.501509054325956e+00
6349        ,  6.066079572580644e-01,  4.829098340534429e-01,  1.435648000000000e+03,  2.103199614940560e+00,  4.076086956521739e-01
3265        ,  4.841085563396736e-01,  2.483441662805799e-01,  3.789000000000000e+03,  2.199662689883000e+00,  1.467295226870949e+00
73          ,  3.010695272812237e-01,  4.834727494783336e-01,  7.953333333333333e+02,  3.607685183472222e+00,  7.025817555938038e-01
909         ,  2.859807336003438e-01,  4.881369888353528e-01,  7.953333333333333e+02,  3.553185812804851e+00,  7.025817555938038e-01
3508        ,  7.316706566321051e-01,  7.577637137065780e-01,  3.349914285714286e+02,  1.361156446641276e+00,  8.203839490445116e-01
5286        ,  2.235408342514859e-01,  4.420995197404070e-01,  2.833666666666667e+02,  4.436094514898093e+00,  3.023578363384189e-01
359         ,  4.663407226120941e-01,  4.216020668232875e-01,  1.914197333333333e+03,  1.989404580174640e+00,  4.076086956521739e-01
3172        ,  4.790530319841335e-01,  3.951680062540642e-01,  1.914197333333333e+03,  2.298273734378276e+00,  4.076086956521739e-01
5918        ,  2.241858049594979e+00,  5.265404767972689e-01,  2.739211111111111e+02,  3.566754141968770e+00,  3.767281105990783e-01
4401        ,  3.273613861116079e-01,  4.114291861772008e-01,  8.297500000000000e+02,  4.052150208194812e+00,  4.537918329751305e-01
3615        ,  3.036705797988253e-01,  5.089563937313034e-01,  2.064000000000000e+02,  4.018353323678720e+00,  4.717914743058200e-01
4407        ,  5.372482734277881e-01,  6.985283107687706e-01,  3.168750000000000e+01,  1.485628828953200e+00,  1.437659033078880e-02
5701        ,  9.203994095360772e-01,  6.265618919056074e-01,  2.906122222222222e+02,  1.899659424314331e+00,  3.080788047071268e-02
538         ,  3.775823948370269e-01,  5.008139138999607e-01,  3.187875000000000e+02,  3.818793656634893e+00,  3.982947624847746e-01
423         ,  3.114023315769188e-01,  3.626641022461620e-01,  9.761764705882352e+02,  4.367938386527845e+00,  4.537918329751305e-01
577         ,  3.135900205824857e-01,  3.178166321747053e-01,  1.106333333333333e+03,  4.666174276350943e+00,  4.537918329751305e-01
3422        ,  2.802083413851849e-01,  3.464881531211363e-01,  2.256018285714286e+03,  2.043412285660934e+00,  2.376103190767142e-01
1518        ,  2.969751162456789e-01,  3.435079712791285e-01,  8.947500000000000e+02,  5.070646070429687e+00,  7.025817555938038e-01
5181        ,  5.261236775456994e-01,  7.002982074699265e-01,  3.066460000000000e+02,  1.345460167351162e+00,  2.778011981518416e-01
1015        ,  3.391061495356983e-01,  4.909313921272716e-01,  2.833666666666667e+02,  3.944191015196821e+00,  3.603305785123967e-01
1156        ,  8.470934050524324e-01,  7.565113102494989e-01,  0.000000000000000e+00,  2.273737228201053e+00,  1.053851640513552e+00
4984        ,  4.348768073655889e-01,  4.466258035328196e-01,  2.778600000000000e+03,  1.635593712490240e+00,  1.467295226870949e+00
4680        ,  3.364035952142165e-01,  7.633998097105018e-01,  2.334329411764706e+02,  1.335592633694092e+00,  7.202538692720886e-01
5095        ,  5.893419787698063e-01,  4.971985457073491e-01,  5.965000000000000e+02,  3.792225006406250e+00,  7.025817555938038e-01
827         ,  4.003907365198857e-01,  4.119107982968968e-01,  1.990800000000000e+03,  1.969758581241317e+00,  4.076086956521739e-01
695         ,  3.284722007121098e+00,  2.262610340675417e+00,  0.000000000000000e+00,  9.941202500000000e-01,  1.307857449549163e+01
5396        ,  8.394699154938887e-02,  3.750236739687445e-01,  1.633928571428572e+03,  3.805877396847804e+00,  9.868266290284640e-01
3038        ,  2.698343232194364e-01,  8.990652463011986e-01,  1.548000000000000e+02,  1.094319999999999e-01,  8.842969829250620e-01
4451        ,  3.854058871881627e-01,  3.749136642335452e-01,  2.009907200000000e+03,  2.138206488852415e+00,  2.376103190767142e-01
683         ,  7.567006984040863e-01,  3.922269114142474e-01,  2.833666666666667e+02,  4.809353280803576e+00,  1.479972844534963e-01
4700        ,  2.941516770264208e-01,  3.954824578613423e-01,  8.947500000000000e+02,  4.463349447620734e+00,  7.025817555938038e-01
2132        ,  6.747740069016210e-01,  5.814133134287898e-01,  4.841999999999999e+03,  1.087443376938776e+00,  4.861503674392312e+00
5269        ,  5.468292537176512e-01,  3.872229003001716e-01,  7.157999999999998e+02,  4.870285539253536e+00,  7.025817555938038e-01
1517        ,  4.146991767326453e-01,  5.000171666948291e-01,  1.435648000000000e+03,  1.903308744985560e+00,  4.076086956521739e-01
4066        ,  3.764670136622192e-01,  7.079962320984455e-01,  2.104433333333333e+02,  1.422396658596380e+00,  2.778011981518416e-01
5182        ,  1.517650397507960e-01,  7.077815129206902e-01,  2.220061538461539e+02,  1.364078033042899e+00,  2.477590838478892e-01
1           ,  4.764892223280973e-01,  7.541793182315512e-01,  1.908000000000000e+03,  6.256324232000001e-01,  2.258269720101781e+00
3515        ,  3.510859978507264e-02,  3.334232251017772e-01,  2.512384000000000e+03,  1.831642883662130e+00,  2.967778405879027e-01
1029        ,  3.092915995936308e-01,  4.465234279525906e-01,  1.525000000000000e+03,  3.159397492567609e+00,  9.868266290284640e-01
5743        ,  3.087205345176252e-01,  4.857265872939123e-01,  3.713705882352942e+02,  3.687912057628156e+00,  2.391632052863874e-01
1217        ,  3.172537314486099e-01,  4.329458030956047e-01,  1.372500000000000e+03,  3.582589415938560e+00,  9.868266290284640e-01
2683        ,  3.844169398000933e-01,  4.763172468776935e-01,  2.526000000000000e+03,  1.726852526864000e+00,  1.467295226870949e+00
759         ,  8.184498203592120e-01,  5.412400580730216e-01,  2.833666666666667e+02,  3.278445700489797e+00,  3.029180176007411e-01
711         ,  2.502401932608478e-01,  4.433499790654211e-01,  7.953333333333333e+02,  4.076500261250001e+00,  7.025817555938038e-01
4207        ,  2.013711137722670e+00,  7.539635695047945e-01,  2.856016666666666e+02,  1.360348857529389e+00,  7.239354643287768e-01
1543        ,  3.840654554424733e-01,  5.458719695920050e-01,  2.299440000000000e+03,  2.033717144536000e+00,  2.002683663200269e+00
3822        ,  4.218122849416643e-01,  3.744062354145319e-01,  2.218728727272727e+03,  1.958883688808902e+00,  3.680336487907466e-01
905         ,  3.238182016186769e-01,  3.283159543833946e-01,  1.206909090909091e+03,  4.369024564306628e+00,  4.537918329751305e-01
347         ,  2.775346891577328e-01,  3.906889352570435e-01,  1.493550000000000e+03,  3.142986422972811e+00,  4.537918329751305e-01
2342        ,  1.210246062183758e+00,  4.383400897729131e-01,  7.953333333333333e+02,  4.135038383472223e+00,  7.025817555938038e-01
4542        ,  3.048128990006040e-01,  7.769294393875785e-01,  2.623709090909091e+02,  1.367724238637140e+00,  8.974130871172393e-01
559         ,  3.453933368526703e-01,  7.266246221195731e-01,  1.202533333333333e+02,  1.025999088242722e+00,  3.080788047071268e-02
457         ,  3.376524920945591e-01,  3.509557023397317e-01,  2.256018285714285e+03,  2.213869967029029e+00,  4.016832440703902e-01
3113        ,  2.314166087738986e-01,  7.823866953240399e-01,  2.405066666666667e+02,  1.341887074720442e+00,  8.974130871172393e-01
4420        ,  3.179225982353691e-01,  5.161370644880577e-01,  4.056000000000000e+01,  3.600713775663179e+00,  1.387780165796746e-02
1696        ,  3.247424454205921e-01,  4.361136099455349e-01,  3.011171428571429e+03,  2.081539360326531e+00,  2.002683663200269e+00
2686        ,  3.503757653850906e-01,  5.022916257183297e-01,  5.531666666666666e+02,  3.285359237620276e+00,  3.175421634976904e-01
3177        ,  2.627434022730241e-01,  5.304290952609053e-01,  3.246840000000000e+02,  3.246572877131334e+00,  2.391632052863874e-01
246         ,  2.556389493354024e-01,  3.752165744934672e-01,  1.073700000000000e+03,  4.389719273554688e+00,  7.025817555938038e-01
5215        ,  2.936995358011208e-01,  4.300016477517376e-01,  1.194840000000000e+03,  3.201813071446026e+00,  4.537918329751305e-01
286         ,  2.223387257013637e-01,  3.125835813944070e-01,  7.953333333333333e+02,  5.277777740138889e+00,  4.618692011767369e-01
465         ,  3.187608224082913e-01,  5.424138477215436e-01,  2.395250000000000e+03,  1.907920614202250e+00,  2.002683663200269e+00
5237        ,  4.050496152104346e-01,  4.250188298174000e-01,  1.824900000000000e+03,  1.953981266538824e+00,  2.967778405879027e-01
4712        ,  3.442133508674560e-01,  3.339625800936488e-01,  3.193666666666667e+03,  2.231986539020000e+00,  1.467295226870949e+00
1007        ,  8.851170638711574e-01,  8.360975217778919e-01,  1.657000000000000e+03,  5.238725304542222e-01,  2.567760342368046e+00
4773        ,  3.367910301019642e-01,  6.786563639023458e-01,  4.424727272727273e+01,  1.714838526239364e+00,  2.823235477826358e-02
2379        ,  1.925093990386221e-01,  3.179030919292067e-01,  1.493550000000000e+03,  3.993453637716271e+00,  4.537918329751305e-01
877         ,  6.907271953905234e-01,  4.274961108767937e-01,  2.886857142857143e+03,  1.671319632191673e+00,  1.467295226870949e+00
4038        ,  4.295673667432552e-01,  4.502308567288166e-01,  1.659000000000000e+03,  2.097585615684487e+00,  4.076086956521739e-01
56          ,  2.848354288519700e-01,  3.768805827631124e-01,  3.157500000000000e+03,  1.793249374529000e+00,  1.467295226870949e+00
293         ,  3.141382424198136e-01,  4.446954832350841e-01,  2.833666666666667e+02,  4.376516189108020e+00,  2.808072133963074e-01
2482        ,  2.685476051705485e-01,  3.125835813944070e-01,  7.953333333333333e+02,  5.277777740138889e+00,  4.618692011767369e-01
698         ,  3.526971622512460e-01,  3.535781921387225e-01,  2.392746666666666e+03,  1.954083997850560e+00,  4.076086956521739e-01
5638        ,  8.721344321156084e-01,  7.169344985443610e-01,  4.056000000000000e+01,  1.255170212694430e+00,  1.437659033078880e-02
3735        ,  4.120303000763381e-01,  7.457059529019875e-01,  3.687272727272727e+00,  1.001756679723045e+00,  2.823235477826358e-02
416         ,  6.071117165413150e-01,  5.195051981834332e-01,  2.554933333333333e+03,  1.898592046422222e+00,  2.002683663200269e+00
3708        ,  4.867280057715314e-01,  4.775995705482566e-01,  3.740440000000000e+02,  3.781778397704848e+00,  2.417744916820702e-01
5819        ,  7.652967829040024e-01,  6.930170552116851e-01,  3.766000000000000e+03,  1.649960770454222e+00,  4.861503674392312e+00
2404        ,  8.926809959705674e-01,  9.289118824199679e-01,  0.000000000000000e+00,  2.162027633883162e+00,  2.455919395465995e+00
5860        ,  5.228726533292852e-01,  7.142929690855941e-01,  2.834542857142857e+02,  1.545005813928124e+00,  5.156931874331439e-01
1770        ,  7.267589887161684e-01,  6.017412473140169e-01,  2.890340000000000e+02,  2.401460925325967e+00,  1.848501978518937e-01
4280        ,  1.996358645314295e-01,  6.222604026675890e-01,  3.443618181818182e+02,  2.542649588307636e+00,  5.362854110965671e-01
4123        ,  6.986549779679445e-01,  6.815358217475088e-01,  2.405066666666667e+02,  1.344234602265833e+00,  3.080788047071268e-02
1823        ,  1.515492379722413e+00,  1.320872581302850e+00,  0.000000000000000e+00,  1.866934686133500e+00,  5.613287904599660e+00
3445        ,  2.252985427404290e-02,  4.834973373231625e-01,  1.435648000000000e+03,  1.975369084255560e+00,  3.184713375796178e-01
5375        ,  4.917466885534617e-01,  7.025083949970650e-01,  5.948800000000000e+01,  1.409700820057525e+00,  2.823235477826358e-02
5658        ,  2.914387417132949e-01,  3.825243026876600e-01,  1.033933333333333e+03,  4.349007711104321e+00,  6.846695739684669e-01
722         ,  3.444202719318335e-01,  5.452956831668143e-01,  2.395250000000000e+03,  1.874247767225000e+00,  2.002683663200269e+00
748         ,  3.334604743545695e-01,  4.535299606567958e-01,  1.073700000000000e+03,  3.450357280756250e+00,  6.846695739684669e-01
1752        ,  7.809780495391134e-01,  7.616751131466807e-01,  3.766000000000000e+03,  8.477247224542223e-01,  4.861503674392312e+00
3395        ,  3.436035898879734e-01,  5.456808235303949e-01,  3.607600000000000e+02,  3.005782279384309e+00,  2.391632052863874e-01
2138        ,  9.287432598310735e-01,  4.405255415930588e-01,  1.525000000000000e+03,  3.229479880478720e+00,  9.868266290284640e-01
1741        ,  1.896376276085417e-01,  4.438314133827341e-01,  3.400400000000000e+02,  4.447739467351669e+00,  3.982947624847746e-01
1296        ,  4.887142558626417e-01,  7.382848528975992e-01,  5.088000000000000e+03,  9.989605555555556e-01,  6.461436610393909e+00
1953        ,  2.915310679059414e-01,  5.468980290786853e-01,  1.538863636363636e+03,  1.962519595361196e+00,  9.868266290284640e-01
725         ,  4.409581854373062e-01,  7.282695670407530e-01,  5.088000000000000e+03,  1.115984304654222e+00,  6.461436610393909e+00
604         ,  4.560471731927151e-01,  7.230240359293784e-01,  3.306966666666667e+02,  1.361035492862722e+00,  5.156931874331439e-01
4975        ,  2.234892878596882e-01,  6.683079060828095e-01,  5.070000000000000e+01,  1.824561587743887e+00,  2.823235477826358e-02
3827        ,  3.455204772490412e-01,  4.889253886236367e-01,  1.161650000000000e+03,  2.570892965711073e+00,  4.537918329751305e-01
1494        ,  3.967603100069481e-01,  3.731242921245837e-01,  2.153472000000000e+03,  2.140770569989170e+00,  4.076086956521739e-01
309         ,  3.416637145480106e-01,  3.810320717001063e-01,  3.031200000000000e+03,  1.963835695210240e+00,  1.467295226870949e+00
2934        ,  7.704268631123875e-01,  9.204759106012838e-01,  1.757000000000000e+03,  5.968911338888889e-01,  3.475899524779362e+00
2904        ,  3.724124904587404e-01,  3.284496265481488e-01,  1.548866666666667e+03,  3.774263876606451e+00,  4.537918329751305e-01
2310        ,  2.595786735285539e-01,  3.125835813944070e-01,  7.953333333333333e+02,  5.277777740138889e+00,  4.618692011767369e-01
1210        ,  3.142728504011673e-01,  3.904840280729374e-01,  8.297500000000000e+02,  4.296884203994812e+00,  4.537918329751305e-01
3119        ,  2.876046469044033e-01,  6.883418969255189e-01,  3.191338461538462e+02,  1.639659158495469e+00,  4.076086956521739e-01
3373        ,  2.341191539407255e-01,  6.585132087904174e-01,  1.683546666666667e+02,  1.923710297784844e+00,  1.673551529955449e-01
5614        ,  4.725731745332571e-01,  7.085215965394325e-01,  2.886080000000000e+02,  1.612891854264940e+00,  5.226129215818610e-01
4342        ,  1.740699555697718e-01,  7.715383856522409e-01,  2.623709090909091e+02,  1.430716082177016e+00,  8.974130871172393e-01
4778        ,  1.209858356759635e+00,  7.239239001008144e-01,  2.886080000000000e+02,  1.321267823375900e+00,  4.403360992751632e-01
1002        ,  4.915429250815457e-01,  6.903563053398826e-01,  3.607600000000000e+02,  1.699981329354562e+00,  5.226129215818610e-01
3958        ,  5.589352628698108e-01,  3.344716728068922e-01,  1.525000000000000e+03,  4.034835047191275e+00,  6.671437659033079e-01
522         ,  3.091110080170049e-01,  3.214426301131772e-01,  1.493550000000000e+03,  3.952095853796108e+00,  4.537918329751305e-01
4929        ,  2.848078766839471e-01,  4.590510643132212e-01,  2.833666666666667e+02,  4.238023952831426e+00,  3.023578363384189e-01
1449        ,  3.198084694908603e-01,  4.442946039398477e-01,  1.794560000000000e+03,  1.931789936410560e+00,  4.076086956521739e-01
414         ,  2.030825961381315e-01,  4.259029265298532e-01,  3.187875000000000e+02,  4.422769131172394e+00,  1.983621474067334e-01
100         ,  9.132390745163984e-01,  6.460605749264007e-01,  1.752000000000000e+03,  6.360822500000001e-01,  1.135646687697161e+00
4326        ,  5.719339261998349e-01,  3.364323283324924e-01,  7.635200000000000e+02,  5.054303772850000e+00,  4.618692011767369e-01
2649        ,  3.967585550694082e-01,  4.705229597479884e-01,  1.640740571428571e+03,  1.892157148271569e+00,  4.076086956521739e-01
690         ,  2.040436270851283e-01,  3.621978457379282e-01,  1.525000000000000e+03,  4.093787897638720e+00,  9.493097985969677e-01
1340        ,  6.973473440932254e-01,  5.589981566142700e-01,  1.684000000000000e+03,  2.221395947670222e+00,  1.467295226870949e+00
1320        ,  1.880671717446803e+00,  2.287337152306582e+00,  4.204800000000000e+03,  1.624473053719234e+00,  1.913086913086913e+01
5200        ,  3.532355286476786e-01,  7.313936963661674e-01,  2.405066666666667e+02,  1.937715491515499e+00,  8.974130871172393e-01
260         ,  3.247669513726531e-01,  3.532933493384934e-01,  1.021230769230769e+03,  4.399274732397455e+00,  4.537918329751305e-01
1779        ,  3.791915322769544e-01,  3.869866468474191e-01,  3.031200000000000e+03,  1.894259377770240e+00,  1.467295226870949e+00
5545        ,  2.668049528800025e-01,  6.967729503239942e-01,  3.052584615384616e+02,  1.348288746027610e+00,  2.477590838478892e-01
3183        ,  3.640381892335092e-01,  4.093515503610919e-01,  1.914197333333333e+03,  2.132545912862720e+00,  4.076086956521739e-01
1460        ,  1.677160946148001e-01,  3.877802480000926e-01,  1.073700000000000e+03,  4.206308229804687e+00,  6.756041046011254e-01
4197        ,  3.298131708488971e-01,  6.233731052537111e-01,  3.501494117647059e+02,  2.116392058031592e+00,  2.391632052863874e-01
3867        ,  4.436248011424289e-01,  5.603848364314441e-01,  5.504571428571429e+01,  3.055959287657664e+00,  1.195292873198466e-02
3864        ,  3.252128607235879e-01,  7.345674449160932e-01,  1.931428571428571e+01,  1.079661552508753e+00,  9.711032334300139e-03
4310        ,  3.941056212771386e-01,  6.719554334546164e-01,  4.056000000000000e+01,  1.799532008503375e+00,  2.823235477826358e-02
