ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),ave:heat_capacity_molar (J / mol / K),sum:thermal_conductivity (W / m / K),ave:bulk_modulus (GPa)
3606,0.28394811451965846,1.1,0.0089,15.579091192355275,5.0,3.0,90.19,31.345159999999996,18.841069555555542,1866.6666666666665,4.666666666666666,1.9132794999999998,3.612725,54.8,121.302,33.949,19.473333333333333,85.66666666666666,302.3,94.0,1.549425083382167,101.0,349.0,28.89233333333333,188.07095999999999,79.06868028350742
3114,1.8319504321356235,45.0,22.0,131.8,0.0,0.0,1363.0,113.99999999999999,0.008106888888888799,866.6666666666665,0.0,1.4351517026540979,2.113227553981147,922.0,147.1,25.06,21.543333333333333,65.66666666666666,302.1,160.0,0.9195737203058044,73.0,307.23333333333335,24.932666666666663,342.0,66.66666666666666
3034,0.4935948125875536,7.7,0.205,10.5,4.0,3.0,717.824,17.6025,1.0,1400.0,1.0,1.2169235950000001,2.07710403,386.0,195.2,24.7,28.04,88.0,403.5,35.0,0.7399103807567893,94.0,416.6,23.7,70.41,26.85
915,0.7155608468327842,7.7,0.205,10.5,4.0,2.2857142857142856,717.824,16.659285714285712,2.7156489795918395,1514.2857142857142,2.204081632653061,1.135901727142857,2.07710403,302.93,271.96,26.03,22.240000000000002,86.57142857142857,403.5,29.0,0.6643963311776917,94.0,423.38571428571424,24.60285714285714,233.23,50.39551870660234
143,0.2878408453797652,65.0,3.0,49.8,4.0,2.5,1263.0,42.5,0.255024999999999,3450.0,2.25,1.135438,1.970876,429.32,196.6,26.74,30.04,85.5,446.3,82.0,0.697956651844,92.0,446.65,26.235,170.0,72.09646442026789
1747,0.4723624565072543,7.7,0.205,10.5,4.0,2.0,717.824,50.1025,1.1130249999999995,1850.0,4.0,1.369680245,2.07710403,386.0,277.17,24.81,18.44,79.0,287.2,100.0,0.5004484115837262,94.0,345.35,23.755,200.41,93.85
3624,0.3119165808174699,1.1,0.0089,10.5,5.0,3.6,238.6,10.885560000000002,27.527504239999992,2560.0,3.4400000000000004,2.459412812,3.612725,172.2,121.302,33.949,25.554000000000002,87.80000000000001,316.5,54.0,1.066072604764349,99.0,382.58000000000004,27.5796,108.8556,37.519999999999996
1613,0.4892777101910798,46.798939497262666,0.0277,6.54,5.0,4.0,85.01,11.42216,5.6529817599999985,2160.0,4.0,2.7853517600000006,3.4011897000000006,53.53,79.335,31.304,16.666000000000004,92.00000000000001,317.0,57.0,1.5170254733737751,102.0,332.52,30.115199999999998,57.1108,77.43915159781014
785,1.3231714352506265,8.3,0.52,59.7,4.0,2.6666666666666665,958.1,133.67999999999998,0.1893175555555563,4500.0,3.5555555555555554,1.7587799999999998,2.02067,490.0,227.2,25.363000000000003,23.81,86.0,349.5,400.0,0.13717274419999995,93.0,396.8333333333333,25.055333333333337,401.04,52.199999999999996
1473,0.44222239377455685,7.7,0.205,10.5,4.0,3.0,717.824,13.65375,0.6768750000000014,2950.0,3.0,1.7871795225,2.07710403,386.0,277.17,24.6,23.8575,83.75,316.5,54.0,0.25216866014735273,94.0,381.75,23.174999999999997,327.69,48.275
3936,0.3696216735678464,1.9,0.12,29.56,5.0,2.909090909090909,331.9,27.043636363636363,574.2984694214875,6754.545454545454,4.991735537190083,1.964998254545455,3.3635882000000006,265.9,111.85,75.69,38.29636363636364,85.81818181818181,289.9,72.0,1.4270850358919502,98.0,379.6545454545454,43.988181818181815,594.96,83.87272727272727
3196,0.46829345222402563,8.3,0.52,59.7,4.0,2.0,958.1,23.46,0.27933224999999995,4500.0,4.0,1.8073549549391654,2.5700308197566617,490.0,159.3,26.32,23.362499999999997,64.5,245.1,85.0,0.5217824365318721,93.0,345.55,25.4765,93.84,36.9
1713,0.5274016633298737,46.798939497262666,0.0277,6.54,5.0,4.0,85.01,7.270775,5.215326749999995,1600.0,3.0,2.6583922750000006,3.4011897000000006,53.53,79.335,31.304,17.215000000000003,96.75,336.4,29.0,1.6552440437598923,102.0,361.875,29.9855,58.1662,55.70349405708552
5825,0.33275530836646866,7.7,0.205,10.5,4.0,3.0,553.0,44.770199999999996,1.1544899600000011,2210.0,2.4,1.544583818,2.07710403,317.3,277.17,25.52,23.455000000000002,83.4,314.8,430.0,0.48741672252768753,94.0,389.46999999999997,23.4718,447.702,22.520000000000003
199,1.5044271350993002,8.3,0.52,59.7,4.0,2.6666666666666665,958.1,143.67999999999998,3.755555555556524e-05,4466.666666666667,3.5555555555555554,1.781113333333333,2.02067,490.0,227.2,25.363000000000003,25.556666666666665,85.66666666666666,314.8,430.0,0.11477479308888892,93.0,385.26666666666665,25.358666666666668,431.04,38.86666666666666
1800,0.4375320177361192,7.7,0.205,10.5,4.0,3.0,717.824,14.40375,1.3266750000000003,1950.0,3.0,1.6383280225,2.07710403,386.0,277.17,25.36,23.7325,83.5,317.0,57.0,0.5775731542729201,94.0,381.875,23.365,230.46,55.775
4488,0.3500270645846581,1.1,0.0089,15.579091192355275,5.0,2.833333333333333,90.19,25.348106666666666,10.008585249999994,2100.0,4.138888888888889,1.5246642499999998,3.612725,54.8,80.9,33.949,31.038333333333334,78.0,302.3,94.0,1.031401283383896,101.0,359.73333333333335,29.415499999999998,608.35456,65.31968709192779
1941,0.498288836748228,1.9,0.12,29.56,5.0,2.5,331.9,215.06,633.5288999999999,4150.0,6.25,2.3327941,3.3635882000000006,265.9,111.85,75.69,41.095,84.5,314.8,430.0,1.0625364765948109,98.0,366.85,50.519999999999996,860.24,50.95
5607,0.5615877319607279,1.9,0.12,29.56,5.0,2.25,331.9,102.235,465.9747784999999,4375.0,5.1875,2.2112337357328262,3.3635882000000006,234.28,61.38,75.69,32.645,84.25,270.5,400.0,0.5793690639831854,98.0,364.85,38.369,1635.76,43.800000000000004
3304,0.4207482123452428,56.79963952619768,0.1805,0.904,0.0,0.0,20.28,34.1444,3.3357369599999984,3605.241167019713,0.0,0.766608,0.81626,14.01,217.998,28.836,28.786,93.4,288.6,170.0,0.0006163302760000009,103.0,292.8,27.9228,341.444,107.43971162095815
5772,0.9791729170663426,65.0,0.02658,15.579091192355275,4.0,3.5,90.19,50.7666125,4.036350937499998,1725.0,1.75,1.5602899375,1.970876,54.8,196.6,29.378,20.81125,95.125,349.5,400.0,0.06151940020665235,101.0,374.1875,27.84875,1624.5316,81.31627553157642
4208,0.6603942215445863,7.7,0.02658,10.5,4.0,2.8,90.19,2.5264480000000002,3.8633282100000006,1330.0,3.36,1.7520815258793911,2.2256767429313045,54.8,61.38,29.378,20.137999999999998,92.19999999999999,270.5,8.3,0.12864912695330782,101.0,331.5,28.2917,25.26448,53.933624510313365
5588,0.8803208873918648,46.798939497262666,0.02658,6.54,5.0,3.2222222222222223,85.01,133.35167555555552,9.856991999999993,1388.888888888889,5.283950617283951,2.463562444444445,3.4011897000000006,53.53,79.335,31.304,14.98777777777778,91.88888888888889,336.4,400.0,1.1031916975243252,102.0,342.27777777777777,28.802,2400.33016,81.1223042596484
5685,1.4519284164597444,70.0,0.02658,15.579091192355275,4.0,2.4615384615384617,90.19,39.862510769230774,4.933083786982247,2284.6153846153848,3.7869822485207103,1.4599951688184973,2.319978597320232,54.8,130.4,29.378,17.03153846153846,86.23076923076924,276.3,170.0,0.19095030613264022,101.0,330.4,27.63646153846154,1036.42528,107.60371744647524
461,0.28951318740064774,7.7,0.449,41.95,5.0,3.333333333333333,457.5,5.632666666666666,185.7306888888889,4700.0,5.555555555555555,2.102024533333333,3.0590368,386.7,106.757,54.43,36.66,70.99999999999999,329.5,16.0,1.831744957100942,97.0,409.8333333333333,44.79333333333333,16.898,24.133333333333333
180,0.3677083798565582,7.7,0.205,10.5,4.0,3.6,717.824,9.723,1.5362160000000014,1960.0,0.24,1.664662418,2.07710403,386.0,264.4,25.23,27.54,91.6,403.5,24.0,0.25516212496373786,94.0,418.9,23.712,48.615,21.42
3567,0.6455865771715684,46.798939497262666,0.02658,6.54,5.0,4.285714285714285,85.01,0.8764485714285715,4.6200445714285685,2042.8571428571427,0.2040816326530612,2.1610674142857142,3.4011897000000006,53.53,79.335,31.304,21.828571428571426,98.71428571428571,336.4,3.0,0.659708365936876,102.0,373.8285714285714,28.886,12.27028,64.55942879229887
986,0.16670637585446493,1.1,0.0089,20.41,5.0,4.25,238.6,15.006675,21.575349187499988,1225.0,1.6875,3.0177217499999998,3.612725,172.2,121.302,33.949,27.345000000000002,95.25,394.7,60.0,1.0620866025316877,99.0,403.025,31.267249999999997,120.0534,24.959484675901948
350,0.3022496124401135,1.9,0.12,29.56,5.0,3.75,331.9,4.34,453.13229999999993,5825.0,4.6875,2.5994411500000005,3.3635882000000006,265.9,111.85,75.69,57.097500000000004,79.75,334.5,17.0,1.7517621420711083,98.0,397.79999999999995,63.4,34.72,11.675
3563,0.2963852956512342,1.1,0.0089,20.41,5.0,3.333333333333333,238.6,26.6726,17.401066888888877,1133.3333333333333,5.555555555555555,2.4588166666666664,3.612725,172.2,121.302,33.949,23.293333333333333,86.33333333333333,291.2,80.0,2.663008883472223,99.0,360.2,30.999333333333333,80.0178,57.4
795,0.27665382556383405,1.9,0.12,29.56,5.0,4.5,331.9,12.59,488.64421874999994,6175.0,0.75,2.7236911500000005,3.3635882000000006,265.9,111.85,75.69,54.23500000000001,95.75,418.9,50.0,1.2284047037961079,98.0,419.92499999999995,62.927499999999995,201.44,6.925
3276,0.3528731625859118,8.3,0.52,59.7,4.0,2.6666666666666665,958.1,24.346666666666668,0.05489088888888807,7033.333333333333,3.5555555555555554,2.0564466666666665,2.128,490.0,227.2,25.86,24.906666666666666,84.66666666666666,275.4,72.0,0.0025599397555555624,93.0,372.1333333333333,25.528666666666666,73.04,82.19999999999999
4238,0.24460306237607915,9.6,0.02658,0.904,4.0,2.0,20.28,1.7545745454545456,4.113092694214873,2566.018712281688,3.454545454545455,0.9544607272727272,1.4611135,14.01,179.1,29.378,27.125454545454545,91.81818181818181,288.6,18.0,0.17540562926919834,103.0,341.2818181818182,28.05218181818182,38.600640000000006,51.202065591534534
