# FEAT_ID     Score                   Feature Expression
0             0.020564592786310603    (min:lattice_constant * max:vdw_radius_uff)
1             0.0205647803889050552   (sum:bulk_modulus / sum:atomic_weight)
2             0.0205653941034452739   (var:heat_capacity_molar * min:heat_capacity_mass)
3             0.0205678239770153079   (ave:vdw_radius_mm3 / min:lattice_constant)
4             0.0205717001288646777   (min:covalent_radius_cordero * ave:evaporation_heat)
5             0.020572383293431893    (ave:heat_capacity_molar / max:period)
6             0.0205743079420171171   (sum:atomic_radius_rahm * min:bulk_modulus)
7             0.0205760364302389025   (sum:covalent_radius_pyykko_double * min:bulk_modulus)
8             0.0205770889138541142   (min:num_s_valence / ave:gs_energy)
9             0.0205809523435714764   (min:num_valance / min:vdw_radius)
10            0.0205813221449258725   (ave:gs_bandgap / min:lattice_constant)
11            0.0205813718149163265   (var:heat_capacity_molar / ave:density)
12            0.0205823437763303675   (min:vdw_radius_mm3 / ave:en_pauling)
13            0.0205848718131842641   (ave:mendeleev_number / max:vdw_radius)
14            0.0205863687247796398   (var:heat_capacity_molar / sum:specific_heat)
15            0.0205869416793299162   (max:dipole_polarizability * average_cn)
16            0.0205883543586865732   (max:gs_est_bcc_latcnt * ave:gs_est_bcc_latcnt)
17            0.0205892599101396984   (max:num_s_unfilled / ave:electron_negativity)
18            0.0205906108625855365   (var:specific_heat / sum:gs_est_bcc_latcnt)
19            0.0205911445240161799   (min:Polarizability / sum:en_ghosh)
20            0.0205926856116192825   (min:gs_volume_per * min:first_ion_en)
21            0.0205931062467628948   (min:vdw_radius / perimeter_area_ratio)
22            0.0205937818226510881   (ave:vdw_radius * ave:hhi_r)
23            0.0205948079535868238   (min:icsd_volume * ave:bulk_modulus)
24            0.0205960236982233383   (max:electron_affinity / sum:covalent_radius_slater)
25            0.0206020268025181863   (max:thermal_conductivity / max:covalent_radius_slater)
26            0.020603269178939173    (ave:Polarizability * Total_Atoms)
27            0.0206044379325514802   (min:electron_negativity * min:atomic_radius)
28            0.0206054113934962951   (max:dipole_polarizability / min:atomic_volume)
29            0.0206081862316148494   (min:gs_volume_per / ave:heat_of_formation)
30            0.0206093861956740954   (average_cn / min:first_ion_en)
31            0.0206094923553262928   (min:heat_capacity_molar / ave:lattice_constant)
32            0.0206096397657119547   (perimeter_area_ratio / min:covalent_radius_pyykko_double)
33            0.0206096653412052647   (min:Polarizability * ave:gs_energy)
34            0.0206137255855957484   (sum:vdw_radius_mm3 * min:bulk_modulus)
35            0.0206150686173166807   (min:covalent_radius_cordero / ave:Polarizability)
36            0.0206163702955866092   (max:covalent_radius_pyykko_triple / max:lattice_constant)
37            0.0206165510450615659   (|var:num_p_unfilled - min:num_valance|)
38            0.0206180082425501017   (var:num_p_unfilled / sum:molar_volume)
39            0.0206187330590618979   (max:melting_point * max:electron_affinity)
40            0.0206204853743182093   (max:covalent_radius_slater / max:gs_est_bcc_latcnt)
41            0.0206240310014304158   (ave:heat_of_formation - ave:fusion_enthalpy)
42            0.0206264581690362298   (min:icsd_volume / min:vdw_radius_alvarez)
43            0.0206350798868700606   (ave:num_s_valence / min:hhi_r)
44            0.0206370970976796214   (var:boiling_point / sum:heat_of_formation)
45            0.0206389416948267665   (max:vdw_radius_uff - ave:vdw_radius)
46            0.0206400431429823103   (1.0 / max:electron_negativity)
47            0.0206407239892283656   (var:evaporation_heat * max:heat_capacity_molar)
48            0.020641822157935117    (max:period / ave:molar_volume)
49            0.0206431199769463829   (max:covalent_radius_pyykko / min:num_valance)
50            0.0206494994392795034   (ave:hhi_r * ave:atomic_radius_rahm)
51            0.0206502847003876278   (min:en_pauling * max:first_ion_en)
52            0.0206526189780040295   (sum:covalent_radius_slater / min:bulk_modulus)
53            0.0206526520681590553   (min:mendeleev_number * ave:mendeleev_number)
54            0.0206571053180662004   (min:atomic_weight * ave:en_allen)
55            0.0206586486797407133   (ave:num_unfilled * ave:evaporation_heat)
56            0.0206606893103850331   (ave:num_p_valence / min:covalent_radius_pyykko_double)
57            0.020662503931230522    (max:num_d_valence * ave:bulk_modulus)
58            0.0206666707566442419   (max:specific_heat / sum:num_valance)
59            0.0206668041165931383   (var:electron_affinity / max:en_pauling)
60            0.0206694777457756655   (ave:mendeleev_number * ave:first_ion_en)
61            0.0206738499198423388   (min:covalent_radius_cordero / ave:atomic_number)
62            0.0206766555089280893   (max:vdw_radius_alvarez / max:gs_est_bcc_latcnt)
63            0.0206814506359390936   (max:first_ion_en / Total_Atoms)
64            0.0206848753124834125   (min:en_allen + ave:en_allen)
65            0.0206854662389017972   (max:molar_volume * bandgap)
66            0.0206868740415589621   (ave:num_d_valence / ave:heat_of_formation)
67            0.0206871637054680778   (max:electron_affinity / min:gs_energy)
68            0.0206901231848754703   (min:vdw_radius_mm3 / min:atomic_radius_rahm)
69            0.0206929841846548307   (max:dipole_polarizability / min:molar_volume)
70            0.0206934115863816707   (sum:num_unfilled / sum:gs_volume_per)
71            0.0206946612559480263   (sum:thermal_conductivity / sum:gs_energy)
72            0.0206978123500593802   (max:gs_est_fcc_latcnt / max:heat_capacity_molar)
73            0.020698648358028985    (sum:atomic_volume * ave:electron_affinity)
74            0.0207011673540136061   (max:atomic_radius * ave:heat_of_formation)
75            0.020703933254151121    (min:atomic_radius / ave:lattice_constant)
76            0.0207075900619734313   (min:vdw_radius_uff * min:atomic_volume)
77            0.0207076922583819337   (ave:period / max:icsd_volume)
78            0.0207081893234383509   (var:specific_heat * ave:vdw_radius)
79            0.0207082795301090916   (min:vdw_radius * ave:hhi_r)
80            0.0207106821461002857   (var:num_valance * min:thermal_conductivity)
81            0.0207111064655434579   (var:heat_of_formation / min:bulk_modulus)
82            0.0207111301546038656   (var:heat_capacity_molar * ave:dipole_polarizability)
83            0.0207131297842275686   (ave:num_d_valence / max:density)
84            0.0207133350231883152   (decomposition_energy / max:c6_gb)
85            0.0207134935632591645   (var:boiling_point / sum:gs_energy)
86            0.0207144083458216249   (max:vdw_radius * ave:hhi_r)
87            0.0207156645231632401   (max:gs_bandgap * ave:covalent_radius_cordero)
88            0.0207162968311011032   (min:num_s_valence * min:gs_volume_per)
89            0.0207175688810139688   (ave:evaporation_heat / max:covalent_radius_pyykko_double)
90            0.0207228837773769867   (min:hhi_r / perimeter_area_ratio)
91            0.0207279906199170846   (sum:covalent_radius_pyykko_triple * min:bulk_modulus)
92            0.0207281506974802757   (var:num_p_unfilled - min:period)
93            0.0207287574120127681   (min:melting_point * max:gs_est_fcc_latcnt)
94            0.0207290483026970791   (var:num_p_valence * min:melting_point)
95            0.0207296764765981731   (min:gs_est_fcc_latcnt / ave:gs_volume_per)
96            0.0207304523887308703   (var:specific_heat / max:num_s_valence)
97            0.0207311832882306722   (var:num_p_valence / sum:en_ghosh)
98            0.0207328185799255105   (ave:period / min:hhi_r)
99            0.0207360123473995864   (ave:electron_affinity / sum:num_s_valence)
100           0.0207379620463128377   (var:evaporation_heat * ave:icsd_volume)
101           0.0207389181682657575   (var:specific_heat / min:sound_velocity)
102           0.0207392081241724244   (max:period * ave:atomic_volume)
103           0.0207401262679920914   (max:atomic_radius_rahm / max:en_pauling)
104           0.0207460626960778924   (ave:boiling_point / ave:num_s_valence)
105           0.0207461686634018497   (ave:bulk_modulus / sum:gs_est_bcc_latcnt)
106           0.0207550766108383009   (var:en_allen * min:thermal_conductivity)
107           0.0207586832520997785   (max:num_unfilled / min:num_valance)
108           0.020761376445086719    (ave:mendeleev_number * ave:gs_bandgap)
109           0.020761661396734632    (max:period / max:heat_capacity_molar)
110           0.0207639450437197073   (sum:electron_affinity * ave:period)
111           0.0207668221341795363   (min:covalent_radius_pyykko_double / ave:Polarizability)
112           0.0207709352414048101   ln(ave:hhi_r)
