# FEAT_ID     Score                   Feature Expression
0             0.0205645927863093055   (min:lattice_constant * max:vdw_radius_uff)
1             0.0205647803889054508   (ave:bulk_modulus / ave:atomic_weight)
2             0.0205653941034451455   (var:heat_capacity_molar * min:heat_capacity_mass)
3             0.0205678239770170808   (ave:vdw_radius_mm3 / min:lattice_constant)
4             0.0205717001288651773   (min:covalent_radius_cordero * ave:evaporation_heat)
5             0.0205723832934308244   (ave:heat_capacity_molar / max:period)
6             0.0205743079420174189   (sum:atomic_radius_rahm * min:bulk_modulus)
7             0.0205760364302391557   (sum:covalent_radius_pyykko_double * min:bulk_modulus)
8             0.0205770889138534689   (min:num_s_valence / ave:gs_energy)
9             0.0205809523435710393   (min:num_valance / min:vdw_radius)
10            0.0205813221449252619   (ave:gs_bandgap / min:lattice_constant)
11            0.0205813718149162606   (var:heat_capacity_molar / ave:density)
12            0.0205823437763314569   (min:vdw_radius_mm3 / ave:en_pauling)
13            0.0205848718131822102   (ave:mendeleev_number / max:vdw_radius)
14            0.02058636872477956     (var:heat_capacity_molar / sum:specific_heat)
15            0.0205869416793304436   (max:dipole_polarizability * average_cn)
16            0.0205883543586849634   (max:gs_est_bcc_latcnt * ave:gs_est_bcc_latcnt)
17            0.0205892599101407982   (max:num_s_unfilled / ave:electron_negativity)
18            0.0205906108625856718   (var:specific_heat / sum:gs_est_bcc_latcnt)
19            0.0205911445240163221   (min:Polarizability / sum:en_ghosh)
20            0.0205926856116183596   (min:gs_volume_per * min:first_ion_en)
21            0.0205931062467618123   (min:vdw_radius / perimeter_area_ratio)
22            0.0205937818226504497   (ave:vdw_radius * ave:hhi_r)
23            0.0205948079535876599   (min:icsd_volume * ave:bulk_modulus)
24            0.0205960236982228768   (max:electron_affinity / sum:covalent_radius_slater)
25            0.0206020268025186408   (max:thermal_conductivity / max:covalent_radius_slater)
26            0.0206032691789397628   (ave:Polarizability * Total_Atoms)
27            0.0206044379325502312   (min:electron_negativity * min:atomic_radius)
28            0.0206054113934969092   (max:dipole_polarizability / min:atomic_volume)
29            0.020608186231614388    (min:gs_volume_per / ave:heat_of_formation)
30            0.0206093861956748829   (average_cn / min:first_ion_en)
31            0.0206094923553277291   (min:heat_capacity_molar / ave:lattice_constant)
32            0.0206096397657128498   (perimeter_area_ratio / min:covalent_radius_pyykko_double)
33            0.0206096653412057504   (min:Polarizability * ave:gs_energy)
34            0.0206137255855960017   (sum:vdw_radius_mm3 * min:bulk_modulus)
35            0.0206150686173158133   (min:covalent_radius_cordero / ave:Polarizability)
36            0.0206163702955879345   (max:covalent_radius_pyykko_triple / max:lattice_constant)
37            0.0206165510450612849   (|var:num_p_unfilled - min:num_valance|)
38            0.0206180082425503237   (var:num_p_unfilled / sum:molar_volume)
39            0.0206187330590612283   (max:melting_point * max:electron_affinity)
40            0.0206204853743211756   (max:covalent_radius_slater / max:gs_est_bcc_latcnt)
