# FEAT_ID     Score                   Feature Expression
0             0.0205645927863094616   (min:lattice_constant * max:vdw_radius_uff)
1             0.0205647803889053953   (sum:bulk_modulus / sum:atomic_weight)
2             0.0205653941034451455   (var:heat_capacity_molar * min:heat_capacity_mass)
3             0.0205678239770168587   (ave:vdw_radius_mm3 / min:lattice_constant)
4             0.0205717001288651079   (min:covalent_radius_cordero * ave:evaporation_heat)
5             0.0205723832934310083   (ave:heat_capacity_molar / max:period)
6             0.0205743079420174189   (sum:atomic_radius_rahm * min:bulk_modulus)
7             0.0205760364302391627   (sum:covalent_radius_pyykko_double * min:bulk_modulus)
8             0.0205770889138535661   (min:num_s_valence / ave:gs_energy)
9             0.0205809523435711121   (min:num_valance / min:vdw_radius)
10            0.0205813221449252862   (ave:gs_bandgap / min:lattice_constant)
11            0.0205813718149162606   (var:heat_capacity_molar / ave:density)
12            0.0205823437763313147   (min:vdw_radius_mm3 / ave:en_pauling)
13            0.0205848718131825051   (ave:mendeleev_number / max:vdw_radius)
14            0.02058636872477956     (var:heat_capacity_molar / sum:specific_heat)
15            0.0205869416793303638   (max:dipole_polarizability * average_cn)
16            0.0205883543586851958   (max:gs_est_bcc_latcnt * ave:gs_est_bcc_latcnt)
17            0.0205892599101407808   (max:num_s_unfilled / ave:electron_negativity)
18            0.0205906108625856718   (var:specific_heat / sum:gs_est_bcc_latcnt)
19            0.0205911445240162909   (min:Polarizability / sum:en_ghosh)
20            0.0205926856116184706   (min:gs_volume_per * min:first_ion_en)
21            0.0205931062467619788   (min:vdw_radius / perimeter_area_ratio)
22            0.0205937818226505226   (ave:vdw_radius * ave:hhi_r)
23            0.0205948079535875385   (min:icsd_volume * ave:bulk_modulus)
24            0.0205960236982229324   (max:electron_affinity / sum:covalent_radius_slater)
25            0.0206020268025185957   (max:thermal_conductivity / max:covalent_radius_slater)
26            0.0206032691789396968   (ave:Polarizability * Total_Atoms)
27            0.0206044379325504047   (min:electron_negativity * min:atomic_radius)
28            0.0206054113934968676   (max:dipole_polarizability / min:atomic_volume)
29            0.0206081862316144435   (min:gs_volume_per / ave:heat_of_formation)
30            0.0206093861956747823   (average_cn / min:first_ion_en)
31            0.020609492355327521    (min:heat_capacity_molar / ave:lattice_constant)
32            0.0206096397657127457   (perimeter_area_ratio / min:covalent_radius_pyykko_double)
33            0.0206096653412056879   (min:Polarizability * ave:gs_energy)
34            0.0206137255855960017   (sum:vdw_radius_mm3 * min:bulk_modulus)
35            0.0206150686173159486   (min:covalent_radius_cordero / ave:Polarizability)
36            0.0206163702955877749   (max:covalent_radius_pyykko_triple / max:lattice_constant)
37            0.0206165510450612849   (|var:num_p_unfilled - min:num_valance|)
38            0.0206180082425503237   (var:num_p_unfilled / sum:molar_volume)
39            0.0206187330590613185   (max:melting_point * max:electron_affinity)
40            0.0206204853743207593   (max:covalent_radius_slater / max:gs_est_bcc_latcnt)
41            0.0206240310014314775   (ave:heat_of_formation - ave:fusion_enthalpy)
42            0.0206264581690353659   (min:icsd_volume / min:vdw_radius_alvarez)
43            0.0206350798868705047   (ave:num_s_valence / min:hhi_r)
44            0.0206370970976794375   (var:boiling_point / sum:heat_of_formation)
45            0.0206389416948245981   (max:vdw_radius_uff - ave:vdw_radius)
46            0.0206400431429841075   (1.0 / max:electron_negativity)
47            0.0206407239892280464   (var:evaporation_heat * max:heat_capacity_molar)
48            0.020641822157936425    (max:period / ave:molar_volume)
49            0.0206431199769466639   (max:covalent_radius_pyykko / min:num_valance)
50            0.0206494994392789448   (ave:hhi_r * ave:atomic_radius_rahm)
51            0.0206502847003866945   (min:en_pauling * max:first_ion_en)
52            0.0206526189780037901   (sum:covalent_radius_slater / min:bulk_modulus)
