# c0 + a0 * ((min:evaporation_heat / ave:vdw_radius_uff) / (ave:icsd_volume * ave:hhi_r))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.523826405422085; Max AE: 9.12357993072336
# Coefficients
# Task   a0                      c0
# all ,  6.539858356533680e+04,  4.713727721954861e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * cm^-3 * pm^-1;                               2|21|div|15|8|mult|div; ((min:evaporation_heat / ave:vdw_radius_uff) / (ave:icsd_volume * ave:hhi_r)); $\left(\frac{ \left(\frac{ min:evaporation_{heat} }{ ave:vdw_{radius, uff} } \right) }{ \left(ave:icsd_{volume} ave:hhi_{r}\right) } \right)$; ((min:evaporation_heat ./ ave:vdw_radius_uff) ./ (ave:icsd_volume .* ave:hhi_r)); min:evaporation_heat,ave:vdw_radius_uff,ave:icsd_volume,ave:hhi_r
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  5.516843142006643e-01,  1.228031826177742e-06
3114        ,  1.831950432135623e+00,  1.973997132580507e+00,  2.297640527464660e-05
3034        ,  4.935948125875536e-01,  5.133614627174983e-01,  6.420428124420020e-07
915         ,  7.155608468327842e-01,  5.195319244060100e-01,  7.363944230139211e-07
143         ,  2.878408453797652e-01,  5.417304218774172e-01,  1.075828341322407e-06
1747        ,  4.723624565072543e-01,  5.296589445066762e-01,  8.912451789259152e-07
3624        ,  3.119165808174699e-01,  4.988097658447000e-01,  4.195349830750209e-07
1613        ,  4.892777101910798e-01,  5.071036092271034e-01,  5.463549068447360e-07
785         ,  1.323171435250627e+00,  5.631981278662954e-01,  1.404087835924928e-06
1473        ,  4.422223937745569e-01,  4.969310535754234e-01,  3.908078736048338e-07
3196        ,  4.682934522240256e-01,  5.788459147328520e-01,  1.643355814120871e-06
1713        ,  5.274016633298737e-01,  5.142829683500129e-01,  6.561334178080026e-07
5825        ,  3.327553083664687e-01,  5.053866321924472e-01,  5.201008667562254e-07
199         ,  1.504427135099300e+00,  5.601483455374269e-01,  1.357454068607602e-06
1800        ,  4.375320177361192e-01,  5.102287920910487e-01,  5.941416125128027e-07
4488        ,  3.500270645846581e-01,  5.148250044471959e-01,  6.644216110322720e-07
1941        ,  4.982888367482280e-01,  5.022719673339422e-01,  4.724749903426585e-07
3304        ,  4.207482123452428e-01,  4.733183565168474e-01,  2.974964005783987e-08
5772        ,  9.791729170663426e-01,  5.472189885433100e-01,  1.159753196673584e-06
5588        ,  8.803208873918648e-01,  5.314019835960361e-01,  9.178977300108877e-07
5685        ,  1.451928416459744e+00,  5.506235341548078e-01,  1.211811596502633e-06
461         ,  2.895131874006477e-01,  5.102238177085952e-01,  5.940655499716543e-07
180         ,  3.677083798565582e-01,  5.017415471793768e-01,  4.643644147667290e-07
3567        ,  6.455865771715684e-01,  4.970300329420367e-01,  3.923213523564698e-07
986         ,  1.667063758544649e-01,  5.702429565430839e-01,  1.511809261875236e-06
350         ,  3.022496124401135e-01,  4.859842778447814e-01,  2.234223564597177e-07
3563        ,  2.963852956512342e-01,  6.117440762627472e-01,  2.146396701803524e-06
795         ,  2.766538255638341e-01,  4.851190284186360e-01,  2.101919563657921e-07
3276        ,  3.528731625859118e-01,  5.312645619300771e-01,  9.157964357860407e-07
599         ,  1.941897543062212e-01,  4.852655976391611e-01,  2.124331244849553e-07
3382        ,  4.754043303942602e-01,  6.765833028763883e-01,  3.137843657972892e-06
2828        ,  4.609014146704439e-01,  5.634262253744136e-01,  1.407575640945816e-06
4506        ,  2.830919218734357e-01,  5.271421656228265e-01,  8.527614878940559e-07
2032        ,  3.425223935124700e-01,  5.068354540067910e-01,  5.422545853133911e-07
3021        ,  9.436790737277430e-01,  5.804734153886169e-01,  1.668241684227506e-06
