# c0 + a0 * ((ave:num_p_valence * min:evaporation_heat) * (var:electron_affinity + ave:electron_affinity)) + a1 * ((min:evaporation_heat^2) / (ave:icsd_volume * min:boiling_point))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.500205715328118; Max AE: 8.98361634572234
# Coefficients
# Task   a0                      a1                      c0
# all , -9.575238877308493e-04,  9.378079158766062e-01,  6.318122709823089e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * eV * mol^-1;                                 4|2|mult|19|10|add|mult; ((ave:num_p_valence * min:evaporation_heat) * (var:electron_affinity + ave:electron_affinity)); $\left(\left(ave:num_{p, valence} min:evaporation_{heat}\right) \left(var:electron_{affinity} + ave:electron_{affinity}\right)\right)$; ((ave:num_p_valence .* min:evaporation_heat) .* (var:electron_affinity + ave:electron_affinity)); ave:num_p_valence,min:evaporation_heat,var:electron_affinity,ave:electron_affinity
# 1;  2; K^-1 * KJ^2 * cm^-3 * mol^-1;                     2|sq|15|5|mult|div; ((min:evaporation_heat^2) / (ave:icsd_volume * min:boiling_point)); $\left(\frac{ \left(min:evaporation_{heat}^2\right) }{ \left(ave:icsd_{volume} min:boiling_{point}\right) } \right)$; ((min:evaporation_heat).^2 ./ (ave:icsd_volume .* min:boiling_point)); min:evaporation_heat,ave:icsd_volume,min:boiling_point
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  6.064474647577888e-01,  1.618373714300921e+02,  1.381928438151671e-01
3114        ,  1.831950432135623e+00,  1.186611639017422e+00,  0.000000000000000e+00,  5.915916880660148e-01
3034        ,  4.935948125875536e-01,  5.779270853409038e-01,  6.164027023633886e+01,  5.477502875706399e-03
915         ,  7.155608468327842e-01,  5.969168800114818e-01,  4.320715339969317e+01,  6.905988337896017e-03
143         ,  2.878408453797652e-01,  4.745513795590289e-01,  2.282576341545780e+02,  6.536652634175809e-02
1747        ,  4.723624565072543e-01,  6.020188461225170e-01,  3.927270178825825e+01,  8.329131270868081e-03
3624        ,  3.119165808174699e-01,  5.211669833898979e-01,  1.332633487536924e+02,  1.808211672259740e-02
1613        ,  4.892777101910798e-01,  5.523546106026537e-01,  1.125501884250580e+02,  3.018937367305302e-02
785         ,  1.323171435250627e+00,  4.893158519716893e-01,  3.018356768766399e+02,  1.562350341553862e-01
1473        ,  4.422223937745569e-01,  5.763388409970271e-01,  6.423946775339161e+01,  6.437773473113588e-03
3196        ,  4.682934522240256e-01,  5.148507892074549e-01,  2.780990045416419e+02,  1.592276581376028e-01
1713        ,  5.274016633298737e-01,  5.511696969217295e-01,  1.128447260987588e+02,  2.922661060906777e-02
5825        ,  3.327553083664687e-01,  5.784944165091672e-01,  6.400801702662216e+01,  8.499982460353652e-03
199         ,  1.504427135099300e+00,  4.793119198856207e-01,  3.018253897264177e+02,  1.455571734670567e-01
1800        ,  4.375320177361192e-01,  5.710454483470109e-01,  6.980088706834700e+01,  6.471681476237540e-03
4488        ,  3.500270645846581e-01,  6.050875500002548e-01,  1.128266711083011e+02,  8.670166928724761e-02
1941        ,  4.982888367482280e-01,  4.516347607001421e-01,  2.509149296103565e+02,  6.406378917360223e-02
3304        ,  4.207482123452428e-01,  6.331250797951430e-01,  0.000000000000000e+00,  1.399869622135788e-03
5772        ,  9.791729170663426e-01,  6.684031242246066e-01,  8.843210449060837e+01,  1.293086821740174e-01
5588        ,  8.803208873918648e-01,  5.913235075838049e-01,  7.516339895175521e+01,  3.356975991338065e-02
5685        ,  1.451928416459744e+00,  7.193688841775595e-01,  6.331133565014170e+01,  1.580054155395975e-01
461         ,  2.895131874006477e-01,  2.035049061480403e-01,  5.500721004123928e+02,  1.049253366483921e-01
180         ,  3.677083798565582e-01,  5.675554749638823e-01,  7.256936772402931e+01,  5.576949187901505e-03
3567        ,  6.455865771715684e-01,  5.777241520578865e-01,  7.906231543995315e+01,  2.304942873982796e-02
986         ,  1.667063758544649e-01,  3.528273128623578e-01,  3.538927760194799e+02,  6.384658052082628e-02
350         ,  3.022496124401135e-01,  2.132101936232966e-01,  4.823308849260824e+02,  4.610887370006013e-02
3563        ,  2.963852956512342e-01,  3.684491066389436e-01,  3.484548649277824e+02,  7.495212125108737e-02
795         ,  2.766538255638341e-01,  1.739580258692773e-01,  5.257077904719582e+02,  4.854248024502966e-02
3276        ,  3.528731625859118e-01,  4.580089182898959e-01,  3.277938517424177e+02,  1.493558416718313e-01
599         ,  1.941897543062212e-01,  2.367978321402228e-01,  4.525844205884357e+02,  4.088892238697221e-02
3382        ,  4.754043303942602e-01,  6.344977999865415e-01,  1.340655759487354e+02,  1.397477226186959e-01
2828        ,  4.609014146704439e-01,  4.554104162938034e-01,  3.327538123904870e+02,  1.516492524761412e-01
4506        ,  2.830919218734357e-01,  5.950152851960704e-01,  4.581817639145362e+01,  7.544202262603690e-03
2032        ,  3.425223935124700e-01,  2.566514639800406e-01,  5.051184951290743e+02,  1.156976992639880e-01
3021        ,  9.436790737277430e-01,  4.877193177115849e-01,  2.810947603713409e+02,  1.333556609872646e-01
6349        ,  6.066079572580644e-01,  5.965714061952416e-01,  4.416719191375176e+01,  7.517825777523614e-03
3265        ,  4.841085563396736e-01,  3.764297065968601e-01,  3.286296058685202e+02,  6.321991150374801e-02
73          ,  3.010695272812237e-01,  4.638975251418977e-01,  2.454428486488935e+02,  7.155265345663915e-02
909         ,  2.859807336003438e-01,  4.673654052366393e-01,  2.417350747978234e+02,  7.146478691534978e-02
5286        ,  2.235408342514859e-01,  5.677838364702463e-01,  9.670686042477841e+01,  3.046540124947634e-02
3172        ,  4.790530319841335e-01,  5.764393025358534e-01,  6.435166456259172e+01,  6.659452838624401e-03
5918        ,  2.241858049594979e+00,  5.913235075838049e-01,  7.516339895175521e+01,  3.356975991338065e-02
3615        ,  3.036705797988253e-01,  6.024841947226587e-01,  2.149107037331781e+02,  1.881558614580222e-01
4407        ,  5.372482734277881e-01,  6.310616678476652e-01,  2.098450720896396e+00,  1.342186962309912e-03
538         ,  3.775823948370269e-01,  5.720644049107770e-01,  9.365591442897075e+01,  3.191475430606417e-02
423         ,  3.114023315769188e-01,  3.157666036448209e-01,  3.797537020757738e+02,  5.073274926434909e-02
3422        ,  2.802083413851849e-01,  5.724921514194563e-01,  6.743260542681085e+01,  5.596253621235468e-03
1518        ,  2.969751162456789e-01,  3.226830617098599e-01,  3.880945736155122e+02,  6.662410777874432e-02
1015        ,  3.391061495356983e-01,  5.772421785645683e-01,  8.598336413129068e+01,  2.960204559531879e-02
4984        ,  4.348768073655889e-01,  5.370785641161007e-01,  1.791956471404307e+02,  8.194685131902231e-02
4680        ,  3.364035952142165e-01,  7.200770464801367e-01,  5.385423854064477e+01,  1.491046225871793e-01
5095        ,  5.893419787698063e-01,  5.175657793760352e-01,  1.934982809518789e+02,  7.574337285648568e-02
827         ,  4.003907365198857e-01,  5.686287428646879e-01,  7.445687437092180e+01,  8.648580973780797e-03
695         ,  3.284722007121098e+00,  2.377546918312150e+00,  0.000000000000000e+00,  1.861505557561896e+00
5396        ,  8.394699154938887e-02,  1.877118663227844e-01,  5.702019885634478e+02,  1.086380467650207e-01
3038        ,  2.698343232194364e-01,  8.709677889495314e-01,  4.389504774072250e+00,  2.594972483424055e-01
4451        ,  3.854058871881627e-01,  5.764682701516547e-01,  6.286327077226100e+01,  5.170656498613231e-03
683         ,  7.567006984040863e-01,  5.497981433153392e-01,  1.048439015215179e+02,  1.959507081533565e-02
4700        ,  2.941516770264208e-01,  3.665583405441732e-01,  3.416136083472719e+02,  6.595088277805251e-02
2132        ,  6.747740069016210e-01,  6.666363649949385e-01,  4.809606707146356e+02,  5.282056345386208e-01
5269        ,  5.468292537176512e-01,  4.094407401643418e-01,  2.982075835684940e+02,  6.735852073962557e-02
1517        ,  4.146991767326453e-01,  6.008077984473766e-01,  3.996948364469677e+01,  7.749201848375753e-03
1           ,  4.764892223280973e-01,  7.373765399863076e-01,  8.883980409440002e+01,  2.032724403136710e-01
3515        ,  3.510859978507264e-02,  5.720702999992833e-01,  6.731287597458329e+01,  5.024179935714996e-03
1029        ,  3.092915995936308e-01,  3.148140578895333e-01,  4.417890827107040e+02,  1.130566133495657e-01
5743        ,  3.087205345176252e-01,  4.563705861720350e-01,  2.365766045801350e+02,  5.447391143602004e-02
1217        ,  3.172537314486099e-01,  3.051881285578631e-01,  4.508688779958678e+02,  1.120630106782245e-01
2683        ,  3.844169398000933e-01,  5.410936695502300e-01,  1.719945116756544e+02,  7.887569597535300e-02
759         ,  8.184498203592120e-01,  5.893844505731809e-01,  7.147011627067756e+01,  2.773118326116673e-02
711         ,  2.502401932608478e-01,  4.365151349561735e-01,  2.773379011070417e+02,  7.491995756009133e-02
4207        ,  2.013711137722670e+00,  7.069704785409084e-01,  6.711116319874442e+01,  1.486645048463689e-01
1543        ,  3.840654554424733e-01,  4.926446763688422e-01,  2.913909924691181e+02,  1.491203464779823e-01
905         ,  3.238182016186769e-01,  2.294388760230349e-01,  4.696304222578324e+02,  5.044631417245461e-02
559         ,  3.453933368526703e-01,  6.297645608847285e-01,  3.187437167474056e+00,  1.070941195861518e-03
457         ,  3.376524920945591e-01,  5.674258059959343e-01,  7.305770891195795e+01,  5.937288847159553e-03
3113        ,  2.314166087738986e-01,  7.372231198909619e-01,  5.574768295176700e+01,  1.693210137517211e-01
4420        ,  3.179225982353691e-01,  6.264833024918736e-01,  6.510090506399028e+00,  9.645884465434888e-04
2686        ,  3.503757653850906e-01,  5.063007073321242e-01,  1.618586984400922e+02,  3.142648515147044e-02
3177        ,  2.627434022730241e-01,  5.273373698582513e-01,  1.820831576956427e+02,  7.450787175076196e-02
5215        ,  2.936995358011208e-01,  3.648967023329930e-01,  3.407241398110003e+02,  6.327088238618563e-02
286         ,  2.223387257013637e-01,  3.360186256950708e-01,  3.590648122541157e+02,  5.120397138553119e-02
4712        ,  3.442133508674560e-01,  3.599849889012002e-01,  3.705097654773199e+02,  8.844526431987756e-02
1007        ,  8.851170638711574e-01,  7.982104653483353e-01,  7.543764438540799e+01,  2.544567356057570e-01
4773        ,  3.367910301019642e-01,  6.303155883739305e-01,  3.382285151389930e+00,  1.857455231188437e-03
2379        ,  1.925093990386221e-01,  1.692274615578397e-01,  5.312092028890182e+02,  4.911527290871104e-02
4038        ,  4.295673667432552e-01,  5.771968104487398e-01,  6.607394689406135e+01,  9.225686654678156e-03
56          ,  2.848354288519700e-01,  4.908940589274462e-01,  2.232595471288605e+02,  7.768982992310240e-02
3735        ,  4.120303000763381e-01,  6.329833078570125e-01,  1.646523706308423e-01,  1.416809807488361e-03
416         ,  6.071117165413150e-01,  4.908884449173665e-01,  3.022558537904177e+02,  1.583409263581050e-01
3708        ,  4.867280057715314e-01,  5.530521308619155e-01,  1.088244551723547e+02,  2.712908991885591e-02
5819        ,  7.652967829040024e-01,  6.031492147579657e-01,  5.675865050362524e+02,  5.489552519081874e-01
2404        ,  8.926809959705674e-01,  8.766298899056306e-01,  0.000000000000000e+00,  2.610530523134698e-01
1770        ,  7.267589887161684e-01,  5.956190397412228e-01,  5.339888513554821e+01,  1.592807716965625e-02
4280        ,  1.996358645314295e-01,  6.205584353312761e-01,  1.512464665337154e+02,  1.424260413338829e-01
4123        ,  6.986549779679445e-01,  6.265933901014202e-01,  8.352177662078375e+00,  2.962790885088913e-03
1823        ,  1.515492379722413e+00,  1.309184201767410e+00,  0.000000000000000e+00,  7.222928270465011e-01
3445        ,  2.252985427404290e-02,  5.969966083199776e-01,  4.148275076936677e+01,  5.230348395532348e-03
5658        ,  2.914387417132949e-01,  3.236701895508772e-01,  3.846407386624365e+02,  6.415025189465974e-02
3395        ,  3.436035898879734e-01,  5.166865009054270e-01,  1.873094249395746e+02,  6.848681655651563e-02
2138        ,  9.287432598310735e-01,  3.122754485013742e-01,  4.515889366202744e+02,  1.203555332143321e-01
1741        ,  1.896376276085417e-01,  5.535077469077582e-01,  1.163528644659197e+02,  3.530160334222780e-02
1296        ,  4.887142558626417e-01,  7.680794423849570e-01,  5.199922678518518e+02,  6.762282324236393e-01
1953        ,  2.915310679059414e-01,  5.216994994294860e-01,  2.769204354490801e+02,  1.653272037542711e-01
604         ,  4.560471731927151e-01,  6.739723479404439e-01,  7.774688555091537e+01,  1.243373777249663e-01
4975        ,  2.234892878596882e-01,  6.296273522132722e-01,  4.123509188301186e+00,  1.880384831675258e-03
3827        ,  3.455204772490412e-01,  4.455528982573075e-01,  2.659845862324676e+02,  7.296507227370827e-02
1494        ,  3.967603100069481e-01,  5.735625346229866e-01,  6.743427295465887e+01,  6.739323415305284e-03
309         ,  3.416637145480106e-01,  4.742133483714547e-01,  2.347176422915279e+02,  7.160189802021635e-02
2934        ,  7.704268631123875e-01,  8.625888811162188e-01,  9.168247816533334e+01,  3.396908553131624e-01
2904        ,  3.724124904587404e-01,  1.743066069391701e-01,  5.206471208982712e+02,  4.374711558805555e-02
1210        ,  3.142728504011673e-01,  3.825654481744956e-01,  3.175397426752165e+02,  5.843954308744026e-02
3119        ,  2.876046469044033e-01,  6.402326030942352e-01,  6.091964411948549e+01,  7.117912469953917e-02
3373        ,  2.341191539407255e-01,  6.784163067433484e-01,  5.594336189281093e+01,  1.068141347897920e-01
5614        ,  4.725731745332571e-01,  6.854334095392167e-01,  8.040764569920159e+01,  1.392751946948567e-01
4778        ,  1.209858356759635e+00,  6.899915397233283e-01,  6.586928611167330e+01,  1.292915975734611e-01
