# c0 + a0 * ((max:mendeleev_number / ave:mendeleev_number) / (min:vdw_radius_uff * ave:icsd_volume)) + a1 * ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)) + a2 * ((min:evaporation_heat^2) * (ave:thermal_conductivity / min:vdw_radius_uff))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.490922120872961; Max AE: 8.76101803618348
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.772047578971904e+03, -1.885864707987193e-04,  3.317318968724018e-05,  5.622749247565281e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * mol * pm^-1;                              20|16|div|17|15|mult|div; ((max:mendeleev_number / ave:mendeleev_number) / (min:vdw_radius_uff * ave:icsd_volume)); $\left(\frac{ \left(\frac{ max:mendeleev_{number} }{ ave:mendeleev_{number} } \right) }{ \left(min:vdw_{radius, uff} ave:icsd_{volume}\right) } \right)$; ((max:mendeleev_number ./ ave:mendeleev_number) ./ (min:vdw_radius_uff .* ave:icsd_volume)); max:mendeleev_number,ave:mendeleev_number,min:vdw_radius_uff,ave:icsd_volume
# 1;  2; KJ * eV * mol^-1;                                 13|3|mult|19|10|add|mult; ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)); $\left(\left(min:heat_{of, formation} max:num_{p, valence}\right) \left(var:electron_{affinity} + ave:electron_{affinity}\right)\right)$; ((min:heat_of_formation .* max:num_p_valence) .* (var:electron_affinity + ave:electron_affinity)); min:heat_of_formation,max:num_p_valence,var:electron_affinity,ave:electron_affinity
# 2;  2; K^-1 * KJ^2 * W * m^-1 * mol^-2 * pm^-1;          2|sq|6|17|div|mult; ((min:evaporation_heat^2) * (ave:thermal_conductivity / min:vdw_radius_uff)); $\left(\left(min:evaporation_{heat}^2\right) \left(\frac{ ave:thermal_{conductivity} }{ min:vdw_{radius, uff} } \right)\right)$; ((min:evaporation_heat).^2 .* (ave:thermal_conductivity ./ min:vdw_radius_uff)); min:evaporation_heat,ave:thermal_conductivity,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  5.219474273748252e-01,  2.002769920252359e-04,  2.100164956867118e+03,  2.516613852294263e+01
3114        ,  1.831950432135623e+00,  1.082415439740437e+00,  1.708103813155587e-04,  0.000000000000000e+00,  6.555184905660377e+03
3034        ,  4.935948125875536e-01,  4.415951491317582e-01,  9.441122508487770e-05,  1.527895968270901e+03,  4.809605018587360e+00
915         ,  7.155608468327842e-01,  4.075039578184813e-01,  1.209970960991154e-04,  1.958436239763426e+03,  4.551886617100371e+00
143         ,  2.878408453797652e-01,  4.404320141031552e-01,  8.025921311079330e-05,  1.441781554210121e+03,  2.361678243334080e+02
1747        ,  4.723624565072543e-01,  5.700380184701634e-01,  2.246753412636781e-04,  2.073374238981246e+03,  1.923328908426184e+01
3624        ,  3.119165808174699e-01,  4.062063713510352e-01,  1.394145412068586e-04,  2.138242160121745e+03,  3.791889383886256e+00
1613        ,  4.892777101910798e-01,  6.123508855325674e-01,  2.098561517553281e-04,  1.706645489048542e+03,  1.541148450018927e+00
785         ,  1.323171435250627e+00,  5.128335546686401e-01,  1.299504901208494e-04,  1.723041853928960e+03,  1.363226183690987e+03
1473        ,  4.422223937745569e-01,  3.994440316585461e-01,  1.486429757386818e-04,  2.260984543137467e+03,  4.756164099526067e+00
3196        ,  4.682934522240256e-01,  7.399120922859594e-01,  2.518028308496665e-04,  1.484126345845345e+03,  3.411405605875153e+02
1713        ,  5.274016633298737e-01,  5.622109969039819e-01,  1.820481139404449e-04,  1.711111686744080e+03,  9.244431628715815e-01
5825        ,  3.327553083664687e-01,  4.084400740398634e-01,  1.526481839894726e-04,  2.252838359272237e+03,  1.567952525412960e+01
199         ,  1.504427135099300e+00,  5.304221799546991e-01,  1.349373409316468e-04,  1.722983129292515e+03,  1.626710454891995e+03
1800        ,  4.375320177361192e-01,  3.642996087870250e-01,  1.496368737906512e-04,  2.456725316664601e+03,  5.009506111987382e+00
4488        ,  3.500270645846581e-01,  6.125139543222866e-01,  1.380035413266368e-04,  1.033928508253786e+03,  2.035127476355708e+01
1941        ,  4.982888367482280e-01,  3.828445646387508e-01,  8.964904308789791e-05,  1.898838624960648e+03,  5.969442554510799e+02
3304        ,  4.207482123452428e-01,  7.975056246043476e-01,  1.327433277088794e-04,  0.000000000000000e+00,  9.668520440194039e-02
5772        ,  9.791729170663426e-01,  5.815993260120760e-01,  1.459759659056538e-04,  1.275390863172511e+03,  3.525455556162921e+01
5588        ,  8.803208873918648e-01,  6.861562355252266e-01,  2.201627996982779e-04,  1.414842199265462e+03,  1.695500750948870e+01
5685        ,  1.451928416459744e+00,  8.421005438342242e-01,  2.488996861324840e-04,  8.611331597345135e+02,  3.501611852204490e+01
461         ,  2.895131874006477e-01,  3.677013494879336e-01,  1.131007555048849e-04,  2.099787147451460e+03,  3.008309827516440e+01
180         ,  3.677083798565582e-01,  3.430999444950754e-01,  9.234744941119287e-05,  2.030406436638449e+03,  2.656656133828997e+00
3567        ,  6.455865771715684e-01,  6.006161247065970e-01,  1.407145036307203e-04,  1.118931232619796e+03,  1.114361109325633e-01
986         ,  1.667063758544649e-01,  2.668012953553754e-01,  9.629974921783455e-05,  2.474444563893994e+03,  1.583811019018875e+01
350         ,  3.022496124401135e-01,  2.177565590478134e-01,  6.434016475721809e-05,  2.433410441090768e+03,  1.133711277727952e+01
3563        ,  2.963852956512342e-01,  2.772858182017275e-01,  1.690572004988556e-04,  3.106438414414738e+03,  3.815574967053571e+01
795         ,  2.766538255638341e-01,  2.261616842101563e-01,  4.505025859110170e-05,  2.210209606235474e+03,  2.626178425399857e+01
3276        ,  3.528731625859118e-01,  5.036093536383419e-01,  1.601367249423839e-04,  1.871225203916515e+03,  3.150824662309369e+02
599         ,  1.941897543062212e-01,  1.823715129311219e-01,  5.871896360246323e-05,  2.568753422335075e+03,  1.434692165271401e+01
3382        ,  4.754043303942602e-01,  5.914995913274225e-01,  1.741585881114008e-04,  1.491231538929886e+03,  5.526918691684250e+01
2828        ,  4.609014146704439e-01,  4.295939078039380e-01,  1.026892269097534e-04,  1.809085096317747e+03,  7.993732605945303e+02
4506        ,  2.830919218734357e-01,  4.864819507201709e-01,  1.815556617770487e-04,  2.116570658403200e+03,  4.938764534883720e+01
2032        ,  3.425223935124700e-01,  4.069689872370790e-01,  1.147997430428804e-04,  1.928186001829366e+03,  1.475061315913534e+02
3021        ,  9.436790737277430e-01,  6.967654259893019e-01,  1.752447609834974e-04,  1.012317813732635e+03,  4.478885136778116e+02
6349        ,  6.066079572580644e-01,  4.885118486305687e-01,  2.062578717274484e-04,  2.331775349092301e+03,  1.445279820261438e+01
3265        ,  4.841085563396736e-01,  4.431895473723601e-01,  1.157073189855931e-04,  1.729814739323991e+03,  6.316561604584525e+01
73          ,  3.010695272812237e-01,  4.452737079595888e-01,  1.661579213221095e-04,  2.188097140627738e+03,  3.631120565502300e+01
