# c0 + a0 * ((ave:bulk_modulus * min:evaporation_heat) / (ave:vdw_radius_uff * ave:hhi_r))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.516703358013382; Max AE: 9.22332217406182
# Coefficients
# Task   a0                      c0
# all ,  3.167615759621263e+01,  4.885064502484919e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; GPa * KJ * mol^-1 * pm^-1;                        24|2|mult|21|8|mult|div; ((ave:bulk_modulus * min:evaporation_heat) / (ave:vdw_radius_uff * ave:hhi_r)); $\left(\frac{ \left(ave:bulk_{modulus} min:evaporation_{heat}\right) }{ \left(ave:vdw_{radius, uff} ave:hhi_{r}\right) } \right)$; ((ave:bulk_modulus .* min:evaporation_heat) ./ (ave:vdw_radius_uff .* ave:hhi_r)); ave:bulk_modulus,min:evaporation_heat,ave:vdw_radius_uff,ave:hhi_r
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3114        ,  1.831950432135623e+00,  1.533795065227709e+00,  3.299922384223133e-02
915         ,  7.155608468327842e-01,  5.146503089908677e-01,  8.253481711904900e-04
143         ,  2.878408453797652e-01,  5.623120599071819e-01,  2.330005128763300e-03
3624        ,  3.119165808174699e-01,  5.012480041459243e-01,  4.022443018453657e-04
1613        ,  4.892777101910798e-01,  5.108421368190647e-01,  7.051261347823110e-04
785         ,  1.323171435250627e+00,  5.437850037769149e-01,  1.745115497690046e-03
1473        ,  4.422223937745569e-01,  5.027639382518220e-01,  4.501015617195565e-04
3936        ,  3.696216735678464e-01,  5.191312288265436e-01,  9.668085052624360e-04
3196        ,  4.682934522240256e-01,  5.333819999219109e-01,  1.416698017653017e-03
5825        ,  3.327553083664687e-01,  4.972085467688013e-01,  2.747207104863589e-04
199         ,  1.504427135099300e+00,  5.312173915394737e-01,  1.348362444568987e-03
1800        ,  4.375320177361192e-01,  5.134182746564009e-01,  7.864534810524989e-04
4488        ,  3.500270645846581e-01,  5.311760661433209e-01,  1.347057823071660e-03
1941        ,  4.982888367482280e-01,  5.198425176703029e-01,  9.892635281483026e-04
5607        ,  5.615877319607279e-01,  5.141996756740354e-01,  8.111219091994754e-04
3304        ,  4.207482123452428e-01,  4.914209254581649e-01,  9.200848306239768e-05
5772        ,  9.791729170663426e-01,  5.506754268614380e-01,  1.962642609796188e-03
4208        ,  6.603942215445863e-01,  5.291925657456018e-01,  1.284439735896960e-03
5685        ,  1.451928416459744e+00,  5.588539641926613e-01,  2.220834826020076e-03
461         ,  2.895131874006477e-01,  5.051550087055823e-01,  5.255864258953217e-04
180         ,  3.677083798565582e-01,  4.971835547702523e-01,  2.739317259489139e-04
3567        ,  6.455865771715684e-01,  5.060194053383996e-01,  5.528749829178033e-04
986         ,  1.667063758544649e-01,  5.211910400504195e-01,  1.031835685961971e-03
3563        ,  2.963852956512342e-01,  5.794110839813561e-01,  2.869812522454845e-03
3276        ,  3.528731625859118e-01,  5.478972084983413e-01,  1.874935685284963e-03
4238        ,  2.446030623760792e-01,  4.901806814688767e-01,  5.285461834502805e-05
5282        ,  5.293873330373472e-01,  5.094923269670216e-01,  6.625133321422444e-04
599         ,  1.941897543062212e-01,  4.904416875100957e-01,  6.109444479576522e-05
3382        ,  4.754043303942602e-01,  6.178695447130075e-01,  4.083926343389038e-03
4760        ,  2.326804630331917e-01,  6.083750931852521e-01,  3.784191392932467e-03
4099        ,  2.771646182279487e-01,  5.604634798592457e-01,  2.271646407623547e-03
4506        ,  2.830919218734357e-01,  5.372773807959007e-01,  1.539673187926053e-03
2032        ,  3.425223935124700e-01,  5.257016711180191e-01,  1.174233988341266e-03
5625        ,  9.047570655746466e-01,  5.460654349510689e-01,  1.817107536725320e-03
3021        ,  9.436790737277430e-01,  5.411675672693126e-01,  1.662484373645026e-03
3265        ,  4.841085563396736e-01,  5.557191479048686e-01,  2.121870288472519e-03
73          ,  3.010695272812237e-01,  5.266102203848165e-01,  1.202916421304851e-03
3508        ,  7.316706566321051e-01,  5.309536174174896e-01,  1.340035231232491e-03
5286        ,  2.235408342514859e-01,  5.094710098114577e-01,  6.618403605073719e-04
359         ,  4.663407226120941e-01,  5.037524513345195e-01,  4.813084112149533e-04
3172        ,  4.790530319841335e-01,  5.194149997571129e-01,  9.757670075589150e-04
4401        ,  3.273613861116079e-01,  5.355222222681022e-01,  1.484263736117785e-03
3615        ,  3.036705797988253e-01,  5.311666972423700e-01,  1.346762051688325e-03
4407        ,  5.372482734277881e-01,  4.904972031509369e-01,  6.284704501795413e-05
5701        ,  9.203994095360772e-01,  4.952547489235903e-01,  2.130403176143192e-04
538         ,  3.775823948370269e-01,  5.081175367850946e-01,  6.191119133384905e-04
423         ,  3.114023315769188e-01,  4.970599599809929e-01,  2.700299020334365e-04
577         ,  3.135900205824857e-01,  5.064738382890940e-01,  5.672211973951782e-04
3422        ,  2.802083413851849e-01,  5.038166758709914e-01,  4.833359467920466e-04
1518        ,  2.969751162456789e-01,  5.309247551648910e-01,  1.339124064765699e-03
5181        ,  5.261236775456994e-01,  5.201095869015333e-01,  9.976947663885840e-04
1015        ,  3.391061495356983e-01,  5.025398660447558e-01,  4.430277174129788e-04
1156        ,  8.470934050524324e-01,  6.304971264467708e-01,  4.482572602658601e-03
4984        ,  4.348768073655889e-01,  6.246306429409729e-01,  4.297370736302837e-03
4680        ,  3.364035952142165e-01,  5.354157602371220e-01,  1.480902784567494e-03
5095        ,  5.893419787698063e-01,  5.652767099009027e-01,  2.423597603946441e-03
827         ,  4.003907365198857e-01,  4.912918371639391e-01,  8.793323202117751e-05
695         ,  3.284722007121098e+00,  2.710760545593886e+00,  7.015541858558941e-02
5396        ,  8.394699154938887e-02,  5.305982566728845e-01,  1.328816675335183e-03
3038        ,  2.698343232194364e-01,  5.495820912350022e-01,  1.928126566519319e-03
4451        ,  3.854058871881627e-01,  5.019484907162929e-01,  4.243583025173526e-04
683         ,  7.567006984040863e-01,  5.035893544486413e-01,  4.761595264304637e-04
4700        ,  2.941516770264208e-01,  5.284850354002867e-01,  1.262103366873476e-03
2132        ,  6.747740069016210e-01,  6.636799363563738e-01,  5.530136841118210e-03
5269        ,  5.468292537176512e-01,  5.068904411366537e-01,  5.803731349777062e-04
1517        ,  4.146991767326453e-01,  5.238221830697832e-01,  1.114899517532196e-03
4066        ,  3.764670136622192e-01,  6.041711547958791e-01,  3.651475220631453e-03
5182        ,  1.517650397507960e-01,  6.177225699734464e-01,  4.079286426469992e-03
3515        ,  3.510859978507264e-02,  4.928819432846850e-01,  1.381320642474717e-04
1029        ,  3.092915995936308e-01,  5.229330440479935e-01,  1.086829856018200e-03
5743        ,  3.087205345176252e-01,  4.977267001910744e-01,  2.910785474714555e-04
1543        ,  3.840654554424733e-01,  5.653010516833410e-01,  2.424366061495762e-03
3822        ,  4.218122849416643e-01,  4.950541278246018e-01,  2.067068127256955e-04
905         ,  3.238182016186769e-01,  5.096679333113250e-01,  6.680571340939172e-04
347         ,  2.775346891577328e-01,  4.902704902011989e-01,  5.568983382371683e-05
2342        ,  1.210246062183758e+00,  5.826213356794212e-01,  2.971158517098115e-03
4542        ,  3.048128990006040e-01,  6.210648711023841e-01,  4.184801153715106e-03
559         ,  3.453933368526703e-01,  4.896059474633234e-01,  3.471056145278427e-05
457         ,  3.376524920945591e-01,  5.060082992893143e-01,  5.525243706615183e-04
3113        ,  2.314166087738986e-01,  6.012061100684728e-01,  3.557870283908925e-03
1696        ,  3.247424454205921e-01,  5.151677778265673e-01,  8.416843961296339e-04
2686        ,  3.503757653850906e-01,  4.893323527564404e-01,  2.607331730308294e-05
246         ,  2.556389493354024e-01,  4.943223253478916e-01,  1.836041850004889e-04
286         ,  2.223387257013637e-01,  4.979279623580488e-01,  2.974322905466092e-04
465         ,  3.187608224082913e-01,  6.757763487669962e-01,  5.912014358108108e-03
5237        ,  4.050496152104346e-01,  4.955210086850211e-01,  2.214460013094493e-04
4712        ,  3.442133508674560e-01,  5.141124664437058e-01,  8.083687586614197e-04
1007        ,  8.851170638711574e-01,  6.607134553000216e-01,  5.436486560229757e-03
4773        ,  3.367910301019642e-01,  4.939618105891758e-01,  1.722229195291071e-04
2379        ,  1.925093990386221e-01,  4.899569353869485e-01,  4.579106964128850e-05
877         ,  6.907271953905234e-01,  5.823287751573162e-01,  2.961922531918524e-03
4038        ,  4.295673667432552e-01,  5.071498467310863e-01,  5.885624361467225e-04
56          ,  2.848354288519700e-01,  5.725713908476879e-01,  2.653886928799953e-03
293         ,  3.141382424198136e-01,  5.184837717032927e-01,  9.463686169557728e-04
2482        ,  2.685476051705485e-01,  4.979279623580488e-01,  2.974322905466092e-04
698         ,  3.526971622512460e-01,  5.116958116732144e-01,  7.320762107679114e-04
5638        ,  8.721344321156084e-01,  4.915317145665562e-01,  9.550603822055610e-05
416         ,  6.071117165413150e-01,  5.619843930979919e-01,  2.319660856160323e-03
3708        ,  4.867280057715314e-01,  5.072300802537613e-01,  5.910953671826680e-04
5819        ,  7.652967829040024e-01,  6.853002448817747e-01,  6.212678859029683e-03
2404        ,  8.926809959705674e-01,  6.156021443073698e-01,  4.012345679012346e-03
5860        ,  5.228726533292852e-01,  5.507590526344665e-01,  1.965282632430703e-03
1770        ,  7.267589887161684e-01,  4.918349166126377e-01,  1.050779708377168e-04
4280        ,  1.996358645314295e-01,  6.363437368358632e-01,  4.667147084943394e-03
4123        ,  6.986549779679445e-01,  5.002315076423438e-01,  3.701540301483345e-04
3445        ,  2.252985427404290e-02,  5.006997679139717e-01,  3.849367660343270e-04
5375        ,  4.917466885534617e-01,  4.922517942410291e-01,  1.182385831097446e-04
5658        ,  2.914387417132949e-01,  5.101368051879450e-01,  6.828591780348817e-04
722         ,  3.444202719318335e-01,  5.066564440774417e-01,  5.729859681945743e-04
748         ,  3.334604743545695e-01,  4.906364087300087e-01,  6.724169353708117e-05
1752        ,  7.809780495391134e-01,  6.584293453148320e-01,  5.364378383022597e-03
3395        ,  3.436035898879734e-01,  4.984933419833055e-01,  3.152810344651033e-04
2138        ,  9.287432598310735e-01,  5.478065918699497e-01,  1.872074964942973e-03
1741        ,  1.896376276085417e-01,  5.299127216376174e-01,  1.307174686934763e-03
1296        ,  4.887142558626417e-01,  7.010855214308734e-01,  6.711011919191821e-03
1953        ,  2.915310679059414e-01,  4.950106445860786e-01,  2.053340692547998e-04
725         ,  4.409581854373062e-01,  7.818989145939269e-01,  9.262249168141359e-03
604         ,  4.560471731927151e-01,  5.457271720918957e-01,  1.806428752275350e-03
3827        ,  3.455204772490412e-01,  5.231004640369870e-01,  1.092115218944084e-03
1494        ,  3.967603100069481e-01,  5.134666922260800e-01,  7.879819988195947e-04
2934        ,  7.704268631123875e-01,  6.430187825416597e-01,  4.877874844000714e-03
2904        ,  3.724124904587404e-01,  4.907257207644960e-01,  7.006122852063994e-05
2310        ,  2.595786735285539e-01,  4.979279623580488e-01,  2.974322905466092e-04
3119        ,  2.876046469044033e-01,  6.041308407294348e-01,  3.650202526292757e-03
3373        ,  2.341191539407255e-01,  5.784541065809432e-01,  2.839601238226125e-03
4342        ,  1.740699555697718e-01,  6.720800300011163e-01,  5.795323476183657e-03
