# c0 + a0 * (cbrt(max:electron_affinity) * (ave:vdw_radius_uff^2)) + a1 * ((min:evaporation_heat / max:heat_capacity_molar) * (ave:thermal_conductivity * min:evaporation_heat))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.492624643866156; Max AE: 8.12770566517301
# Coefficients
# Task   a0                      a1                      c0
# all , -3.688205667904286e-06,  3.168000306217246e-06,  1.230570095253809e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^0.333333 * pm^2;                               11|cbrt|21|sq|mult; (cbrt(max:electron_affinity) * (ave:vdw_radius_uff^2)); $\left(\left(\sqrt[3]{ max:electron_{affinity} }\right) \left(ave:vdw_{radius, uff}^2\right)\right)$; (nthroot(max:electron_affinity, 3) .* (ave:vdw_radius_uff).^2); max:electron_affinity,ave:vdw_radius_uff
# 1;  2; J^-1 * KJ^2 * W * m^-1 * mol^-1;                  2|14|div|6|2|mult|mult; ((min:evaporation_heat / max:heat_capacity_molar) * (ave:thermal_conductivity * min:evaporation_heat)); $\left(\left(\frac{ min:evaporation_{heat} }{ max:heat_{capacity, molar} } \right) \left(ave:thermal_{conductivity} min:evaporation_{heat}\right)\right)$; ((min:evaporation_heat ./ max:heat_capacity_molar) .* (ave:thermal_conductivity .* min:evaporation_heat)); min:evaporation_heat,max:heat_capacity_molar,ave:thermal_conductivity,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3114        ,  1.831950432135623e+00,  1.034162879944886e+00,  1.211301031690329e+05,  7.902319872306465e+04
915         ,  7.155608468327842e-01,  3.872511715404616e-01,  2.287135086597249e+05,  7.056036304264309e+01
143         ,  2.878408453797652e-01,  3.205506814436688e-01,  2.501234691724188e+05,  3.941724008975318e+03
3624        ,  3.119165808174699e-01,  4.023497337662508e-01,  2.245895235320541e+05,  3.535105570119887e+01
1613        ,  4.892777101910798e-01,  6.173364894611444e-01,  1.662822256205702e+05,  1.560644194531050e+01
785         ,  1.323171435250627e+00,  5.557988609000952e-01,  1.990893771690160e+05,  1.878514178922051e+04
1473        ,  4.422223937745569e-01,  5.449715983628345e-01,  1.859420041257977e+05,  6.119211128048780e+01
3936        ,  3.696216735678464e-01,  4.350453980867597e-01,  2.159624013340163e+05,  3.122018281843405e+02
3196        ,  4.682934522240256e-01,  6.374040750848780e-01,  1.635565364218063e+05,  3.176806664133739e+03
5825        ,  3.327553083664687e-01,  5.173729276087323e-01,  1.935385296259535e+05,  1.934135795454545e+02
199         ,  1.504427135099300e+00,  6.024316911135043e-01,  1.876526356997843e+05,  2.019037382013169e+04
1800        ,  4.375320177361192e-01,  5.445269337624246e-01,  1.860637935472104e+05,  6.261882639984228e+01
4488        ,  3.500270645846581e-01,  4.987895129091749e-01,  1.985666605602542e+05,  1.812186032290585e+02
1941        ,  4.982888367482280e-01,  4.947433799583227e-01,  2.016406027159497e+05,  2.482732879059321e+03
5607        ,  5.615877319607279e-01,  4.987039239480642e-01,  1.994479795879519e+05,  1.180238983960893e+03
3304        ,  4.207482123452428e-01,  9.350668359893022e-01,  8.012197567314468e+04,  9.676567481758913e-01
5772        ,  9.791729170663426e-01,  5.844380362843072e-01,  1.755489830586436e+05,  4.194113679892916e+02
4208        ,  6.603942215445863e-01,  7.014207773251280e-01,  1.434788084664870e+05,  9.481274831506571e+00
5685        ,  1.451928416459744e+00,  6.986183206027081e-01,  1.445133837579549e+05,  3.293264874273609e+02
461         ,  2.895131874006477e-01,  3.318746475909398e-01,  2.438238159545209e+05,  1.821124541919285e+02
180         ,  3.677083798565582e-01,  4.049419843800122e-01,  2.238928047353940e+05,  4.248754458977408e+01
3567        ,  6.455865771715684e-01,  4.554512916136979e-01,  2.101625199818025e+05,  1.197518135628491e+00
986         ,  1.667063758544649e-01,  3.119236926681647e-01,  2.492349491057015e+05,  1.841380332872102e+02
3563        ,  2.963852956512342e-01,  4.973509099044078e-01,  1.990821787945190e+05,  3.272836991976200e+02
3276        ,  3.528731625859118e-01,  5.842445785542114e-01,  1.781234182230955e+05,  3.355518607888631e+03
4238        ,  2.446030623760792e-01,  7.431135031403667e-01,  1.321663677754075e+05,  4.880748831568460e-02
5282        ,  5.293873330373472e-01,  6.537580540795439e-01,  1.564193368913844e+05,  2.987490821350921e+01
599         ,  1.941897543062212e-01,  3.346453018673711e-01,  2.429764593813878e+05,  7.018978845289998e+01
