# c0 + a0 * ((ave:vdw_radius_uff * max:electron_affinity) / (|max:electron_affinity|)) + a1 * ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)) + a2 * ((min:evaporation_heat^3) * (max:thermal_conductivity + ave:thermal_conductivity))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.484308082224775; Max AE: 6.99699926687883
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.280464561669495e-03, -1.922692023889941e-04,  1.506131163840916e-10,  1.697814165225986e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; pm;                                               21|11|mult|11|abs|div; ((ave:vdw_radius_uff * max:electron_affinity) / (|max:electron_affinity|)); $\left(\frac{ \left(ave:vdw_{radius, uff} max:electron_{affinity}\right) }{ \left(\left|max:electron_{affinity}\right|\right) } \right)$; ((ave:vdw_radius_uff .* max:electron_affinity) ./ abs(max:electron_affinity)); ave:vdw_radius_uff,max:electron_affinity,max:electron_affinity
# 1;  2; KJ * eV * mol^-1;                                 13|3|mult|19|10|add|mult; ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)); $\left(\left(min:heat_{of, formation} max:num_{p, valence}\right) \left(var:electron_{affinity} + ave:electron_{affinity}\right)\right)$; ((min:heat_of_formation .* max:num_p_valence) .* (var:electron_affinity + ave:electron_affinity)); min:heat_of_formation,max:num_p_valence,var:electron_affinity,ave:electron_affinity
# 2;  2; K^-1 * KJ^3 * W * m^-1 * mol^-3;                  2|cb|18|6|add|mult; ((min:evaporation_heat^3) * (max:thermal_conductivity + ave:thermal_conductivity)); $\left(\left(min:evaporation_{heat}^3\right) \left(max:thermal_{conductivity} + ave:thermal_{conductivity}\right)\right)$; ((min:evaporation_heat).^3 .* (max:thermal_conductivity + ave:thermal_conductivity)); min:evaporation_heat,max:thermal_conductivity,ave:thermal_conductivity
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3114        ,  1.831950432135623e+00,  1.091663723004742e+00,  3.072333333333333e+02,  0.000000000000000e+00,  6.273310643680001e+08
915         ,  7.155608468327842e-01,  3.557590349879500e-01,  4.233857142857142e+02,  1.958436239763426e+03,  5.285633062500000e+04
143         ,  2.878408453797652e-01,  4.043503812913918e-01,  4.466500000000000e+02,  1.441781554210121e+03,  1.537649600400000e+07
3624        ,  3.119165808174699e-01,  4.142472316064028e-01,  3.825800000000000e+02,  2.138242160121745e+03,  7.511314639500000e+04
1613        ,  4.892777101910798e-01,  6.113816048955122e-01,  3.325200000000000e+02,  1.706645489048542e+03,  1.913947519161024e+04
785         ,  1.323171435250627e+00,  4.786647089891350e-01,  3.968333333333333e+02,  1.723041853928960e+03,  1.135543880066400e+08
1473        ,  4.422223937745569e-01,  3.925409197544710e-01,  3.817500000000000e+02,  2.260984543137467e+03,  7.831767234375000e+04
3936        ,  3.696216735678464e-01,  4.676717134755026e-01,  3.796545454545455e+02,  1.897022580177119e+03,  2.558231641205062e+06
3196        ,  4.682934522240256e-01,  6.279236520577122e-01,  3.455500000000000e+02,  1.484126345845345e+03,  2.307770372358000e+07
5825        ,  3.327553083664687e-01,  3.765729757942342e-01,  3.894700000000000e+02,  2.252838359272237e+03,  5.496058527750000e+05
199         ,  1.504427135099300e+00,  5.063352486584344e-01,  3.852666666666667e+02,  1.722983129292515e+03,  1.220654349266400e+08
1800        ,  4.375320177361192e-01,  3.546215931088536e-01,  3.818750000000000e+02,  2.456725316664601e+03,  8.265876609375000e+04
4488        ,  3.500270645846581e-01,  6.787304053295853e-01,  3.597333333333333e+02,  1.033928508253786e+03,  4.512756414275551e+05
1941        ,  4.982888367482280e-01,  4.986469893076922e-01,  3.668500000000000e+02,  1.898838624960648e+03,  1.666147329664896e+07
5607        ,  5.615877319607279e-01,  7.030742167179312e-01,  3.648500000000000e+02,  8.564359992328440e+02,  1.297239798025376e+07
3304        ,  4.207482123452428e-01,  1.030094164283782e+00,  2.928000000000000e+02,  0.000000000000000e+00,  1.508143832713216e+02
5772        ,  9.791729170663426e-01,  5.995311569412837e-01,  3.741875000000000e+02,  1.275390863172511e+03,  1.704425800052326e+06
4208        ,  6.603942215445863e-01,  8.530604025193053e-01,  3.315000000000000e+02,  4.617569898834843e+02,  1.253296686600000e+04
5685        ,  1.451928416459744e+00,  7.788988037183039e-01,  3.304000000000000e+02,  8.611331597345135e+02,  7.935261128481118e+05
461         ,  2.895131874006477e-01,  3.597199020628877e-01,  4.098333333333333e+02,  2.099787147451460e+03,  1.597003815985917e+06
180         ,  3.677083798565582e-01,  3.521488139680594e-01,  4.189000000000000e+02,  2.030406436638449e+03,  3.903858787500000e+04
3567        ,  6.455865771715684e-01,  6.301755036361540e-01,  3.738285714285714e+02,  1.118931232619796e+03,  1.084344476473852e+03
986         ,  1.667063758544649e-01,  3.030665013546828e-01,  4.030250000000000e+02,  2.474444563893994e+03,  6.377183709590978e+05
3563        ,  2.963852956512342e-01,  2.792549920122821e-01,  3.602000000000000e+02,  3.106438414414738e+03,  9.069469710258647e+05
3276        ,  3.528731625859118e-01,  4.924859192028526e-01,  3.721333333333333e+02,  1.871225203916515e+03,  2.050027501464000e+07
4238        ,  2.446030623760792e-01,  7.639034118411991e-01,  3.412818181818182e+02,  8.094362578266355e+02,  1.459395397013132e+01
