# c0 + a0 * (cbrt(max:electron_affinity) * (ave:vdw_radius_uff + min:vdw_radius_uff)) + a1 * ((ave:mendeleev_number * min:evaporation_heat) / exp(ave:num_p_valence))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.45671059213854; Max AE: 8.05148021571024
# Coefficients
# Task   a0                      a1                      c0
# all , -7.654633031024026e-04,  1.159351556192388e-04,  1.221093882188929e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^0.333333 * pm;                                 11|cbrt|21|17|add|mult; (cbrt(max:electron_affinity) * (ave:vdw_radius_uff + min:vdw_radius_uff)); $\left(\left(\sqrt[3]{ max:electron_{affinity} }\right) \left(ave:vdw_{radius, uff} + min:vdw_{radius, uff}\right)\right)$; (nthroot(max:electron_affinity, 3) .* (ave:vdw_radius_uff + min:vdw_radius_uff)); max:electron_affinity,ave:vdw_radius_uff,min:vdw_radius_uff
# 1;  2; KJ * mol^-1;                                      16|2|mult|4|exp|div; ((ave:mendeleev_number * min:evaporation_heat) / exp(ave:num_p_valence)); $\left(\frac{ \left(ave:mendeleev_{number} min:evaporation_{heat}\right) }{ \left(\exp{ ave:num_{p, valence} }\right) } \right)$; ((ave:mendeleev_number .* min:evaporation_heat) ./ exp(ave:num_p_valence)); ave:mendeleev_number,min:evaporation_heat,ave:num_p_valence
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  4.638167398801351e-01,  9.993693972291151e+02,  6.644626017462186e+01
3114        ,  1.831950432135623e+00,  1.625955054234948e+00,  7.819344694799463e+02,  8.654866666666667e+03
3034        ,  4.935948125875536e-01,  4.254676908508702e-01,  1.046372284831157e+03,  4.600325117190629e+01
915         ,  7.155608468327842e-01,  4.242247620701291e-01,  1.055030233083021e+03,  9.244656560454220e+01
1747        ,  4.723624565072543e-01,  6.163219964463438e-01,  8.070757087793537e+02,  1.122606174447702e+02
3624        ,  3.119165808174699e-01,  4.029139396465290e-01,  1.072684105964885e+03,  2.518973972415901e+01
785         ,  1.323171435250627e+00,  5.402003836348118e-01,  9.435493868981883e+02,  3.567419352681077e+02
1473        ,  4.422223937745569e-01,  5.442162400506018e-01,  8.909028751168820e+02,  4.378150324599036e+01
3936        ,  3.696216735678464e-01,  4.692182202841499e-01,  1.003198566229108e+03,  1.383189264972771e+02
1713        ,  5.274016633298737e-01,  4.186131276581956e-01,  1.050114798108139e+03,  1.158912892865211e+01
199         ,  1.504427135099300e+00,  5.848139219721480e-01,  8.850569103901631e+02,  3.553592145887740e+02
4488        ,  3.500270645846581e-01,  4.517926213408209e-01,  1.015838865774474e+03,  7.147195967573948e+01
5607        ,  5.615877319607279e-01,  5.228431141148314e-01,  9.519496408182241e+02,  2.624893908256038e+02
3304        ,  4.207482123452428e-01,  8.149635637120343e-01,  5.433560816654153e+02,  8.443360000000001e+01
4208        ,  6.603942215445863e-01,  6.262722781938700e-01,  7.859903013799895e+02,  5.887022162747351e+01
5588        ,  8.803208873918648e-01,  4.426065793641047e-01,  1.020643124258482e+03,  2.395782663156024e+01
5685        ,  1.451928416459744e+00,  6.195902705979796e-01,  8.031598459233437e+02,  1.145966201346514e+02
350         ,  3.022496124401135e-01,  3.876470289560113e-01,  1.097210548471213e+03,  5.544096925841443e+01
3563        ,  2.963852956512342e-01,  4.632834927783060e-01,  9.995228394826432e+02,  6.285983563077073e+01
795         ,  2.766538255638341e-01,  2.626913151876888e-01,  1.256817749995037e+03,  3.144257053194488e+01
4238        ,  2.446030623760792e-01,  6.752818779449566e-01,  7.147492751157337e+02,  1.123332063694153e+01
5282        ,  5.293873330373472e-01,  5.700926824273389e-01,  8.536081589808011e+02,  2.074022460375471e+01
3382        ,  4.754043303942602e-01,  4.436150391001781e-01,  1.022513603802951e+03,  4.500617192021885e+01
2828        ,  4.609014146704439e-01,  4.328025360831515e-01,  1.078098939488119e+03,  3.187456728601000e+02
4760        ,  2.326804630331917e-01,  5.719931293488153e-01,  8.644271720494008e+02,  1.085652190749329e+02
4099        ,  2.771646182279487e-01,  6.117701571400842e-01,  8.082895713314101e+02,  8.101321842847858e+01
5625        ,  9.047570655746466e-01,  5.411927780519858e-01,  8.958912874106924e+02,  5.063865152680829e+01
6349        ,  6.066079572580644e-01,  6.290731609059399e-01,  7.908480569119522e+02,  1.151026583927391e+02
909         ,  2.859807336003438e-01,  4.870398352673773e-01,  9.690389784483758e+02,  6.650036665185785e+01
3508        ,  7.316706566321051e-01,  6.013261433052712e-01,  8.152912636041345e+02,  3.715701869967926e+01
359         ,  4.663407226120941e-01,  5.530160933036560e-01,  8.816525409319950e+02,  5.860929110643311e+01
5918        ,  2.241858049594979e+00,  4.426065793641047e-01,  1.020643124258482e+03,  2.395782663156024e+01
4401        ,  3.273613861116079e-01,  4.641149619993806e-01,  1.015927369098602e+03,  1.783427931101999e+02
3615        ,  3.036705797988253e-01,  4.618064194001965e-01,  1.009379816956371e+03,  1.152001384933917e+02
5701        ,  9.203994095360772e-01,  4.868806562525674e-01,  9.603786043658715e+02,  7.947138945838321e+00
538         ,  3.775823948370269e-01,  4.833505268974966e-01,  9.659356769537181e+02,  1.418860884111814e+01
