# c0 + a0 * ((min:heat_of_formation / max:thermal_conductivity) - (min:heat_of_formation / sum:thermal_conductivity)) + a1 * ((ave:num_p_valence * min:evaporation_heat) * (var:electron_affinity + ave:electron_affinity)) + a2 * ((ave:heat_capacity_molar * min:evaporation_heat) / (min:vdw_radius_uff * ave:icsd_volume))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.449025842943375; Max AE: 6.88750713053681
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.650038538060738e-04, -9.756065701118970e-04,  1.357526986049495e+00,  5.822765388417828e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K * KJ * W^-1 * m * mol^-1;                       13|18|div|13|23|div|sub; ((min:heat_of_formation / max:thermal_conductivity) - (min:heat_of_formation / sum:thermal_conductivity)); $\left(\left(\frac{ min:heat_{of, formation} }{ max:thermal_{conductivity} } \right) - \left(\frac{ min:heat_{of, formation} }{ sum:thermal_{conductivity} } \right)\right)$; ((min:heat_of_formation ./ max:thermal_conductivity) - (min:heat_of_formation ./ sum:thermal_conductivity)); min:heat_of_formation,max:thermal_conductivity,min:heat_of_formation,sum:thermal_conductivity
# 1;  2; KJ * eV * mol^-1;                                 4|2|mult|19|10|add|mult; ((ave:num_p_valence * min:evaporation_heat) * (var:electron_affinity + ave:electron_affinity)); $\left(\left(ave:num_{p, valence} min:evaporation_{heat}\right) \left(var:electron_{affinity} + ave:electron_{affinity}\right)\right)$; ((ave:num_p_valence .* min:evaporation_heat) .* (var:electron_affinity + ave:electron_affinity)); ave:num_p_valence,min:evaporation_heat,var:electron_affinity,ave:electron_affinity
# 2;  2; J * K^-1 * KJ * cm^-3 * mol^-1 * pm^-1;           22|2|mult|17|15|mult|div; ((ave:heat_capacity_molar * min:evaporation_heat) / (min:vdw_radius_uff * ave:icsd_volume)); $\left(\frac{ \left(ave:heat_{capacity, molar} min:evaporation_{heat}\right) }{ \left(min:vdw_{radius, uff} ave:icsd_{volume}\right) } \right)$; ((ave:heat_capacity_molar .* min:evaporation_heat) ./ (min:vdw_radius_uff .* ave:icsd_volume)); ave:heat_capacity_molar,min:evaporation_heat,min:vdw_radius_uff,ave:icsd_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  5.282928212779261e-01,  6.454668498822568e-01,  1.618373714300921e+02,  7.646211223933740e-02
3114        ,  1.831950432135623e+00,  1.267796544530060e+00,  4.892580409356725e-01,  0.000000000000000e+00,  5.049176062574613e-01
3034        ,  4.935948125875536e-01,  5.524609555827623e-01,  2.804809381784243e+00,  6.164027023633886e+01,  2.199460144562468e-02
915         ,  7.155608468327842e-01,  5.805574862218918e-01,  8.211871779669913e+00,  4.320715339969317e+01,  2.878700756866625e-02
1747        ,  4.723624565072543e-01,  6.081272644607408e-01,  1.388685180380220e+00,  3.927270178825825e+01,  4.709762219107064e-02
3624        ,  3.119165808174699e-01,  5.010570870706962e-01,  1.131994704911828e+00,  1.332633487536924e+02,  3.580508073786317e-02
785         ,  1.323171435250627e+00,  5.318188496320233e-01,  1.472970277279106e-03,  3.018356768766399e+02,  1.797496032911960e-01
1473        ,  4.422223937745569e-01,  5.640595217689373e-01,  4.286947877567213e+00,  6.423946775339161e+01,  3.222629624056341e-02
3936        ,  3.696216735678464e-01,  4.569176708936447e-01,  1.365476390569674e+00,  2.916944932809591e+02,  1.171209772839860e-01
1713        ,  5.274016633298737e-01,  5.183808269057087e-01,  1.371753210983177e+00,  1.128447260987588e+02,  3.386304666829904e-02
199         ,  1.504427135099300e+00,  5.432664914022227e-01,  1.274839868096289e-03,  3.018253897264177e+02,  1.881749520088818e-01
4488        ,  3.500270645846581e-01,  5.386247216421662e-01,  7.276566366516207e-01,  1.128266711083011e+02,  4.884069263414538e-02
5607        ,  5.615877319607279e-01,  5.755812039151423e-01,  1.159261578715704e-01,  1.856029922091119e+02,  1.284401984152037e-01
3304        ,  4.207482123452428e-01,  5.865075374711977e-01,  6.438821612294359e-01,  0.000000000000000e+00,  3.038433588284210e-03
4208        ,  6.603942215445863e-01,  6.031821427652195e-01,  4.965682866612712e+00,  5.529348119328135e+01,  5.453367145623111e-02
5588        ,  8.803208873918648e-01,  5.596911483721473e-01,  1.652857968126351e-01,  7.516339895175521e+01,  3.736002533089674e-02
5685        ,  1.451928416459744e+00,  6.448201578998874e-01,  6.412417458139782e-01,  6.331133565014170e+01,  9.149340528626020e-02
350         ,  3.022496124401135e-01,  2.454730108723318e-01,  3.357925589590675e+00,  4.823308849260824e+02,  9.812518133203954e-02
3563        ,  2.963852956512342e-01,  3.689471353553738e-01,  3.372961391088225e-04,  3.484548649277824e+02,  9.327652250797286e-02
795         ,  2.766538255638341e-01,  1.808185001823036e-01,  1.681747815726767e+00,  5.257077904719582e+02,  8.187567684138433e-02
4238        ,  2.446030623760792e-01,  5.855573156089434e-01,  5.310180556591808e+00,  2.042798372627801e+00,  3.239378715751127e-03
5282        ,  5.293873330373472e-01,  5.645980114785343e-01,  6.542460522618918e-01,  7.921531143574859e+01,  4.382711976879852e-02
3382        ,  4.754043303942602e-01,  5.542906851238739e-01,  7.556880699666202e-05,  1.340655759487354e+02,  7.573285215754827e-02
2828        ,  4.609014146704439e-01,  4.534091516855143e-01,  8.865076652174253e-01,  3.327538123904870e+02,  1.441025801113248e-01
4760        ,  2.326804630331917e-01,  6.076984595934851e-01,  6.325421349678948e+00,  8.264755437572346e+01,  7.735367324835303e-02
4099        ,  2.771646182279487e-01,  5.973695660711250e-01,  2.082407960529820e+00,  5.817542366383329e+01,  5.267353663754737e-02
5625        ,  9.047570655746466e-01,  6.160369814160428e-01,  1.719602453276877e+01,  8.727983165458789e+01,  8.550386890979537e-02
6349        ,  6.066079572580644e-01,  6.010164290250812e-01,  1.930256416914803e+00,  4.416719191375176e+01,  4.531121199227502e-02
909         ,  2.859807336003438e-01,  4.741908433403866e-01,  6.739499735039303e-01,  2.417350747978234e+02,  9.402496500375036e-02
3508        ,  7.316706566321051e-01,  7.399019901606146e-01,  8.500466536001188e+02,  7.876358437735060e+01,  6.939585653329085e-02
359         ,  4.663407226120941e-01,  5.737485124753653e-01,  3.434744328044273e+00,  5.570332824488993e+01,  3.333249435218298e-02
5918        ,  2.241858049594979e+00,  5.596911483721473e-01,  1.652857968126351e-01,  7.516339895175521e+01,  3.736002533089674e-02
4401        ,  3.273613861116079e-01,  4.373145885214630e-01,  2.444142094177824e+00,  2.994539003855966e+02,  1.081259901166790e-01
3615        ,  3.036705797988253e-01,  4.854223572266231e-01,  2.477556259218141e+00,  2.149107037331781e+02,  8.280152642167042e-02
5701        ,  9.203994095360772e-01,  5.811566675289364e-01,  7.756678804541303e-01,  1.426222081121326e+01,  9.330537776101008e-03
538         ,  3.775823948370269e-01,  5.445033816582024e-01,  4.511923113849824e-01,  9.365591442897075e+01,  3.942737075800824e-02
423         ,  3.114023315769188e-01,  3.409003150272172e-01,  5.648879318782421e+00,  3.797537020757738e+02,  9.442309244297944e-02
577         ,  3.135900205824857e-01,  2.848693328825285e-01,  2.569477599738391e+00,  4.597737053631128e+02,  1.110306237742587e-01
