# c0 + a0 * ((exp(-1.0 * ave:num_p_valence)) * (ave:mendeleev_number * min:evaporation_heat))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.487303037501958; Max AE: 6.13617390966485
# Coefficients
# Task   a0                      c0
# all ,  1.351365312684460e-04,  5.163053194525081e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * mol^-1;                                      4|nexp|16|2|mult|mult; ((exp(-1.0 * ave:num_p_valence)) * (ave:mendeleev_number * min:evaporation_heat)); $\left(\left(\exp{ \left(-ave:num_{p, valence} \right) } \right) \left(ave:mendeleev_{number} min:evaporation_{heat}\right)\right)$; (exp(-1.0 * (ave:num_p_valence)) .* (ave:mendeleev_number .* min:evaporation_heat)); ave:num_p_valence,ave:mendeleev_number,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  5.252846365682672e-01,  6.644626017462187e+01
3034        ,  4.935948125875536e-01,  5.225220392429506e-01,  4.600325117190629e+01
143         ,  2.878408453797652e-01,  5.635368500688130e-01,  3.495097156406987e+02
1747        ,  4.723624565072543e-01,  5.314758298920483e-01,  1.122606174447702e+02
3624        ,  3.119165808174699e-01,  5.197093735023860e-01,  2.518973972415901e+01
1613        ,  4.892777101910798e-01,  5.177945447849459e-01,  1.102015360657358e+01
3936        ,  3.696216735678464e-01,  5.349972593881253e-01,  1.383189264972771e+02
3196        ,  4.682934522240256e-01,  5.867288589630756e-01,  5.211288083950627e+02
1713        ,  5.274016633298737e-01,  5.178714341363490e-01,  1.158912892865211e+01
5825        ,  3.327553083664687e-01,  5.221970743448139e-01,  4.359853576973846e+01
1800        ,  4.375320177361192e-01,  5.222041387991212e-01,  4.365081219152471e+01
4488        ,  3.500270645846581e-01,  5.259637921660458e-01,  7.147195967573950e+01
1941        ,  4.982888367482280e-01,  5.440128423638069e-01,  2.050335512627469e+02
5607        ,  5.615877319607279e-01,  5.517772252234476e-01,  2.624893908256038e+02
3304        ,  4.207482123452428e-01,  5.277153832790156e-01,  8.443360000000001e+01
5772        ,  9.791729170663426e-01,  5.223528611251248e-01,  4.475134603391100e+01
4208        ,  6.603942215445863e-01,  5.242608369982495e-01,  5.887022162747351e+01
5588        ,  8.803208873918648e-01,  5.195428970402279e-01,  2.395782663156024e+01
5685        ,  1.451928416459744e+00,  5.317915091925927e-01,  1.145966201346514e+02
461         ,  2.895131874006477e-01,  5.306640090779212e-01,  1.062532054851239e+02
180         ,  3.677083798565582e-01,  5.198567015819934e-01,  2.627995624980598e+01
3567        ,  6.455865771715684e-01,  5.175061133095349e-01,  8.885782739542494e+00
986         ,  1.667063758544649e-01,  5.200527121667051e-01,  2.773041959137478e+01
350         ,  3.022496124401135e-01,  5.237974197282508e-01,  5.544096925841443e+01
795         ,  2.766538255638341e-01,  5.205543593683586e-01,  3.144257053194487e+01
3276        ,  3.528731625859118e-01,  5.637667628373595e-01,  3.512110525507726e+02
4238        ,  2.446030623760792e-01,  5.178233514380106e-01,  1.123332063694153e+01
5282        ,  5.293873330373472e-01,  5.191080814631880e-01,  2.074022460375470e+01
599         ,  1.941897543062212e-01,  5.262806423798377e-01,  7.381662703413468e+01
2828        ,  4.609014146704439e-01,  5.593795040396489e-01,  3.187456728601000e+02
4760        ,  2.326804630331917e-01,  5.309764465746935e-01,  1.085652190749329e+02
4099        ,  2.771646182279487e-01,  5.272531647778257e-01,  8.101321842847858e+01
4506        ,  2.830919218734357e-01,  5.281591514937627e-01,  8.771745086239567e+01
2032        ,  3.425223935124700e-01,  5.340345934970322e-01,  1.311952725004112e+02
5625        ,  9.047570655746466e-01,  5.231484511679526e-01,  5.063865152680830e+01
3021        ,  9.436790737277430e-01,  5.864558995076082e-01,  5.191089292927563e+02
6349        ,  6.066079572580644e-01,  5.318598934474797e-01,  1.151026583927391e+02
3265        ,  4.841085563396736e-01,  5.436124629735783e-01,  2.020707743846494e+02
73          ,  3.010695272812237e-01,  5.250295650050321e-01,  6.455875010727804e+01
909         ,  2.859807336003438e-01,  5.252919483299200e-01,  6.650036665185785e+01
3508        ,  7.316706566321051e-01,  5.213265900718596e-01,  3.715701869967926e+01
5286        ,  2.235408342514859e-01,  5.188328479937654e-01,  1.870351797203097e+01
359         ,  4.663407226120941e-01,  5.242255757527341e-01,  5.860929110643309e+01
3172        ,  4.790530319841335e-01,  5.241598474846824e-01,  5.812290694787347e+01
5918        ,  2.241858049594979e+00,  5.195428970402279e-01,  2.395782663156024e+01
4401        ,  3.273613861116079e-01,  5.404059458901467e-01,  1.783427931101999e+02
4407        ,  5.372482734277881e-01,  5.187747795498047e-01,  1.827381592613914e+01
5701        ,  9.203994095360772e-01,  5.173792682431571e-01,  7.947138945838322e+00
538         ,  3.775823948370269e-01,  5.182227188348216e-01,  1.418860884111814e+01
423         ,  3.114023315769188e-01,  5.306362221802946e-01,  1.060475845670365e+02
577         ,  3.135900205824857e-01,  5.280381992765577e-01,  8.682241370205364e+01
3422        ,  2.802083413851849e-01,  5.215282330664346e-01,  3.864916144363078e+01
1518        ,  2.969751162456789e-01,  5.219485879957942e-01,  4.175975578413969e+01
5181        ,  5.261236775456994e-01,  5.226709561066772e-01,  4.710522457857039e+01
1156        ,  8.470934050524324e-01,  7.958352343812887e-01,  2.068500000000000e+03
4984        ,  4.348768073655889e-01,  5.768547800950163e-01,  4.480613796592713e+02
827         ,  4.003907365198857e-01,  5.198877180198055e-01,  2.650947551836325e+01
5396        ,  8.394699154938887e-02,  5.297166005697973e-01,  9.924245495578045e+01
3038        ,  2.698343232194364e-01,  5.491947248555644e-01,  2.433790855392180e+02
4451        ,  3.854058871881627e-01,  5.228802699621122e-01,  4.865413110643689e+01
5269        ,  5.468292537176512e-01,  5.259373040231883e-01,  7.127594944365126e+01
1517        ,  4.146991767326453e-01,  5.305156710034699e-01,  1.051555150748481e+02
4066        ,  3.764670136622192e-01,  5.324336043629905e-01,  1.193480753064752e+02
5182        ,  1.517650397507960e-01,  5.303824178870721e-01,  1.041694522009007e+02
1           ,  4.764892223280973e-01,  7.892680563977194e-01,  2.019903384991999e+03
5743        ,  3.087205345176252e-01,  5.194369175810553e-01,  2.317358673596798e+01
1217        ,  3.172537314486099e-01,  5.411425951867046e-01,  1.837939415868066e+02
2683        ,  3.844169398000933e-01,  5.832475971642009e-01,  4.953677372309734e+02
759         ,  8.184498203592120e-01,  5.192374627498503e-01,  2.169763623366586e+01
