# c0 + a0 * ((max:electron_affinity * ave:num_p_valence) * sqrt(min:boiling_point)) + a1 * ((min:melting_point / ave:icsd_volume) * (ave:heat_capacity_molar * min:evaporation_heat))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.462767959679103; Max AE: 6.00858434381373
# Coefficients
# Task   a0                      a1                      c0
# all , -2.299352813834992e-03,  3.091069860298047e-06,  7.995402539806724e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K^0.5 * eV;                                       11|4|mult|5|sqrt|mult; ((max:electron_affinity * ave:num_p_valence) * sqrt(min:boiling_point)); $\left(\left(max:electron_{affinity} ave:num_{p, valence}\right) \left(\sqrt{ min:boiling_{point} }\right)\right)$; ((max:electron_affinity .* ave:num_p_valence) .* sqrt(min:boiling_point)); max:electron_affinity,ave:num_p_valence,min:boiling_point
# 1;  2; J * KJ * cm^-3 * mol^-1;                          12|15|div|22|2|mult|mult; ((min:melting_point / ave:icsd_volume) * (ave:heat_capacity_molar * min:evaporation_heat)); $\left(\left(\frac{ min:melting_{point} }{ ave:icsd_{volume} } \right) \left(ave:heat_{capacity, molar} min:evaporation_{heat}\right)\right)$; ((min:melting_point ./ ave:icsd_volume) .* (ave:heat_capacity_molar .* min:evaporation_heat)); min:melting_point,ave:icsd_volume,ave:heat_capacity_molar,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  5.667868556424885e-01,  1.029284309938176e+02,  1.266674409841353e+03
3034        ,  4.935948125875536e-01,  4.262504944945410e-01,  1.669507945849791e+02,  3.425681169757489e+03
143         ,  2.878408453797652e-01,  4.546263776395547e-01,  1.751059828703014e+02,  1.867203288814913e+04
1747        ,  4.723624565072543e-01,  5.597601763183020e-01,  1.113005297233194e+02,  5.221204718004337e+03
3624        ,  3.119165808174699e-01,  3.436400371727751e-01,  2.008966176176330e+02,  1.951423446818502e+03
1613        ,  4.892777101910798e-01,  5.130716165555326e-01,  1.254370565867406e+02,  6.326002598247928e+02
3936        ,  3.696216735678464e-01,  4.175551381713943e-01,  1.782640378996563e+02,  9.028201432559461e+03
3196        ,  4.682934522240256e-01,  5.323153850315138e-01,  1.591013069328041e+02,  3.190001303370787e+04
1713        ,  5.274016633298737e-01,  5.130011039420255e-01,  1.254370565867406e+02,  6.097885419750216e+02
5825        ,  3.327553083664687e-01,  4.729097855372204e-01,  1.465352362086609e+02,  3.334036344915796e+03
1800        ,  4.375320177361192e-01,  4.279955819187147e-01,  1.669507945849791e+02,  3.990238912883176e+03
4488        ,  3.500270645846581e-01,  5.785207169062870e-01,  9.721018482749437e+01,  8.090968678049578e+02
1941        ,  4.982888367482280e-01,  4.771573740643127e-01,  1.531956575700171e+02,  9.662669475118626e+03
5607        ,  5.615877319607279e-01,  5.076745691086550e-01,  1.378760918130154e+02,  8.139607299715116e+03
3304        ,  4.207482123452428e-01,  7.995782285651875e-01,  0.000000000000000e+00,  1.228525598943931e+01
5772        ,  9.791729170663426e-01,  6.524413549895004e-01,  6.550984001197612e+01,  1.142431628479889e+03
4208        ,  6.603942215445863e-01,  6.659556660573813e-01,  5.918331842198326e+01,  8.083744254642963e+02
5588        ,  8.803208873918648e-01,  5.692782081988002e-01,  1.010465178059855e+02,  6.727603572659203e+02
5685        ,  1.451928416459744e+00,  6.791198135522118e-01,  5.423377035883379e+01,  1.385323607856534e+03
461         ,  2.895131874006477e-01,  3.593158664344028e-01,  2.181016725384839e+02,  1.982106832787780e+04
180         ,  3.677083798565582e-01,  3.496724455036715e-01,  2.003409535019749e+02,  3.489641830065359e+03
3567        ,  6.455865771715684e-01,  4.919464966906681e-01,  1.343968463429363e+02,  4.632731008664922e+02
986         ,  1.667063758544649e-01,  2.666257743301887e-01,  2.371696180208168e+02,  4.018721498793197e+03
350         ,  3.022496124401135e-01,  2.981415819378203e-01,  2.297934863550257e+02,  8.727601972065326e+03
795         ,  2.766538255638341e-01,  1.936785223391292e-01,  2.757521836260308e+02,  9.119764021572781e+03
3276        ,  3.528731625859118e-01,  4.883423668063721e-01,  1.756490381621513e+02,  2.998354199678801e+04
4238        ,  2.446030623760792e-01,  7.693218119083056e-01,  1.315975865164890e+01,  1.309773461009451e+01
5282        ,  5.293873330373472e-01,  5.683597974126006e-01,  1.013145457046751e+02,  5.750207082719497e+02
599         ,  1.941897543062212e-01,  3.524437987925680e-01,  2.042608767600228e+02,  7.302121131704287e+03
2828        ,  4.609014146704439e-01,  4.886350339833490e-01,  1.751293134587735e+02,  2.969161611903791e+04
4760        ,  2.326804630331917e-01,  6.652767678303837e-01,  6.007920135763601e+01,  1.255162361156286e+03
4099        ,  2.771646182279487e-01,  7.141704532549806e-01,  3.842574491142417e+01,  9.655375306882257e+02
4506        ,  2.830919218734357e-01,  5.214740884106304e-01,  1.272006053980793e+02,  4.662755946951090e+03
2032        ,  3.425223935124700e-01,  3.658373572041919e-01,  2.181016725384839e+02,  2.193085266292360e+04
5625        ,  9.047570655746466e-01,  6.147906607617708e-01,  8.221364396308084e+01,  1.387409718013635e+03
3021        ,  9.436790737277430e-01,  4.982984268274050e-01,  1.591013069328041e+02,  2.089509896139094e+04
6349        ,  6.066079572580644e-01,  5.522392021554062e-01,  1.140277635738946e+02,  4.816781204111600e+03
3265        ,  4.841085563396736e-01,  4.085420534349755e-01,  2.101271794443617e+02,  2.981437655505474e+04
73          ,  3.010695272812237e-01,  3.857402196426103e-01,  1.860153866829935e+02,  4.501667408688524e+03
909         ,  2.859807336003438e-01,  3.856534633196808e-01,  1.860153866829935e+02,  4.473600646418337e+03
3508        ,  7.316706566321051e-01,  6.851474888183973e-01,  5.153929277802131e+01,  1.331012528308518e+03
5286        ,  2.235408342514859e-01,  5.610999397869825e-01,  1.045308804889505e+02,  6.188989824523160e+02
359         ,  4.663407226120941e-01,  4.709021193450150e-01,  1.484007062977592e+02,  4.072197502511842e+03
3172        ,  4.790530319841335e-01,  4.710727350896231e-01,  1.484007062977592e+02,  4.127393843040902e+03
5918        ,  2.241858049594979e+00,  5.692782081988002e-01,  1.010465178059855e+02,  6.727603572659203e+02
4401        ,  3.273613861116079e-01,  4.750525083306816e-01,  1.531956575700171e+02,  8.981718921180593e+03
4407        ,  5.372482734277881e-01,  7.500870374507106e-01,  2.152477908678059e+01,  1.289030407094531e+01
5701        ,  9.203994095360772e-01,  5.847770422670153e-01,  9.360938316146510e+01,  1.545700620204003e+02
538         ,  3.775823948370269e-01,  5.311781488185189e-01,  1.175972405500693e+02,  6.584907128829685e+02
423         ,  3.114023315769188e-01,  4.110872795172881e-01,  1.802301853764908e+02,  8.398325043856765e+03
577         ,  3.135900205824857e-01,  3.588467799277622e-01,  2.042608767600228e+02,  9.373566108550183e+03
3422        ,  2.802083413851849e-01,  4.084084377575179e-01,  1.749008324223590e+02,  3.567342521406449e+03
1518        ,  2.969751162456789e-01,  3.315139235365859e-01,  2.092673100183677e+02,  4.255176455008585e+03
5181        ,  5.261236775456994e-01,  6.939002062844476e-01,  4.717827569680412e+01,  9.185988694642128e+02
1156        ,  8.470934050524324e-01,  8.641317183760958e-01,  0.000000000000000e+00,  2.089615159626168e+04
4984        ,  4.348768073655889e-01,  5.648499774874072e-01,  1.540932649258653e+02,  3.870003306735664e+04
827         ,  4.003907365198857e-01,  4.055587699378789e-01,  1.758422834503930e+02,  3.345755892764185e+03
5396        ,  8.394699154938887e-02,  3.275477886720997e-01,  2.336803634340899e+02,  2.113220950796853e+04
3038        ,  2.698343232194364e-01,  7.823033903759529e-01,  9.888645124586080e+00,  1.779519919029819e+03
4451        ,  3.854058871881627e-01,  4.514617078528008e-01,  1.558207416126471e+02,  3.302518226501481e+03
5269        ,  5.468292537176512e-01,  4.268030561513772e-01,  1.674138480146942e+02,  3.948893176118168e+03
1517        ,  4.146991767326453e-01,  5.586617481882789e-01,  1.113005297233194e+02,  4.865849394550959e+03
4066        ,  3.764670136622192e-01,  7.283821505388360e-01,  3.237724802721851e+01,  1.063907663822528e+03
5182        ,  1.517650397507960e-01,  7.242268767010304e-01,  3.415621769904371e+01,  1.042945692694172e+03
1           ,  4.764892223280973e-01,  9.014688094303401e-01,  4.568996966512454e+01,  6.696254860550104e+04
5743        ,  3.087205345176252e-01,  5.000554709246597e-01,  1.315319117269029e+02,  9.554906281065261e+02
1217        ,  3.172537314486099e-01,  4.074852606230833e-01,  1.962915052846355e+02,  1.918055376620539e+04
2683        ,  3.844169398000933e-01,  5.891541492188919e-01,  1.400847862962412e+02,  3.614225748142198e+04
759         ,  8.184498203592120e-01,  5.609489224891731e-01,  1.045308804889505e+02,  5.700429861032518e+02
711         ,  2.502401932608478e-01,  3.861743998192593e-01,  1.860153866829935e+02,  4.642130159862680e+03
4207        ,  2.013711137722670e+00,  7.025755483417373e-01,  4.394055089408226e+01,  1.316736238513922e+03
1543        ,  3.840654554424733e-01,  5.463127099510695e-01,  1.501108401075201e+02,  2.974058908843102e+04
3822        ,  4.218122849416643e-01,  4.158186612917625e-01,  1.720099095724027e+02,  3.814173547264918e+03
905         ,  3.238182016186769e-01,  3.160220694620333e-01,  2.228300473745704e+02,  9.332274333095265e+03
347         ,  2.775346891577328e-01,  1.913461527393430e-01,  2.757521836260308e+02,  8.365213103865191e+03
2342        ,  1.210246062183758e+00,  3.866288635098614e-01,  1.860153866829935e+02,  4.789154883062644e+03
4542        ,  3.048128990006040e-01,  7.110810173703875e-01,  4.036643909886983e+01,  1.409689496885108e+03
559         ,  3.453933368526703e-01,  7.572066031762061e-01,  1.850128458698201e+01,  6.707385453682836e+01
3113        ,  2.314166087738986e-01,  7.190863841007333e-01,  3.700256917396401e+01,  1.497245898186423e+03
4420        ,  3.179225982353691e-01,  7.299253109097725e-01,  3.029470942232357e+01,  1.400236345001915e+01
1696        ,  3.247424454205921e-01,  4.344710425794706e-01,  1.965737191884192e+02,  2.812072417293028e+04
2686        ,  3.503757653850906e-01,  5.780288290128829e-01,  1.021304383800114e+02,  4.309991848002545e+03
3177        ,  2.627434022730241e-01,  5.385450875636546e-01,  1.149964713955208e+02,  1.107155069940135e+03
246         ,  2.556389493354024e-01,  2.347700690439695e-01,  2.511207720220413e+02,  4.090838899181006e+03
5215        ,  2.936995358011208e-01,  3.187734525603211e-01,  2.206017469008247e+02,  8.564816471155971e+03
286         ,  2.223387257013637e-01,  3.817903044562467e-01,  1.860153866829935e+02,  3.223820137393684e+03
465         ,  3.187608224082913e-01,  5.277517165645280e-01,  1.563654584453335e+02,  2.838849440894568e+04
5237        ,  4.050496152104346e-01,  4.387778016895552e-01,  1.611887598295270e+02,  3.192220372698698e+03
1007        ,  8.851170638711574e-01,  8.412749117520913e-01,  3.836003717928214e+01,  4.203655144367630e+04
877         ,  6.907271953905234e-01,  5.464585490443293e-01,  1.600968986242756e+02,  3.721609494472840e+04
56          ,  2.848354288519700e-01,  5.067943670535796e-01,  1.751059828703014e+02,  3.554903398219585e+04
293         ,  3.141382424198136e-01,  5.608828315293710e-01,  1.045308804889505e+02,  5.486617288722607e+02
2482        ,  2.685476051705485e-01,  3.817903044562467e-01,  1.860153866829935e+02,  3.223820137393684e+03
698         ,  3.526971622512460e-01,  3.846652762989153e-01,  1.855008828721989e+02,  3.771185979661017e+03
5638        ,  8.721344321156084e-01,  7.693245540246849e-01,  1.315975865164890e+01,  1.398484376753507e+01
3735        ,  4.120303000763381e-01,  7.955997536236353e-01,  1.730284632321747e+00,  1.230463326497475e+01
416         ,  6.071117165413150e-01,  5.145578527499827e-01,  1.667898223416890e+02,  3.187448053348468e+04
3708        ,  4.867280057715314e-01,  4.840500142054788e-01,  1.379807622454146e+02,  5.746276302944029e+02
5819        ,  7.652967829040024e-01,  6.341699652206031e-01,  1.846829398942956e+02,  8.388064989517821e+04
2404        ,  8.926809959705674e-01,  8.546840357530746e-01,  0.000000000000000e+00,  1.783970737144229e+04
5860        ,  5.228726533292852e-01,  6.578297230496220e-01,  6.307396009557504e+01,  1.073659556211354e+03
4123        ,  6.986549779679445e-01,  7.150060398590565e-01,  3.700256917396401e+01,  1.772031860869565e+02
1823        ,  1.515492379722413e+00,  1.324383591437001e+00,  0.000000000000000e+00,  1.697934246642108e+05
3445        ,  2.252985427404290e-02,  5.541226626286397e-01,  1.113005297233194e+02,  3.397398092967819e+03
5375        ,  4.917466885534617e-01,  7.364967730276947e-01,  2.743807514117056e+01,  1.498973856395017e+01
5658        ,  2.914387417132949e-01,  2.562891822256650e-01,  2.418200026878916e+02,  4.133983521727770e+03
722         ,  3.444202719318335e-01,  5.201060625667500e-01,  1.563654584453335e+02,  2.591502912238601e+04
748         ,  3.334604743545695e-01,  2.330723068645199e-01,  2.511207720220413e+02,  3.541591468297655e+03
1752        ,  7.809780495391134e-01,  8.723279797303534e-01,  8.178486118640423e+01,  8.438501497426299e+04
3395        ,  3.436035898879734e-01,  5.086665191851164e-01,  1.277738571061343e+02,  9.457706257412242e+02
1296        ,  4.887142558626417e-01,  7.429038130982614e-01,  1.218399191069988e+02,  7.231040709385405e+04
1953        ,  2.915310679059414e-01,  3.454597805352028e-01,  2.200844150161064e+02,  1.681335196288048e+04
725         ,  4.409581854373062e-01,  9.555938430692715e-01,  1.435884611493562e+02,  1.572963870896552e+05
4975        ,  2.234892878596882e-01,  7.330613889201641e-01,  2.893425571943679e+01,  1.656295280074661e+01
1494        ,  3.967603100069481e-01,  4.284410774694328e-01,  1.669507945849791e+02,  4.134362329969284e+03
309         ,  3.416637145480106e-01,  5.167917502912419e-01,  1.681017435554894e+02,  3.357307277275380e+04
2904        ,  3.724124904587404e-01,  1.691870444343900e-01,  2.859652274640320e+02,  8.793635249473798e+03
2310        ,  2.595786735285539e-01,  3.817903044562467e-01,  1.860153866829935e+02,  3.223820137393684e+03
1210        ,  3.142728504011673e-01,  4.745810646009097e-01,  1.531956575700171e+02,  8.829200941620420e+03
3119        ,  2.876046469044033e-01,  6.416914095399308e-01,  6.979943725032069e+01,  8.555898521902715e+02
5614        ,  4.725731745332571e-01,  6.621516086770217e-01,  6.140794520295969e+01,  1.232546161293244e+03
4342        ,  1.740699555697718e-01,  7.113273100832986e-01,  4.036643909886983e+01,  1.489368289032291e+03
4778        ,  1.209858356759635e+00,  7.009375289806143e-01,  4.440308300875682e+01,  1.130879927359044e+03
1002        ,  4.915429250815457e-01,  6.265467764410914e-01,  7.675993150369960e+01,  1.133810334812035e+03
3958        ,  5.589352628698108e-01,  3.472155848994486e-01,  2.181016725384839e+02,  1.590647497288080e+04
522         ,  3.091110080170049e-01,  1.936785223391292e-01,  2.757521836260308e+02,  9.119764021572781e+03
4929        ,  2.848078766839471e-01,  5.610579922074701e-01,  1.045308804889505e+02,  6.053284125822709e+02
1449        ,  3.198084694908603e-01,  4.902036994340798e-01,  1.391256621541492e+02,  3.417078449074074e+03
414         ,  2.030825961381315e-01,  5.307277161028729e-01,  1.175972405500693e+02,  5.127700608099233e+02
100         ,  9.132390745163984e-01,  7.489052269867693e-01,  4.759245385562716e+01,  1.902150981818182e+04
4326        ,  5.719339261998349e-01,  3.994053625384376e-01,  1.785747712156738e+02,  3.387665664552449e+03
2649        ,  3.967585550694082e-01,  5.213639028345826e-01,  1.272006053980793e+02,  4.627109526446967e+03
690         ,  2.040436270851283e-01,  3.503561819245150e-01,  2.181016725384839e+02,  1.692249763396796e+04
1340        ,  6.973473440932254e-01,  6.735256898443538e-01,  1.093943133872421e+02,  4.060780371883290e+04
5200        ,  3.532355286476786e-01,  6.546207290753883e-01,  6.508580147077234e+01,  1.532057203904556e+03
260         ,  3.247669513726531e-01,  3.921453776415292e-01,  1.885485016246365e+02,  8.458123755674447e+03
5545        ,  2.668049528800025e-01,  6.943588718207420e-01,  4.696479933618510e+01,  9.081843736303530e+02
1460        ,  1.677160946148001e-01,  2.338883720543567e-01,  2.511207720220413e+02,  3.805598827147238e+03
3867        ,  4.436248011424289e-01,  7.136022488843582e-01,  3.739161624217886e+01,  1.245941558054541e+01
3864        ,  3.252128607235879e-01,  7.886059693710318e-01,  4.769530493422683e+00,  1.052993059156159e+01
1581        ,  3.503307596163345e-01,  1.903583172985250e-01,  2.757521836260308e+02,  8.045635907145740e+03
3155        ,  6.842365295234908e-01,  7.204315795643955e-01,  1.755402492858854e+02,  1.049863983628078e+05
794         ,  3.111662222254260e-01,  3.582524857662787e-01,  2.042608767600228e+02,  9.181304468295251e+03
3803        ,  7.655309378783682e-01,  5.850187579941976e-01,  9.407779244005543e+01,  5.812035512447850e+02
1946        ,  2.780387488586082e-01,  3.475601179271448e-01,  2.435615554777776e+02,  3.495676796703297e+04
5645        ,  4.525496801479477e-01,  7.129114101174627e-01,  3.964560982924716e+01,  1.465641625271194e+03
2458        ,  1.260298271155158e+00,  5.093325448954981e-01,  1.667898223416890e+02,  3.018402768361583e+04
4472        ,  5.343607466851006e-01,  6.946074478314292e-01,  4.689118679804060e+01,  9.338437141033701e+02
5323        ,  9.413037896889335e-01,  6.945191228580250e-01,  4.740954175414139e+01,  1.290857952974364e+03
4007        ,  1.211030012183472e+00,  6.652218878519945e-01,  5.989471086809246e+01,  1.100171136014329e+03
1505        ,  8.511544883267681e-01,  6.211069416157738e-01,  7.839816036671284e+01,  5.925839131998805e+02
3278        ,  2.877714148613256e-01,  4.858392292210271e-01,  1.682000613656803e+02,  2.363267830566155e+04
2769        ,  3.413135962243585e-01,  1.091036362277639e+00,  9.137993933024907e+01,  1.622774157798165e+05
1760        ,  3.317508479100075e-01,  4.713575040586220e-01,  1.484007062977592e+02,  4.219520188244690e+03
490         ,  6.186590396051814e-01,  7.305011867443216e-01,  3.171648786339772e+01,  1.257923163516323e+03
5058        ,  6.661390913271708e+00,  6.528065694579755e-01,  6.467848230253810e+01,  6.421614016932733e+02
828         ,  3.032243400979974e-01,  5.365463182951027e-01,  1.563654584453335e+02,  3.123365874623007e+04
1664        ,  3.105809025872481e-01,  4.951553315727210e-01,  1.751059828703014e+02,  3.178365953034301e+04
4708        ,  2.596993644390941e-01,  5.658587317039367e-01,  1.029284309938176e+02,  9.664146355565184e+02
4178        ,  3.856676508816123e-01,  7.606873724992818e-01,  1.691968969497716e+01,  1.664621968944404e+01
3110        ,  5.378665184816716e-01,  7.713909312152646e-01,  1.560357771430092e+02,  1.069636065861740e+05
3554        ,  4.635933241874765e-01,  6.689540010388502e-01,  5.823096889953433e+01,  1.069949693515201e+03
5754        ,  4.988445590299595e-01,  6.859660025079588e-01,  5.087853261420052e+01,  1.104292627412398e+03
3305        ,  3.409693508341363e-01,  4.978241882648811e-01,  1.360339807729459e+02,  3.582594781791605e+03
4585        ,  1.589504108952911e+00,  6.657757237870775e-01,  6.007920135763601e+01,  1.416580892358856e+03
3036        ,  2.892421783144275e+00,  6.510867156041401e-01,  6.609740762482869e+01,  1.141262408244589e+03
2147        ,  1.291965770324611e+00,  4.525488890784263e-01,  1.751293134587735e+02,  1.801729410890928e+04
3430        ,  6.694987619005039e-01,  4.796072495464201e-01,  1.867797150616549e+02,  3.543739349504699e+04
4259        ,  3.188976518854251e-01,  5.050691302412252e-01,  1.667898223416890e+02,  2.880475938915492e+04
35          ,  4.928159204852420e-01,  2.002849345982386e-01,  2.878942077507987e+02,  2.028910381537409e+04
2124        ,  7.482036831149202e-01,  4.722799820861174e-01,  1.622145891737758e+02,  1.479368058114491e+04
2859        ,  8.867291835425449e-01,  9.048294624641932e-01,  5.977041144522009e+01,  7.852377435453983e+04
1486        ,  4.454154167958844e-01,  5.050691302412252e-01,  1.667898223416890e+02,  2.880475938915492e+04
3330        ,  1.023745436399819e+00,  8.313411044293063e-01,  7.801788857150460e+01,  6.832310870017811e+04
1863        ,  3.330616648495396e-01,  3.466690758556152e-01,  2.029258763814475e+02,  4.440859428273245e+03
3967        ,  3.887615793288777e-01,  5.124511609160801e-01,  1.254370565867406e+02,  4.318750522125034e+02
3812        ,  3.906656964801599e-01,  5.944171638490494e-01,  1.400847862962412e+02,  3.784490894774961e+04
