# c0 + a0 * ((|ave:num_p_valence - max:num_p_valence|) / (min:vdw_radius_uff * ave:icsd_volume)) + a1 * ((max:num_p_valence^2) / (max:mendeleev_number^6)) + a2 * ((min:melting_point / ave:icsd_volume) * (ave:heat_capacity_molar * min:evaporation_heat))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.456788653164608; Max AE: 5.6630310317713
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  7.951346833038463e+02, -2.542988830887739e+10,  2.868622634514053e-06,  9.188047378186021e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * mol * pm^-1;                              4|3|abd|17|15|mult|div; ((|ave:num_p_valence - max:num_p_valence|) / (min:vdw_radius_uff * ave:icsd_volume)); $\left(\frac{ \left(\left|ave:num_{p, valence} - max:num_{p, valence}\right|\right) }{ \left(min:vdw_{radius, uff} ave:icsd_{volume}\right) } \right)$; (abs(ave:num_p_valence - max:num_p_valence) ./ (min:vdw_radius_uff .* ave:icsd_volume)); ave:num_p_valence,max:num_p_valence,min:vdw_radius_uff,ave:icsd_volume
# 1;  2; Unitless;                                         3|sq|20|sp|div; ((max:num_p_valence^2) / (max:mendeleev_number^6)); $\left(\frac{ \left(max:num_{p, valence}^2\right) }{ \left(max:mendeleev_{number}^6\right) } \right)$; ((max:num_p_valence).^2 ./ (max:mendeleev_number).^6); max:num_p_valence,max:mendeleev_number
# 2;  2; J * KJ * cm^-3 * mol^-1;                          12|15|div|22|2|mult|mult; ((min:melting_point / ave:icsd_volume) * (ave:heat_capacity_molar * min:evaporation_heat)); $\left(\left(\frac{ min:melting_{point} }{ ave:icsd_{volume} } \right) \left(ave:heat_{capacity, molar} min:evaporation_{heat}\right)\right)$; ((min:melting_point ./ ave:icsd_volume) .* (ave:heat_capacity_molar .* min:evaporation_heat)); min:melting_point,ave:icsd_volume,ave:heat_capacity_molar,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2439                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  5.936778062211290e-01,  3.397438082540305e-04,  2.355113088135517e-11,  1.266674409841353e+03
3034        ,  4.935948125875536e-01,  4.091198083389311e-01,  8.838497667520466e-05,  2.319278281113926e-11,  3.425681169757489e+03
143         ,  2.878408453797652e-01,  3.903067772169163e-01,  1.118830878419483e-04,  2.638718236764870e-11,  1.867203288814913e+04
1747        ,  4.723624565072543e-01,  6.442717901465737e-01,  3.776457863793739e-04,  2.319278281113926e-11,  5.221204718004337e+03
3624        ,  3.119165808174699e-01,  3.867764016371982e-01,  1.730993475267380e-04,  2.655393214175127e-11,  1.951423446818502e+03
1613        ,  4.892777101910798e-01,  5.065988008964704e-01,  1.892820192302960e-04,  2.219928455465480e-11,  6.326002598247928e+02
3936        ,  3.696216735678464e-01,  3.767790534354349e-01,  1.883342891707931e-04,  2.822172492539410e-11,  9.028201432559461e+03
3196        ,  4.682934522240256e-01,  6.591559246499847e-01,  3.492748944043761e-04,  2.472989607772190e-11,  3.190001303370787e+04
1713        ,  5.274016633298737e-01,  4.933309235036724e-01,  1.726779904288043e-04,  2.219928455465480e-11,  6.097885419750216e+02
5825        ,  3.327553083664687e-01,  4.462677532394442e-01,  1.354346653693831e-04,  2.319278281113926e-11,  3.334036344915796e+03
1800        ,  4.375320177361192e-01,  4.461523361181816e-01,  1.329221166119083e-04,  2.319278281113926e-11,  3.990238912883176e+03
4488        ,  3.500270645846581e-01,  5.058330734431047e-01,  2.309168166752636e-04,  2.355113088135517e-11,  8.090968678049578e+02
1941        ,  4.982888367482280e-01,  3.825066219484780e-01,  1.932485750236575e-04,  2.822172492539410e-11,  9.662669475118626e+03
5607        ,  5.615877319607279e-01,  4.721010133899889e-01,  3.114216141888216e-04,  2.822172492539410e-11,  8.139607299715116e+03
3304        ,  4.207482123452428e-01,  9.188399795820041e-01,  0.000000000000000e+00,  0.000000000000000e+00,  1.228525598943931e+01
5772        ,  9.791729170663426e-01,  5.934437235627408e-01,  6.874239483552136e-05,  1.507272376406731e-11,  1.142431628479889e+03
4208        ,  6.603942215445863e-01,  7.129873489028734e-01,  2.202914492588937e-04,  1.507272376406731e-11,  8.083744254642963e+02
5588        ,  8.803208873918648e-01,  6.365750437879044e-01,  3.526015693061744e-04,  2.219928455465480e-11,  6.727603572659203e+02
5685        ,  1.451928416459744e+00,  7.994326754278710e-01,  3.269278202056529e-04,  1.507272376406731e-11,  1.385323607856534e+03
461         ,  2.895131874006477e-01,  3.221451488144612e-01,  1.379751484681585e-04,  3.001301346511750e-11,  1.982106832787780e+04
180         ,  3.677083798565582e-01,  3.676468811573953e-01,  3.599585687687347e-05,  2.319278281113926e-11,  3.489641830065359e+03
3567        ,  6.455865771715684e-01,  4.329532094528715e-01,  9.727263106125234e-05,  2.219928455465480e-11,  4.632731008664922e+02
986         ,  1.667063758544649e-01,  3.103225375056240e-01,  6.948902358332380e-05,  2.655393214175127e-11,  4.018721498793197e+03
350         ,  3.022496124401135e-01,  2.782056464923285e-01,  6.544806300239978e-05,  2.822172492539410e-11,  8.727601972065326e+03
795         ,  2.766538255638341e-01,  2.447898874001411e-01,  2.200797071478565e-05,  2.822172492539410e-11,  9.119764021572781e+03
3276        ,  3.528731625859118e-01,  5.304986995096681e-01,  1.943834080543154e-04,  2.472989607772190e-11,  2.998354199678801e+04
4238        ,  2.446030623760792e-01,  7.812290984050787e-01,  2.554798452646834e-04,  1.339974810693847e-11,  1.309773461009451e+01
5282        ,  5.293873330373472e-01,  6.815304373015129e-01,  4.094922730232402e-04,  2.219928455465480e-11,  5.750207082719497e+02
599         ,  1.941897543062212e-01,  2.776591747164998e-01,  6.990352809817052e-05,  2.822172492539410e-11,  7.302121131704287e+03
2828        ,  4.609014146704439e-01,  4.676038337272100e-01,  1.163369564216304e-04,  2.472989607772190e-11,  2.969161611903791e+04
4760        ,  2.326804630331917e-01,  7.534561908982172e-01,  2.695751452578712e-04,  1.507272376406731e-11,  1.255162361156286e+03
4099        ,  2.771646182279487e-01,  6.550976194917700e-01,  1.469195133125837e-04,  1.507272376406731e-11,  9.655375306882257e+02
4506        ,  2.830919218734357e-01,  5.586502761461045e-01,  2.719787377901945e-04,  2.319278281113926e-11,  4.662755946951090e+03
2032        ,  3.425223935124700e-01,  3.559854662997400e-01,  1.729228660955186e-04,  3.001301346511750e-11,  2.193085266292360e+04
5625        ,  9.047570655746466e-01,  6.383224399191822e-01,  1.243002362823192e-04,  1.507272376406731e-11,  1.387409718013635e+03
3021        ,  9.436790737277430e-01,  5.423997255030181e-01,  2.421392665202088e-04,  2.472989607772190e-11,  2.089509896139094e+04
6349        ,  6.066079572580644e-01,  6.254754908343283e-01,  3.554656938281558e-04,  2.319278281113926e-11,  4.816781204111600e+03
3265        ,  4.841085563396736e-01,  4.148104040241596e-01,  1.025015923622373e-04,  2.638718236764870e-11,  2.981437655505474e+04
73          ,  3.010695272812237e-01,  4.536678602825640e-01,  2.480247310419817e-04,  2.655393214175127e-11,  4.501667408688524e+03
909         ,  2.859807336003438e-01,  4.527035710251125e-01,  2.469132510292456e-04,  2.655393214175127e-11,  4.473600646418337e+03
3508        ,  7.316706566321051e-01,  5.757383298052535e-01,  4.579488471137773e-05,  1.507272376406731e-11,  1.331012528308518e+03
