# c0 + a0 * ((ave:mendeleev_number * min:evaporation_heat) / exp(ave:num_p_valence))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.523302252611762; Max AE: 9.37936865335584
# Coefficients
# Task   a0                      c0
# all ,  1.337961100071264e-04,  5.182448120753046e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * mol^-1;                                      16|2|mult|4|exp|div; ((ave:mendeleev_number * min:evaporation_heat) / exp(ave:num_p_valence)); $\left(\frac{ \left(ave:mendeleev_{number} min:evaporation_{heat}\right) }{ \left(\exp{ ave:num_{p, valence} }\right) } \right)$; ((ave:mendeleev_number .* min:evaporation_heat) ./ exp(ave:num_p_valence)); ave:mendeleev_number,min:evaporation_heat,ave:num_p_valence
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2440                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  5.271350632111904e-01,  6.644626017462186e+01
3114        ,  1.831950432135623e+00,  1.676232304705650e+00,  8.654866666666667e+03
3034        ,  4.935948125875536e-01,  5.243998681297865e-01,  4.600325117190629e+01
915         ,  7.155608468327842e-01,  5.306138029367109e-01,  9.244656560454220e+01
143         ,  2.878408453797652e-01,  5.650078524377270e-01,  3.495097156406986e+02
1747        ,  4.723624565072543e-01,  5.332648459964130e-01,  1.122606174447702e+02
1613        ,  4.892777101910798e-01,  5.197192657595452e-01,  1.102015360657358e+01
785         ,  1.323171435250627e+00,  5.659754952905915e-01,  3.567419352681077e+02
1473        ,  4.422223937745569e-01,  5.241026068998825e-01,  4.378150324599036e+01
3936        ,  3.696216735678464e-01,  5.367513463810020e-01,  1.383189264972771e+02
3196        ,  4.682934522240256e-01,  5.879698194512131e-01,  5.211288083950626e+02
1713        ,  5.274016633298737e-01,  5.197953924443293e-01,  1.158912892865211e+01
5825        ,  3.327553083664687e-01,  5.240781265633021e-01,  4.359853576973845e+01
199         ,  1.504427135099300e+00,  5.657904926424703e-01,  3.553592145887740e+02
1800        ,  4.375320177361192e-01,  5.240851209451822e-01,  4.365081219152471e+01
1941        ,  4.982888367482280e-01,  5.456775036552068e-01,  2.050335512627469e+02
5607        ,  5.615877319607279e-01,  5.533648714859106e-01,  2.624893908256038e+02
5772        ,  9.791729170663426e-01,  5.242323680922247e-01,  4.475134603391101e+01
4208        ,  6.603942215445863e-01,  5.261214187243179e-01,  5.887022162747351e+01
5588        ,  8.803208873918648e-01,  5.214502760828325e-01,  2.395782663156024e+01
461         ,  2.895131874006477e-01,  5.324610776450021e-01,  1.062532054851239e+02
180         ,  3.677083798565582e-01,  5.217609679926861e-01,  2.627995624980598e+01
3567        ,  6.455865771715684e-01,  5.194336952402239e-01,  8.885782739542490e+00
986         ,  1.667063758544649e-01,  5.219550343454959e-01,  2.773041959137477e+01
350         ,  3.022496124401135e-01,  5.256625980971051e-01,  5.544096925841443e+01
3563        ,  2.963852956512342e-01,  5.266552135583891e-01,  6.285983563077073e+01
795         ,  2.766538255638341e-01,  5.224517057011036e-01,  3.144257053194488e+01
3276        ,  3.528731625859118e-01,  5.652354846981065e-01,  3.512110525507727e+02
4238        ,  2.446030623760792e-01,  5.197477866789901e-01,  1.123332063694153e+01
5282        ,  5.293873330373472e-01,  5.210197734479610e-01,  2.074022460375471e+01
599         ,  1.941897543062212e-01,  5.281211896263187e-01,  7.381662703413468e+01
3382        ,  4.754043303942602e-01,  5.242664628045418e-01,  4.500617192021885e+01
2828        ,  4.609014146704439e-01,  5.608917431855901e-01,  3.187456728601000e+02
4760        ,  2.326804630331917e-01,  5.327704160696021e-01,  1.085652190749329e+02
4099        ,  2.771646182279487e-01,  5.290840655601927e-01,  8.101321842847858e+01
4506        ,  2.830919218734357e-01,  5.299810657804344e-01,  8.771745086239565e+01
2032        ,  3.425223935124700e-01,  5.357982291871846e-01,  1.311952725004112e+02
5625        ,  9.047570655746466e-01,  5.250200666655980e-01,  5.063865152680829e+01
3021        ,  9.436790737277430e-01,  5.876995674846398e-01,  5.191089292927562e+02
6349        ,  6.066079572580644e-01,  5.336451000197322e-01,  1.151026583927391e+02
3265        ,  4.841085563396736e-01,  5.452810956340983e-01,  2.020707743846494e+02
73          ,  3.010695272812237e-01,  5.268825217065806e-01,  6.455875010727804e+01
909         ,  2.859807336003438e-01,  5.271423024473708e-01,  6.650036665185785e+01
3508        ,  7.316706566321051e-01,  5.232162766367837e-01,  3.715701869967926e+01
5286        ,  2.235408342514859e-01,  5.207472700234107e-01,  1.870351797203097e+01
359         ,  4.663407226120941e-01,  5.260865072356207e-01,  5.860929110643311e+01
3172        ,  4.790530319841335e-01,  5.260214309272363e-01,  5.812290694787350e+01
5918        ,  2.241858049594979e+00,  5.214502760828325e-01,  2.395782663156024e+01
4401        ,  3.273613861116079e-01,  5.421063840412551e-01,  1.783427931101999e+02
3615        ,  3.036705797988253e-01,  5.336581424780026e-01,  1.152001384933917e+02
4407        ,  5.372482734277881e-01,  5.206897775612083e-01,  1.827381592613913e+01
5701        ,  9.203994095360772e-01,  5.193081083519439e-01,  7.947138945838321e+00
577         ,  3.135900205824857e-01,  5.298613132900688e-01,  8.682241370205364e+01
3422        ,  2.802083413851849e-01,  5.234159195314998e-01,  3.864916144363078e+01
5181        ,  5.261236775456994e-01,  5.245473078849294e-01,  4.710522457857039e+01
1015        ,  3.391061495356983e-01,  5.209189563275427e-01,  1.998671151273163e+01
1156        ,  8.470934050524324e-01,  7.950020656250456e-01,  2.068500000000000e+03
4984        ,  4.348768073655889e-01,  5.781936817181413e-01,  4.480613796592713e+02
4680        ,  3.364035952142165e-01,  5.306569894912935e-01,  9.276934445499039e+01
5095        ,  5.893419787698063e-01,  5.372980685098729e-01,  1.424051598626708e+02
695         ,  3.284722007121098e+00,  2.983879666119633e+00,  1.842830000000000e+04
4451        ,  3.854058871881627e-01,  5.247545455531226e-01,  4.865413110643690e+01
