# c0 + a0 * (cbrt(max:electron_affinity) * ave:vdw_radius_uff) + a1 * ((min:evaporation_heat^2) * (ave:thermal_conductivity / min:vdw_radius_uff))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.498502078817922; Max AE: 7.64710129802729
# Coefficients
# Task   a0                      a1                      c0
# all , -1.904794323826184e-03,  3.513709436030538e-05,  1.483971730264541e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^0.333333 * pm;                                 11|cbrt|21|mult; (cbrt(max:electron_affinity) * ave:vdw_radius_uff); $\left(\left(\sqrt[3]{ max:electron_{affinity} }\right) ave:vdw_{radius, uff}\right)$; (nthroot(max:electron_affinity, 3) .* ave:vdw_radius_uff); max:electron_affinity,ave:vdw_radius_uff
# 1;  2; K^-1 * KJ^2 * W * m^-1 * mol^-2 * pm^-1;          2|sq|6|17|div|mult; ((min:evaporation_heat^2) * (ave:thermal_conductivity / min:vdw_radius_uff)); $\left(\left(min:evaporation_{heat}^2\right) \left(\frac{ ave:thermal_{conductivity} }{ min:vdw_{radius, uff} } \right)\right)$; ((min:evaporation_heat).^2 .* (ave:thermal_conductivity ./ min:vdw_radius_uff)); min:evaporation_heat,ave:thermal_conductivity,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2440                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  4.648129871394669e-01,  5.355134648133904e+02,  2.516613852294263e+01
3114        ,  1.831950432135623e+00,  9.633158779335287e-01,  3.942609412033187e+02,  6.555184905660377e+03
3034        ,  4.935948125875536e-01,  4.716599872225366e-01,  5.315433408860624e+02,  4.809605018587360e+00
915         ,  7.155608468327842e-01,  4.551593210606125e-01,  5.402012891379271e+02,  4.551886617100371e+00
143         ,  2.878408453797652e-01,  4.255874238304083e-01,  5.599988115356964e+02,  2.361678243334080e+02
1747        ,  4.723624565072543e-01,  6.453287057749698e-01,  4.406348842414826e+02,  1.923328908426184e+01
1613        ,  4.892777101910798e-01,  5.315014034703257e-01,  5.000668399511916e+02,  1.541148450018927e+00
785         ,  1.323171435250627e+00,  5.762453746131917e-01,  5.016951965619890e+02,  1.363226183690987e+03
1473        ,  4.422223937745569e-01,  5.563555500298597e-01,  4.870779413904328e+02,  4.756164099526067e+00
3936        ,  3.696216735678464e-01,  4.033141060162947e-01,  5.688392353513192e+02,  8.151278501301390e+01
3196        ,  4.682934522240256e-01,  5.943767016458006e-01,  4.733223453098142e+02,  3.411405605875153e+02
1713        ,  5.274016633298737e-01,  4.473904882992795e-01,  5.442129427022057e+02,  9.244431628715815e-01
5825        ,  3.327553083664687e-01,  5.379771201177205e-01,  4.969279524121332e+02,  1.567952525412960e+01
