# c0 + a0 * ((max:mendeleev_number - ave:mendeleev_number) / (ave:icsd_volume^2)) + a1 * ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)) + a2 * ((min:evaporation_heat^2) * (ave:thermal_conductivity / min:vdw_radius_uff))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.49088958628448; Max AE: 8.77019084517388
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  5.187854322443568e+00, -2.024811710709712e-04,  3.408661888574067e-05,  7.390086332063638e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-6 * mol^2;                                    20|16|sub|15|sq|div; ((max:mendeleev_number - ave:mendeleev_number) / (ave:icsd_volume^2)); $\left(\frac{ \left(max:mendeleev_{number} - ave:mendeleev_{number}\right) }{ \left(ave:icsd_{volume}^2\right) } \right)$; ((max:mendeleev_number - ave:mendeleev_number) ./ (ave:icsd_volume).^2); max:mendeleev_number,ave:mendeleev_number,ave:icsd_volume
# 1;  2; KJ * eV * mol^-1;                                 13|3|mult|19|10|add|mult; ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)); $\left(\left(min:heat_{of, formation} max:num_{p, valence}\right) \left(var:electron_{affinity} + ave:electron_{affinity}\right)\right)$; ((min:heat_of_formation .* max:num_p_valence) .* (var:electron_affinity + ave:electron_affinity)); min:heat_of_formation,max:num_p_valence,var:electron_affinity,ave:electron_affinity
# 2;  2; K^-1 * KJ^2 * W * m^-1 * mol^-2 * pm^-1;          2|sq|6|17|div|mult; ((min:evaporation_heat^2) * (ave:thermal_conductivity / min:vdw_radius_uff)); $\left(\left(min:evaporation_{heat}^2\right) \left(\frac{ ave:thermal_{conductivity} }{ min:vdw_{radius, uff} } \right)\right)$; ((min:evaporation_heat).^2 .* (ave:thermal_conductivity ./ min:vdw_radius_uff)); min:evaporation_heat,ave:thermal_conductivity,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 2440                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  5.243927831443016e-01,  4.043486347842264e-02,  2.100164956867118e+03,  2.516613852294263e+01
3114        ,  1.831950432135623e+00,  1.044424319777735e+00,  1.580067439672369e-02,  0.000000000000000e+00,  6.555184905660377e+03
3034        ,  4.935948125875536e-01,  4.693921837722489e-01,  7.631242101664425e-03,  1.527895968270901e+03,  4.809605018587360e+00
915         ,  7.155608468327842e-01,  4.205327652211402e-01,  1.501881742293729e-02,  1.958436239763426e+03,  4.551886617100371e+00
143         ,  2.878408453797652e-01,  4.924933003181126e-01,  7.203001413118063e-03,  1.441781554210121e+03,  2.361678243334080e+02
1747        ,  4.723624565072543e-01,  5.486982969223476e-01,  4.411328762804616e-02,  2.073374238981246e+03,  1.923328908426184e+01
1613        ,  4.892777101910798e-01,  5.802752860456125e-01,  3.600288017280915e-02,  1.706645489048542e+03,  1.541148450018927e+00
785         ,  1.323171435250627e+00,  5.006499350624639e-01,  1.234750609481721e-02,  1.723041853928960e+03,  1.363226183690987e+03
1473        ,  4.422223937745569e-01,  3.747886697765571e-01,  1.800835321856324e-02,  2.260984543137467e+03,  4.756164099526067e+00
3936        ,  3.696216735678464e-01,  4.007665998673233e-01,  8.306097729040980e-03,  1.897022580177119e+03,  8.151278501301390e+01
3196        ,  4.682934522240256e-01,  7.210199636773222e-01,  5.221631639652453e-02,  1.484126345845345e+03,  3.411405605875153e+02
1713        ,  5.274016633298737e-01,  4.844759515727566e-01,  1.771516694140641e-02,  1.711111686744080e+03,  9.244431628715815e-01
5825        ,  3.327553083664687e-01,  3.833449440049512e-01,  1.926792693147674e-02,  2.252838359272237e+03,  1.567952525412960e+01
199         ,  1.504427135099300e+00,  5.038340190269075e-01,  1.122775711142746e-02,  1.722983129292515e+03,  1.626710454891995e+03
1800        ,  4.375320177361192e-01,  3.384529374946824e-01,  1.864242136912406e-02,  2.456725316664601e+03,  5.009506111987382e+00
1941        ,  4.982888367482280e-01,  4.163482866609084e-01,  7.993846396257838e-03,  1.898838624960648e+03,  5.969442554510799e+02
