# c0 + a0 * ((exp(-1.0 * ave:num_p_valence)) * (ave:mendeleev_number * min:evaporation_heat))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.506039587801888; Max AE: 9.3824369374462
# Coefficients
# Task   a0                      c0
# all ,  1.361564728033501e-04,  5.149408405073250e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; KJ * mol^-1;                                      4|nexp|16|2|mult|mult; ((exp(-1.0 * ave:num_p_valence)) * (ave:mendeleev_number * min:evaporation_heat)); $\left(\left(\exp{ \left(-ave:num_{p, valence} \right) } \right) \left(ave:mendeleev_{number} min:evaporation_{heat}\right)\right)$; (exp(-1.0 * (ave:num_p_valence)) .* (ave:mendeleev_number .* min:evaporation_heat)); ave:num_p_valence,ave:mendeleev_number,min:evaporation_heat
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  5.239879289236753e-01,  6.644626017462187e+01
3114        ,  1.831950432135623e+00,  1.693356958423947e+00,  8.654866666666667e+03
3034        ,  4.935948125875536e-01,  5.212044809243783e-01,  4.600325117190629e+01
915         ,  7.155608468327842e-01,  5.275280388028230e-01,  9.244656560454222e+01
143         ,  2.878408453797652e-01,  5.625288505994644e-01,  3.495097156406987e+02
1747        ,  4.723624565072543e-01,  5.302258502133311e-01,  1.122606174447702e+02
3624        ,  3.119165808174699e-01,  5.183705866190009e-01,  2.518973972415901e+01
1613        ,  4.892777101910798e-01,  5.164413057521472e-01,  1.102015360657358e+01
785         ,  1.323171435250627e+00,  5.635135641144716e-01,  3.567419352681076e+02
1473        ,  4.422223937745569e-01,  5.209019755633275e-01,  4.378150324599036e+01
3936        ,  3.696216735678464e-01,  5.337738576611402e-01,  1.383189264972771e+02
3196        ,  4.682934522240256e-01,  5.858959009346096e-01,  5.211288083950627e+02
1713        ,  5.274016633298737e-01,  5.165187754251136e-01,  1.158912892865211e+01
5825        ,  3.327553083664687e-01,  5.208770633571234e-01,  4.359853576973846e+01
199         ,  1.504427135099300e+00,  5.633252977439013e-01,  3.553592145887738e+02
1800        ,  4.375320177361192e-01,  5.208841811303245e-01,  4.365081219152471e+01
4488        ,  3.500270645846581e-01,  5.246722104411170e-01,  7.147195967573950e+01
1941        ,  4.982888367482280e-01,  5.428574856536055e-01,  2.050335512627469e+02
5607        ,  5.615877319607279e-01,  5.506804701104393e-01,  2.624893908256038e+02
3304        ,  4.207482123452428e-01,  5.264370216694140e-01,  8.443360000000001e+01
5772        ,  9.791729170663426e-01,  5.210340259365045e-01,  4.475134603391100e+01
4208        ,  6.603942215445863e-01,  5.229564022372734e-01,  5.887022162747351e+01
5588        ,  8.803208873918648e-01,  5.182028536775124e-01,  2.395782663156024e+01
5685        ,  1.451928416459744e+00,  5.305439121000445e-01,  1.145966201346514e+02
461         ,  2.895131874006477e-01,  5.294079021902290e-01,  1.062532054851239e+02
180         ,  3.677083798565582e-01,  5.185190266557249e-01,  2.627995624980598e+01
3567        ,  6.455865771715684e-01,  5.161506973432380e-01,  8.885782739542494e+00
986         ,  1.667063758544649e-01,  5.187165166282436e-01,  2.773041959137478e+01
350         ,  3.022496124401135e-01,  5.224894873303497e-01,  5.544096925841443e+01
3563        ,  2.963852956512342e-01,  5.234996140078091e-01,  6.285983563077073e+01
795         ,  2.766538255638341e-01,  5.192219500068253e-01,  3.144257053194487e+01
3276        ,  3.528731625859118e-01,  5.627604986321902e-01,  3.512110525507726e+02
4238        ,  2.446030623760792e-01,  5.164703298231200e-01,  1.123332063694153e+01
5282        ,  5.293873330373472e-01,  5.177647563345216e-01,  2.074022460375470e+01
599         ,  1.941897543062212e-01,  5.249914520785333e-01,  7.381662703413468e+01
3382        ,  4.754043303942602e-01,  5.210687221303633e-01,  4.500617192021885e+01
2828        ,  4.609014146704439e-01,  5.583401270452868e-01,  3.187456728601000e+02
4760        ,  2.326804630331917e-01,  5.297226978056909e-01,  1.085652190749329e+02
4099        ,  2.771646182279487e-01,  5.259713145789940e-01,  8.101321842847858e+01
4506        ,  2.830919218734357e-01,  5.268841392200500e-01,  8.771745086239567e+01
2032        ,  3.425223935124700e-01,  5.328039260594554e-01,  1.311952725004112e+02
5625        ,  9.047570655746466e-01,  5.218356206867333e-01,  5.063865152680830e+01
3021        ,  9.436790737277430e-01,  5.856208813205505e-01,  5.191089292927563e+02
6349        ,  6.066079572580644e-01,  5.306128124843693e-01,  1.151026583927391e+02
3265        ,  4.841085563396736e-01,  5.424540844041804e-01,  2.020707743846494e+02
73          ,  3.010695272812237e-01,  5.237309322105249e-01,  6.455875010727804e+01
909         ,  2.859807336003438e-01,  5.239952958707715e-01,  6.650036665185785e+01
3508        ,  7.316706566321051e-01,  5.200000091133615e-01,  3.715701869967926e+01
5286        ,  2.235408342514859e-01,  5.174874455434109e-01,  1.870351797203097e+01
359         ,  4.663407226120941e-01,  5.229208748578817e-01,  5.860929110643309e+01
3172        ,  4.790530319841335e-01,  5.228546505064248e-01,  5.812290694787347e+01
5918        ,  2.241858049594979e+00,  5.182028536775124e-01,  2.395782663156024e+01
4401        ,  3.273613861116079e-01,  5.392233661671074e-01,  1.783427931101999e+02
3615        ,  3.036705797988253e-01,  5.306260850310427e-01,  1.152001384933916e+02
4407        ,  5.372482734277881e-01,  5.174289388284858e-01,  1.827381592613914e+01
5701        ,  9.203994095360772e-01,  5.160228949150685e-01,  7.947138945838322e+00
538         ,  3.775823948370269e-01,  5.168727114411181e-01,  1.418860884111814e+01
423         ,  3.114023315769188e-01,  5.293799055712877e-01,  1.060475845670365e+02
577         ,  3.135900205824857e-01,  5.267622741172699e-01,  8.682241370205364e+01
3422        ,  2.802083413851849e-01,  5.202031740062970e-01,  3.864916144363078e+01
1518        ,  2.969751162456789e-01,  5.206267015600228e-01,  4.175975578413969e+01
5181        ,  5.261236775456994e-01,  5.213545217365528e-01,  4.710522457857039e+01
1015        ,  3.391061495356983e-01,  5.176621606498367e-01,  1.998671151273163e+01
1156        ,  8.470934050524324e-01,  7.965805045010548e-01,  2.068500000000000e+03
4984        ,  4.348768073655889e-01,  5.759472975611342e-01,  4.480613796592713e+02
4680        ,  3.364035952142165e-01,  5.275719872325956e-01,  9.276934445499037e+01
5095        ,  5.893419787698063e-01,  5.343302247832235e-01,  1.424051598626708e+02
827         ,  4.003907365198857e-01,  5.185502771897721e-01,  2.650947551836325e+01
695         ,  3.284722007121098e+00,  3.024073168269303e+00,  1.842830000000000e+04
5396        ,  8.394699154938887e-02,  5.284533431264494e-01,  9.924245495578045e+01
3038        ,  2.698343232194364e-01,  5.480784783484498e-01,  2.433790855392180e+02
4451        ,  3.854058871881627e-01,  5.215654153860892e-01,  4.865413110643689e+01
683         ,  7.567006984040863e-01,  5.172703752596697e-01,  1.710924720934225e+01
4700        ,  2.941516770264208e-01,  5.203407746392693e-01,  3.965976806510968e+01
