# c0 + a0 * ((max:electron_affinity * ave:num_p_valence) * sqrt(min:boiling_point)) + a1 * ((min:evaporation_heat / ave:icsd_volume) * sqrt(max:thermal_conductivity))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.484088008437403; Max AE: 9.09005278897554
# Coefficients
# Task   a0                      a1                      c0
# all , -2.074865636016603e-03,  6.103876521271071e-03,  7.433857967440122e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; K^0.5 * eV;                                       11|4|mult|5|sqrt|mult; ((max:electron_affinity * ave:num_p_valence) * sqrt(min:boiling_point)); $\left(\left(max:electron_{affinity} ave:num_{p, valence}\right) \left(\sqrt{ min:boiling_{point} }\right)\right)$; ((max:electron_affinity .* ave:num_p_valence) .* sqrt(min:boiling_point)); max:electron_affinity,ave:num_p_valence,min:boiling_point
# 1;  2; K^-0.5 * KJ * W^0.5 * cm^-3 * m^-0.5;             2|15|div|18|sqrt|mult; ((min:evaporation_heat / ave:icsd_volume) * sqrt(max:thermal_conductivity)); $\left(\left(\frac{ min:evaporation_{heat} }{ ave:icsd_{volume} } \right) \left(\sqrt{ max:thermal_{conductivity} }\right)\right)$; ((min:evaporation_heat ./ ave:icsd_volume) .* sqrt(max:thermal_conductivity)); min:evaporation_heat,ave:icsd_volume,max:thermal_conductivity
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
3606        ,  2.839481145196585e-01,  5.771678452583608e-01,  1.029284309938176e+02,  7.756499134203986e+00
3114        ,  1.831950432135623e+00,  1.215740495464976e+00,  0.000000000000000e+00,  7.738601806161704e+01
3034        ,  4.935948125875536e-01,  4.105076452432481e-01,  1.669507945849791e+02,  2.215365111360413e+00
915         ,  7.155608468327842e-01,  4.949804716874699e-01,  1.272006053980793e+02,  2.542456406246056e+00
143         ,  2.878408453797652e-01,  4.716953371975507e-01,  1.751059828703014e+02,  1.501192343139958e+01
1747        ,  4.723624565072543e-01,  5.472084991366317e-01,  1.113005297233194e+02,  5.694143167028200e+00
3624        ,  3.119165808174699e-01,  3.449826349148039e-01,  2.008966176176330e+02,  3.019446149239654e+00
1613        ,  4.892777101910798e-01,  5.012045520060936e-01,  1.254370565867406e+02,  2.962673539341815e+00
785         ,  1.323171435250627e+00,  7.034104038970697e-01,  1.667898223416890e+02,  5.014699706005881e+01
1473        ,  4.422223937745569e-01,  4.167262318535284e-01,  1.669507945849791e+02,  3.234158101128371e+00
3936        ,  3.696216735678464e-01,  4.134896692775693e-01,  1.782640378996563e+02,  6.549575301826457e+00
3196        ,  4.682934522240256e-01,  5.570757148829694e-01,  1.591013069328041e+02,  2.355941376566658e+01
1713        ,  5.274016633298737e-01,  4.956082573543746e-01,  1.254370565867406e+02,  2.045830835821066e+00
5825        ,  3.327553083664687e-01,  4.960071223795339e-01,  1.465352362086609e+02,  9.282994423787724e+00
