# c0 + a0 * ((max:mendeleev_number / ave:icsd_volume) / (min:vdw_radius_uff * ave:mendeleev_number)) + a1 * ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)) + a2 * ((min:evaporation_heat^2) * (ave:thermal_conductivity / min:vdw_radius_uff))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.476273327056061; Max AE: 8.78026249198558
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.642408114345631e+03, -1.827855213949967e-04,  3.333356852578727e-05,  5.701585434223613e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * mol * pm^-1;                              20|15|div|17|16|mult|div; ((max:mendeleev_number / ave:icsd_volume) / (min:vdw_radius_uff * ave:mendeleev_number)); $\left(\frac{ \left(\frac{ max:mendeleev_{number} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff} ave:mendeleev_{number}\right) } \right)$; ((max:mendeleev_number ./ ave:icsd_volume) ./ (min:vdw_radius_uff .* ave:mendeleev_number)); max:mendeleev_number,ave:icsd_volume,min:vdw_radius_uff,ave:mendeleev_number
# 1;  2; KJ * eV * mol^-1;                                 13|3|mult|19|10|add|mult; ((min:heat_of_formation * max:num_p_valence) * (var:electron_affinity + ave:electron_affinity)); $\left(\left(min:heat_{of, formation} max:num_{p, valence}\right) \left(var:electron_{affinity} + ave:electron_{affinity}\right)\right)$; ((min:heat_of_formation .* max:num_p_valence) .* (var:electron_affinity + ave:electron_affinity)); min:heat_of_formation,max:num_p_valence,var:electron_affinity,ave:electron_affinity
# 2;  2; K^-1 * KJ^2 * W * m^-1 * mol^-2 * pm^-1;          2|sq|6|17|div|mult; ((min:evaporation_heat^2) * (ave:thermal_conductivity / min:vdw_radius_uff)); $\left(\left(min:evaporation_{heat}^2\right) \left(\frac{ ave:thermal_{conductivity} }{ min:vdw_{radius, uff} } \right)\right)$; ((min:evaporation_heat).^2 .* (ave:thermal_conductivity ./ min:vdw_radius_uff)); min:evaporation_heat,ave:thermal_conductivity,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
3606        ,  2.839481145196585e-01,  5.160542307878709e-01,  2.002769920252359e-04,  2.100164956867118e+03,  2.516613852294263e+01
3114        ,  1.831950432135623e+00,  1.069206604961543e+00,  1.708103813155588e-04,  0.000000000000000e+00,  6.555184905660377e+03
3034        ,  4.935948125875536e-01,  4.461033656878353e-01,  9.441122508487770e-05,  1.527895968270901e+03,  4.809605018587360e+00
915         ,  7.155608468327842e-01,  4.110630972882647e-01,  1.209970960991154e-04,  1.958436239763426e+03,  4.551886617100371e+00
143         ,  2.878408453797652e-01,  4.463124495185415e-01,  8.025921311079330e-05,  1.441781554210121e+03,  2.361678243334080e+02
1747        ,  4.723624565072543e-01,  5.608254698477250e-01,  2.246753412636782e-04,  2.073374238981246e+03,  1.923328908426184e+01
3624        ,  3.119165808174699e-01,  4.084208062562820e-01,  1.394145412068586e-04,  2.138242160121745e+03,  3.791889383886256e+00
1613        ,  4.892777101910798e-01,  6.029292763359705e-01,  2.098561517553281e-04,  1.706645489048542e+03,  1.541148450018927e+00
785         ,  1.323171435250627e+00,  5.140843726144404e-01,  1.299504901208494e-04,  1.723041853928960e+03,  1.363226183690987e+03
1473        ,  4.422223937745569e-01,  4.011742742545741e-01,  1.486429757386818e-04,  2.260984543137467e+03,  4.756164099526067e+00
3936        ,  3.696216735678464e-01,  3.950633504563836e-01,  1.028586956976448e-04,  1.897022580177119e+03,  8.151278501301390e+01
3196        ,  4.682934522240256e-01,  7.238161803369307e-01,  2.518028308496665e-04,  1.484126345845345e+03,  3.411405605875153e+02
1713        ,  5.274016633298737e-01,  5.564202161223947e-01,  1.820481139404449e-04,  1.711111686744080e+03,  9.244431628715815e-01
5825        ,  3.327553083664687e-01,  4.096055798580816e-01,  1.526481839894726e-04,  2.252838359272237e+03,  1.567952525412960e+01
199         ,  1.504427135099300e+00,  5.310684218739622e-01,  1.349373409316468e-04,  1.722983129292515e+03,  1.626710454891995e+03
1800        ,  4.375320177361192e-01,  3.670365259258767e-01,  1.496368737906512e-04,  2.456725316664601e+03,  5.009506111987382e+00
4488        ,  3.500270645846581e-01,  6.085078986512610e-01,  1.380035413266368e-04,  1.033928508253786e+03,  2.035127476355708e+01
