# FEAT_ID     Score                   Feature Expression
0             0.178654276998080286    (ave:thermal_conductivity * min:evaporation_heat)
1             0.172683577003251737    (ave:vdw_radius_uff * max:num_p_valence)
2             0.169603140689408349    (min:evaporation_heat * min:bulk_modulus)
3             0.16608538570171949     (min:evaporation_heat / max:icsd_volume)
4             0.16562943773299113     (min:evaporation_heat / ave:icsd_volume)
5             0.162077999023237107    (min:vdw_radius_uff * max:num_p_valence)
6             0.161614630536914577    (min:evaporation_heat / ave:atomic_volume)
7             0.158567838444658216    (max:num_p_valence / max:mendeleev_number)
8             0.155410180728226377    (ave:bulk_modulus * min:evaporation_heat)
9             0.153889464842462964    (max:thermal_conductivity * min:evaporation_heat)
10            0.153760272442952955    (min:evaporation_heat / ave:hhi_r)
11            0.150190746894762389    (min:melting_point * min:evaporation_heat)
12            0.149938345849618598    (min:evaporation_heat^2)
13            0.147867942652202933    (ave:num_p_valence + max:num_p_valence)
14            0.1447866549506025      (min:evaporation_heat^3)
15            0.143915154320331695    max:num_p_valence
16            0.143001478005675836    (perimeter_area_ratio * min:evaporation_heat)
17            0.14032217444703593     (min:boiling_point * min:evaporation_heat)
18            0.140180049003142931    (ave:evaporation_heat * min:evaporation_heat)
19            0.13976567440855675     (min:evaporation_heat / ave:vdw_radius_uff)
20            0.137816945309183841    (min:evaporation_heat / min:num_valance)
21            0.136209485853460183    (min:evaporation_heat / min:vdw_radius_uff)
22            0.135701957217375407    (min:heat_of_formation * min:evaporation_heat)
23            0.132424658070020657    (ave:num_p_valence / ave:mendeleev_number)
24            0.132270785426220089    (ave:thermal_conductivity * min:boiling_point)
25            0.132026976612207358    sqrt(max:num_p_valence)
26            0.130841507409395708    (ave:thermal_conductivity * min:bulk_modulus)
27            0.129777598923379561    sqrt(ave:num_p_valence)
28            0.129325186506843465    (min:evaporation_heat / ave:heat_capacity_molar)
29            0.129179425281256394    (min:boiling_point^3)
30            0.128792930890144208    (ave:mendeleev_number * max:num_p_valence)
31            0.128481965020886463    (min:evaporation_heat / max:heat_capacity_molar)
32            0.126849263112863681    (ave:num_p_valence / max:mendeleev_number)
33            0.12636796613975998     (max:num_p_valence^2)
34            0.12585876018466316     (ave:vdw_radius_uff * ave:num_p_valence)
35            0.125356908251694321    (max:mendeleev_number * max:num_p_valence)
36            0.123683162200022914    cbrt(ave:num_p_valence)
37            0.122958656573901773    (min:boiling_point * min:bulk_modulus)
38            0.122906903606726389    (ave:atomic_volume * max:num_p_valence)
39            0.122488933477414227    (min:evaporation_heat * min:thermal_conductivity)
40            0.12075078084067635     (min:melting_point^3)
41            0.119356030491048357    ave:num_p_valence
42            0.119257995387465413    (ave:num_p_valence * max:num_p_valence)
43            0.119178004137294569    (min:thermal_conductivity * min:bulk_modulus)
44            0.118109007687137932    (min:melting_point * min:bulk_modulus)
45            0.117952270061002562    cbrt(max:num_p_valence)
46            0.117081924837537737    (min:boiling_point * min:thermal_conductivity)
47            0.116129897954181521    (exp(-1.0 * ave:num_p_valence))
48            0.114912275013668269    (ave:evaporation_heat * min:thermal_conductivity)
49            0.114141161610452083    (min:vdw_radius_uff * ave:num_p_valence)
50            0.113350081521338242    min:evaporation_heat
51            0.113307005208081346    (min:melting_point * min:boiling_point)
52            0.112529129380094961    (ave:atomic_volume * ave:num_p_valence)
53            0.112296854471354818    sin(max:num_p_valence)
54            0.111582549621215818    (ave:vdw_radius_uff * max:mendeleev_number)
55            0.110682290343982054    (min:boiling_point^2)
56            0.109737733224704898    (min:thermal_conductivity / max:icsd_volume)
57            0.109524407688516998    (min:thermal_conductivity / ave:atomic_volume)
58            0.109116311134875646    (max:mendeleev_number * ave:num_p_valence)
59            0.108591939672726179    (ave:evaporation_heat * min:bulk_modulus)
60            0.108534871499797889    (min:melting_point * ave:thermal_conductivity)
61            0.107555355167804095    (min:evaporation_heat^6)
62            0.107033902428313954    (min:evaporation_heat / max:mendeleev_number)
63            0.106644461755765307    (max:num_p_valence^3)
64            0.105358038371180712    (min:thermal_conductivity / ave:icsd_volume)
65            0.104429198594874595    (ave:icsd_volume * max:num_p_valence)
66            0.10371991274625407     (min:boiling_point / max:icsd_volume)
67            0.102895998060333296    (ave:bulk_modulus * min:thermal_conductivity)
68            0.102060347832684528    (min:boiling_point / ave:icsd_volume)
69            0.101985749162968528    (min:melting_point * min:thermal_conductivity)
70            0.101557938384870136    (max:electron_affinity * ave:num_p_valence)
71            0.101380109648093714    (ave:atomic_volume * ave:mendeleev_number)
72            0.10067657458385601     (var:num_p_valence + ave:num_p_valence)
73            0.100648564500208371    (ave:electron_affinity * max:num_p_valence)
74            0.100186729706689362    (ave:icsd_volume * ave:num_p_valence)
75            0.0988734174538621891   (ave:evaporation_heat * min:boiling_point)
76            0.0987521129202397624   (min:vdw_radius_uff * ave:electron_affinity)
77            0.0984475431675240348   (perimeter_area_ratio * min:thermal_conductivity)
78            0.0984381466591403576   (ave:evaporation_heat * ave:thermal_conductivity)
79            0.0983308671461149281   (min:bulk_modulus^3)
80            0.0981615275834423068   (ave:vdw_radius_uff * ave:electron_affinity)
81            0.0981442544225109709   (min:evaporation_heat / ave:mendeleev_number)
82            0.0980262334583142381   (min:heat_of_formation * min:bulk_modulus)
83            0.0972849194431804065   (min:boiling_point / ave:atomic_volume)
84            0.0971546032808101728   (ave:mendeleev_number * ave:num_p_valence)
85            0.0968482932505164151   (min:bulk_modulus / ave:atomic_volume)
86            0.0963189461670642538   (min:thermal_conductivity / min:vdw_radius_uff)
87            0.0962962860024840217   sqrt(min:thermal_conductivity)
88            0.0962074280276994792   (max:mendeleev_number * min:evaporation_heat)
89            0.0960240125576786868   (max:electron_affinity * max:num_p_valence)
90            0.0957810596249247803   (max:thermal_conductivity * min:boiling_point)
91            0.0956207086961591013   (min:thermal_conductivity / ave:heat_capacity_molar)
92            0.0955713628071453436   (min:boiling_point / ave:hhi_r)
93            0.0953911318902073979   (min:melting_point^2)
94            0.0949586435455787164   (ave:heat_capacity_molar * max:num_p_valence)
95            0.0944709109230576632   (ave:num_p_valence / ave:vdw_radius_uff)
96            0.0939697587293148728   (ave:electron_affinity * ave:num_p_valence)
97            0.092705388788198187    (exp(-1.0 * max:num_p_valence))
98            0.0926819936393186716   (min:thermal_conductivity / max:heat_capacity_molar)
99            0.0924585638009708527   (ave:vdw_radius_uff * max:electron_affinity)
100           0.0924072369692626877   (min:thermal_conductivity / ave:vdw_radius_uff)
101           0.0923481237334902311   (min:boiling_point^6)
102           0.0923251385366678085   (min:vdw_radius_uff * max:electron_affinity)
103           0.0916872200123466929   (ave:thermal_conductivity / max:icsd_volume)
104           0.0915712455123983138   (min:bulk_modulus^6)
105           0.0914291092997707444   min:thermal_conductivity
106           0.0912456726105292104   (ave:mendeleev_number * min:thermal_conductivity)
107           0.0910312335948030987   (ave:bulk_modulus * min:boiling_point)
108           0.0904537747751006233   (max:mendeleev_number * min:thermal_conductivity)
109           0.0895810277652631243   (max:heat_capacity_molar * min:thermal_conductivity)
110           0.0894460831343061452   (ave:num_p_valence^2)
111           0.0894053712881005269   (ave:evaporation_heat * min:melting_point)
112           0.0892007386991944262   (max:num_p_valence / ave:mendeleev_number)
113           0.0889265890644890811   (sum:thermal_conductivity * min:boiling_point)
114           0.0884404755595246672   (min:melting_point^6)
115           0.0883450257203527989   (ave:heat_capacity_molar * ave:num_p_valence)
116           0.0877317630877995774   (ave:vdw_radius_uff * min:evaporation_heat)
117           0.0876426073496704844   (ave:atomic_volume * ave:electron_affinity)
118           0.0874321542098966537   (min:heat_of_formation + min:evaporation_heat)
119           0.0873225517525857003   (max:num_p_valence / ave:vdw_radius_uff)
120           0.0866325121078000832   (min:melting_point / max:icsd_volume)
121           0.0866107244915755442   (ave:vdw_radius_uff * min:thermal_conductivity)
122           0.0864720784785280444   (ave:mendeleev_number * min:evaporation_heat)
123           0.085806116406770841    cos(ave:num_p_valence)
124           0.0853242591928530664   exp(max:num_p_valence)
125           0.0847445595465099039   (min:boiling_point / min:num_valance)
126           0.0847137588740655839   (min:melting_point / ave:icsd_volume)
127           0.0843339962143447169   (min:heat_of_formation * min:boiling_point)
128           0.0837747642603619558   (var:num_p_valence + max:num_p_valence)
129           0.083664024519114033    (ave:heat_capacity_molar * min:thermal_conductivity)
130           0.0834812374135424778   (ave:mendeleev_number * ave:electron_affinity)
131           0.0832072625478783023   cbrt(min:thermal_conductivity)
132           0.0831640725320879071   (min:heat_of_formation * ave:thermal_conductivity)
133           0.0831069006639758856   (min:evaporation_heat / max:electron_affinity)
134           0.0828726193249406939   (max:mendeleev_number * ave:electron_affinity)
135           0.0822563129808239341   (perimeter_area_ratio * min:bulk_modulus)
136           0.0822203015598566289   (min:bulk_modulus / max:mendeleev_number)
