# c0 + a0 * ((decomposition_energy / ave:atomic_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.475922719659385; Max AE: 9.55906277608273
# Coefficients
# Task   a0                      c0
# all ,  7.835380099598323e+08,  3.519105286634384e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|28|div|20|cb|div; ((decomposition_energy / ave:atomic_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:atomic_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:atomic_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:atomic_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.519105286634384e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.304986512358392e+00,  1.216374919378592e-09
3034        ,  4.935948125875536e-01,  3.949157969291548e-01,  5.488600134142959e-11
915         ,  7.155608468327842e-01,  4.613752885889807e-01,  1.397057430961824e-10
143         ,  2.878408453797652e-01,  3.519105286634384e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.973060512000860e-01,  1.855628197847113e-10
3624        ,  3.119165808174699e-01,  3.519105286634384e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.510771721517646e-01,  3.818150998235082e-10
785         ,  1.323171435250627e+00,  7.040120569512137e-01,  4.493738961123604e-10
1473        ,  4.422223937745569e-01,  3.519105286634384e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.519105286634384e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  9.376616750073208e-01,  7.475720882690945e-10
1713        ,  5.274016633298737e-01,  5.881411450236358e-01,  3.014922229137393e-10
5825        ,  3.327553083664687e-01,  3.519105286634384e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  1.028130388376272e+00,  8.630338938470892e-10
1800        ,  4.375320177361192e-01,  3.661967876635655e-01,  1.823301335548419e-11
4488        ,  3.500270645846581e-01,  4.778331115511548e-01,  1.607102416054733e-10
1941        ,  4.982888367482280e-01,  5.011813656400529e-01,  1.905087373926721e-10
5607        ,  5.615877319607279e-01,  4.809259435319012e-01,  1.646575063730179e-10
3304        ,  4.207482123452428e-01,  3.933761681396468e-01,  5.292103120604720e-11
5772        ,  9.791729170663426e-01,  4.540109818834796e-01,  1.303069562959369e-10
4208        ,  6.603942215445863e-01,  5.044788514929185e-01,  1.947171941758148e-10
5588        ,  8.803208873918648e-01,  4.449576212328346e-01,  1.187524936718338e-10
5685        ,  1.451928416459744e+00,  9.726208942163389e-01,  7.921892207689082e-10
461         ,  2.895131874006477e-01,  3.556980707462613e-01,  4.833897060101823e-12
180         ,  3.677083798565582e-01,  3.856614359723204e-01,  4.307500961007907e-11
3567        ,  6.455865771715684e-01,  3.688628229851892e-01,  2.163557364960501e-11
986         ,  1.667063758544649e-01,  3.993585259241093e-01,  6.055608873793283e-11
350         ,  3.022496124401135e-01,  4.056993529049238e-01,  6.864864698043549e-11
3563        ,  2.963852956512342e-01,  3.519105286634384e-01,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.622638776334275e-01,  1.321358866881249e-11
3276        ,  3.528731625859118e-01,  3.519105286634384e-01,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.519105286634384e-01,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.519105286634384e-01,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.862868785352440e-01,  4.387323835581110e-11
3382        ,  4.754043303942602e-01,  3.519105286634384e-01,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  4.837465939468615e-01,  1.682573960772900e-10
4760        ,  2.326804630331917e-01,  1.031022995120640e+00,  8.667256186997439e-10
4099        ,  2.771646182279487e-01,  6.137248825391788e-01,  3.341437818557931e-10
4506        ,  2.830919218734357e-01,  3.667291247630754e-01,  1.891241511103810e-11
2032        ,  3.425223935124700e-01,  6.709950380769685e-01,  4.072355206225258e-10
5625        ,  9.047570655746466e-01,  5.801914804103990e-01,  2.913463659008239e-10
3021        ,  9.436790737277430e-01,  8.277874769573127e-01,  6.073437947423508e-10
6349        ,  6.066079572580644e-01,  9.109392797705410e-01,  7.134673034378524e-10
3265        ,  4.841085563396736e-01,  3.863180818872600e-01,  4.391306201671767e-11
73          ,  3.010695272812237e-01,  1.211938130303144e+00,  1.097620779984617e-09
909         ,  2.859807336003438e-01,  5.177086363734287e-01,  2.116018694721522e-10
3508        ,  7.316706566321051e-01,  4.032900751108576e-01,  6.557377663152962e-11
5286        ,  2.235408342514859e-01,  4.492893980799386e-01,  1.242809770281500e-10
359         ,  4.663407226120941e-01,  4.235894766108180e-01,  9.148113688965029e-11
3172        ,  4.790530319841335e-01,  1.116659071060776e+00,  9.760197114579574e-10
5918        ,  2.241858049594979e+00,  6.227360166273368e-01,  3.456443523113603e-10
4401        ,  3.273613861116079e-01,  3.519105286634384e-01,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.519105286634384e-01,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  4.195004489315301e-01,  8.626246513753263e-11
5701        ,  9.203994095360772e-01,  4.401136338502261e-01,  1.125702953342486e-10
538         ,  3.775823948370269e-01,  1.025483491785432e+00,  8.596557595929821e-10
423         ,  3.114023315769188e-01,  3.692795017018979e-01,  2.216736497486571e-11
577         ,  3.135900205824857e-01,  3.519105286634384e-01,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  4.946129067098330e-01,  1.821256610814710e-10
1518        ,  2.969751162456789e-01,  3.557600344160238e-01,  4.912978953992053e-12
5181        ,  5.261236775456994e-01,  4.357691705299500e-01,  1.070256207108710e-10
1015        ,  3.391061495356983e-01,  9.407871562466705e-01,  7.515610220535703e-10
1156        ,  8.470934050524324e-01,  6.229836707597256e-01,  3.459604239367835e-10
4984        ,  4.348768073655889e-01,  1.220348842432542e+00,  1.108355054547544e-09
4680        ,  3.364035952142165e-01,  6.284374864056100e-01,  3.529209230785723e-10
5095        ,  5.893419787698063e-01,  4.540993600520945e-01,  1.304197500181195e-10
827         ,  4.003907365198857e-01,  4.814011864913876e-01,  1.652640410317651e-10
695         ,  3.284722007121098e+00,  1.449065592315315e+00,  1.400257613166873e-09
5396        ,  8.394699154938887e-02,  8.560948189363806e-01,  6.434713873023072e-10
3038        ,  2.698343232194364e-01,  5.333522262514122e-01,  2.315671930162971e-10
4451        ,  3.854058871881627e-01,  6.811053335316147e-01,  4.201389092598741e-10
683         ,  7.567006984040863e-01,  6.757656463427590e-01,  4.133240679618376e-10
4700        ,  2.941516770264208e-01,  4.061766642271522e-01,  6.925782141251284e-11
2132        ,  6.747740069016210e-01,  5.452816011635850e-01,  2.467922041332235e-10
5269        ,  5.468292537176512e-01,  3.586638344430776e-01,  8.618989371026826e-12
1517        ,  4.146991767326453e-01,  8.930412137962792e-01,  6.906246771111738e-10
4066        ,  3.764670136622192e-01,  6.776450158281672e-01,  4.157226363293179e-10
5182        ,  1.517650397507960e-01,  6.726930322162552e-01,  4.094026064788633e-10
1           ,  4.764892223280973e-01,  4.959885694289726e-01,  1.838813675075193e-10
3515        ,  3.510859978507264e-02,  5.003525631289655e-01,  1.894509680176676e-10
1029        ,  3.092915995936308e-01,  4.956613991097273e-01,  1.834638123728781e-10
5743        ,  3.087205345176252e-01,  3.588329737737831e-01,  8.834855517347052e-12
1217        ,  3.172537314486099e-01,  3.676988986742644e-01,  2.015010096528102e-11
2683        ,  3.844169398000933e-01,  9.505354028945433e-01,  7.640023414585761e-10
759         ,  8.184498203592120e-01,  5.231569689992972e-01,  2.185553708423637e-10
711         ,  2.502401932608478e-01,  3.909468043367010e-01,  4.982052584183350e-11
4207        ,  2.013711137722670e+00,  7.671812637908512e-01,  5.299943714902886e-10
1543        ,  3.840654554424733e-01,  3.519105286634384e-01,  0.000000000000000e+00
3822        ,  4.218122849416643e-01,  3.593876842397459e-01,  9.542811556379872e-12
905         ,  3.238182016186769e-01,  4.594013730454304e-01,  1.371865091618242e-10
347         ,  2.775346891577328e-01,  3.579426662042096e-01,  7.698589556721697e-12
2342        ,  1.210246062183758e+00,  1.053369284339522e+00,  8.952453445264819e-10
4542        ,  3.048128990006040e-01,  1.022504976583634e+00,  8.558543930173510e-10
559         ,  3.453933368526703e-01,  3.824538605259585e-01,  3.898130208652667e-11
457         ,  3.376524920945591e-01,  3.582648536224864e-01,  8.109785202856785e-12
3113        ,  2.314166087738986e-01,  1.022516379515299e+00,  8.558689461488142e-10
4420        ,  3.179225982353691e-01,  3.967464015056782e-01,  5.722233289555196e-11
1696        ,  3.247424454205921e-01,  3.573315198547647e-01,  6.918606528870570e-12
2686        ,  3.503757653850906e-01,  3.968430180324720e-01,  5.734564092345314e-11
3177        ,  2.627434022730241e-01,  4.160559612245445e-01,  8.186639543421067e-11
246         ,  2.556389493354024e-01,  3.699791399275608e-01,  2.306028684562312e-11
5215        ,  2.936995358011208e-01,  3.562173483572796e-01,  5.496631483215535e-12
286         ,  2.223387257013637e-01,  3.646694934200256e-01,  1.628378533575076e-11
465         ,  3.187608224082913e-01,  3.519105286634384e-01,  0.000000000000000e+00
5237        ,  4.050496152104346e-01,  3.519105286634384e-01,  0.000000000000000e+00
4712        ,  3.442133508674560e-01,  3.775231418349433e-01,  3.268841185230824e-11
1007        ,  8.851170638711574e-01,  5.773701385672477e-01,  2.877455937528385e-10
4773        ,  3.367910301019642e-01,  8.667790486991486e-01,  6.571072666431392e-10
2379        ,  1.925093990386221e-01,  5.895900870120023e-01,  3.033414529063479e-10
877         ,  6.907271953905234e-01,  4.985144384886918e-01,  1.871050388899053e-10
4038        ,  4.295673667432552e-01,  6.618813427233863e-01,  3.956040550934325e-10
56          ,  2.848354288519700e-01,  3.524813018935441e-01,  7.284563388762378e-13
293         ,  3.141382424198136e-01,  8.733320215488652e-01,  6.654705786540686e-10
2482        ,  2.685476051705485e-01,  5.349587968117007e-01,  2.336175984080801e-10
698         ,  3.526971622512460e-01,  4.650995893846033e-01,  1.444589276874615e-10
5638        ,  8.721344321156084e-01,  8.772895410205451e-01,  6.705214114424902e-10
3735        ,  4.120303000763381e-01,  4.836423180958463e-01,  1.681243127428638e-10
416         ,  6.071117165413150e-01,  3.742419447515480e-01,  2.850074381108127e-11
3708        ,  4.867280057715314e-01,  3.519105286634384e-01,  0.000000000000000e+00
5819        ,  7.652967829040024e-01,  6.697840238420288e-01,  4.056899488448379e-10
2404        ,  8.926809959705674e-01,  1.636476107295326e+00,  1.639442582623070e-09
5860        ,  5.228726533292852e-01,  7.528071602737488e-01,  5.116492454920754e-10
1770        ,  7.267589887161684e-01,  5.278949421354977e-01,  2.246022671970707e-10
4280        ,  1.996358645314295e-01,  3.519105286634384e-01,  0.000000000000000e+00
4123        ,  6.986549779679445e-01,  4.389597765677525e-01,  1.110976708185181e-10
1823        ,  1.515492379722413e+00,  1.533952012925601e+00,  1.508594949111351e-09
3445        ,  2.252985427404290e-02,  5.991483407474290e-01,  3.155402915254425e-10
5375        ,  4.917466885534617e-01,  4.045340616489229e-01,  6.716142971568443e-11
5658        ,  2.914387417132949e-01,  3.519105286634384e-01,  0.000000000000000e+00
722         ,  3.444202719318335e-01,  4.155740017764215e-01,  8.125128877442312e-11
748         ,  3.334604743545695e-01,  3.770552963371891e-01,  3.209131829487099e-11
1752        ,  7.809780495391134e-01,  7.769513315811254e-01,  5.424635403960511e-10
3395        ,  3.436035898879734e-01,  3.519105286634384e-01,  0.000000000000000e+00
2138        ,  9.287432598310735e-01,  6.736182279849443e-01,  4.105833989317226e-10
1741        ,  1.896376276085417e-01,  3.864897298519156e-01,  4.413212983790014e-11
1296        ,  4.887142558626417e-01,  4.608448340595865e-01,  1.390287439938397e-10
1953        ,  2.915310679059414e-01,  4.050807848414648e-01,  6.785919189900197e-11
725         ,  4.409581854373062e-01,  3.949579748460967e-01,  5.493983142549157e-11
604         ,  4.560471731927151e-01,  5.093147750720199e-01,  2.008891009852232e-10
4975        ,  2.234892878596882e-01,  4.769318871970807e-01,  1.595600429646693e-10
3827        ,  3.455204772490412e-01,  3.519105286634384e-01,  0.000000000000000e+00
1494        ,  3.967603100069481e-01,  4.920110313335985e-01,  1.788049857049593e-10
309         ,  3.416637145480106e-01,  4.589902442053371e-01,  1.366618009346964e-10
2934        ,  7.704268631123875e-01,  7.093144980241249e-01,  4.561412015978762e-10
2904        ,  3.724124904587404e-01,  5.009828380429148e-01,  1.902553641106939e-10
2310        ,  2.595786735285539e-01,  5.113366145902243e-01,  2.034694984803083e-10
1210        ,  3.142728504011673e-01,  3.519105286634384e-01,  0.000000000000000e+00
3119        ,  2.876046469044033e-01,  3.519105286634384e-01,  0.000000000000000e+00
3373        ,  2.341191539407255e-01,  7.985055309878213e-01,  5.699723518802583e-10
5614        ,  4.725731745332571e-01,  3.803885308460270e-01,  3.634539973886985e-11
4342        ,  1.740699555697718e-01,  5.448967782582896e-01,  2.463010691781815e-10
4778        ,  1.209858356759635e+00,  5.806442298127098e-01,  2.919241928812073e-10
1002        ,  4.915429250815457e-01,  4.882427141797021e-01,  1.739956246963089e-10
3958        ,  5.589352628698108e-01,  4.508335564610046e-01,  1.262517281103408e-10
