# c0 + a0 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.477957396832501; Max AE: 9.55393159994906
# Coefficients
# Task   a0                      c0
# all ,  1.142052682017416e+09,  3.570417047971056e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atom^-1 * cm^-3 * eV * mol * pm^-3;               2|16|div|20|cb|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.570417047971056e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.186714296874786e+00,  7.264748860902622e-10
3034        ,  4.935948125875536e-01,  3.948212238815753e-01,  3.308036457454209e-11
915         ,  7.155608468327842e-01,  4.530717571639277e-01,  8.408548386505836e-11
143         ,  2.878408453797652e-01,  3.570417047971056e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.846089460009053e-01,  1.116999620179119e-10
3624        ,  3.119165808174699e-01,  3.570417047971056e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  7.720062989637088e-01,  3.633497829833696e-10
785         ,  1.323171435250627e+00,  6.451512861729679e-01,  2.522734598082830e-10
1473        ,  4.422223937745569e-01,  3.570417047971056e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.570417047971056e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  8.457306425477922e-01,  4.279040235582008e-10
1713        ,  5.274016633298737e-01,  6.725600334741082e-01,  2.762730070557210e-10
5825        ,  3.327553083664687e-01,  3.570417047971056e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.136842833410219e-01,  4.874053424230984e-10
1800        ,  4.375320177361192e-01,  3.696324953537610e-01,  1.102470206051609e-11
4488        ,  3.500270645846581e-01,  4.790827509152363e-01,  1.068611352521386e-10
1941        ,  4.982888367482280e-01,  4.465160969331609e-01,  7.834524058732589e-11
5607        ,  5.615877319607279e-01,  4.461835576452809e-01,  7.805406375011341e-11
3304        ,  4.207482123452428e-01,  3.847268105345467e-01,  2.424153121249699e-11
5772        ,  9.791729170663426e-01,  4.626056185086909e-01,  9.243348872935403e-11
4208        ,  6.603942215445863e-01,  5.159457299439155e-01,  1.391389623691516e-10
5588        ,  8.803208873918648e-01,  4.784968886537015e-01,  1.063481446775708e-10
5685        ,  1.451928416459744e+00,  1.017082878502904e+00,  5.779428428291485e-10
461         ,  2.895131874006477e-01,  3.603747246441548e-01,  2.918446670219687e-12
180         ,  3.677083798565582e-01,  3.868009959378799e-01,  2.605772186288733e-11
3567        ,  6.455865771715684e-01,  3.759938689846983e-01,  1.659482481501118e-11
986         ,  1.667063758544649e-01,  4.011112748814735e-01,  3.858803606723273e-11
350         ,  3.022496124401135e-01,  3.880393559092333e-01,  2.714205009997515e-11
3563        ,  2.963852956512342e-01,  3.570417047971056e-01,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.628570240652223e-01,  5.091988626867906e-12
3276        ,  3.528731625859118e-01,  3.570417047971056e-01,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.570417047971056e-01,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.570417047971056e-01,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.793500360242838e-01,  1.953353954545328e-11
3382        ,  4.754043303942602e-01,  3.570417047971056e-01,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  4.659290861825424e-01,  9.534357136055161e-11
4760        ,  2.326804630331917e-01,  1.070350497387358e+00,  6.245848408062971e-10
4099        ,  2.771646182279487e-01,  6.172541816807953e-01,  2.278462990201372e-10
4506        ,  2.830919218734357e-01,  3.700350391273048e-01,  1.137717596989191e-11
2032        ,  3.425223935124700e-01,  6.382186692842198e-01,  2.462031471178896e-10
5625        ,  9.047570655746466e-01,  6.272570675874861e-01,  2.366049894590239e-10
3021        ,  9.436790737277430e-01,  7.554465864530390e-01,  3.488498279712966e-10
6349        ,  6.066079572580644e-01,  8.476071547874174e-01,  4.295471283546542e-10
3265        ,  4.841085563396736e-01,  3.873567593037813e-01,  2.654435735234624e-11
73          ,  3.010695272812237e-01,  1.153348332342267e+00,  6.972591020394085e-10
909         ,  2.859807336003438e-01,  5.106967530554845e-01,  1.345428723891703e-10
3508        ,  7.316706566321051e-01,  4.194589637896776e-01,  5.465357244493574e-11
5286        ,  2.235408342514859e-01,  4.839513676298099e-01,  1.111241756453132e-10
359         ,  4.663407226120941e-01,  4.197244722649252e-01,  5.488605600670851e-11
3172        ,  4.790530319841335e-01,  1.027226740981133e+00,  5.868249746589251e-10
5918        ,  2.241858049594979e+00,  7.105525832716291e-01,  3.095399048054884e-10
4401        ,  3.273613861116079e-01,  3.570417047971056e-01,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.570417047971056e-01,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  4.106917219944414e-01,  4.697683219180743e-11
5701        ,  9.203994095360772e-01,  4.460540590521130e-01,  7.794067266473963e-11
538         ,  3.775823948370269e-01,  1.286969574548330e+00,  8.142600463128580e-10
423         ,  3.114023315769188e-01,  3.677629430399781e-01,  9.387691488919427e-12
577         ,  3.135900205824857e-01,  3.570417047971056e-01,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  4.840388668879287e-01,  1.112007914262632e-10
1518        ,  2.969751162456789e-01,  3.606120706506306e-01,  3.126270713902594e-12
5181        ,  5.261236775456994e-01,  4.406379548064360e-01,  7.319824323835842e-11
1015        ,  3.391061495356983e-01,  1.114533421645926e+00,  6.632721316417075e-10
1156        ,  8.470934050524324e-01,  5.948432368892574e-01,  2.082229093600828e-10
4984        ,  4.348768073655889e-01,  1.124065075384719e+00,  6.716182034901233e-10
4680        ,  3.364035952142165e-01,  6.505112558633680e-01,  2.569667369003098e-10
5095        ,  5.893419787698063e-01,  4.507388964151272e-01,  8.204279285304694e-11
827         ,  4.003907365198857e-01,  4.888618455637182e-01,  1.154238704065338e-10
695         ,  3.284722007121098e+00,  1.322920930090829e+00,  8.457396410010742e-10
5396        ,  8.394699154938887e-02,  8.026830080757463e-01,  3.902108110209271e-10
3038        ,  2.698343232194364e-01,  5.485213007115620e-01,  1.676626647171925e-10
4451        ,  3.854058871881627e-01,  6.565258497377754e-01,  2.622332136304224e-10
683         ,  7.567006984040863e-01,  7.498448574513752e-01,  3.439448624737607e-10
4700        ,  2.941516770264208e-01,  4.073983227973216e-01,  4.409307801043113e-11
2132        ,  6.747740069016210e-01,  5.276053762228226e-01,  1.493483392766253e-10
5269        ,  5.468292537176512e-01,  3.632780534876098e-01,  5.460648872596432e-12
1517        ,  4.146991767326453e-01,  8.315927867743793e-01,  4.155246859006432e-10
4066        ,  3.764670136622192e-01,  6.867087157766523e-01,  2.886618245991909e-10
5182        ,  1.517650397507960e-01,  6.863812925914342e-01,  2.883751275051131e-10
1           ,  4.764892223280973e-01,  4.868372612588179e-01,  1.136511112888687e-10
3515        ,  3.510859978507264e-02,  4.872699987091391e-01,  1.140300232752726e-10
1029        ,  3.092915995936308e-01,  4.836970728256176e-01,  1.109015109572507e-10
5743        ,  3.087205345176252e-01,  3.612803586643826e-01,  3.711434624705341e-12
1217        ,  3.172537314486099e-01,  3.709195859566582e-01,  1.215169963528965e-11
2683        ,  3.844169398000933e-01,  8.832940370245503e-01,  4.607951458927704e-10
759         ,  8.184498203592120e-01,  5.739471366160303e-01,  1.899259423267279e-10
711         ,  2.502401932608478e-01,  3.932589283630430e-01,  3.171239307626363e-11
4207        ,  2.013711137722670e+00,  8.028802046881790e-01,  3.903834795987762e-10
1543        ,  3.840654554424733e-01,  3.570417047971056e-01,  0.000000000000000e+00
3822        ,  4.218122849416643e-01,  3.636145529781371e-01,  5.755293327993114e-12
905         ,  3.238182016186769e-01,  4.172747783142349e-01,  5.274106393299529e-11
347         ,  2.775346891577328e-01,  3.607456310113258e-01,  3.243218349329836e-12
2342        ,  1.210246062183758e+00,  1.009396160399241e+00,  5.712122267860383e-10
4542        ,  3.048128990006040e-01,  1.094138721744952e+00,  6.454141989717824e-10
559         ,  3.453933368526703e-01,  3.846579785629018e-01,  2.418126081277837e-11
457         ,  3.376524920945591e-01,  3.626116751496028e-01,  4.877157105097768e-12
3113        ,  2.314166087738986e-01,  1.090947280079976e+00,  6.426197204724738e-10
4420        ,  3.179225982353691e-01,  3.849804114458561e-01,  2.446358831660661e-11
1696        ,  3.247424454205921e-01,  3.614850846570238e-01,  3.890696050964138e-12
2686        ,  3.503757653850906e-01,  3.922996740411834e-01,  3.087245430902120e-11
3177        ,  2.627434022730241e-01,  4.007375913816293e-01,  3.826083268535014e-11
246         ,  2.556389493354024e-01,  3.738122534384724e-01,  1.468456657510922e-11
5215        ,  2.936995358011208e-01,  3.597813914092376e-01,  2.398914389213990e-12
286         ,  2.223387257013637e-01,  3.692772518710411e-01,  1.071364505910672e-11
465         ,  3.187608224082913e-01,  3.570417047971056e-01,  0.000000000000000e+00
5237        ,  4.050496152104346e-01,  3.570417047971056e-01,  0.000000000000000e+00
4712        ,  3.442133508674560e-01,  3.783225819697966e-01,  1.863388397731239e-11
1007        ,  8.851170638711574e-01,  5.546060915556911e-01,  1.729906070616563e-10
4773        ,  3.367910301019642e-01,  8.419543855072121e-01,  4.245974711547605e-10
2379        ,  1.925093990386221e-01,  4.984194063392025e-01,  1.237926268798351e-10
877         ,  6.907271953905234e-01,  4.859428510323588e-01,  1.128679510717068e-10
