# c0 + a0 * ((decomposition_energy / ave:atomic_volume) / (min:vdw_radius_uff^2))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.478843568594758; Max AE: 9.57354217374469
# Coefficients
# Task   a0                      c0
# all ,  2.734021974464922e+06,  3.374311310014702e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atom^-1 * cm^-3 * eV * mol * pm^-2;               2|28|div|20|sq|div; ((decomposition_energy / ave:atomic_volume) / (min:vdw_radius_uff^2)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:atomic_{volume} } \right) }{ \left(min:vdw_{radius, uff}^2\right) } \right)$; ((decomposition_energy ./ ave:atomic_volume) ./ (min:vdw_radius_uff).^2); decomposition_energy,ave:atomic_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.374311310014702e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.342093609725606e+00,  3.674668631442727e-07
3034        ,  4.935948125875536e-01,  3.979801528728150e-01,  2.214650154126684e-08
915         ,  7.155608468327842e-01,  4.915514146355793e-01,  5.637126733930958e-08
143         ,  2.878408453797652e-01,  3.374311310014702e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.831371188972237e-01,  5.329364184216909e-08
3624        ,  3.119165808174699e-01,  3.374311310014702e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.683445377741667e-01,  1.210353866440521e-07
785         ,  1.323171435250627e+00,  7.668261693008477e-01,  1.570561766912700e-07
1473        ,  4.422223937745569e-01,  3.374311310014702e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.374311310014702e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  8.383857554751146e-01,  1.832299188347551e-07
1713        ,  5.274016633298737e-01,  6.147210633721845e-01,  1.014219837881819e-07
5825        ,  3.327553083664687e-01,  3.374311310014702e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  1.080218613878453e+00,  2.716830697830637e-07
1800        ,  4.375320177361192e-01,  3.532334095598203e-01,  5.779865233688488e-09
4488        ,  3.500270645846581e-01,  4.702573168865126e-01,  4.858270603733460e-08
1941        ,  4.982888367482280e-01,  5.013963084097250e-01,  5.997215053121317e-08
5607        ,  5.615877319607279e-01,  4.592040746066082e-01,  4.453985547390135e-08
3304        ,  4.207482123452428e-01,  3.791878748806663e-01,  1.527300960606522e-08
5772        ,  9.791729170663426e-01,  4.619447286390569e-01,  4.554228122542996e-08
4208        ,  6.603942215445863e-01,  4.814348052196759e-01,  5.267100102455791e-08
5588        ,  8.803208873918648e-01,  4.466507673187155e-01,  3.994833887120489e-08
5685        ,  1.451928416459744e+00,  9.358590053772621e-01,  2.188818816984493e-07
461         ,  2.895131874006477e-01,  3.417857966700024e-01,  1.592769081303551e-09
180         ,  3.677083798565582e-01,  3.849505282110525e-01,  1.738076637766690e-08
3567        ,  6.455865771715684e-01,  3.573299088078120e-01,  7.278206975727126e-09
986         ,  1.667063758544649e-01,  4.027783250306577e-01,  2.390148822486208e-08
350         ,  3.022496124401135e-01,  4.002124021829908e-01,  2.296297241495567e-08
3563        ,  2.963852956512342e-01,  3.374311310014702e-01,  0.000000000000000e+00
