# c0 + a0 * ((decomposition_energy / ave:heat_capacity_molar) / (min:vdw_radius_uff^3))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.48020119037296; Max AE: 9.57358204701722
# Coefficients
# Task   a0                      c0
# all ,  1.565742459943329e+09,  3.373912577289418e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; J^-1 * K * atom^-1 * eV * mol * pm^-3;            2|21|div|20|cb|div; ((decomposition_energy / ave:heat_capacity_molar) / (min:vdw_radius_uff^3)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:heat_{capacity, molar} } \right) }{ \left(min:vdw_{radius, uff}^3\right) } \right)$; ((decomposition_energy ./ ave:heat_capacity_molar) ./ (min:vdw_radius_uff).^3); decomposition_energy,ave:heat_capacity_molar,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.373912577289418e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.320236421200886e+00,  6.277182797402825e-10
3034        ,  4.935948125875536e-01,  3.986714726061414e-01,  3.913811910000676e-11
915         ,  7.155608468327842e-01,  4.564032141743133e-01,  7.600991829121060e-11
143         ,  2.878408453797652e-01,  3.373912577289418e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.731535731889903e-01,  8.670794778405790e-11
3624        ,  3.119165808174699e-01,  3.373912577289418e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  6.522319508788765e-01,  2.010807659653876e-10
785         ,  1.323171435250627e+00,  7.127539477787613e-01,  2.397346304726293e-10
1473        ,  4.422223937745569e-01,  3.373912577289418e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.373912577289418e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  9.517842447131865e-01,  3.923972190206059e-10
1713        ,  5.274016633298737e-01,  5.857357402894838e-01,  1.586113226881072e-10
5825        ,  3.327553083664687e-01,  3.373912577289418e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  1.106501168320380e+00,  4.912109943159335e-10
1800        ,  4.375320177361192e-01,  3.549246074264262e-01,  1.119810578434402e-11
4488        ,  3.500270645846581e-01,  5.139390416938334e-01,  1.127565921481632e-10
1941        ,  4.982888367482280e-01,  4.371747249345576e-01,  6.372916987205379e-11
5607        ,  5.615877319607279e-01,  4.413717909578700e-01,  6.640972949835681e-11
3304        ,  4.207482123452428e-01,  3.765206166693530e-01,  2.499092918629000e-11
5772        ,  9.791729170663426e-01,  4.455451450697389e-01,  6.907514492818418e-11
4208        ,  6.603942215445863e-01,  4.924607559239694e-01,  9.903895574284950e-11
5588        ,  8.803208873918648e-01,  4.240405152850911e-01,  5.534068326874494e-11
5685        ,  1.451928416459744e+00,  8.950604607902456e-01,  3.561691768143583e-10
461         ,  2.895131874006477e-01,  3.411310817714584e-01,  2.388530769390989e-12
180         ,  3.677083798565582e-01,  3.847775275222702e-01,  3.026440874257410e-11
3567        ,  6.455865771715684e-01,  3.570262578542944e-01,  1.254037661216856e-11
986         ,  1.667063758544649e-01,  3.902310676127012e-01,  3.374744648980896e-11
350         ,  3.022496124401135e-01,  3.756641085016627e-01,  2.444389914169292e-11
3563        ,  2.963852956512342e-01,  3.373912577289418e-01,  0.000000000000000e+00
795         ,  2.766538255638341e-01,  3.442626844610383e-01,  4.388605985907289e-12
3276        ,  3.528731625859118e-01,  3.373912577289418e-01,  0.000000000000000e+00
4238        ,  2.446030623760792e-01,  3.373912577289418e-01,  0.000000000000000e+00
5282        ,  5.293873330373472e-01,  3.373912577289418e-01,  0.000000000000000e+00
599         ,  1.941897543062212e-01,  3.703124086055429e-01,  2.102590414377127e-11
3382        ,  4.754043303942602e-01,  3.373912577289418e-01,  0.000000000000000e+00
2828        ,  4.609014146704439e-01,  4.844694620041886e-01,  9.393511898538550e-11
4760        ,  2.326804630331917e-01,  1.002564144834682e+00,  4.248290533871168e-10
4099        ,  2.771646182279487e-01,  6.528305763414569e-01,  2.014630928664553e-10
4506        ,  2.830919218734357e-01,  3.528754559884331e-01,  9.889364729913364e-12
2032        ,  3.425223935124700e-01,  6.225354622224133e-01,  1.821143718001951e-10
5625        ,  9.047570655746466e-01,  5.653531080681922e-01,  1.455934524171372e-10
3021        ,  9.436790737277430e-01,  9.163076190892337e-01,  3.697391979657022e-10
6349        ,  6.066079572580644e-01,  9.033057727420872e-01,  3.614352484466880e-10
3265        ,  4.841085563396736e-01,  3.875624254854714e-01,  3.204305244321314e-11
73          ,  3.010695272812237e-01,  1.189739888207604e+00,  5.443734536709902e-10
909         ,  2.859807336003438e-01,  5.028920067452628e-01,  1.057011310929840e-10
3508        ,  7.316706566321051e-01,  3.922795120463803e-01,  3.505573599851485e-11
5286        ,  2.235408342514859e-01,  4.358114262388103e-01,  6.285846557002151e-11
359         ,  4.663407226120941e-01,  4.229235524866869e-01,  5.462730745696260e-11
3172        ,  4.790530319841335e-01,  1.239646905830114e+00,  5.762478001227793e-10
5918        ,  2.241858049594979e+00,  5.895950269316351e-01,  1.610761511901655e-10
4401        ,  3.273613861116079e-01,  3.373912577289418e-01,  0.000000000000000e+00
3615        ,  3.036705797988253e-01,  3.373912577289418e-01,  0.000000000000000e+00
4407        ,  5.372482734277881e-01,  4.096594947234654e-01,  4.615589015650716e-11
5701        ,  9.203994095360772e-01,  4.381993919817409e-01,  6.438359872826582e-11
538         ,  3.775823948370269e-01,  1.015202537804879e+00,  4.329008744519006e-10
423         ,  3.114023315769188e-01,  3.511477980520184e-01,  8.785953421467870e-12
577         ,  3.135900205824857e-01,  3.373912577289418e-01,  0.000000000000000e+00
3422        ,  2.802083413851849e-01,  5.352066130151251e-01,  1.263396505791528e-10
1518        ,  2.969751162456789e-01,  3.414342739969963e-01,  2.582171954512122e-12
5181        ,  5.261236775456994e-01,  4.439079713058744e-01,  6.802952356595604e-11
1015        ,  3.391061495356983e-01,  9.446038432262081e-01,  3.878112786947375e-10
