# c0 + a0 * ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^2))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.48106733987556; Max AE: 9.56759824952967
# Coefficients
# Task   a0                      c0
# all ,  3.988386038544002e+06,  3.433750552164914e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atom^-1 * cm^-3 * eV * mol * pm^-2;               2|16|div|20|sq|div; ((decomposition_energy / ave:icsd_volume) / (min:vdw_radius_uff^2)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:icsd_{volume} } \right) }{ \left(min:vdw_{radius, uff}^2\right) } \right)$; ((decomposition_energy ./ ave:icsd_volume) ./ (min:vdw_radius_uff).^2); decomposition_energy,ave:icsd_volume,min:vdw_radius_uff
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.433750552164914e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.218698413942439e+00,  2.194680630878682e-07
3034        ,  4.935948125875536e-01,  3.966117413288777e-01,  1.334792710582773e-08
915         ,  7.155608468327842e-01,  4.786949819677583e-01,  3.392849273955105e-08
143         ,  2.878408453797652e-01,  3.433750552164914e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.713233930384998e-01,  3.208022909154429e-08
3624        ,  3.119165808174699e-01,  3.433750552164914e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  8.027648621106515e-01,  1.151818812057282e-07
785         ,  1.323171435250627e+00,  6.950293539920857e-01,  8.816957420299490e-08
1473        ,  4.422223937745569e-01,  3.433750552164914e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.433750552164914e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.616740960419324e-01,  1.048792761741150e-07
1713        ,  5.274016633298737e-01,  7.140486323784742e-01,  9.293823957354454e-08
5825        ,  3.327553083664687e-01,  3.433750552164914e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.553338718760190e-01,  1.534352017947914e-07
1800        ,  4.375320177361192e-01,  3.573137886018858e-01,  3.494830553183600e-09
4488        ,  3.500270645846581e-01,  4.722163611450448e-01,  3.230412118672149e-08
