# c0 + a0 * ((decomposition_energy / ave:mendeleev_number) / (min:vdw_radius_uff * ave:icsd_volume))
# Property Label: $exfoliation_{energy}$; Unit of the Property: J * m^-2
# RMSE: 0.481213048557447; Max AE: 9.56206603091199
# Coefficients
# Task   a0                      c0
# all ,  9.935560901740250e+05,  3.489072738341725e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; atom^-1 * cm^-3 * eV * mol * pm^-1;               2|17|div|20|16|mult|div; ((decomposition_energy / ave:mendeleev_number) / (min:vdw_radius_uff * ave:icsd_volume)); $\left(\frac{ \left(\frac{ decomposition_{energy} }{ ave:mendeleev_{number} } \right) }{ \left(min:vdw_{radius, uff} ave:icsd_{volume}\right) } \right)$; ((decomposition_energy ./ ave:mendeleev_number) ./ (min:vdw_radius_uff .* ave:icsd_volume)); decomposition_energy,ave:mendeleev_number,min:vdw_radius_uff,ave:icsd_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 3049                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
3606        ,  2.839481145196585e-01,  3.489072738341725e-01,  0.000000000000000e+00
3114        ,  1.831950432135623e+00,  1.352065582184252e+00,  1.009664495312360e-06
3034        ,  4.935948125875536e-01,  4.097161648206817e-01,  6.120327940001694e-08
915         ,  7.155608468327842e-01,  5.060252626816254e-01,  1.581370094766699e-07
143         ,  2.878408453797652e-01,  3.489072738341725e-01,  0.000000000000000e+00
1747        ,  4.723624565072543e-01,  4.647815929098317e-01,  1.166258455074876e-07
3624        ,  3.119165808174699e-01,  3.489072738341725e-01,  0.000000000000000e+00
1613        ,  4.892777101910798e-01,  7.432265355433004e-01,  3.968766993719111e-07
785         ,  1.323171435250627e+00,  7.049153597341021e-01,  3.583170486505433e-07
1473        ,  4.422223937745569e-01,  3.489072738341725e-01,  0.000000000000000e+00
3936        ,  3.696216735678464e-01,  3.489072738341725e-01,  0.000000000000000e+00
3196        ,  4.682934522240256e-01,  7.448803594223473e-01,  3.985412494616370e-07
1713        ,  5.274016633298737e-01,  6.699714460807893e-01,  3.231464991477042e-07
5825        ,  3.327553083664687e-01,  3.489072738341725e-01,  0.000000000000000e+00
199         ,  1.504427135099300e+00,  9.091035965863713e-01,  5.638295897859963e-07
1800        ,  4.375320177361192e-01,  3.620895771531744e-01,  1.326779982466109e-08
4488        ,  3.500270645846581e-01,  4.732996789934606e-01,  1.251991773685372e-07
1941        ,  4.982888367482280e-01,  4.401961260656977e-01,  9.188092462453295e-08
5607        ,  5.615877319607279e-01,  4.162595904213433e-01,  6.778914371645978e-08
